,minimum,maximum
23DHMPO,3.008923977665452e-09,0.0
26DAPt2r,1.6336212681672053,959.0585875584616
2AHBUTI,0.0,-3.002117401206201e-09
2INSD,0.0,-3.003708624275536e-09
2MBCOATA,5.563887653724463,5.56388765313789
2MEBCOADH,5.563887653724462,5.563887653718892
3CARLPDH,0.0,0.0
3HAD10M12,5.563887653724463,5.563887653718895
3HAD11M12,5.563887653724464,5.563887653718897
3HAD12M14,5.563887653724463,5.563887653718895
3HAD13M14,5.563887653724463,5.563887653718897
3HAD14M16,5.563887653724462,5.563887653718895
3HAD15M16,5.563887653724462,5.563887653718896
3HAD4M6,5.563887653724463,5.563887653718894
3HAD5M6,5.563887653724463,5.5638876537188855
3HAD6M8,5.563887653724464,5.563887653718885
3HAD7M8,5.563887653724463,5.5638876537188855
3HAD8M10,5.563887653724464,5.563887653718885
3HAD9M10,5.563887653724464,5.563887653718885
3MEBCOADH,-5.563887653718889,-5.563887653724463
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.5638876537244615,5.56388765371889
3OAR11M12,5.563887653724464,5.5638876537188855
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.563887653724462,5.5638876537188855
3OAR13M14,5.563887653724462,5.5638876537188855
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.563887653724462,5.5638876537188855
3OAR15M16,5.563887653724462,5.5638876537188855
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.563887653724464,5.563887653718885
3OAR5M6,5.563887653724464,5.5638876537188855
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.563887653724464,5.5638876537188855
3OAR7M8,5.563887653724464,5.5638876537188855
3OAR80,0.0,0.0
3OAR8M10,5.563887653724464,5.5638876537188855
3OAR8M9,0.0,0.0
3OAR9M10,5.563887653724464,5.5638876537188855
3OAS10M12,5.563887653724463,5.563887653718885
3OAS11M12,5.563887653724463,5.563887653718885
3OAS12M14,5.563887653724462,5.563887653718885
3OAS13M14,5.563887653724462,5.563887653718885
3OAS3M4,5.563887653724463,5.563887653718885
3OAS4M3O6,5.563887653724463,5.563887653718884
3OAS4M6,5.563887653724463,5.563887653718885
3OAS5M6,5.563887653724463,5.563887653718885
3OAS6M8,5.563887653724463,5.563887653718885
3OAS7M8,5.563887653724463,5.563887653718885
3OAS8M10,5.563887653724463,5.563887653718885
3OAS9M10,5.563887653724463,5.563887653718885
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DGCLURI,0.0,0.0
5DOAN,0.0,0.0
5MTHCYST,1.0029636648676043e-09,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,580.1294138571475
AB6PGH2,0.0,580.1294138571454
ABTOXy,0.0,0.0
ACBIPGT,0.2022513396853612,0.20225133968515854
ACCOACL,0.0,0.0
ACGAM2E,0.0,0.0
ACGAMT,0.3538826928516992,0.3538826928513441
ACGApts,0.0,-3.034229185350733e-09
ACHBPL,0.0,-3.0065745652201287e-09
ACKr,-999.9999999999998,-1000.0000000030115
ACLS_a,0.0,929.2358333463974
ACLS_b,-929.2358333463903,-3.0115174542502918e-09
ACOAAGPAT140,0.0,-5.027080968445155e-10
ACOAAGPAT160,0.0,-5.023684503618052e-10
ACOAAGPAT180,0.0,2.781943826859437
ACOAAGPATAI15,0.0,0.0
