,minimum,maximum
23DHMPO,-17.67624283573427,-17.67624283575434
26DAPLLAT,-999.9999999999999,0.0
26DAPt2r,733.4210132138161,903.1571003051052
2AHBUTI,17.67624283575558,17.676242835723823
2MBCOATA,4.604913603476609,4.6049136034687255
3HAD10M12,4.6049136034766125,4.604913603468724
3HAD11M12,4.6049136034766125,4.604913603469022
3HAD12M14,4.6049136034766125,4.604913603468797
3HAD13M14,4.6049136034766125,4.604913603469022
3HAD14M16,4.6049136034766125,4.604913603476537
3HAD15M16,4.6049136034766125,4.604913603476579
3HAD4M6,4.6049136034766125,4.604913603476577
3HAD5M6,4.6049136034766125,4.604913603476568
3HAD6M8,4.6049136034766125,4.6049136034766205
3HAD7M8,4.6049136034766125,4.60491360347662
3HAD8M10,4.6049136034766125,4.6049136034766205
3HAD9M10,4.6049136034766125,4.60491360347662
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.6049136034766125,4.604913603476621
3OAR11M12,4.6049136034766125,4.60491360347662
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.6049136034766125,4.604913603476621
3OAR13M14,4.6049136034766125,4.60491360347662
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.6049136034766125,4.604913603476621
3OAR15M16,4.6049136034766125,4.60491360347662
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.604913603476609,4.604913603476617
3OAR5M6,4.6049136034766125,4.60491360347662
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.6049136034766125,4.604913603476621
3OAR7M8,4.6049136034766125,4.60491360347662
3OAR80,0.0,0.0
3OAR8M10,4.6049136034766125,4.604913603476621
3OAR8M9,0.0,0.0
3OAR9M10,4.6049136034766125,4.60491360347662
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.6049136034766125,4.604913603476621
3OAS11M12,4.6049136034766125,4.60491360347662
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.6049136034766125,4.604913603476596
3OAS13M14,4.6049136034766125,4.604913603476596
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.6049136034766125,4.604913603476578
3OAS4M3O6,4.604913603476609,4.604913603476558
3OAS4M5,0.0,0.0
3OAS4M6,4.6049136034766125,4.604913603476595
3OAS5M6,4.6049136034766125,4.604913603476596
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.6049136034766125,4.604913603476596
3OAS7M8,4.6049136034766125,4.604913603476596
3OAS80,0.0,0.0
3OAS8M10,4.6049136034766125,4.604913603476596
3OAS8M9,0.0,0.0
3OAS9M10,4.6049136034766125,4.604913603476596
4HTHRS,0.0,0.0
5AIZCDC,0.0,-3.3619766437370233e-11
5DOAN,0.0,-8.570789383151954e-12
6PGALSZ2i,0.0,0.0
AACGLYDH,0.0,0.0
ABUTD,0.0,999.9999999999998
ABUTR,-1000.0,1.1368683772161603e-13
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,102.71529436023638,1000.0
ACALDt,-3.7794413229667168,893.5052643161002
ACBIPGT,0.16739193948588152,0.16739193948587802
ACCOACL,92.09827206953224,92.09827206953175
ACGAM2E,0.0,0.0
ACGAMT,0.2928885929709369,0.29288859297093534
ACGApts,0.0,-1.4182913661271299e-11
ACGK,13.336215556650078,13.336215556649814
ACGS,0.0,9.482227359566388e-12
ACHBPL,17.67624283575434,17.67624283573427
ACKr,-999.9999999999999,-1000.000000000026
ACLS_a,36.71724488492237,36.717244884857436
ACLS_b,-19.041002049123545,-19.041002049141195
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.3024568017382725
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.3024568017383062,2.302456801738285
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.3024568017383067,2.3024568017382943
ACOATA,4.6049136034766125,4.6049136034765885
ACODAr,2.2860088888785704e-15,-1.327096043580401e-11
ACOTA,-13.336215556649748,-13.336215556649913
ACPS1,0.16739193948588146,0.1673919394858782
ACtr,-1000.0,-999.9999999999993
ADA,0.0,-5.6092875863808974e-11
ADCPS1,0.0,-2.8677610331782174e-11
ADCPS2,0.0,0.0
ADCS,0.0,0.0
ADCYRS,0.0,-6.8109596352559395e-12
ADK1,42.65518540123519,42.98996928016401
ADK2,0.16739193948588152,0.16739193948274722
ADNCYC,0.0,0.0
ADNUC,0.0,-3.558218709168676e-11
ADOCBIK,0.0,0.1673919394834141
ADOCBIK2,0.0,0.16739193948368788
ADOCBLS,0.16739193948588152,0.16739193948587927
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.669567758000174,0.6695677579435197
ADSL1r,7.856420264610978,7.856420264592104
ADSL2r,16.013783828790615,16.013783828786526
ADSS,7.85642026461169,7.856420264571367
AGDC,-2.0502861071632905e-29,-6.145929253217562e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.3024568017382654
AGPAT181,0.0,0.0
AGPR,-13.336215556649822,-13.336215556650075
AHCYSNS_r,0.6695677579428871,0.669567757943381
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,16.01378382879056,16.013783828787346
AIHPDCOATA,4.604913603476613,4.604913603476566
AIPDCOATA,0.0,0.0
AIRC4,16.013783828790565,16.013783828770073
AKP1,0.0,0.0
ALAALA,1.3520554815053714,1.3520554815053563
ALAASP1c,0.0,169.73608709171927
ALAASPabc,0.0,169.7360870917016
ALACI,-980.95899795082,1000.0
ALAGLN1c,0.0,-3.659001009565026e-11
ALAGLNabc,0.0,-3.886060358382335e-11
ALAGLU1c,0.0,-3.887730905525844e-11
ALAGLUabc,0.0,-3.348843566829708e-11
ALAGLY1c,0.0,-1.6733127479244532e-11
ALAGLYabc,0.0,-1.3540891780148517e-11
ALAHIS1c,4.284887677085558,4.284887676863831
ALAHISabc,4.2848876770654325,4.2848876768638124
ALALEU1c,0.0,-1.0557786302262181e-10
ALALEUabc,0.0,-5.863251050208952e-11
ALAPGPL,0.0976295309903123,0.09762953099031181
ALAR,-992.9025601424252,1000.0
ALATHR1c,0.0,-3.370699348672538e-11
ALATHRabc,0.0,-2.6891892571362688e-11
ALAt2r,-1000.0,1000.0
ALCD19,2.290617127319284e-10,475.81916263279277
ALCD2x,106.49473568374935,106.49473568309445
ALCD4,0.0,0.0
ALDD2x,0.0,-4.245004349994069e-11
AMALT1,0.0,-4.2778556714436244e-11
AMALT2,0.0,-3.9293778706173405e-11
AMALT3,0.0,-4.213086805254741e-11
AMALT4,0.0,-3.209877954145936e-11
AMMQT7rev,0.334783878971763,0.3347838789717594
AMMQT8,0.16739193948588152,0.16739193948588113
AMPTASECG,0.0,4.4511714184619535
AMPTASEGC,0.0,4.451171418461941
ANPRT,2.5516661804012855,2.5516661804013046
ANS,0.0,2.5516661804012815
ANS2,0.0,2.551666180401297
ARABASE3e,0.0,342.4932015379456
ARAI,0.0,27.479604613825888
ARBTpts,0.0,0.0
ARBabc,0.0,27.479604613776246
ARGSL,0.0,-1.7709718370929062e-11
ARGSS,0.0,-3.746281539690488e-12
ASAD,0.0,0.0
ASNS2,0.0,-3.129714971913922e-11
ASPCT,0.0,-1.3077424121111891e-11
ASPKi,0.0,-5.2260019919663916e-11
ASPO1,0.0,-8.997591183917146e-11
ASPO5,0.0,-2.5843461852832907e-11
ASPO6,0.0,-3.3401733563097044e-11
ASPTA,-34.72675930310151,135.00932778857322
ATPPRT,0.0,-1.084081365484056e-12
ATPS4,830.2639129083263,1000.0
BAMPPALDOX,0.0,0.0
BGLA,0.0,0.0
BPNT,0.1673919394858815,0.16739193948588038
BTNCLi,92.09827206953224,92.0982720695321
BTNabc,0.0,-2.064371623347291e-11
BTS4,0.0,0.0
C180SN,4.604913603476613,4.60491360347659
CAt4i,0.16739193948588152,0.16739193948588046
CBIAT,0.16739193948588152,0.1673919394858805
CBL1abc,7.738366004526136e-11,0.0
CBL2D,3.987412597952453e-11,0.0
CBL2abc,0.0,0.0
CBMK,0.0,-6.723953287473948e-12
CBPS,0.0,-7.481483636329865e-13
CD2abc1,0.0,-6.443997617513392e-12
CD2t6r,9.698690400666654e-11,0.0
CDPGLYCGPT,0.2928885929709369,0.2928885929709348
CDPMEK,16.546529691417547,16.546529691417774
CGLYabc,0.1673919394858815,4.61856335794783
CHORS,2.7190581198871238,2.719058119887151
CHRPL,0.16739193948583805,0.16739193948588058
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.5756142004345766,0.5756142004345735
CLPNSAI15,0.0,0.0
CLPNSAI17,0.5756142004345766,0.5756142004345735
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.5756142004345766,0.5756142004345735
CMLDC,0.0,0.0
CO2t,-943.5410476501645,-943.5410476503845
COBALTt5,-0.16739193948587855,-0.1673919394858815
COBCOMOX,0.0,0.0
CPC2MT,0.0,0.0
CPC3MT,0.0,0.0
CPC4MT,0.0,0.0
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CPPPGO2,0.0,-1.0678702494598799e-12
CRO4t3,0.0,0.0
CTPS1,0.0,5.383841572486359
CTPS2,0.0,5.383841572485411
CYRDAAT,0.0,-1.6287854165988491e-12
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYTBD,1000.0000000000105,1000.0
CYTD,0.0,0.0
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,36.63388678037577,36.96867065929626
CYTK2,1.2034201306975111e-11,0.0
Cuabc,0.16739193948588152,0.1673919394842964
Cut1,0.0,-6.630309295978399e-12
DADA,0.0,-1.3260618591956798e-11
DALAt2r,-992.9025601424248,1000.0
DAPDA,0.0,0.0
DAPDC,732.0689577323077,901.8050448235557
DAPE,0.0,999.9999999999999
DAPMDH,0.0,1000.0
DASYN120,0.0,-2.7712820404105685e-11
DASYN140,0.0,-2.2035720747399757e-11
DASYN141,0.0,-8.22056612386255e-16
DASYN160,0.0,-2.4547792912603325e-11
DASYN161,0.0,0.0
DASYN180,2.3024568017383067,2.3024568017382676
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.3024568017383067,2.302456801738288
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.3024568017383067,2.3024568017382903
DCMPDA,0.0,0.0
DCYTD,0.0,0.0
DDGLK,0.0,0.0
DDPA,2.7190581198871233,2.719058119887148
DDPGA,0.0,0.0
DEXTRINASE,0.0,-2.06437162334729e-11
DEXTRINabc,0.0,-1.4985126158762044e-11
DGK1,0.0,0.0
DHAD1,19.04100204913242,19.041002049123517
DHAD2,17.676242835795133,17.67624283573417
DHFOR2,-0.5021758184452244,-0.5021758184576447
DHFR,0.502175818457647,0.5021758184576329
DHFS,0.0,0.0
DHNAOT4,0.33478387897176304,0.33478387897176415
DHNAOT7,0.33478387897176304,0.33478387897176415
DHORD2,0.0,3.090659230382758e-12
DHORD5,0.0,0.0
DHORTS,2.2466586624328892e-11,-1.7847214658531975e-13
DHPS,2.258718009027809e-11,0.0
DHQS,2.7190581198871233,2.719058119887149
DHQTi,2.7190581198871233,2.7190581198871597
DMATT,1.5194474209912094,1.5194474209910696
DMLARGAH,0.0,0.0
DMPPS,0.0,1000.0
DMPPS2r,-1000.0,16.546529691418197
DMQMT,0.16739193948583803,0.16739193948587977
DM_4HBA,0.0,0.0
DM_5DRIB,0.0,0.0
DM_atp_c_,0.0,-3.1555394814022924e-11
DM_btn,0.0,-4.512255033214389e-11
DM_dhptd(c),0.6695677579433955,0.6695677579433861
DPCOAK,0.33478387897158046,0.33478387897176215
DPRr,0.0,0.0
DRBK,0.0,6.561752659925155e-12
DRIBabc,0.0,-5.078346024613143e-11
DRPAr,0.0,-5.078346024613142e-11
DTMPK,0.894829250544097,0.8948292505151119
DURIPP,0.0,0.0
