,minimum,maximum
23DHMPO,-17.202557660048342,-17.20255766004838
26DAPLLAT,-612.5018672288785,0.0
2AHBUTI,17.202557660048374,17.202557660048484
2MBCOATA,4.481511852915007,4.481511852914991
3HAD10M12,4.481511852915006,4.481511852914991
3HAD11M12,4.481511852915006,4.481511852914992
3HAD12M14,4.481511852915006,4.481511852915006
3HAD13M14,4.481511852915006,4.4815118529150055
3HAD14M16,4.481511852915006,4.481511852915006
3HAD15M16,4.481511852915006,4.4815118529150055
3HAD4M6,4.481511852915006,4.481511852915006
3HAD5M6,4.481511852915009,4.481511852915018
3HAD6M8,4.481511852915006,4.481511852914991
3HAD7M8,4.481511852915006,4.481511852915001
3HAD8M10,4.481511852915006,4.481511852915
3HAD9M10,4.481511852915006,4.481511852915001
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.481511852915006,4.481511852915001
3OAR11M12,4.481511852915006,4.481511852915002
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.481511852915006,4.481511852915001
3OAR13M14,4.481511852915006,4.481511852915002
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.481511852915006,4.481511852915001
3OAR15M16,4.481511852915006,4.481511852915002
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.481511852915006,4.481511852915001
3OAR5M6,4.4815118529150055,4.4815118529149975
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.481511852915006,4.481511852915001
3OAR7M8,4.481511852915006,4.481511852915002
3OAR80,0.0,0.0
3OAR8M10,4.481511852915006,4.481511852915001
3OAR8M9,0.0,0.0
3OAR9M10,4.481511852915006,4.481511852915002
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.481511852915006,4.481511852915005
3OAS11M12,4.481511852915006,4.481511852915005
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.481511852915006,4.481511852914985
3OAS13M14,4.481511852915006,4.481511852914986
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.481511852915008,4.481511852915004
3OAS4M3O6,4.481511852915006,4.481511852914992
3OAS4M5,0.0,0.0
3OAS4M6,4.481511852915006,4.481511852915002
3OAS5M6,4.481511852915006,4.481511852915
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.481511852915006,4.481511852915007
3OAS7M8,4.481511852915006,4.481511852915006
3OAS80,0.0,0.0
3OAS8M10,4.481511852915006,4.481511852915002
3OAS8M9,0.0,0.0
3OAS9M10,4.481511852915006,4.481511852914989
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.4628647359384684e-12
5DOAN,0.0,3.1617437501199e-12
AACGLYDH,0.0,0.0
ABTAr,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,0.0
ACBIPGT,0.16290619661616407,0.1629061966161647
ACCOACL,89.63023705830014,89.6302370583001
ACGAMT,0.28503981051715704,0.28503981051715643
ACGApts,0.0,100.2885584485297
ACGK,12.978833749461542,12.978833749461575
ACGS,0.0,-5.7971110278675774e-12
ACHBPL,17.202557660048374,17.202557660048434
ACKr,-899.711441551465,-899.7114415514752
ACLS_a,35.7333019307125,35.73330193071261
ACLS_b,-18.53074427066418,-18.530744270664137
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.2407559264575116
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.2407559264575028,2.2407559264574974
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.2407559264575028,2.2407559264575054
ACOATA,4.4815118529150055,4.481511852914996
ACODAr,2.569351875674384e-15,5.074473235392949e-12
ACOTA,-12.978833749461616,-12.978833749461543
ACPS1,0.16290619661616385,0.1629061966161648
ACYP,0.0,1.9836989298484302e-12
ACYP_2,0.0,1.0248830789212342e-11
ACtr,-1000.0,-899.7114415514534
ADA,0.0,8.127960687111315e-12
ADCPS1,0.0,1.0097324972218454e-11
ADCPS2,0.0,0.0
ADCS,0.0,2.695363465655511e-12
ADCYRS,0.0,1.0414094124162429e-12
ADD,0.0,1.3162153474809995e-11
ADK1,52.53618306057496,52.861995453825045
ADK2,0.16290619661616404,0.16290619662210606
ADNUC,0.0,1.6535004532807434e-11
ADOCBIK,0.0,0.16290619662901645
ADOCBIK2,0.0,0.16290619662562847
ADOCBLS,0.16290619661616407,0.16290619661616493
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.3258123932207752,0.3258123932329501
ADSL1r,7.719433628123141,7.719433628124511
ADSL2r,0.0,6.575618098166727e-12
ADSS,7.719433628122798,7.719433628138518
AGDC,-1.0363115973239945e-13,100.28855844855485
AGMD,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.240755926457514
AGPAT181,0.0,0.0
AGPR,-12.978833749461606,-12.978833749461545
AGTi,0.0,0.0
AHCYSNS_r,0.3258123932329508,0.3258123932324656
AHMMPS,0.0,0.0
AHSERL2,0.0,-3.903991957829574e-12
AHSERL3,-1.3418289435880481e-11,0.0
AICART,0.0,-1.2545310583744606e-12
AIHDUDPMG,0.0,0.0
AIHDUPDG,0.0,0.0
AIHPDCOATA,4.481511852915007,4.481511852915025
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,-3.2518169671944604e-12
AKP1,0.0,0.0
ALAALA,1.3158233113408297,1.3158233113408353
ALAASP1c,0.0,-6.503633934388905e-12
ALAASPabc,0.0,2.3944992730580237e-11
ALACI,-981.4692557293358,1000.0
ALAGLN1c,0.0,2.1825141404526478e-11
ALAGLNabc,0.0,2.715195957249661e-11
ALAGLU1c,0.0,2.70851376867562e-11
ALAGLUabc,0.0,1.5525293562175752e-11
ALAGLY1c,0.0,1.5525293562175752e-11
ALAGLYabc,0.0,2.4345823791896313e-11
ALAHIS1c,4.170061930753191,4.170061930755267
ALAHISabc,4.170061930753458,4.170061930755235
ALALEU1c,0.0,-1.959242367699619e-11
ALALEUabc,0.0,2.495136465349674e-11
ALAPGPL,0.09501327017238567,0.0950132701723861
ALAR,-991.3521615110137,1000.0
ALATHR1c,28.30690480028162,28.306904800310182
ALATHRabc,28.30690480028162,28.306904800309603
