,minimum,maximum
23DHMPO,-720.7406999821243,-0.1853660585402629
2AHBUTI,0.18536605853843804,720.7406999821355
2MBCOATA,5.099377468760035,5.099377468760064
36DAHXI,0.0,0.0
3HAD10M12,5.099377468760036,5.099377468760084
3HAD11M12,5.099377468760039,5.099377468760101
3HAD12M14,5.099377468760036,5.099377468760073
3HAD13M14,5.09937746876004,5.099377468760081
3HAD14M16,5.099377468760036,5.099377468760067
3HAD15M16,5.099377468760041,5.099377468760077
3HAD4M6,5.099377468760036,5.099377468760062
3HAD5M6,5.099377468760038,5.099377468760073
3HAD6M8,5.099377468760036,5.099377468760063
3HAD7M8,5.099377468760038,5.099377468760073
3HAD8M10,5.099377468760036,5.099377468760064
3HAD9M10,5.099377468760038,5.099377468760073
3HBCOAE,-999.9999999999999,999.9999999999999
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.099377468760035,5.099377468760069
3OAR11M12,5.09937746876004,5.099377468760081
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.099377468760035,5.099377468760075
3OAR13M14,5.099377468760041,5.099377468760081
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.099377468760035,5.099377468760077
3OAR15M16,5.099377468760042,5.099377468760083
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.099377468760035,5.099377468760075
3OAR5M6,5.099377468760039,5.099377468760081
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.099377468760035,5.099377468760075
3OAR7M8,5.099377468760039,5.099377468760081
3OAR80,0.0,0.0
3OAR8M10,5.099377468760035,5.099377468760075
3OAR8M9,0.0,0.0
3OAR9M10,5.099377468760039,5.099377468760081
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.099377468760035,5.099377468760074
3OAS11M12,5.099377468760041,5.0993774687600775
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.099377468760035,5.099377468760074
3OAS13M14,5.099377468760042,5.099377468760082
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.099377468760038,5.09937746876008
3OAS4M3O6,5.099377468760035,5.099377468760071
3OAS4M5,0.0,0.0
3OAS4M6,5.099377468760035,5.099377468760057
3OAS5M6,5.099377468760038,5.099377468760063
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.099377468760035,5.099377468760056
3OAS7M8,5.099377468760038,5.099377468760055
3OAS80,0.0,0.0
3OAS8M10,5.099377468760035,5.099377468760074
3OAS8M9,0.0,0.0
3OAS9M10,5.09937746876004,5.099377468760069
4HTHRS,0.0,0.0
56DFURADH,-1000.0,1000.0
5DOAN,0.0,3.994112808971324e-12
5FURAt,-999.9999999999999,1000.0000000000001
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,9.447221002065272e-12
AB6PGH,0.0,302.3190096423845
AB6PGH2,0.0,302.31900964238633
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACACT1r,0.18536605852909777,1000.0
ACACT2r,0.0,0.0
