,minimum,maximum
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,10.455996789629834,10.45599678962899
2DHPL,0.0,0.0
2DMMQ8abc,0.38008304440200885,0.3800830444577178
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGCOAT,0.0,0.0
2MBCOATA,5.227998394814499,5.22799839481451
2MBOHOR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3HAD10M12,5.227998394814499,5.2279983948145095
3HAD11M12,5.227998394814492,5.227998394814505
3HAD12M14,5.227998394814499,5.227998394814508
3HAD13M14,5.227998394814492,5.227998394814505
3HAD14M16,5.227998394814499,5.227998394814508
3HAD15M16,5.227998394814499,5.227998394814506
3HAD4M6,5.227998394814499,5.22799839481451
3HAD5M6,5.227998394814493,5.227998394814506
3HAD6M8,5.227998394814499,5.227998394814508
3HAD7M8,5.227998394814493,5.227998394814505
3HAD8M10,5.227998394814499,5.227998394814508
3HAD9M10,5.227998394814493,5.227998394814505
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.227998394814499,5.227998394814509
3OAR11M12,5.227998394814492,5.227998394814506
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.227998394814499,5.227998394814509
3OAR13M14,5.227998394814492,5.227998394814506
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.227998394814499,5.227998394814508
3OAR15M16,5.227998394814492,5.227998394814505
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.227998394814499,5.227998394814509
3OAR5M6,5.2279983948144935,5.227998394814507
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.227998394814499,5.227998394814509
3OAR7M8,5.2279983948144935,5.227998394814506
3OAR80,0.0,0.0
3OAR8M10,5.227998394814499,5.227998394814509
3OAR8M9,0.0,0.0
3OAR9M10,5.227998394814493,5.227998394814506
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.227998394814498,5.227998394814525
3OAS11M12,5.227998394814491,5.227998394814488
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.227998394814498,5.227998394814498
3OAS13M14,5.227998394814491,5.227998394814488
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.227998394814494,5.227998394814501
3OAS4M3O6,5.227998394814498,5.2279983948145095
3OAS4M5,0.0,0.0
3OAS4M6,5.227998394814498,5.227998394814502
3OAS5M6,5.227998394814493,5.227998394814514
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.227998394814498,5.227998394814513
3OAS7M8,5.227998394814492,5.227998394814495
3OAS80,0.0,0.0
3OAS8M10,5.227998394814498,5.227998394814504
3OAS8M9,0.0,0.0
3OAS9M10,5.227998394814491,5.227998394814488
