,minimum,maximum
12DGR180ti,2.2343181036566806,2.234318103656671
12PPDSDH,0.0,0.0
23DHMPO,-1000.0,999.1465662429474
26DAPLLATi,0.0,0.0
26DAPt2r,17.494231133834653,17.494231133834653
2AHBUTI,-999.1465662429471,1000.0
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,4.468636207313354,4.468636207312496
34DHOXPEGOX,0.0,0.0
3HAD10M12,4.468636207313355,4.468636207313515
3HAD11M12,4.468636207313358,4.468636207313515
3HAD12M14,4.468636207313358,4.468636207313996
3HAD13M14,4.468636207313358,4.468636207312636
3HAD14M16,4.468636207313358,4.468636207313359
3HAD15M16,4.468636207313358,4.46863620731336
3HAD4M6,4.468636207313355,4.468636207313358
3HAD5M6,4.468636207313358,4.468636207313358
3HAD6M8,4.468636207313355,4.468636207313355
3HAD7M8,4.468636207313358,4.468636207313366
3HAD8M10,4.468636207313355,4.468636207313356
3HAD9M10,4.468636207313358,4.468636207313354
3MOBS,-23.142773342459044,-23.14277334254753
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.468636207313355,4.468636207314264
3OAR11M12,4.468636207313358,4.468636207313354
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.468636207313355,4.468636207313346
3OAR13M14,4.468636207313358,4.468636207313365
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.468636207313358,4.468636207313351
3OAR15M16,4.468636207313358,4.468636207313351
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.468636207313357,4.468636207313346
3OAR5M6,4.468636207313358,4.468636207313366
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.468636207313357,4.468636207313346
3OAR7M8,4.468636207313358,4.468636207313366
3OAR80,0.0,0.0
3OAR8M10,4.468636207313356,4.468636207313346
3OAR8M9,0.0,0.0
3OAR9M10,4.468636207313358,4.468636207313366
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.468636207313355,4.468636207313356
3OAS11M12,4.468636207313358,4.468636207313374
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.468636207313358,4.468636207313349
3OAS13M14,4.468636207313358,4.468636207313348
3OAS140,-1.0796267203933718e-12,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.468636207313358,4.468636207313359
3OAS4M3O6,4.468636207313342,4.468636207313354
3OAS4M5,0.0,0.0
3OAS4M6,4.468636207313355,4.468636207313359
3OAS5M6,4.468636207313358,4.468636207313364
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.468636207313354,4.468636207313352
3OAS7M8,4.468636207313358,4.468636207313359
3OAS80,0.0,0.0
3OAS8M10,4.468636207313354,4.468636207313354
3OAS8M9,0.0,0.0
3OAS9M10,4.468636207313358,4.468636207313363
4ABZt2,0.0,0.0
4HBZt2,0.4267168785264142,0.4267168785264158
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
5AIZCDC,0.0,2.000993435981156e-11
5MTHCYST,1.4715716955181253e-12,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,-1.1933587144820359e-11
AB6PGH2,0.0,2.042657187347795e-12
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACACT1r,5.334920324663903,5.33492032466333
ACALD,236.94196461689833,1000.0
ACALDt,1000.000000000023,1000.0
ACBIPGT,0.42671687852641454,0.4267168785264144
ACCOACL,0.0,-8.34052108599069e-12
ACCOALYS2,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMT,0.2912049652908388,0.2912049652908388
ACGApts,0.0,-1.5294693460425682e-12
ACGK,10.394227024573802,10.394227024573386
ACGS,0.0,-4.4023876325508076e-12
ACHBPL,0.8534337570528238,0.853433757054416
ACKr,-999.999999999999,-999.999999999995
ACLDC,0.0,-6.1601618826273365e-12
ACLS_a,0.8534337570528229,0.8534337570497584
ACLS_b,-2.451633933108382e-13,0.0
ACNML,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.23431810365668,2.2343181036566686
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.234318103656679,2.2343181036566837
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,1.939227432228038e-15,-7.22391788795837e-11
ACONTa,129.12544779034695,129.12544779043134
ACONTb,129.1254477903753,129.12544779042491
ACOTA,-10.39422702457445,-10.394227024573802
ACPS1,0.4267168785264147,0.426716878526415
ACYP,0.0,-3.135011653813212e-11
ACYP_2,0.0,4.640839445207984e-12
ACtr,-1000.0,-999.9999999999985
ADA,0.0,-7.568620966518987e-13
ADCPS2,0.0,2.0127279390807415e-13
ADCS,0.0,0.0
ADCYRS,0.0,-1.9889311908034214e-13
ADD,0.0,-4.1672843997787265e-12
