,minimum,maximum
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2HBO,0.0,0.0
2IPDPIPT,0.0,0.0
34DHOXPEGOX,0.0,0.0
4GBTAH,0.0,0.0
4HBZt2,0.19428350967895378,0.19428350967811422
4NTPPH2,0.0,0.0
5DOAN,0.0,0.0
5FURAt,-999.9999999999997,-805.775625553733
5HISAH,0.0,0.0
5MTHFGLUNFT,0.0,0.0
A6PT,0.0,0.0
AACOAT,0.0,0.0
ACACT1r,19.20473513437498,19.204735134291916
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACAH,0.0,0.0
ACALD,173.48425688495217,455.36043821210046
ACALDt,718.1238186598492,1000.0
ACBIPGT,0.19428350967895341,0.1942835096781132
ACGALt2r,0.0,0.0
ACGAMT,0.3399412418668075,0.3399412418653403
ACGAMt2,0.0,0.0
ACGApts,0.0,-1.294303955918565e-08
ACKr,-1000.0,-1000.0000000129734
ACNAM9PL,0.0,-1.2972935084707974e-08
ACNAMS,0.0,-6.485663402484405e-09
ACNAMabc,6.4851890178972426e-09,-1.1750579096451977e-13
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,2.6723472450334196,2.6723472450218826
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.6723472450334196,2.6723472450218835
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.6723472450334196,2.6723472450218826
ACPS1,0.1942835096789534,0.1942835096781146
ACTNR,0.0,0.0
ACtr,-1000.0,-1000.0000000129457
ADCYRS,0.0,-3.244503838396675e-09
ADK1,-1000.0,807.3208742970048
ADK10,-1.5475232115147517,-1.3532397018426183
ADK11,6.480713910698291e-09,0.0
ADK2,0.1942835096789534,0.19428350319313062
ADK3,-31.110239122205975,-18.12351744326096
ADK5,-704.7611412150515,1000.0
ADK7,-1000.0,807.3208742969994
ADK8,-0.6574832481419703,-0.6574832546183604
ADK9,-0.6574832481399815,-0.6574832546183604
ADNCYC,0.0,0.0
ADNK1,0.3885670258356437,0.38856701935622867
ADNUC,1.1215929246029707e-13,-6.472879657583275e-09
ADOCBIK,0.19428350967895336,0.19428350967811436
ADOCBLS,0.1942835096789534,0.194283509678115
ADP1P,-1000.0,704.7611412150765
ADPRDP,0.0,-1.2946361787463949e-08
ADPT,0.0,-6.475404590902792e-09
ADSL1r,9.433212604455463,9.433212604416168
ADSL2r,0.0,0.0
ADSS,9.433212604455461,9.43321260441386
AGDC,0.0,-1.2945918831646385e-08
AGLPET,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHC,0.38856701935790683,0.38856701935622856
