,minimum,maximum
26DAPt2r,1.663152234928247,1000.0
2DHPL,0.0,999.999999999998
2DMMQ8abc,0.0,3.418039886662939e-10
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,5.6644660353237635,5.664466036006245
2MBOHOR,0.0,0.0
2S6HCC,0.0,1.3617004076358072e-10
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3HACOAOR,0.0,0.0
3HAD10M12,5.664466035323773,5.664466036007016
3HAD11M12,5.664466035323773,5.664466036003969
3HAD12M14,5.664466035323776,5.664466036006855
3HAD13M14,5.664466035323776,5.664466036005777
3HAD14M16,5.664466035323779,5.664466035325068
3HAD15M16,5.664466035323779,5.664466035325077
3HAD4M6,5.664466035323765,5.6644660353250655
3HAD5M6,5.664466035323765,5.66446603532507
3HAD6M8,5.664466035323768,5.664466035325081
3HAD7M8,5.664466035323768,5.6644660353250815
3HAD8M10,5.664466035323771,5.664466035325083
3HAD9M10,5.664466035323771,5.664466035325084
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.664466035323772,5.664466035325086
3OAR11M12,5.664466035323772,5.664466035325087
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.664466035323775,5.664466035325089
3OAR13M14,5.664466035323775,5.664466035325089
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.664466035323778,5.66446603532509
3OAR15M16,5.664466035323778,5.664466035325091
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.664466035323764,5.664466035325062
3OAR5M6,5.6644660353237954,5.664466035325108
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.664466035323767,5.664466035325079
3OAR7M8,5.664466035323767,5.664466035325081
3OAR80,0.0,0.0
3OAR8M10,5.66446603532377,5.6644660353250815
3OAR8M9,0.0,0.0
3OAR9M10,5.66446603532377,5.664466035325083
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.664466035323774,5.664466035325069
3OAS11M12,5.664466035323774,5.664466035325069
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.664466035323777,5.664466035325085
3OAS13M14,5.664466035323777,5.664466035325086
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.6644660353237954,5.664466035325118
3OAS4M3O6,5.6644660353237635,5.664466035325062
3OAS4M5,0.0,0.0
3OAS4M6,5.664466035323766,5.664466035325053
3OAS5M6,5.664466035323766,5.6644660353250575
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.664466035323769,5.664466035325068
3OAS7M8,5.664466035323769,5.664466035325068
3OAS80,0.0,0.0
3OAS8M10,5.6644660353237715,5.664466035325069
3OAS8M9,0.0,0.0
3OAS9M10,5.6644660353237715,5.664466035325069
4ABZt2,0.0,0.0
4HBZt2,-6.80336849121451e-10,1.6698391766475472e-11
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,6.822207271260214e-10
