,minimum,maximum
26DAPLLATi,0.0,0.0
26DAPt2r,1.8715536233487036,431.72901855074383
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HEDCCL,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.374252283048897,6.374252283048872
33HPHACt2r,0.0,509.33992134772
34DHOXPEGOX,0.0,0.0
34DHPHAt2r,-509.3399213477439,0.0
34HPPORdc,0.0,-8.23718918401526e-12
3CALACL,0.0,0.0
3HAD10M12,6.374252283048898,6.374252283048872
3HAD11M12,6.374252283048898,6.374252283048832
3HAD12M14,6.374252283048898,6.3742522830488335
3HAD13M14,6.374252283048898,6.374252283048835
3HAD14M16,6.3742522830488975,6.3742522830488335
3HAD15M16,6.3742522830488975,6.374252283048835
3HAD4M6,6.374252283048898,6.3742522830488335
3HAD5M6,6.374252283048921,6.374252283048831
3HAD6M8,6.374252283048898,6.37425228304883
3HAD7M8,6.374252283048921,6.374252283048835
3HAD8M10,6.374252283048898,6.37425228304883
3HAD9M10,6.374252283048898,6.374252283048817
3HPHACOX,0.0,509.33992134765595
3HXKYNDCL,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.3742522830488975,6.374252283048859
3OAR11M12,6.3742522830488975,6.374252283048862
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.3742522830488975,6.374252283048861
3OAR13M14,6.3742522830488975,6.374252283048862
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.374252283048897,6.374252283048861
3OAR15M16,6.374252283048897,6.374252283048862
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.3742522830488975,6.374252283048861
3OAR5M6,6.374252283048917,6.374252283048878
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.3742522830488975,6.374252283048848
3OAR7M8,6.374252283048917,6.374252283048865
3OAR80,0.0,0.0
3OAR8M10,6.3742522830488975,6.374252283048848
3OAR8M9,0.0,0.0
3OAR9M10,6.374252283048917,6.374252283048865
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.3742522830488975,6.374252283048864
3OAS11M12,6.3742522830488975,6.374252283048865
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.374252283048896,6.374252283048848
3OAS13M14,6.374252283048896,6.374252283048848
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.37425228304892,6.37425228304888
3OAS4M3O6,6.3742522830488975,6.3742522830488735
3OAS4M5,0.0,0.0
3OAS4M6,6.3742522830488975,6.374252283048875
3OAS5M6,6.374252283048917,6.374252283048895
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.3742522830488975,6.374252283048883
3OAS7M8,6.374252283048917,6.374252283048891
