,minimum,maximum
12DGR180ti,2.7215266060110466,2.721526606011025
2S6HCC,0.34704707095821163,0.3470470709582087
4GBTAH,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5MTHCYST,0.0,0.0
AACGLYDH,0.0,0.0
AACPS2,0.0,96.77093631549276
AACPS4,0.0,3.239523840025326e-17
AACPS7,0.0,96.77093631547957
AACPS8,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,1.1368683772161603e-13
ACBIPGT,0.1735235354791058,0.17352353547910476
ACGAMT,0.2239626380119466,0.2239626380119454
ACGApts,0.0,0.0
ACGS,0.0,0.0
ACKr,4.802084721076785,4.802084721059308
ACOATA,0.0,0.0
ACPS1,0.1735235354791058,0.17352353547910554
ACtr,-101.71811618106054,-39.78471693917517
ADCL,0.5205706064373172,0.5205706064373126
ADCS,0.5205706064373172,0.5205706064373163
ADD,1.7538362057514119,1.7538362057514094
ADK1,-985.1652485985684,1000.0
ADK2,0.17352353547917837,1000.0
ADNUC,0.0,48.385468157741826
ADOCBIK,0.17352353547910582,0.17352353547910435
ADOCBLS,0.1735235354791058,0.1735235354791052
ADPRDP,0.0,0.0
AGM3PA,0.0,0.0
AGM4PA,0.0,0.0
AGPAT140,0.0,0.0
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,0.0
AHCYSts,0.1735235354791058,0.1735235354791052
AICART,0.0,0.0
AIRC3,0.0,0.0
AKP1,0.5205706064373173,0.5205706064373138
ALAALA,0.0,0.07465421267064842
ALAALAabc,0.0,0.07465421267064831
ALAASP1c,0.0,135.90215582766825
ALAASPabc,0.0,135.9021558276288
ALAD_R,-1000.0,-1000.000000000017
ALAGLN1c,0.0,135.90215582762903
ALAGLNabc,0.0,135.90215582762096
ALAGLU1c,0.0,60.69809429463853
ALAGLUabc,0.0,60.698094294626905
ALAGLY1c,0.0,58.24378106896594
ALAGLYabc,0.0,58.24378106898744
ALAHIS1c,0.0,135.90215582763736
ALAHISabc,0.0,135.90215582763676
ALALEU1c,0.0,135.90215582763693
ALALEUabc,0.0,135.9021558276356
ALAPGPL,0.07465421267064887,0.07465421267064824
ALAR,898.0733831292856,1000.0
ALATHR1c,0.0,135.90215582758177
ALATHRabc,0.0,135.90215582762133
ALAt2,0.0,101.92661687071589
ALAt4r,-129.3749621582722,6.527193669352767
ALCD4,0.0,0.0
ALDD2x,44.58680166024209,106.52020090213016
ALKP,0.0,96.7709363154829
ALR2,0.0,0.0
AM3PA,0.0,0.0
AM4PA,0.0,0.0
AMALT1,0.0,7.98800075575936
AMALT2,0.0,7.988000755759371
AMALT3,0.0,7.9880007557593675
AMALT4,0.0,0.0
AMMQLT8,0.1735235354791058,0.17352353547910435
AMPN,1.7538362057514114,1.7538362057513972
AMPTASECG,0.0,1.7205630382808905
AMPTASEGC,0.0,1.72056303828089
AMPt2,4.235640215105323,4.235640215103457
ARBTpts,0.0,0.0
ARGDA,0.0,-5.3448085031253005e-12
ARGDC,0.0,0.0
ARGt2,4.664079574397046,4.664079574390454
ARSENBt2,0.0,0.0
ASAD,0.0,0.0
ASNS1,0.0,84.97733201249459
ASNS2,0.0,96.77093631547889
ASPCT,0.0,-2.085685039868001e-11
ASPKi,0.0,-2.0064952081322833e-11
ASPR,0.0,0.0
ASPT,0.3470470709582115,0.347047070948479
ASPTA,0.0,-1.0060527704044724e-11
ASPt2r,-794.1003152300119,-653.9031112575013
ATPS4,783.4664849071828,912.4943999944902
BACCLi,0.0,0.0
BAMPPALDOX,0.0,0.0
BPNT,0.17352353547910584,0.17352353547910415
BTNCL,0.0,0.0
BTNPL,0.0,0.0
BTNabc,0.17352353547910576,0.17352353547910418
BUTSO3abc,0.0,0.0
CAt4i,0.1735235354791058,0.17352353547910418
CBIAT,0.1735235354791058,0.17352353547910415
CBMKr,6.782168692400404e-12,-1.9974958788995014e-11
CD2abc1,0.0,0.0
CDPGLYCGPT,0.22396263801194663,0.22396263801194455
CDPMEK,3.5975729070428293,3.5975729070427973
CGLYabc,0.1735235354791059,1.894086573759994
CHORS,0.8676176773955289,0.8676176773955208
CLPNS180,0.6057274388321128,0.6057274388321073
CLt4r,0.0867617677395529,0.08676176773955212
CO2t,-5.3190957714003755,-5.319095771420222
COBALTt,0.1735235354791058,0.1735235354791042
CRO4t3,0.0,0.0
CTPS2,0.8406774328631708,24.89087111895628
CYSS,0.0,0.0
CYSS3r,2.5245064059029163e-11,0.0
CYSTA,0.0,0.0
CYSTL,0.0,0.0
CYTD,0.0,23.612652860249202
CYTDH,0.0,0.0
CYTDK1,0.0,96.77093631548242
CYTDK2,0.0,96.77093631547379
CYTDK3,0.0,0.0
CYTDK4,0.0,96.77093631548546
CYTK1,3.8002423163740477e-13,23.612652860249156
CYTK2,-0.43754082584428483,0.0
Cuabc,0.17352353547910615,48.55899169322366
Cut1,0.0,48.38546815773756
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,2.422909755328451,2.4229097553284245
DAGK181,0.0,0.0
DALAt2r,-994.8488593257252,-892.8662517954955
DAPabc,0.0746542126706489,0.07465421267064812
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.422909755328451,2.4229097553284307
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DCMPDAi,0.0,0.43754082584428566
DCYTD,0.0,0.0
DDPA,0.8676176773955288,0.867617677395521
DGK1,0.0,0.0
DHAPT,0.0,96.77093631549552
DHFOR2,0.0,0.0
DHFR,0.9581114322816068,0.9581114322815968
DHFS,0.5205706064373172,0.520570606437313
DHNAOT4,0.34704707095821163,0.3470470709582089
DHNPA,0.5205706064373172,0.5205706064373132
DHORD6,0.0,-1.5577179796356195e-11
DHORTS,2.0734106912860017e-11,-1.9327030543001716e-14
DHPM1,0.0,0.0
DHPM2,0.0,0.0
DHPR,0.0,0.0
DHPS,0.0,0.5205706064373132
DHQS,0.8676176773955289,0.8676176773955221
DHQTi,0.8676176773955289,0.8676176773955221
DMATT,0.42170128362886034,0.4217012836288571
DMPPS2r,3.5975729070428293,3.597572907042802
DMQMT,0.0,0.0
DM_atp_c_,0.0,96.7709363154971
DPCOAK,0.34704707095821025,0.3470470709582067
DRBK,0.0,0.0
DRPAr,0.0,0.0
DTMPK,0.4375408258442895,0.437540825844286
DURIPP,0.0,0.0
DUTPDP,0.0,0.43754082584428616
DXPRIr,3.5975729070428284,3.5975729070428
DXPS,3.5975729070428284,3.5975729070428004
ENO,969.0333003790466,1000.0
ETHSO3abc,0.0,0.0
EX_12dgr180(e),-2.721526606011022,-2.721526606011046
EX_26dap_M(e),-0.0746542126706482,-0.0746542126706489
EX_Lcyst(e),0.0,0.0
EX_ac(e),39.78471693918656,101.71811618106572
EX_acgam(e),0.0,0.0
EX_ahcys(e),0.1735235354791058,0.17352353547910415
EX_ala_D(e),892.8662517955133,994.8488593257252
EX_ala_L(e),-6.5271936693494705,129.3749621582614
EX_alaala(e),-0.07465421267064817,0.0
EX_alaasp(e),-135.90215582765228,0.0
EX_alagln(e),-135.9021558276058,0.0
EX_alaglu(e),-60.698094294636626,0.0
EX_alagly(e),-58.24378106897808,0.0
EX_alahis(e),-135.902155827612,0.0
EX_alaleu(e),-135.90215582760888,0.0
EX_alathr(e),-135.9021558276076,0.0
EX_amp(e),-4.235640215101106,-4.235640215103287
EX_arbt(e),0.0,0.0
EX_arg_L(e),-4.664079574390502,-4.664079574397046
EX_arsenb(e),0.0,0.0
EX_asp_L(e),653.9031112574992,794.1003152300127
EX_biomass(e),24.1162335801295,24.116233580129254
EX_btn(e),-0.1735235354791041,-0.17352353547910573
EX_butso3(e),0.0,0.0
EX_ca2(e),-0.17352353547910437,-0.1735235354791058
EX_cd2(e),0.0,0.0
EX_cgly(e),-1.894086573759996,-0.17352353547910584
EX_cl(e),-0.1735235354791043,-0.1735235354791058
EX_co2(e),5.319095771420223,5.319095771398963
EX_cobalt2(e),-0.1735235354791038,-0.1735235354791058
EX_cro4(e),0.0,0.0
EX_cu2(e),-0.1735235354791042,-0.17352353547910576
EX_ethso3(e),0.0,0.0
EX_fe2(e),-0.1735235354791043,-0.1735235354791058
EX_fe3(e),-0.1735235354791043,-0.17352353547910576
EX_for(e),-41.60348277575268,-10.636783154824725
EX_fru(e),-129.0279150873037,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-510.63039878389577,-381.6024836965968
EX_gcald(e),0.5205706064373171,0.5205706064373119
EX_glc_D(e),-129.0279150872986,0.0
EX_gln_L(e),-94.38675322195674,126.49273461817903
EX_glu_L(e),-4.295048144907059,80.68228386758173
EX_gly(e),870.9720849126778,1000.0
EX_glyasn(e),-799.3102705747573,-661.4044801823256
EX_glyasp(e),-129.02791508730147,0.0
EX_glyb(e),0.0,0.0
EX_glycys(e),-1.7205630382808883,0.0
EX_glygln(e),-129.02791508732804,0.0
EX_glyglu(e),-60.69809429463849,0.0
EX_glyleu(e),-312.5324188749296,-111.25837772891734
EX_glymet(e),1.9434783231287783e-11,0.0
EX_glyphe(e),-129.02791508730388,0.0
EX_glypro(e),-129.0279150873132,0.0
EX_glytyr(e),-129.02791508729084,0.0
EX_h(e),-1000.0,-1000.0000000000211
EX_h2o(e),870.9720849126938,1000.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-1.9762771094244327,133.92587871817602
EX_ile_L(e),-6.521753047074365,-6.52175304707442
EX_isetac(e),0.0,0.0
EX_k(e),-0.17352353547910432,-0.17352353547910576
EX_leu_L(e),102.87895120914763,311.02723309549117
EX_lys_L(e),-7.806424809864574,-7.806424809887917
EX_malt(e),-7.988000755759348,-7.988000755759433
EX_man(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),1.5700482011103082e-11,0.0
EX_metala(e),2.0908894363747107e-11,0.0
EX_metsox_R_L(e),-3.084239582302907,0.0
EX_metsox_S_L(e),-3.084239582302886,0.0
EX_mg2(e),-0.1735235354791044,-0.17352353547910576
EX_mn2(e),-0.17352353547910443,-0.1735235354791058
EX_mnl(e),0.0,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),6.852453797847925e-14,0.0
EX_nac(e),-0.34704707095820436,-0.3470470709582123
EX_nh4(e),174.59140953695163,308.20215178447194
EX_ni2(e),0.0,0.0
EX_o2(e),0.0,-1.012977076874857e-11
EX_pb(e),0.0,0.0
EX_phe_L(e),-4.249039194482966,124.77887589282061
