,minimum,maximum
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,1.7523956558310252,1.7523956538395447
2HMCOXT,0.0,0.0
2MBCOATA,5.968416758478668,5.968416758327779
3HAD10M12,5.968416758478669,5.9684167583287575
3HAD11M12,5.968416758478669,5.968416758476943
3HAD12M14,5.968416758478669,5.968416758476946
3HAD13M14,5.968416758478669,5.968416758476963
3HAD14M16,5.968416758478669,5.968416758476964
3HAD15M16,5.968416758478669,5.9684167584769625
3HAD4M6,5.968416758478669,5.968416758476963
3HAD5M6,5.968416758478664,5.968416758476983
3HAD6M8,5.968416758478669,5.968416758476955
3HAD7M8,5.968416758478669,5.968416758476964
3HAD8M10,5.968416758478669,5.968416758476964
3HAD9M10,5.968416758478669,5.968416758476964
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.968416758478668,5.968416758476964
3OAR11M12,5.968416758478668,5.968416758476964
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.968416758478668,5.968416758476964
3OAR13M14,5.968416758478668,5.968416758476964
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.968416758478668,5.968416758476965
3OAR15M16,5.968416758478668,5.968416758476964
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.968416758478668,5.968416758476964
3OAR5M6,5.968416758478665,5.968416758476984
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.968416758478668,5.968416758476962
3OAR7M8,5.968416758478668,5.968416758476964
3OAR80,0.0,0.0
3OAR8M10,5.968416758478668,5.968416758476964
3OAR8M9,0.0,0.0
3OAR9M10,5.968416758478668,5.968416758476964
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.968416758478668,5.968416758476944
3OAS11M12,5.968416758478668,5.968416758476944
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.968416758478668,5.968416758476948
3OAS13M14,5.968416758478668,5.968416758476949
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.968416758478665,5.968416758476983
3OAS4M3O6,5.968416758478668,5.968416758476946
3OAS4M5,0.0,0.0
3OAS4M6,5.968416758478668,5.96841675847696
3OAS5M6,5.968416758478668,5.968416758476959
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.968416758478668,5.9684167584769545
3OAS7M8,5.968416758478668,5.968416758476954
3OAS80,0.0,0.0
3OAS8M10,5.968416758478668,5.968416758476964
3OAS8M9,0.0,0.0
3OAS9M10,5.968416758478668,5.968416758476954
4HTHRS,0.0,0.0
5AIZCDC,0.0,-1.0024326466778266e-09
5DOAN,0.0,0.0
6PHBG,0.0,-2.0309206414288228e-09
6PHBG2,0.0,-2.0266812263008923e-09
