,minimum,maximum
12PPDSDH,0.0,0.0
12PPDt,-6.763962730572808e-11,0.0
23DHMPO,-1000.0,1000.0
26DAPLLATi,19.838391041278182,19.838391041338063
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,5.067416328500989,5.067416328500999
2MEBCOADH,-5.067416328506836,-5.067416328500985
3HAD100,5.067416328500989,5.067416328501014
3HAD10M12,5.0674163285009834,5.067416328500996
3HAD11M12,5.067416328500987,5.067416328500992
3HAD120,5.067416328500988,5.067416328500997
3HAD12M14,5.067416328500986,5.067416328500993
3HAD13M14,5.067416328500986,5.067416328500992
3HAD140,5.067416328500987,5.067416328500992
3HAD14M16,5.067416328500985,5.0674163285009906
3HAD15M16,5.067416328500985,5.06741632850099
3HAD160,5.067416328500986,5.067416328500992
3HAD180,5.067416328500985,5.067416328500991
3HAD40,5.067416328500982,5.067416328500957
3HAD4M6,5.067416328500989,5.067416328500997
3HAD5M6,5.067416328500989,5.067416328500995
3HAD60,5.0674163285009906,5.0674163285009985
3HAD6M8,5.067416328500989,5.067416328500997
3HAD7M8,5.067416328500989,5.067416328500995
3HAD80,5.067416328500989,5.067416328500997
3HAD8M10,5.067416328500988,5.067416328500996
3HAD9M10,5.067416328500988,5.067416328500995
3MEBCOADH,-5.067416328501012,-5.067416328500986
3MOBDC2,0.0,0.0
3MOBS,-5.7308703836947794e-11,0.0
3MOPDC2,10.134832657001978,10.134832657002027
3OAR100,5.067416328500989,5.067416328500995
3OAR10M11,0.0,0.0
3OAR10M12,5.067416328500987,5.067416328500992
3OAR11M12,5.067416328500987,5.067416328500993
3OAR120,5.067416328500988,5.067416328500994
3OAR12M13,0.0,0.0
3OAR12M14,5.067416328500986,5.067416328500991
3OAR13M14,5.067416328500986,5.067416328500992
3OAR140,5.067416328500987,5.067416328500992
3OAR14M15,0.0,0.0
3OAR14M16,5.067416328500985,5.0674163285009906
3OAR15M16,5.067416328500985,5.067416328500992
3OAR160,5.067416328500986,5.067416328500992
3OAR180,5.067416328500985,5.067416328500991
3OAR40,5.06741632850097,5.067416328500969
3OAR4M5,0.0,0.0
3OAR4M6,5.06741632850099,5.067416328500996
3OAR5M6,5.06741632850099,5.067416328500993
3OAR60,5.067416328500954,5.067416328500969
3OAR6M7,0.0,0.0
3OAR6M8,5.067416328500989,5.067416328500994
3OAR7M8,5.067416328500989,5.067416328500993
3OAR80,5.06741632850099,5.067416328500996
3OAR8M10,5.067416328500988,5.067416328500993
3OAR8M9,0.0,0.0
3OAR9M10,5.067416328500988,5.067416328500993
3OAS100,5.067416328500989,5.067416328500995
3OAS10M11,0.0,0.0
3OAS10M12,5.067416328500986,5.067416328500992
3OAS11M12,5.067416328500986,5.067416328500994
3OAS120,5.067416328500988,5.067416328500995
3OAS12M13,0.0,0.0
3OAS12M14,5.067416328500985,5.067416328500992
3OAS13M14,5.067416328500985,5.067416328500992
3OAS140,5.067416328500987,5.067416328500994
3OAS160,5.067416328500986,5.067416328500993
3OAS180,5.067416328500985,5.067416328500992
3OAS2M3,0.0,0.0
3OAS3M4,5.067416328500989,5.067416328500994
3OAS4M3O6,5.067416328500989,5.067416328500998
3OAS4M5,0.0,0.0
3OAS4M6,5.067416328500989,5.067416328500994
3OAS5M6,5.067416328500989,5.067416328500993
3OAS60,5.067416328500959,5.067416328500969
3OAS6M7,0.0,0.0
3OAS6M8,5.067416328500988,5.067416328500992
3OAS7M8,5.067416328500988,5.067416328500991
3OAS80,5.067416328500989,5.067416328500994
3OAS8M10,5.067416328500987,5.067416328500991
3OAS8M9,0.0,0.0
3OAS9M10,5.067416328500987,5.067416328500993
4HPL,-0.4838953044225967,-0.4838953044225944
4HTHDR,19.838391041338014,19.838391041338102
4HTHDS,19.838391041338017,19.83839104133804
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
5AIZCDC,0.0,2.3663399026462222e-11
5DGCLURI,0.0,0.0
5DOAN,0.0,2.575604858692382e-12
5MTHCYST,-1.0503400428539252e-11,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,0.0,0.0
AB6PGH,0.0,3.3304626060754825e-11
AB6PGH2,0.0,3.63223797271968e-11
ABTOXy,0.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,74.98941933277327,945.3734284451526
ACALDt,77.64308199632251,1000.0
ACBIPGT,0.4838953044225946,0.483895304422596
ACCOACL,101.34832657001971,101.34832657001992
ACEDIPIT,-5.6882819202856346e-11,0.0
ACGAMT,0.33022531430065927,0.33022531430065977
ACGApts,0.0,3.8433356995952506e-12
ACGK,-1.7618173965735855e-10,2.3702656049179953e-11
ACGS,0.0,2.933905904800321e-11
ACHBPL,0.0,4.2708764278656744e-11
ACKr,-1000.0,-999.9999999999555
ACLDC,0.0,3.080201441045603e-11
ACLS_a,0.0,2.3690784762832838e-11
ACLS_b,-6.76396273057282e-11,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.533708164250498
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.533708164250492,2.5337081642504966
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.533708164250492,2.533708164250499
ACOATA,5.067416328448943,5.067416328500971
ACODAr,1.0625048655096202e-26,-7.445710608129675e-13
ACONTa,956.4654149098733,956.4654149101746
ACONTb,956.4654149098748,956.4654149101749
ACOTA,-3.99937400340855e-11,-3.583386280186108e-26
ACPS1,0.48389530442259454,0.48389530442259704
ACS,0.0,9.947004015548274e-12
ACTNDH,538.8215409981664,1000.0
ACTNdiff,538.8215409981831,999.9999999999999
ACtr,-1000.0,-999.999999999978
ADCL,0.0,1.672989006682958e-11
ADCPS2,0.0,5.2432188271672945e-12
ADCS,0.0,1.3630184684279911e-11
ADCYRS,0.0,6.170865235050755e-12
ADD,1.4038674496167654,1.403867449657658
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.984390927504
ADK11,-1000.0,1000.0
ADK2,0.48389530442259454,0.4838953044284271
ADK3,-1000.0,989.5123979938969
ADK5,-1000.0,938.2048564249487
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3775554815331
ADK9,-1000.0,1000.0
ADMDC,0.0,1.2129754785105784e-11
ADNCYC,0.0,0.0
ADOCBIK,0.0,0.48389530442259737
ADOCBIK2,0.0,0.48389530442259554
ADOCBLS,0.48389530442259443,0.48389530442259565
ADOCBLabc,-1.010406775926552e-16,0.0
ADPRDP,0.0,0.0
ADSL1r,7.419400922691133,7.41940092271481
ADSL2r,0.0,3.8478042058696465e-11
ADSS,7.419400922690097,7.41940092273475
AGDC,0.0,2.624726253268855e-11
AGMD,0.0,4.137830077430004e-11
AGPAT120,0.0,6.154298736774761e-12
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.5337081642505064
AGPAT181,0.0,0.0
AGPR,-3.5500294036871894e-11,0.0
AHCYSNS_r,2.4194765221129724,2.4194765221192545
AHSERL2,0.0,7.690987132380226e-11
AHSERL3,-2.419476522185582,-2.419476522051874
AICART,0.0,3.6731487054988425e-11
AIHDUDPMG,0.44030041906754547,0.44030041906754763
AIHDUPDG,0.4403004190675455,0.44030041906754636
AIHPDCOATA,5.067416328500984,5.067416328500996
AIPDCOATA,0.0,0.0
AIRC4,0.0,3.1574466547600125e-11
AKP1,0.0,9.167914289740783e-12
ALAALA,0.1100751047668864,0.11007510476688702
ALAASP1c,0.0,9.47233996428005e-11
ALAASPabc,0.0,2.2277968872139856e-10
ALACI,-1000.0,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,-3.780771312465515e-15,80.29757962432298
ALAGLNabc,0.0,80.2975796243134
ALAGLU1c,0.0,80.29757962428715
ALAGLUabc,0.0,80.29757962430887
ALAGLY1c,0.0,6.00464262007269e-11
ALAGLYabc,0.0,6.014300284924113e-11
ALAHIS1c,196.26951940345793,610.8351845282048
ALAHISabc,196.2695194034475,610.8351845281953
ALALEU1c,0.0,173.57323857626912
ALALEUabc,0.0,173.573238576283
ALAPAT4te,-871.0365683478914,584.2620667194168
ALAPGPL,0.11007510476688641,0.11007510476688687
ALAR,-35.92919435675932,1000.0
ALATA_D,-49.02813182401539,986.9010625327404
ALATHR1c,11.387205899228531,11.38720589932712
ALATHRabc,11.387205899221469,11.387205899347329
ALAt2,0.0,1000.0
ALCD19,-4.079509942674112e-11,4.183273527878417e-11
ALCD2x,-1000.0,-999.9999999999421
ALCD4,0.0,0.0
ALLTNt2r,0.0,0.0
AMANK,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQT8,0.0,7.628032903525546e-13
AMPTASECG,0.0,4.162902631610699e-11
AMPTASEGC,0.0,5.68730838202641e-11
ANPRT,3.3213293335785616,3.321329333578575
ANS,0.0,3.3213293335785705
ANS2,0.0,3.3213293335785705
APAT,0.0,3.514055254222779e-11
ARBTpts,0.0,3.7570484366956436e-11
ARBabc,0.0,5.148790940710885e-11
ARGDA,0.0,2.5575058813465493e-11
ARGDC,0.0,2.6322560921218725e-11
ARGSL,0.0,2.8642081335922984e-11
ARGSS,0.0,3.623680340584455e-11
ARGabc,11.787013599380458,11.787013599452239
ARSENBabc,0.0,5.6049610695722825e-11
ARSENBt2,-6.435857674173716e-11,0.0
ASAD,-17.418914519256546,-17.41891451922461
ASNS1,0.0,3.1425819034554435e-11
ASNt2r,9.040164049598616,9.040164049786428
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.9677906088451633,0.9677906088447009
ASPCT,0.0,9.325752536682464e-12
ASPKi,17.418914519222763,17.418914519252052
ASPO1,0.0,6.763962730572857e-11
ASPO5,0.0,2.3056037885176694e-11
ASPO6,0.0,1.7574352914616265e-11
ASPTA,-34.84627010047449,-34.84627010021305
