,minimum,maximum
12PPD_Stex,-21.684690392695735,1.3840149343448078e-13
12PPDtpp,-21.68469039271035,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0000000000001,1000.0
25DOPOX,0.0,-7.144977098555049e-12
25K5O2AI,0.0,0.0
26DAP_Mtex,30.106408612877388,30.106408612877303
2ACAMSUCCAH,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0
2DDGLCNtex,0.0,0.0
2DDPENTHL,0.0,0.0
2DHPL,-0.6005746109336799,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,8.260834435319435,8.260834435319403
2MEBCOADH,8.260834435319417,8.260834435319376
2MECOAOX,-1000.0,960.0294467559886
2OMMBOX,0.30028730547298876,0.30028730546776994
2OMPHH,0.30028730547045773,0.30028730546776927
34DHOXPEGOX,0.0,0.0
34DHPHEt2pp,0.0,0.0
34DHPHEtex,0.0,0.0
3ABUTCOAL,0.0,0.0
3CARLPDH,9.079976656509928e-13,0.0
3HAD10M12,8.260834435319417,8.260834435319389
3HAD11M12,8.260834435319417,8.260834435319408
3HAD12M14,8.260834435319417,8.260834435319406
3HAD13M14,8.260834435319417,8.260834435319408
3HAD14M16,8.260834435319417,8.260834435319406
3HAD15M16,8.260834435319417,8.260834435319385
3HAD4M6,8.260834435319431,8.2608344353194
3HAD5M6,8.260834435319417,8.260834435319389
3HAD6M8,8.260834435319417,8.260834435319392
3HAD7M8,8.260834435319417,8.260834435319389
3HAD8M10,8.260834435319417,8.260834435319392
3HAD9M10,8.260834435319417,8.260834435319389
3HBCOAE,-1000.0000000000001,1000.0000000000002
3HBCOAHL,0.0,0.0
3HBCOAOX,-1000.0,1000.0
3HPCOAHYD,0.0,0.0
3MEBCOADH,-8.260834435315092,-8.260834435319415
3MOBS,1.7097882984944386e-11,0.0
3MOPt2rpp,816.8494726370484,1000.0
3MOPtex,816.8494726370357,1000.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,8.260834435319415,8.26083443531938
3OAR11M12,8.260834435319415,8.260834435319392
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,8.260834435319415,8.26083443531937
3OAR13M14,8.260834435319415,8.260834435319417
3OAR140,19.415055612423554,19.41505561241986
3OAR14M15,0.0,0.0
3OAR14M16,8.260834435319415,8.260834435319339
3OAR15M16,8.260834435319415,8.26083443531937
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,8.260834435319431,8.260834435319405
3OAR5M6,8.260834435319415,8.260834435319396
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,8.260834435319415,8.260834435319365
3OAR7M8,8.260834435319415,8.260834435319365
3OAR80,0.0,0.0
3OAR8M10,8.260834435319415,8.260834435319383
3OAR8M9,0.0,0.0
3OAR9M10,8.260834435319415,8.260834435319376
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,8.260834435319415,8.260834435319385
3OAS11M12,8.260834435319415,8.260834435319394
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,8.260834435319415,8.260834435319385
3OAS13M14,8.260834435319415,8.260834435319389
3OAS140,19.415055612423554,19.415055612420957
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,8.260834435319415,8.260834435313969
3OAS4M3O6,8.260834435319431,8.260834435318976
3OAS4M5,0.0,0.0
3OAS4M6,8.260834435319415,8.26083443530871
3OAS5M6,8.260834435319415,8.260834435308624
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,8.260834435319415,8.260834435313042
3OAS7M8,8.260834435319415,8.260834435315275
3OAS80,0.0,0.0
3OAS8M10,8.260834435319415,8.260834435317912
3OAS8M9,0.0,0.0
3OAS9M10,8.260834435319415,8.260834435315783
4ABZt2pp,0.9008619164050491,0.9008619164034193
4ABZtex,0.9008619164079684,0.9008619164032021
4HBADH,0.30028730546777016,0.300287305467769
4HBALDDH,0.30028730546777016,0.300287305467769
4HBZCL,0.0,0.0
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
5C2O3EDDC,0.0,0.0
5DGLCNR,0.0,0.0
5DOAN,0.0,0.0
5FMFURT,0.0,0.0
5FURAtex,-1000.0,0.0
5FURAtpp,-1000.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5HLTDL,0.0,-2.0675176902145478e-11
5HTRPt2pp,0.0,-2.8875859281247682e-11
5HTRPtex,0.0,-2.887585928124768e-11
5HXKYNDCL,0.0,0.0
A5PISO,12.13300360051322,12.133003600511188
AACGLYDH,0.0,-2.7623590100066377e-11
AACOAT,0.0,-3.264593586031869e-11
AACPS7,24.26881951552944,24.268819515521656
ABTOXy,0.0,0.0
ABUTD,0.0,999.9999999999999
ABUTR,-1000.0,-4.547473508864641e-13
ACACCTr,0.0,9.707527806187274
ACACT1r,9.253061873350639e-12,2.0343335901441425e-13
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,347.1176756427255
ACALDtex,-1000.0,1000.0
ACALDtpp,-1000.0000000000001,1000.0000000000001
ACBIPGT,0.3002873054677705,0.30028730546776866
ACCOAC,0.0,183.15052736295934
ACCOACL,0.0,183.1505273629546
ACCOAL,0.0,223.12108060695476
ACCOALYS2,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMPM,0.0,0.0
ACGAMT,0.0,0.0
ACGK,23.924068548005483,23.92406854796772
ACGS,0.0,-3.596685421055913e-11
ACHBPL,0.0,-1.7722503200807834e-11
ACKr,-1000.0,-990.2924721938008
ACLS_a,0.0,34.758558659014646
ACLS_b,-34.758558659016714,-8.237830303892326e-12
ACOAAGPAT140,0.0,-4.614931179690695e-12
ACOAAGPAT160,0.0,-1.0892572892018553e-11
ACOAAGPAT180,0.0,4.130417217659697
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,4.130417217659708,4.130417217659695
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.130417217659708,4.130417217659696
ACOAD1,1.9727559657547006e-11,0.0
ACOAD20,0.0,980.0147233779967
ACOADH2,0.0,499.99999999999994
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,2.979531109064424e-15,-1.029725951292665e-11
ACONMT,0.0,0.0
ACONT,-1000.0,999.9999999999812
ACONTa,-1000.0,1000.0000000000001
ACONTb,-1000.0000000000002,1000.0
ACOTA,-23.924068547987687,-23.924068548005454
ACPS1,0.3002873054677705,0.30028730546776944
ACS,0.0,-2.3020517281982468e-11
ACYP,0.0,-5.888458954591538e-12
ACYP_2,0.0,-3.2560488453140143e-11
ACtex,-1000.0,-1000.0000000000167
ACtrpp,-1000.0,-999.999999999995
ADAD,2.2067940976019975,2.206794097607091
ADCL,0.0,-3.626332810545504e-12
ADCPS1,0.0,0.0
ADCPS2,0.0,-4.897791455766396e-12
ADCS,0.0,-4.003183102331115e-12
ADCYRS,0.0,-5.131019620326704e-12
ADD,0.0,1000.0
ADK1,-1000.0,1000.0
ADK10,-1000.0,994.2464312228382
ADK11,-1000.0,1000.0
ADK2,0.30028730546777044,0.3002873054677694
ADK3,-1000.0,979.531819884897
ADK5,-1000.0,929.4285556724054
ADK7,-1000.0,1000.0
ADK8,-1000.0,997.7932059023981
ADK9,-1000.0,1000.0000000000003
ADNCNT3tcpp,-31.75131197042966,1000.0
ADNCYC,0.0,-5.706651384684443e-12
ADNK1,14.589473040174784,14.589473040149558
ADNUC,0.0,-1.3662746644588724e-11
ADNtex,-31.75131197038315,1000.0
ADOCBIK,0.0,0.3002873054677692
ADOCBIK2,0.0,0.3002873054677688
ADOCBLS,0.3002873054677705,0.3002873054677688
ADOCBLtex,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,-1.0751091989115564e-11
ADSELK,0.0,-2.0763707332203378e-11
ADSK,0.0,-1.883143643682552e-11
ADSL1r,0.0,-2.135615096121512e-11
ADSL2r,0.0,-1.6710668969652004e-12
ADSS,0.0,-2.0876454971721175e-11
AGMHE,9.701903177205763,9.701903177205732
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,4.130417217659695
AGPAT181,0.0,0.0
AGPR,-23.92406854798715,-23.924068548005483
AHC,1.2011492218710822,1.2011492218710718
AHCYSNS_r,0.0,0.0
AHMMPS,0.0,-5.944113359366744e-11
AHSERL3,-999.99999999999,-9.043811447380594e-12
AICART,0.0,-3.696002277802246e-12
AIHPDCOATA,8.260834435319415,8.260834435319383
AIPDCOATA,0.0,0.0
AIRC4,0.0,-1.6975408403866723e-12
AKGS,0.0,183.15052736295414
AKGt2rpp,-1000.0,815.4617893824683
AKGtex,-1000.0,815.4617893824661
ALAALA,2.42547579430144,2.425475794301431
ALAASP1c,0.0,1.2405106141287191e-12
ALAASPabcpp,0.0,-1.5455928063199432e-11
ALAASPtex,0.0,-1.5455928063199432e-11
ALACI,-1000.0,1000.0
ALAGLN1c,0.0,-1.2425058267391516e-11
ALAGLNabcpp,0.0,-1.8689480089097116e-11
ALAGLNtex,0.0,-1.8689480089097113e-11
ALAGLU1c,0.0,-1.8740405102963865e-11
ALAGLUabcpp,0.0,-1.923780758739283e-11
ALAGLUtex,0.0,-1.923780758739283e-11
ALAGLY1c,0.0,-1.937620908082725e-11
ALAGLYabcpp,0.0,-2.425486172439276e-11
ALAGLYtex,0.0,-2.4254861724392757e-11
ALAHIS1c,0.0,7.686734371256987
ALAHISabcpp,0.0,7.686734371256998
ALAHIStex,0.0,7.686734371256998
ALALEU1c,0.0,-1.3199808253463416e-11
ALALEUabcpp,0.0,-1.4717059307007458e-11
ALALEUtex,0.0,-1.4717059307007458e-11
ALAR,-992.7235726170956,970.814624386829
ALAS,2.402298443742164,2.402298443731834
ALATA_D,-997.5745242056986,965.9636727982187
ALATHR1c,0.0,-8.110238927934578e-12
ALATHRabcpp,0.0,-8.110238927934578e-12
ALATHRtex,0.0,-8.11023892793458e-12
ALCD19,2.689487554902048e-11,-1.6202615376765838e-11
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,-1.3449156742815199e-11
ALDD8x,0.0,-4.0867070931342806e-11
ALLTAMH2,0.0,0.0
ALPHNH,0.0,0.0
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,-1.9891311794023074e-11
AMID5,0.0,0.0
AMMQLT8,0.0,999.6997126945323
AMMQT8r,-1000.0,-0.30028730546632687
AMOPBHL,0.0,-1.740975452827906e-11
AMPDA,0.0,-1.7522798259395828e-11
AMPMS2,0.30028730550130484,0.300287305466956
AMPN,0.0,-3.0560420664941555e-11
AMPSO3OX,1.1737980126657369e-11,-2.976131384282478e-11
AMPTASECG,0.0,8.285223990401727
AMPTASEGC,0.0,8.28522399039223
ANPRT,4.57747824727586,4.577478247272854
ANS,0.0,4.577478247272222
ANS2,0.0,4.577478247274484
AOXSr,0.0,0.0
AOXSr2,0.0,0.0
APATr,-0.6005746109349168,-0.6005746109352689
APRAUR,0.6005746109354587,0.6005746109354577
APSRdmq,0.0,-1.5047652189092633e-11
APSRmq,0.0,-7.98892989209559e-12
ARABDPT,-12.133003600511787,-12.133003600513218
ARAB_Ltex,0.0,-1.890900857683132e-11
ARAI,0.0,-5.21426080862378e-11
ARBabcpp,0.0,-5.21426080862378e-11
ARGN,0.0,-6.496657990077464e-12
ARGSL,23.924068548005483,23.924068548005838
ARGSS,23.924068548005486,23.92406854800584
ARSENBabcpp,0.0,0.0
ARSENBtex,0.0,0.0
ASAD,4.442939630466383e-12,0.0
ASNS1,0.0,-1.772250320080777e-11
ASO3tex,0.0,0.0
ASO3tpp,0.0,0.0
ASO4tex,0.0,0.0
ASO4tpp,0.0,0.0
ASPCT,0.0,-6.956694139212215e-12
ASPKi,0.0,-6.486930526321111e-12
ASPO1,0.0,1000.0
ASPO6,0.0,-8.439002297918508e-12
ASPO7,0.0,-5.990530347114135e-12
ASPT,0.0,1000.0
ASPTA,-858.8616207456162,1000.0
ASP_Ltex,-815.4617893824382,1000.0
ASPabcpp,0.0,-1.8354411360831163e-11
ASPt2rpp,-815.461789382469,1000.0
ATPPRT,0.0,-3.380341723556289e-12
ATPS4pp,1000.0000000000078,1000.0
BACCLi,0.0,0.0
BAMPPALDOX,0.0,0.0
BDH,0.0,0.0
BETALDHx,0.0,0.0
BETALDHy,0.0,0.0
BGLA,0.0,0.0
BPNT,0.3002873054677705,0.30028730543301885
BTNCLi,0.0,183.15052736295345
BTND1,0.0,0.0
BTS4,0.0,0.0
BUP2,0.0,0.0
BUTCTr,9.771162326783707e-12,0.0
BUTSO3abcpp,0.0,-3.370341425023266e-11
BUTSO3tex,0.0,-1.8987382607550174e-11
BUTt2pp,0.0,-2.9798408114029744e-11
BUTtex,0.0,-3.128882998159885e-11
BZAMAH,0.0,1000.0
BZAMt2rpp,0.0,1000.0000000000002
BZAMtex,0.0,1000.0000000000002
BZtepp,0.0,1000.0
BZtex,-1000.0,0.0
CA2tex,0.3002873054677705,0.30028730546776966
CAt4ipp,0.3002873054677705,0.3002873054677688
CBIAT,0.30028730546777044,0.3002873054677688
CBL1abcpp,0.0,0.0
CBL1tex,0.0,0.0
CBL2abcpp,0.0,0.0
CBL2tex,0.0,0.0
CBMTHL,0.0,0.0
CBMTHL2,0.0,0.0
CBPS,23.92406854800549,23.924068548001923
CCOuqpp,0.0,1000.0
CD2t6rpp,0.0,0.0
CD2tex,0.0,0.0
CDAPPA120,0.0,-8.354345052696571e-12
CDAPPA140,0.0,-2.1197937511343465e-12
CDAPPA141,0.0,-2.1197937511343465e-12
CDAPPA160,0.0,-2.1197937511343465e-12
CDAPPA161,0.0,-2.175161498365467e-12
CDAPPA180,0.0,-2.1672518201895933e-12
CDAPPA181,0.0,-1.0511463805530395e-11
CDOSKT,4.853763903105889,4.853763903105738
CDPEAS,0.0,0.0
CDPMEK,29.082532181057992,29.08253218105368
CGLYabcpp,0.30028730547977867,8.58551129587268
CGLYtex,0.3002873054761614,8.585511295865988
CHCOAL,0.0,0.0
CHLOROPHCPT,0.0,0.0
CHOLD,0.0,0.0
CHORM,0.0,-5.042150341536163e-12
CHORS,4.577478247275861,4.577478247270515
CITL,0.0,-2.3832354737250278e-11
CITt2pp,0.0,1000.0000000000001
CITtex,0.0,1000.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,1.0326043044149265,1.0326043044149262
CLPNSAI15,0.0,0.0
CLPNSAI17,1.0326043044149265,1.0326043044149222
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,1.0326043044149265,1.0326043044149222
CLtex,0.3002873054677705,0.3002873054677692
CMLDC,0.0,0.0
CO2tex,-1000.0,-1000.0000000000232
CO2tpp,-1000.0,-999.9999999999835
COBALT2tex,0.30028730546777044,0.3002873054677715
COBALTt5pp,-0.30028730546777,-0.3002873054677701
COCHL,0.0,0.0
CPC3MT,0.0,0.0
CPC6R,0.0,0.0
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CPPPGO2,0.0,0.0
CS,0.0,1000.0
CSND,0.0,-1.6492844634275618e-11
CTBTabcpp,0.0,0.0
CTBTtex,0.0,0.0
CTPS1,0.0,-1.846290398222661e-11
CTPS2,0.0,-2.7594824645220218e-11
CU2tex,0.3002873054677705,0.30028730546776883
CYO1b,0.0,1000.0000000000015
CYOO3pp,0.0,1000.0
CYOmqpp,0.0,1000.0
CYRDAAT,0.0,-1.1074942177664613e-11
CYRDAR,0.0,-6.881092282017332e-12
CYSDS,0.0,-2.7591573075859867e-11
CYSS,0.0,999.9999999999667
CYSS3r,-999.9999999999895,-2.0154722920344713e-11
CYSTGL,0.0,-9.07814935329677e-12
CYSTS,0.0,0.6005746108745211
CYSTS2,0.0,0.600574610887179
CYTBD2pp,0.0,1000.0
CYTBDpp,0.0,1000.0
CYTD,0.0,983.0353431069315
CYTDK3,16.964656893052158,16.96465689304362
CYTDt2rpp,16.964656893066593,1000.0
CYTDtex,16.964656893066593,1000.0
CYTK1,70.57144432761639,71.17201893851882
CYTK2,2.2067940976019975,2.206794097582888
Cuabcpp,0.30028730546777044,0.30028730546776883
D4DGCDi,0.0,-2.1566793906050374e-11
DAAD,0.0,1000.0
DADNt2rpp,-986.6116761816912,45.13963578865656
DAD_2tex,-986.6116761817082,45.13963578863791
DAGK120,0.0,-2.3389852390427263e-11
DAGK140,0.0,-1.6659084580538232e-11
DAGK141,0.0,-1.3337305945600916e-11
DAGK160,0.0,-2.761120359476706e-11
DAGK161,0.0,-2.0062591403849934e-11
DAGK180,0.0,0.0
DAGK181,0.0,-2.0150284604633503e-11
DAPDA,0.0,0.0
DAPDC,27.68093281857595,27.680932818575858
DAPMDH,0.0,0.0
DAPabcpp,30.10640861287739,30.106408612877154
DASYN120,0.0,-2.0093687551772567e-11
DASYN140,0.0,-1.0969012114476826e-11
DASYN141,0.0,-1.0969012114476826e-11
DASYN160,0.0,-1.0969012114476826e-11
DASYN161,0.0,-1.0969012114476826e-11
DASYN180,4.130417217659707,4.130417217648738
DASYN181,0.0,-5.91334955751662e-12
DASYNAI15,0.0,-5.539168908307239e-12
DASYNAI17,4.130417217659707,4.130417217659696
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,4.130417217659707,4.1304172176596845
DB4PS,1.2011492218710818,1.2011492218710773
DCTPAH,0.0,-5.659829676962362e-12
DCTPD,0.0,-1.1115920723216837e-11
DCTPD2,8.808556928884594,8.808556928851667
DCYTD,0.0,-2.1231167524863194e-11
DCYTt2rpp,2.206794097601998,2.2067940975967506
DCYTtex,2.2067940976019975,2.2067940975967506
DDCAtex,24.268819515529444,24.26881951552593
DDCAtpp,24.26881951552944,24.268819515516018
DDGALK,0.0,0.0
DDGLCNt2rpp,0.0,0.0
DDPA,4.577478247275861,4.577478247271377
DDPGA,0.0,0.0
DDPGALA,0.0,0.0
DFDCYTDD,0.0,-2.4837713331052467e-11
DFDCYTDabcpp,0.0,-1.5755563375918543e-11
DFDCYTDtex,0.0,-1.5755563375918543e-11
DFDURItepp,0.0,-1.5755563375918543e-11
DFDURItex,1.88637717142073e-11,-6.860424707380845e-13
DGK1,0.0,0.0
DGSNt2pp,0.0,16.839799826746436
DGSNtex,0.0,16.839799826746063
DHAD1,1.6722731415670395e-11,34.758558659017595
DHAD2,0.0,-1.9007786934522802e-11
DHAK,0.0,0.0
DHFOR2,0.0,0.0
DHFR,0.9008619164031549,0.9008619163878363
DHFS,0.9008619164032021,0.9008619164032021
DHLCOALT,0.0,0.0
DHNPA,0.9008619164087479,0.9008619164029891
DHNPA2,0.0,-4.315943178322849e-12
DHORD2,0.0,-4.6141571849340754e-12
DHORD5,0.0,-3.5746188635463884e-12
DHORTS,1.6511425998241052e-12,-4.621727311508116e-14
DHPM1,0.0,0.0
DHPM2,0.0,0.0
DHPPDA,4.367498226595387e-17,0.6005746109355402
DHPPDA2,4.367498226595387e-17,0.6005746109355401
DHPS,0.9008619164125432,0.9008619164032021
DHPS2,6.488658541313545e-14,-3.224035398178294e-12
DHQS,4.577478247275863,4.577478247272171
DHQTi,4.577478247275861,4.577478247272943
DINSt2pp,0.0,1000.0
DINtex,0.0,1000.0
DMATT,2.725763099769143,2.7257630997687188
DMPPS,0.0,1000.0
DMPPS2r,-997.2742369002304,2.725763099768762
DMQMT,0.0,-5.174848012227184e-13
DMQMT2,0.30028730546969074,0.30028730546789306
DM_5DRIB,0.0,0.0
DM_5MTR,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-1.819415567388791e-11
DM_btn,0.0,0.0
DM_dad_5,0.0,0.0
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,1.2011492218612778
DM_kdo2lipid4L(c),0.0,-1.3813928278829032e-13
DM_this[c],0.0,-4.918046516961759e-13
DNMPPA,0.9008619164030441,0.9008619164030441
DNTPPA,0.900861916403044,0.900861916403044
DOPAt2pp,0.0,0.0
DOPAtex,0.0,0.0
DPCOAK,0.6005746109356055,0.600574610935701
DPGM,0.0,0.0
DPR,0.600574610935598,0.6005746109357011
DRIBI,0.0,0.0
DRPAr,-983.1602001732315,45.139635788732285
DTMPK,3.328092982860078,3.3280929828600607
DURIPP,0.0,-1.1578099065201397e-11
DURIt2pp,0.0,-1.8058760399010025e-11
DURItex,0.0,-1.1407626716430674e-11
DUTPDP,0.0,-5.823702428802027e-12
DXPRIr,29.08253218105751,29.082532181057918
DXPS,29.38281948652528,29.38281948652438
DXYTST,6.602055455156119e-14,1.6329211839176167e-13
D_LACt2pp,-1000.0,270.4865663484519
EAR100x,0.0,0.0
EAR10M11x,0.0,0.0
EAR10M12x,8.260834435319415,8.260834435317488
EAR11M12x,8.260834435319415,8.260834435317753
EAR120x,0.0,0.0
EAR121x,0.0,0.0
EAR12M13x,0.0,0.0
EAR12M14x,8.260834435319415,8.260834435317705
EAR13M14x,8.260834435319415,8.260834435316964
EAR140x,0.0,0.0
EAR14M15x,0.0,0.0
EAR14M16x,8.260834435319415,8.2608344353194
EAR15M16x,8.260834435319415,8.260834435319396
EAR160x,0.0,0.0
EAR180x,0.0,0.0
EAR40x,0.0,0.0
EAR4M5x,0.0,0.0
EAR4M6x,8.260834435319415,8.260834435319394
EAR5M6x,8.260834435319415,8.260834435319419
EAR60x,0.0,0.0
EAR6M7x,0.0,0.0
EAR6M8x,8.260834435319415,8.260834435319397
EAR7M8x,8.260834435319415,8.260834435319385
EAR80x,0.0,0.0
EAR8M10x,8.260834435319415,8.260834435319433
EAR8M9x,0.0,0.0
EAR9M10x,8.260834435319415,8.260834435319426
ECOAH1,2.4396343390810043e-11,0.0
ECOAH12,0.0,0.0
ECOAH3,0.0,0.0
ECOAH4,0.0,0.0
ECOAH5,0.0,0.0
ECOAH6,0.0,0.0
ECOAH7,0.0,0.0
ECOAH9,776.8789193930409,960.0294467560065
EDA_R,9.237704412741962e-14,86.4107875139279
EDD,0.0,86.41078751393108
EDTXS1,4.853763903105889,4.853763903104913
EDTXS2,2.4254757943014402,2.425475794301435
EHGLAT,0.0,0.0
ENO,1000.000000000059,1000.0
ETHAAL,0.0,0.0
ETHAP,0.0,0.0
ETHSO3abcpp,0.0,-1.4162496177969557e-11
ETHSO3tex,0.0,-1.3799327423969243e-11
ETOHt2rpp,-1000.0000000000001,1000.0000000000002
ETOHtex,-1000.0000000000001,1000.0000000000001
EX_12ppd_S(e),0.0,21.684690392668642
EX_26dap_M(e),-30.10640861287725,-30.106408612877388
EX_2ddglcn(e),0.0,0.0
EX_34dhphe(e),0.0,0.0
EX_3mop(e),-1000.0,-816.8494726369945
EX_4abz(e),-0.9008619164032021,-0.9008619164084802
EX_5fura(e),0.0,1000.0
EX_5htrp(e),2.108221944740635e-11,0.0
EX_HC00319(e),9.852382567611527e-12,0.0
EX_Lcyst(e),3.422887054797793e-27,0.0
EX_ac(e),1000.0000000000172,1000.0
EX_acald(e),-1000.0,1000.0
EX_adn(e),-1000.0,31.75131197054796
EX_adocbl(e),0.0,0.0
EX_akg(e),-815.4617893824438,1000.0
EX_alaasp(e),1.7790552034945046e-11,0.0
EX_alagln(e),1.7605504793933413e-11,0.0
EX_alaglu(e),3.131160852607014e-11,0.0
EX_alagly(e),1.935588373116693e-11,0.0
EX_alahis(e),-7.686734371256986,0.0
EX_alaleu(e),3.03020561472068e-11,0.0
EX_alathr(e),2.766505756209656e-11,0.0
EX_arab_L(e),4.344842461516483e-11,0.0
EX_arsenb(e),0.0,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-1000.0,815.461789382466
EX_biomass(e),96.9763621727016,96.97636217270063
EX_but(e),1.2831548389710904e-11,0.0
EX_butso3(e),1.2538845618816345e-11,0.0
EX_bz(e),0.0,1000.0
EX_bzam(e),-999.9999999999999,0.0
EX_ca2(e),-0.30028730546776894,-0.3002873054677705
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cgly(e),-8.585511295867311,-0.30028730548650373
EX_cit(e),-1000.0,0.0
EX_cl(e),-0.3002873054677697,-0.3002873054677705
EX_co2(e),1000.0000000000254,999.9999999999999
EX_cobalt2(e),-0.3002873054677699,-0.3002873054677705
EX_ctbt(e),0.0,0.0
EX_cu2(e),-0.3002873054677692,-0.3002873054677705
EX_cytd(e),-1000.0,-16.964656893057544
EX_dad_2(e),-45.13963578868243,986.6116761817011
EX_dcyt(e),-2.20679409758885,-2.2067940976019975
EX_ddca(e),-24.2688195155309,-24.268819515529444
EX_dfdcytd(e),7.735503508703715e-12,0.0
EX_dfduri(e),0.0,-6.367101722011871e-12
EX_dgsn(e),-16.83979982674624,-1.0717356310022451e-13
EX_din(e),-1000.0,0.0
EX_dopa(e),0.0,0.0
EX_duri(e),6.297267951268874e-12,0.0
