,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1.488245221464771,-1.4882452214517832
26DAP_Mtex,0.45205855275556284,944.9478575254532
26DAPt2rpp,0.4520585527555629,944.9478575254532
2AHBUTI,1.4882452214505186,1.4882452214668855
2HYOXPLACt2rpp,-944.4957989726992,0.0
2HYOXPLACtex,-944.4957989726914,0.0
2MBCOATA,1.539648784851861,1.5396487848518732
2MEBCOADH,-1.5396487848518663,-1.5396487848518599
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,1.5396487848518603,1.5396487848518723
3HAD11M12,1.5396487848518603,1.5396487848518687
3HAD12M14,1.5396487848518599,1.5396487848518685
3HAD13M14,1.5396487848518599,1.5396487848518685
3HAD14M16,1.5396487848518599,1.5396487848518687
3HAD15M16,1.5396487848518599,1.5396487848518687
3HAD4M6,1.5396487848518607,1.5396487848518687
3HAD5M6,1.5396487848518607,1.539648784851869
3HAD6M8,1.5396487848518607,1.5396487848518687
3HAD7M8,1.5396487848518607,1.539648784851869
3HAD8M10,1.5396487848518603,1.5396487848518685
3HAD9M10,1.5396487848518607,1.539648784851869
3HAO,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MEBCOADH,-1.539648784851868,-1.5396487848518625
3MOBDC2,0.0,0.0
3MOBS,0.0,0.0
3MOPDC2,3.079297569703727,3.0792975697037495
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,1.5396487848518599,1.539648784851869
3OAR11M12,1.5396487848518603,1.5396487848518687
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,1.53964878485186,1.539648784851869
3OAR13M14,1.53964878485186,1.5396487848518687
3OAR140,3.618565051212453,3.6185650512124727
3OAR14M15,0.0,0.0
3OAR14M16,1.5396487848518599,1.539648784851869
3OAR15M16,1.5396487848518599,1.5396487848518687
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,1.5396487848518607,1.539648784851869
3OAR5M6,1.5396487848518585,1.539648784851869
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,1.5396487848518607,1.5396487848518692
3OAR7M8,1.5396487848518607,1.5396487848518687
3OAR80,0.0,0.0
3OAR8M10,1.5396487848518603,1.539648784851869
3OAR8M9,0.0,0.0
3OAR9M10,1.5396487848518607,1.5396487848518687
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,1.53964878485186,1.539648784851869
3OAS11M12,1.53964878485186,1.5396487848518685
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,1.5396487848518596,1.539648784851872
3OAS13M14,1.5396487848518596,1.5396487848518716
3OAS140,3.618565051212453,3.6185650512124803
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,1.5396487848518587,1.5396487848518696
3OAS4M3O6,1.5396487848518607,1.539648784851872
3OAS4M5,0.0,0.0
3OAS4M6,1.5396487848518607,1.5396487848518723
3OAS5M6,1.5396487848518607,1.5396487848518716
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,1.5396487848518603,1.539648784851872
3OAS7M8,1.5396487848518607,1.5396487848518716
3OAS80,0.0,0.0
3OAS8M10,1.53964878485186,1.539648784851872
3OAS8M9,0.0,0.0
3OAS9M10,1.5396487848518603,1.5396487848518716
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,4.695267086705347e-12
5DOAN,0.0,1.1277180826131592e-12
5FURAtex,-1000.0,0.0
5FURAtpp,-1000.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-6.001769114847592e-13,0.0
7A_CZPtex,-999.9999999999997,999.9999999999999
A5PISO,2.2613410783617898,2.2613410783618093
AACGLYDH,0.0,0.0
AACOAT,0.0,4.115604483408375e-12
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999999,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.05596734671175086,0.05596734671175127
ACCOACL,17.571144155419212,17.571144155419343
ACCOAL,0.0,0.0
ACGK,0.0,0.0
ACHBPL,1.4882452214517865,1.4882452214647708
ACLS_a,1.48824522145012,945.9840441941526
