,minimum,maximum
23DHMPO,1.5305796724037568e-09,0.0
26DAP_Mtex,14.593374735652429,14.593374735642524
2AHBUTI,-2.439918388673434e-25,-1.4286980655105927e-09
2MBCOATA,3.0798751407121623,3.0798751406429936
3CARLPDH,0.0,0.0
3HAD100,11.22592807610575,11.225928076044184
3HAD10M12,3.079875140712164,3.079875140643319
3HAD11M12,3.079875140712164,3.0798751406450755
3HAD120,11.22592807610575,11.225928076044106
3HAD12M14,3.079875140712164,3.0798751406432383
3HAD13M14,3.079875140712164,3.079875140643212
3HAD14M16,3.079875140712164,3.0798751407116542
3HAD15M16,3.079875140712164,3.0798751407116733
3HAD40,11.22592807610575,11.225928076104001
3HAD4M6,3.0798751407121627,3.0798751407116365
3HAD5M6,3.0798751407121627,3.0798751407116374
3HAD60,11.22592807610575,11.225928076104022
3HAD6M8,3.079875140712163,3.079875140711676
3HAD7M8,3.079875140712163,3.0798751407116676
3HAD80,11.22592807610575,11.225928076103967
3HAD8M10,3.0798751407121636,3.079875140711666
3HAD9M10,3.0798751407121636,3.079875140711664
3MOBS,0.0,0.0
3OAR100,11.225928076105749,11.225928076103967
3OAR10M11,0.0,0.0
3OAR10M12,3.0798751407121636,3.079875140711666
3OAR11M12,3.0798751407121636,3.0798751407116645
3OAR120,11.225928076105749,11.225928076103967
3OAR12M13,0.0,0.0
3OAR12M14,3.079875140712164,3.079875140711666
3OAR13M14,3.079875140712164,3.0798751407116645
3OAR140,8.980742460884615,8.980742460883159
3OAR14M15,0.0,0.0
3OAR14M16,3.079875140712164,3.079875140711666
3OAR15M16,3.079875140712164,3.079875140711665
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,11.225928076105749,11.225928076103965
3OAR4M5,0.0,0.0
3OAR4M6,3.079875140712163,3.079875140711666
3OAR5M6,3.079875140712163,3.0798751407116636
3OAR60,11.225928076105749,11.225928076103965
3OAR6M7,0.0,0.0
3OAR6M8,3.079875140712163,3.079875140711666
3OAR7M8,3.079875140712163,3.0798751407116636
3OAR80,11.225928076105749,11.225928076103965
3OAR8M10,3.0798751407121636,3.079875140711666
3OAR8M9,0.0,0.0
3OAR9M10,3.0798751407121636,3.0798751407116636
3OAS100,11.22592807610575,11.225928076103965
3OAS10M11,0.0,0.0
3OAS10M12,3.0798751407121636,3.079875140711631
3OAS11M12,3.0798751407121636,3.0798751407116294
3OAS120,11.22592807610575,11.225928076103843
3OAS12M13,0.0,0.0
3OAS12M14,3.0798751407121636,3.079875140711631
3OAS13M14,3.0798751407121636,3.07987514071163
3OAS140,8.980742460884613,8.980742460883057
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.0798751407121623,3.079875140711629
3OAS4M3O6,3.0798751407121623,3.079875140711631
3OAS4M5,0.0,0.0
3OAS4M6,3.0798751407121627,3.0798751407116702
