,minimum,maximum
12DGR180ti,3.8044329168880906,3.8044329168920266
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2MBCOATA,7.60886583377618,7.608865833784054
2MECOAOX,-1000.0,970.7929025897887
3HAD10M12,7.6088658337761785,7.608865833784042
3HAD11M12,7.6088658337761785,7.608865833784038
3HAD12M14,7.6088658337761785,7.608865833784042
3HAD13M14,7.6088658337761785,7.608865833784043
3HAD14M16,7.6088658337761785,7.608865833784039
3HAD15M16,7.6088658337761785,7.608865833784042
3HAD4M6,7.608865833776179,7.608865833784027
3HAD5M6,7.608865833776178,7.608865833784044
3HAD6M8,7.6088658337761785,7.608865833784039
3HAD7M8,7.608865833776178,7.608865833784043
3HAD8M10,7.6088658337761785,7.608865833784038
3HAD9M10,7.6088658337761785,7.608865833784042
3HBCOAE,-721.0107880460971,1000.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.608865833776179,7.60886583378404
3OAR11M12,7.608865833776179,7.608865833784042
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.608865833776179,7.608865833784038
3OAR13M14,7.608865833776179,7.60886583378404
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,7.608865833776179,7.608865833784036
3OAR15M16,7.608865833776179,7.608865833784038
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.608865833776179,7.608865833784018
3OAR5M6,7.608865833776178,7.6088658337840345
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.608865833776179,7.608865833784034
3OAR7M8,7.608865833776178,7.6088658337840345
3OAR80,0.0,0.0
3OAR8M10,7.608865833776179,7.608865833784032
3OAR8M9,0.0,0.0
3OAR9M10,7.608865833776179,7.608865833784034
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.6088658337761785,7.608865833784043
3OAS11M12,7.6088658337761785,7.608865833784043
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.6088658337761785,7.608865833784039
3OAS13M14,7.6088658337761785,7.608865833784041
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.6088658337761785,7.608865833784041
3OAS4M3O6,7.60886583377618,7.6088658337840265
3OAS4M5,0.0,0.0
3OAS4M6,7.6088658337761785,7.608865833784043
3OAS5M6,7.6088658337761785,7.608865833784045
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.6088658337761785,7.6088658337840345
3OAS7M8,7.6088658337761785,7.608865833784037
3OAS80,0.0,0.0
3OAS8M10,7.6088658337761785,7.608865833784039
3OAS8M9,0.0,0.0
3OAS9M10,7.6088658337761785,7.608865833784043
3OXCOAT,0.0,2.0653907403064456e-09
5AIZCDC,0.0,4.1297686467548574e-09
5APTLPO,0.0,0.0
5C2O3EDDC,0.0,0.0
5DOAN,0.0,8.268307243542227e-10
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,854.7133733490435
AB6PGH2,0.0,854.7133733490512
ABTOXy,0.0,0.0
ABUTD,0.0,999.9999999999998
ABUTR,-1000.0,0.0
ACACT1r,278.98921195390875,1000.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.2765877753367761,0.27658777533706097
ACCOACL,91.30639000531416,91.3063900054085
ACGAMT,0.48395044946702837,0.4839504494675283
ACGApts,0.0,17.746457626726013
ACKr,-1000.0,374.021016671126
ACNAMS,0.0,4.131641104119034e-09
ACNML,-1.0341509007925963e-09,4.13051235982799e-09
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.804432916888089,3.804432916892028
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.804432916888089,3.8044329168920243
ACOAD1i,0.0,1000.0
ACOAD20,0.0,860.5053940230515
ACOAD8,0.0,1.3802491050307905e-09
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACONT,0.0,4.134132303002298e-09
ACPS1,0.27658777533677614,0.2765877753370609
ACS,0.0,4.136000512250118e-09
ACtr,-1000.0,374.0210166711249
ADA,0.0,1000.0000000020549
ADCL,0.8297633260103283,0.8297633260111831
ADCPS1,0.0,0.0
ADCPS2,0.0,0.0
ADCS,0.8297633260103284,0.829763326011194
ADCYRS,0.0,0.0
ADD,0.0,1000.0
ADK1,45.077938876395656,63.56979453387093
ADK2,0.27658777533677614,0.2765877753370612
ADMDC,0.0,0.0
ADNCNT3tc,-974.7905583997549,1000.0
ADOCBIK,0.0,0.276587775337062
ADOCBIK2,0.0,0.2765877753370619
ADOCBLS,0.2765877753367761,0.2765877753370619
ADOCBLabc,4.9492844583857695e-17,0.0
ADPRDP,0.0,0.0
ADPT,11.226301652634676,11.226301658826925
ADSL1r,-1.3458099572828388e-14,2.061529465815226e-09
ADSL2r,0.0,1.3745213934378138e-09
ADSS,0.0,2.061118980304223e-09
AGDC,0.0,17.74645762671682
AGMT,0.2765877712032374,0.2765877753370613
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,-2.064278232373882e-09,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHC,-0.2765877794627725,-0.276587775336776
AHCYSNS_r,0.0,0.0
AICART,0.0,1.3740542728455615e-09
AIHPDCOATA,7.6088658337761785,7.608865833784025
AIPDCOATA,0.0,0.0
AIRC4,0.0,4.135766640549395e-09
AKP1,0.8297633260103283,0.8297633260111842
ALAALA,2.2340503306791883,2.2340503306814985
ALAASP1c,0.0,4.1357666405493985e-09
ALAASPabc,0.0,4.125178617144107e-09
ALAGLN1c,0.0,4.12527958446381e-09
ALAGLNabc,0.0,4.1265445512495604e-09
ALAGLU1c,0.0,4.126439784364482e-09
ALAGLUabc,0.0,4.122671083876061e-09
ALAGLY1c,0.0,4.122594650358248e-09
ALAGLYabc,0.0,4.125040522928311e-09
ALAHIS1c,0.0,4.125018062436357e-09
ALAHISabc,0.0,4.125162816556813e-09
ALALEU1c,0.0,4.125116722215682e-09
ALALEUabc,0.0,4.123970453678907e-09
ALAPGPL,0.16131681648900945,0.16131681648917576
ALAR,-988.272642596636,1000.0
ALATA_L,-1000.0,1000.0
ALATHR1c,0.0,4.107101403665136e-09
ALATHRabc,0.0,4.112080324331219e-09
ALAt2r,-1000.0,1000.0
ALCD19,-1000.0,939.4505189748241
ALCD2x,-1000.0,442.02157609218693
ALCD4,0.0,0.0
ALDD2x,0.0,4.128516588104161e-09
AMANAPEr,0.0,1.375934478638977e-09
AMANK,0.0,1.375340628931858e-09
AMAOTr,0.0,0.0
AMMQLT8,0.0,0.0
AMMQT7rev,0.553175550298496,0.5531755506741225
AMMQT8,0.27658777533677614,0.276587775337062
AMPTASECG,0.0,7.354832043034037
AMPTASEGC,0.0,7.354832043034043
AOXSr,0.0,0.0
APAT,0.0,0.0
APRAUR,0.0,0.0
ARBTpts,0.0,854.7133733490588
ARGDA,0.0,977.6874993673081
ARGDC,0.2765877712228853,0.27658777533706164
ARGN,0.0,977.6874993673129
ARGt2,22.31250063270996,22.312500640954113
ARSENBt2,0.0,0.0
ASAD,0.0,0.0
ASNS2,0.0,17.938680099235803
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASPCT,0.0,2.067548724265224e-09
ASPK,0.0,0.0
ASPT,0.0,4.13865926421627e-09
ASPTA,-1000.0,982.0613199069667
ASPt2r,-982.0613199069701,1000.0
ATPS4,999.9999999958578,1000.0
BAMPPALDOX,0.0,0.0
BGLA1,0.0,0.0
BHBtp,0.0,0.0
BPNT,0.2765877753367761,0.2765877753370616
BTCOADH,-221.0107880460984,1000.0
BTNCLi,91.30639000531416,91.30639000540847
BTNabc,0.0,4.127696015368266e-09
BTS4,0.0,0.0
BUTKr,-1000.0000000000001,-278.9892119539035
BUTSO3abc,0.0,4.136131961163003e-09
BUTt2r,-1000.0000000000001,-278.98921195390426
CAt4i,0.27658777533677614,0.276587775337062
CBIAT,0.27658777533677614,0.2765877753370617
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBMKr,-977.6874993673372,2.065390740306453e-09
CBPS,0.0,2.065493309345061e-09
CD2abc1,0.0,4.130467302693138e-09
CDPGLYCGPT,0.4839504494670283,0.483950449467528
CDPMEK,25.127729188144617,25.12772918817061
CELBpts,0.0,0.0
CGLYabc,0.27658777533677614,7.631419818371087
CH4St,0.0,4.133670001267473e-09
CHCOAL,0.0,6.883364519224567e-10
CHORM,0.0,1.0323558034071775e-09
CHORS,0.8297633260103285,0.8297633270426767
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.9511082292220224,0.9511082292230043
CLPNSAI15,0.0,0.0
CLPNSAI17,0.9511082292220224,0.9511082292230055
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.9511082292220224,0.9511082292230055
CMPSAS,0.0,0.0
CO2t,-1000.0,-999.9999999958691
COBALTt5,-0.27658777585237393,-0.27658777533677614
CPC2MT,-3.0253721991057886e-33,0.0
CPC3MT,0.0,0.0
CPC4MT,0.0,0.0
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CPPPGO2,0.0,4.1295768099523274e-10
CRO4t3,0.0,0.0
CS,0.0,4.132443388763458e-09
CSND,0.0,991.706002174244
CYSDS,0.0,2.06543871327805e-09
CYSS,0.0,2.0650936419431974e-09
CYSS3r,0.0,0.0
CYSTL,0.0,0.0
CYTBD,278.98921195389727,1000.0
CYTD,0.0,991.7060021742438
CYTDK1,0.0,8.293997829888125
CYTDK2,0.0,8.293997829888857
CYTDK3,0.0,0.0
CYTDK4,0.0,8.293997829888466
CYTDt2r,8.293997825756039,1000.0
CYTK1,66.6127959905812,67.16597154538968
CYTK2,-4.130848832203968e-09,0.0
Cuabc,0.27658777533677614,0.27658777740367674
Cut1,0.0,2.0660804304170107e-09
DADA,0.0,1000.0
DADNK,2.081129844915205,2.081129849048347
DADNt2r,-986.4159807250388,988.3745776760726
DAGK120,0.0,4.131231637871274e-09
DAGK140,0.0,4.130222715436129e-09
DAGK141,0.0,4.132255076003563e-09
DAGK160,0.0,4.131154348040618e-09
DAGK161,0.0,4.131154348040618e-09
DAGK180,3.8044329168880897,3.8044329168920163
DAGK181,0.0,0.0
DALAt2r,-988.272642596636,1000.0
DAPDA,0.0,0.0
DAPE,0.0,0.0
DAPabc,2.2340503306791883,2.2340503306814963
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,3.8044329168880893,3.804432916892017
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,3.8044329168880893,3.804432916892017
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,3.8044329168880893,3.8044329168920172
DB4PS,0.0,0.0
DBTS,0.0,0.0
DCMPDA,0.0,4.129928054055875e-09
DCYTD,0.0,1000.0
DCYTt2r,0.0,1000.0
DDPA,0.8297633260103285,0.8297633260111864
DGK1,0.0,0.0
DGSNt2,13.706552172970637,13.706552174363669
DHAD1,0.0,0.0
DHAD2,0.0,0.0
DHAK,0.0,939.4505189748485
DHFOR2,0.0,0.0
DHFR,0.8297633260103283,0.8297633260111866
DHFS,0.8297633260103284,0.8297633260111855
DHNAOT4,0.5531755506735522,0.5531755506741237
DHNAOT7,0.5531755501571167,0.5531755506741236
DHNPA,0.8297633260103285,0.8297633260111854
DHORD2,0.0,2.0656533330932232e-09
DHORD5,0.0,0.0
DHORTS,-2.065819801150346e-09,0.0
DHPM1,0.0,0.0
DHPM2,0.0,0.0
DHPPDA,0.0,0.0
DHPS,0.8297633239440984,0.8297633260111862
DHQS,0.8297633260103254,0.8297633260111863
DHQTi,0.8297633260103255,0.8297633260111864
DHSQLD,0.0,0.0
DINSt2,0.0,1000.0
DMATT,2.234050330679188,2.234050330681498
DMPPS,0.0,1000.0
DMPPS2r,-997.765949669321,2.234050330682309
DMQMT,0.0,0.0
DM_4HBA,0.0,0.0
DM_5DRIB,0.0,0.0
DM_HQN,0.0,854.713373349063
DM_atp_c_,0.0,4.1294545187981396e-09
DM_btn,0.0,4.130169662029985e-09
DPCOAK,0.5531755506743171,0.5531755506738251
DRBK,0.0,4.137411948479055e-09
DRIBabc,0.0,4.12849082763494e-09
DRPAr,-974.7905583976813,1000.0
DTMPK,2.0811298490461967,2.0811298490483447
DURIK1,0.0,4.1343264832344145e-09
DURIPP,0.0,1000.0
DURIt2,0.0,1000.0
DUTPDP,0.0,1.3791714931456112e-09
DXPRIr,25.127729188144638,25.127729188170594
DXPS,25.127729188144638,25.127729188170605
D_LACD,0.0,0.0
D_LACt2,-1000.0000000000001,1000.0
E4PD,0.0,0.0
EAR10M12x,7.6088658337761785,7.608865833784006
EAR11M12x,7.6088658337761785,7.608865833784055
EAR12M14x,7.6088658337761785,7.608865833784042
