,minimum,maximum
12PPD_Stex,1.8661766656535775e-13,999.9999999999999
12PPDtpp,-5.8855067918491765e-12,1000.0
1H2NPTH,0.0,0.0
23DHMPO,-5.824199429434079e-12,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,2.131657734951396,940.9719333542669
26DAPt2rpp,2.1316577349482833,940.9719333542668
2AHBUTI,0.0,4.25639477595823e-12
2DDGLCNtex,-1000.0000000000001,3.567419308957406e-12
2DH3DGLCA,-1000.000000000008,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-938.8402756193176,0.0
2HYOXPLACtex,-938.8402756193168,0.0
2INSD,0.0,2.9639810623670245e-12
2MBCOATA,7.260130842200472,7.260130842202676
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,1.399332283603005e-14,0.0
3HAD10M12,7.260130842201774,7.260130842202727
3HAD11M12,7.260130842201774,7.260130842202704
3HAD12M14,7.260130842201774,7.260130842202283
3HAD13M14,7.260130842201774,7.260130842202153
3HAD14M16,7.260130842201774,7.260130842201779
3HAD15M16,7.260130842201774,7.260130842201774
3HAD4M6,7.26013084219989,7.260130842201769
3HAD5M6,7.260130842201774,7.260130842201787
3HAD6M8,7.260130842201774,7.260130842201781
3HAD7M8,7.260130842201774,7.260130842201783
3HAD8M10,7.260130842201774,7.260130842201784
3HAD9M10,7.260130842201774,7.260130842201784
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.260130842201773,7.260130842201785
3OAR11M12,7.260130842201773,7.260130842201785
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.260130842201773,7.260130842201785
3OAR13M14,7.260130842201773,7.260130842201785
3OAR140,17.063148421442566,17.06314842144259
3OAR14M15,0.0,0.0
3OAR14M16,7.260130842201773,7.260130842201783
3OAR15M16,7.260130842201773,7.260130842201783
3OAR160,-2.786265820111909e-15,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
