,minimum,maximum
12PPD_Stex,-530.7151523600476,0.0
12PPDtpp,-530.7151523600362,0.0
23DHMPO,-26.768920487084337,-26.76892048708442
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-1000.0,0.0
26DAP_Mtex,2.047554223772903,657.8233020303106
26DAPt2rpp,2.0475542237734397,657.8233020303027
2AHBUTI,26.76892048708442,26.76892048708432
2HYOXPLACt2rpp,-191.0210333240669,0.0
2HYOXPLACtex,-191.0210333240643,0.0
2INSD,0.0,0.0
2MBCOATA,6.973685938063634,6.973685938063594
34HPPOR,0.0,0.0
3HAD100,0.0,-1.591537071790629e-12
3HAD10M12,6.973685938063634,6.97368593806361
3HAD11M12,6.973685938063647,6.973685938063631
3HAD120,0.0,-1.5830533987000626e-12
3HAD12M14,6.973685938063634,6.97368593806361
3HAD13M14,6.973685938063647,6.9736859380636105
3HAD140,0.0,979.512587170944
3HAD14M16,6.973685938063634,6.9736859380636105
3HAD15M16,6.973685938063647,6.973685938063499
3HAD160,6.973685938063634,6.973685938063624
3HAD180,6.973685938063634,6.973685938063624
3HAD40,0.0,-4.343640622371018e-13
3HAD4M6,6.973685938063634,6.9736859380636105
3HAD5M6,6.973685938063647,6.973685938063499
3HAD60,0.0,-4.343640622371018e-13
3HAD6M8,6.973685938063634,6.9736859380636105
3HAD7M8,6.973685938063647,6.973685938063499
3HAD80,0.0,-4.343640622371018e-13
3HAD8M10,6.973685938063634,6.9736859380636105
3HAD9M10,6.973685938063647,6.973685938063499
3MOBS,1.9305005031817335e-11,0.0
3OAR100,0.0,-4.343640622371018e-13
3OAR10M11,0.0,0.0
3OAR10M12,6.973685938063634,6.9736859380636105
3OAR11M12,6.973685938063634,6.9736859380634995
3OAR120,0.0,-4.343640622371018e-13
3OAR12M13,0.0,0.0
3OAR12M14,6.973685938063634,6.9736859380636105
3OAR13M14,6.973685938063634,6.9736859380634995
3OAR140,16.389930263243002,995.9025174341889
3OAR14M15,0.0,0.0
3OAR14M16,6.973685938063634,6.9736859380636105
3OAR15M16,6.973685938063634,6.9736859380634995
3OAR160,6.973685938063634,6.973685938063624
3OAR180,6.973685938063634,6.973685938063624
3OAR40,0.0,-4.343640622371018e-13
3OAR4M5,0.0,0.0
3OAR4M6,6.973685938063634,6.9736859380636105
3OAR5M6,6.973685938063634,6.9736859380634995
3OAR60,0.0,-4.343640622371018e-13
3OAR6M7,0.0,0.0
3OAR6M8,6.973685938063634,6.9736859380636105
3OAR7M8,6.973685938063634,6.9736859380634995
3OAR80,0.0,-4.343640622371018e-13
3OAR8M10,6.973685938063634,6.9736859380636105
3OAR8M9,0.0,0.0
3OAR9M10,6.973685938063634,6.9736859380634995
3OAS100,0.0,-4.3436406223710187e-13
3OAS10M11,0.0,0.0
3OAS10M12,6.973685938063634,6.973685938063609
3OAS11M12,6.973685938063634,6.9736859380634995
3OAS120,0.0,-4.3436406223710187e-13
3OAS12M13,0.0,0.0
3OAS12M14,6.973685938063634,6.973685938063606
3OAS13M14,6.973685938063634,6.9736859380634995
3OAS140,16.389930263243002,995.9025174341889
3OAS160,6.973685938063634,6.973685938063606
3OAS180,6.973685938063634,6.973685938063624
3OAS2M3,0.0,0.0
3OAS3M4,6.973685938063633,6.9736859380634995
3OAS4M3O6,6.973685938063634,6.973685938063623
3OAS4M5,0.0,0.0
3OAS4M6,6.973685938063634,6.973685938063628
3OAS5M6,6.973685938063634,6.973685938063503
3OAS60,0.0,-2.986252927880075e-13
3OAS6M7,0.0,0.0
3OAS6M8,6.973685938063634,6.973685938063609
3OAS7M8,6.973685938063634,6.97368593806333
3OAS80,0.0,-9.637452630885702e-13
3OAS8M10,6.973685938063634,6.973685938063609
3OAS8M9,0.0,0.0
3OAS9M10,6.973685938063634,6.973685938063487
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,1.8131650466499278e-13,-1.4659787100502225e-11
5DOAN,0.0,0.0
6PHBG,0.0,692.8221849308517
A5PISO,10.242519355383118,10.242519355383076
AACOAT,0.0,0.0
ACBIPGT,0.25349852680332036,0.2534985268033189
ACCOAC,0.0,93.53412056707262
ACCOACL,0.0,93.5341205670744
ACGAM2E,0.0,0.0
ACGAMT,0.0,0.0
ACGK,20.1963786734633,20.196378673446244
ACGS,20.196378673463304,20.196378673449637
ACHBPL,26.768920487084422,26.76892048708433
ACKr,-999.9999999999999,-871.6979404390992
ACLS_a,26.76892048708442,1000.0
ACLS_b,-973.2310795129143,1.5597864625448177e-12
ACNML,0.0,0.0
ACOAAGPAT140,0.0,-5.088432999913231e-12
ACOAAGPAT160,0.0,-1.8065832743456182e-12
ACOAAGPAT180,0.0,3.486842969031806
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.4868429690318172,3.486842969031809
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.4868429690318172,3.486842969031809
ACOATA,0.0,-1.0044668939233003e-12
ACOCT,0.0,0.0
ACODAr,20.196378673463304,20.19637867344564
ACONTa,-999.9999999999999,-1000.0000000000076
ACONTb,-1000.0,-1000.0000000000131
ACOTA,-20.196378673451957,-20.196378673463304
ACPS1,0.2534985268033203,0.2534985268033194
ACS,0.0,128.30205956091697
ACTNDH,0.0,0.0
ACtex,-1000.0,-900.0892842441842
ACtrpp,-1000.0,-900.0892842441842
ADCL,0.7604955804099609,0.7604955804083802
ADCPS1,0.0,-6.005605560070479e-12
ADCPS2,0.0,0.0
ADCS,0.7604955804099609,0.7604955804099585
ADCYRS,0.0,0.0
ADD,0.0,1000.0
ADEtex,0.0,0.0
ADK1,-125.5994942882312,-111.56260177947115
ADK2,-26.78635797656299,-13.256462521391073
ADMDC,0.0,-6.693022454900445e-12
ADNCNT3tcpp,-1.5209911608073694,1000.0
ADNUC,0.0,13.529895455182121
ADNtex,-1.5209911608062356,1000.0
ADOCBIK,0.0,0.2534985268033197
ADOCBIK2,0.0,0.2534985268033196
ADOCBLS,0.2534985268033203,0.25349852680331936
ADOCBLabcpp,13.509961048196399,27.039856503364433
ADOCBLtex,13.509961048198146,27.03985650336629
ADSK,0.0,-4.399169688666955e-12
ADSL1r,0.0,-6.314926897322119e-12
ADSL2r,0.0,-2.674304816635637e-12
ADSS,0.0,-5.418445296339124e-12
AEPPT,0.0,0.0
AGDC,0.0,0.0
AGMD,0.0,0.0
AGMHE,8.190216895046467,8.190216895046438
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.4868429690318057
AGPAT181,0.0,0.0
AGPR,-20.196378673449747,-20.196378673463315
AHC,1.520991160819894,1.5209911608198894
AHEXASE3,0.0,0.0
AHMMPS,1.1883592858281701e-11,-2.4318448914114385e-12
AHSERL2,0.0,-1.676153020875592e-11
AHSERL3,1.3331255384883026e-11,0.0
AICART,0.0,-6.173560354168569e-12
AIHPDCOATA,6.973685938063634,6.973685938063617
AIPDCOATA,0.0,0.0
AIRC4,0.0,-1.7215069435381442e-11
