,minimum,maximum
2MBCOATA,3.456694128157705,3.456694128157705
3HAD10M12,3.4566941281577104,3.4566941281577095
3HAD11M12,3.4566941281577104,3.45669412815771
3HAD12M14,3.4566941281577104,3.4566941281577095
3HAD13M14,3.4566941281577104,3.4566941281577095
3HAD14M16,3.4566941281577104,3.4566941281577095
3HAD15M16,3.4566941281577104,3.456694128157709
3HAD4M6,3.4566941281577104,3.456694128157709
3HAD5M6,3.4566941281577104,3.45669412815771
3HAD6M8,3.4566941281577104,3.4566941281577095
3HAD7M8,3.4566941281577104,3.45669412815771
3HAD8M10,3.4566941281577104,3.4566941281577095
3HAD9M10,3.4566941281577104,3.45669412815771
3MOPt2r,3.456694128157683,3.456694128157691
3OAR10M12,3.456694128157711,3.4566941281577095
3OAR11M12,3.456694128157711,3.4566941281577104
3OAR12M14,3.456694128157711,3.4566941281577095
3OAR13M14,3.456694128157711,3.45669412815771
3OAR14M16,3.456694128157711,3.4566941281577095
3OAR15M16,3.456694128157711,3.4566941281577095
3OAR4M6,3.4566941281576926,3.456694128157691
3OAR5M6,3.456694128157711,3.4566941281577104
3OAR6M8,3.456694128157711,3.4566941281577095
3OAR7M8,3.456694128157711,3.4566941281577104
3OAR8M10,3.456694128157711,3.4566941281577095
3OAR9M10,3.456694128157711,3.4566941281577104
3OAS10M12,3.456694128157711,3.456694128157709
3OAS11M12,3.456694128157711,3.45669412815771
3OAS12M14,3.456694128157711,3.456694128157709
3OAS13M14,3.456694128157711,3.4566941281577095
3OAS3M4,3.456694128157711,3.4566941281577104
3OAS4M3O6,3.4566941281576926,3.4566941281576904
3OAS4M6,3.456694128157711,3.4566941281577095
3OAS5M6,3.456694128157711,3.4566941281577104
3OAS6M8,3.456694128157711,3.456694128157709
3OAS7M8,3.456694128157711,3.4566941281577104
3OAS8M10,3.456694128157711,3.456694128157709
3OAS9M10,3.456694128157711,3.4566941281577104
4HBZt2,0.1256533312340387,0.12565333123403866
5AIZCDC,0.0,-1.0616335383151388e-12
5DOAN,0.0,1.8864759714861803e-12
6PHBG,0.0,2.8755174582616715e-11
AACOAT,0.0,6.86818172778247e-12
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-83.0783266598573,-83.07832665960836
ACALDt,-192.19087516131174,-192.1908751610007
ACBIPGT,0.12565333123403874,0.12565333123403924
ACCOACL,0.0,0.0
ACGAMT,0.21985782290522263,0.21985782290522232
ACGApts,0.0,-5.634692660687123e-12
ACKr,-1000.0000000000075,-999.9999999999827
ACOAAGPAT140,0.0,1.131963869965598e-12
ACOAAGPAT160,0.0,1.4093886103382026e-12
ACOAAGPAT180,0.0,2.438808593010493e-12
ACOAAGPATAI15,0.0,9.601990989040889e-13
ACOAAGPATAI17,1.7283470640788552,1.7283470640788605
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.7283470640788552,1.7283470640788579
ACPS1,0.1256533312340387,0.1256533312340389
ACS,0.0,1.6997859274610892e-12
ACtr,-1000.0,-1000.0000000000019
ADK1,40.25388566365931,40.253885663662345
ADK2,0.1256533312340387,0.12565333123412883
ADNUC,0.0,0.0
ADOCBIK,0.12565333123403874,0.1256533312340383
ADOCBLS,0.1256533312340387,0.12565333123403855
ADPRDP,0.0,0.0
ADPT,0.25130666246807765,0.25130666246807765
ADSL1r,5.767879492419052,5.767879492418783
ADSL2r,0.0,-1.8623741466095454e-13
ADSS,5.767879492417998,5.76787949241934
AGDC,0.0,2.5985233143945514e-12
AGPAT120,0.0,2.6280998424214213e-12
AGPAT140,0.0,0.0
AGPAT141,0.0,2.5177900365736013e-12
AGPAT160,0.0,0.0
AGPAT161,0.0,1.2104759791219236e-12
AGPAT180,1.728347064074828,1.7283470640788636
AGPAT181,0.0,0.0
AHCYSNS_r,0.25130666246807754,0.25130666246807726
AICART,0.0,-2.8256711189938027e-13
AIHPDCOATA,3.4566941281577104,3.456694128157712
AIRC4,0.0,-1.3539674111845228e-12
ALAALA,1.0149250662020157,1.0149250662022122
ALAASP1c,817.9665327274179,817.9665327274929
ALAASPabc,817.9665327273729,817.9665327274864
ALAGLN1c,0.0,1.0993366613562504e-11
ALAGLNabc,0.0,6.2776290895969595e-12
ALAGLU1c,0.0,7.986257974870319e-12
ALAGLUabc,0.0,3.515472290174297e-11
ALAGLY1c,0.0,2.3505064519296736e-11
ALAGLYabc,0.0,6.398577865781356e-12
ALAHIS1c,0.0,7.934113152593823e-12
ALAHISabc,0.0,8.424173229910759e-12
ALALEU1c,0.0,8.424173229910759e-12
ALALEUabc,0.0,8.545675728419086e-12
ALAPGPL,0.07328594096840753,0.07328594096840774
ALAR,5.327717475982369,5.327717475982435
ALATHR1c,0.0,8.791391432089751e-12
ALATHRabc,0.0,9.112687388124619e-12
ALAt2r,-799.8218305428775,-799.8218305427424
ALCD19,0.0,1.0835092436913979e-10
ALCD2x,109.11254850138904,109.11254850167927
AMALT1,0.0,5.162271083236543e-12
AMALT2,0.0,5.743225434100078e-12
AMALT3,0.0,8.411365425852746e-12
AMALT4,0.0,1.0397998152207256e-11
AMMQT7rev,0.2513066624680775,0.2513066624680803
AMMQT8,0.1256533312340387,0.125653331234039
AMPTASECG,0.0,6.585205136215638e-12
AMPTASEGC,0.0,6.697441058349841e-12
AMY1e,0.0,1.2811914035698984e-12
AMYLOPECTe,0.0,8.214280029138537e-14
AMYLe,0.0,2.7725129913669137e-13
ARABASE3e,0.0,2.289788891486627e-11
ARAI,0.0,6.669464469647497e-12
ARBTpts,0.0,0.0
ARBabc,0.0,3.830347140531733e-12
ARGDA,3.007949621956229,3.007949621958712
ARGSL,3.007949621956124,3.0079496219602913
ARGSS,3.0079496219561244,3.0079496219602917
ARGt2,10.010875767943599,10.010875767943636
ASNt2r,8.149510257301737,8.149510257300824
ASPCT,8.398869120673403,8.398869120673398
ASPTA,792.6423242350687,792.6423242351052
ATPS4,143.80804157818704,143.808041578249
BGLA,0.0,6.4481294552416864e-12
BPNT,0.1256533312340387,0.1256533312340393
BTNCLi,0.0,0.0
BTNabc,0.0,0.0
C180SNrev,5.185041192236565,5.185041192236558
CAP_NR,999.9999999998205,1000.0
CAt4i,0.1256533312340387,0.12565333123403852
CBIAT,0.1256533312340387,0.1256533312340385
CBPS,8.398869120673403,8.39886912067339
CD2abc1,0.0,0.0
CDPGLYCGPT,0.2198578229052226,0.21985782290522235
CDPMEK,12.420709040562544,12.420709040561828
CELLBabc,0.0,2.4219003095684083e-12
CGLYabc,0.0,5.8641145527525016e-12
CLPNS180,0.43208676601971385,0.43208676601971596
CLPNSAI17,0.43208676601971385,0.432086766019714
CLPNSI17,0.4320867660197142,0.4320867660197142
CMLDC,0.0,0.0
CO2t,-1000.0,-999.9999999999897
COBALTt5,-0.125653331234039,-0.12565333123403868
CPPPGO,0.0,0.0
CPPPGO2,0.0,1.1299889272121299e-12
CTPS1,0.0,4.170846550702012
CTPS2,0.0,4.170846550703337
CYSDS,0.0,5.171461635258458e-12
CYSS,0.0,4.784498277171954e-12
CYSS3r,0.0,0.0
CYSTL,0.0,0.0
CYSt2r,3.3412870317484575,3.341287031749003
CYTDK3,0.0,0.0
CYTK1,27.499352263534135,27.499352263534178
CYTK2,0.0,0.0
CZP_NR,-1000.0,998.7578824299337
Cuabc,0.1256533312340387,0.12565333123613887
Cut1,0.0,2.4315503508427216e-12
DADNK,0.0,0.0
DAPabc,1.014925066202016,1.0149250662021194
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,1.7283470640788556,1.728347064078857
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,1.7283470640788556,1.7283470640788503
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,1.7283470640788556,1.7283470640788503
DCTPD,0.0,-5.646659544371805e-12
DCTPD2,0.0,1.8554868046689228e-12
DDGLK,0.0,0.0
DDPGA,0.0,0.0
DEXTRAN40e,0.0,1.5265259276577517e-13
DEXTRINASE,0.0,1.8785276361316295e-12
DEXTRINabc,0.0,1.0550558263068718e-12
DGK1,0.0,0.0
DHFOR2,-0.37695999370304634,-0.37695999370211636
DHFR,0.91909740861791,0.9190974086179113
DHFS,0.0,0.0
DHNAOT4,0.2513066624680775,0.2513066624680772
DHNAOT7,0.2513066624680775,0.25130666246807715
DHNPA,0.0,0.0
DHORD2,0.0,8.398869120673387
DHORD5,0.0,8.39886912067339
DHORTS,-8.398869120673437,-8.398869120673401
DHPS,0.0,0.0
DMATT,1.1405783974360562,1.1405783974361534
DMPPS,12.420709040562558,12.420709040563645
DMQMT,0.12565333123403874,0.12565333123403905
DM_2HYMEPH,0.0,1.957098348894022e-11
DM_4HBA,0.0,0.0
DM_5DRIB,0.0,1.1956646954624085e-12
DM_atp_c_,0.0,4.1747113016361625e-12
DM_hcys_L[c],0.2513066624680774,0.2513066624680777
DPCOAK,0.2513066624680736,0.25130666246807676
DPMVDc,0.0,0.0
DPRr,0.0,0.0
DRBK,0.0,0.0
DRIBabc,0.0,0.0
DTMPK,0.5421374149157943,0.5421374149157933
DURIK1,0.0,0.0
DUTPDP,0.5421374149157941,0.5421374149157933
DXPRIi,12.42070904056269,12.420709040561652
DXPS,12.42070904056256,12.42070904056369
E4PD,0.0,0.0
EAR10M12x,3.456694128157711,3.4566941281577193
EAR11M12x,3.456694128157711,3.456694128157705
EAR12M14x,3.456694128157711,3.4566941281577033
EAR13M14x,3.456694128157711,3.456694128157704
EAR14M16x,3.4566941281577135,3.4566941281577135
EAR15M16x,3.456694128157711,3.4566941281577135
EAR4M6x,3.456694128157711,3.4566941281577135
EAR5M6x,3.456694128157711,3.4566941281577135
EAR6M8x,3.456694128157711,3.4566941281577135
EAR7M8x,3.456694128157711,3.4566941281577135
EAR8M10x,3.456694128157711,3.4566941281577135
EAR9M10x,3.456694128157711,3.4566941281577135
EDA_R,0.0,0.0
EHGLAT,0.0,0.0
ENO,860.7533282190565,860.753328219061
ETOHt2r,109.1125485015046,109.11254850181763
EX_26dap_M(e),-1.0149250662021052,-1.014925066202016
EX_3mop(e),-3.4566941281577064,-3.456694128157704
EX_4hbz(e),-0.1256533312340387,-0.1256533312340387
EX_7a_czp(e),-1000.0000000000002,998.7578824299317
EX_ac(e),999.9999999999886,1000.0000000000001
EX_acald(e),192.1908751613626,192.19087516171805
EX_acgam(e),-6.282336482750413e-12,0.0
EX_ala_L(e),799.8218305428268,799.8218305428479
EX_alaasp(e),-817.9665327274167,-817.9665327274207
EX_alagln(e),7.616207381676426e-12,0.0
EX_alaglu(e),-7.498982329810876e-12,0.0
EX_alagly(e),-4.900304549814916e-12,0.0
EX_alahis(e),-5.75921842929477e-12,0.0
EX_alaleu(e),-3.321068292560972e-12,0.0
EX_alathr(e),-3.444787588099368e-12,0.0
EX_amylopect900(e),-4.084350308114385e-14,0.0
EX_amylose300(e),6.612157534762388e-14,0.0
EX_anzp(e),-1000.0000000000002,998.7578824299634
EX_arab_L(e),-4.44571484481439e-12,-2.911303019175854e-11
EX_arabttr(e),-3.6667042041653603e-11,0.0
EX_arbt(e),-3.147891821803227e-12,0.0
EX_arg_L(e),-10.010875767943624,-10.010875767943597
EX_asn_L(e),-8.149510257300799,-8.149510257306025
EX_biomass(e),40.579147823038504,40.579147823038376
EX_btn(e),0.0,0.0
EX_ca2(e),-0.1256533312340391,-0.1256533312340387
EX_cd2(e),0.0,0.0
EX_cellb(e),-6.236455954546894e-13,0.0
EX_cgly(e),-1.02750253201933e-11,0.0
EX_chlphncl(e),-1000.0,-1000.0000000000282
EX_cl(e),-0.12565333123403927,-0.12565333123403868
EX_co2(e),1000.0000000000153,1000.0
EX_cobalt2(e),-0.1256533312340394,-0.12565333123403868
EX_cu2(e),-0.1256533312340387,-0.1256533312340387
EX_cys_L(e),-3.3412870317490135,-3.3412870317464756
EX_czp(e),-998.7578824299605,1000.0000000000002
EX_dextran40(e),-1.7071066082249349e-13,0.0
EX_dextrin(e),-4.79935662746866e-12,0.0
EX_drib(e),-4.388717216731546e-12,0.0
EX_etoh(e),-109.11254850156716,-109.11254850154542
EX_fe2(e),-0.2513066624680782,-0.25130666247041344
EX_fe3(e),4.044318241200541e-12,0.0
EX_fol(e),-0.37695999370199806,-0.37695999370211786
EX_for(e),630.587980103647,630.5879801036662
EX_fru(e),-8.35688026910414e-11,7.414554505766222e-12
EX_gal(e),-3.1747448912345475e-12,1.2430282553784546e-11
EX_galt(e),-2.4627408096337567e-28,0.0
EX_gam(e),-6.769822432230956e-12,0.0
EX_glc_D(e),-652.380727387972,1.1046868431844715e-11
EX_gln_L(e),-18.795896059304543,-18.795896059294922
EX_glyasn(e),-4.8896361117415e-12,0.0
EX_glyasp(e),-6.67921395205102e-12,0.0
EX_glyb(e),3.766058343082367e-12,0.0
EX_glyc(e),1.2962602980591416,1.2962602980097306
EX_glycys(e),-4.418630492751932e-12,0.0
EX_glygln(e),-8.302987330374397e-12,0.0
EX_glyglu(e),-2.5892261493135848e-12,0.0
EX_glyleu(e),-29.268684266916388,-21.787918365731134
EX_glymet(e),1.1387020879885715e-11,0.0
EX_glyphe(e),-3.1393909803978545e-12,0.0
EX_glypro(e),-7.480765901177157,0.0
EX_glytyr(e),-1.5180846731462844e-12,0.0
EX_gthox(e),-0.06282666561701944,-0.06282666561701936
EX_h(e),1000.0000000000034,1000.0
EX_h2o(e),-1000.0,-1000.0000000000019
EX_hg2(e),0.0,1.2555736875527919e-11
EX_his_L(e),-3.2164655730453346,-3.2164655730319285
EX_hxan(e),-12.0206798013235,-12.02067980129949
EX_ile_L(e),-9.812037943610692,-9.812037943610706
EX_inulin(e),8.432008931499865e-14,0.0
EX_k(e),-0.12565333123403905,-0.1256533312340387
EX_lac_L(e),1000.0000000000058,1000.0000000000001
EX_lactl(e),-1.635563493919019e-11,0.0
EX_lcts(e),-1.1043461007899081e-11,0.0
EX_leu_L(e),3.098217936231293,10.57898383748478
EX_lys_L(e),-11.582911954608157,-11.58291195460811
EX_malt(e),1.0554791409915745e-11,9.442653238225805e-11
EX_malthx(e),-1.6204949008066979e-12,0.0
EX_malttr(e),-2.3615867033714322e-12,6.251013830472402e-11
EX_man(e),-652.3807273879763,0.0
EX_mantr(e),-1.5489775154576258e-12,0.0
EX_melib(e),3.45250173646339e-13,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-7.132740825338417e-11,0.0
EX_metala(e),-5.562975085486463,-5.562975085368502
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-8.86233214593511e-12,0.0
EX_mg2(e),-0.12565333123403938,-0.1256533312340387
EX_mn2(e),-0.1256533312340388,-0.1256533312340387
EX_mnl(e),0.0,0.0
EX_mqn7(e),-0.2513066624680775,-0.2513066624680774
EX_na1(e),0.0,0.0
EX_nac(e),-0.25130666246807604,-0.2513066624674823
EX_nchlphncl(e),999.9999999999371,1000.0
EX_nh4(e),785.0485859863786,785.048585986384
EX_nzp(e),-998.7578824298581,1000.0000000000005
EX_o2(e),-0.03141333280850978,-0.03141333280851711
EX_ocdca(e),-8.641735320394277,-8.641735320395544
EX_pb(e),0.0,-5.502028587902557e-12
EX_phe_L(e),-6.2702899216158965,-6.270289921613351
EX_pheme(e),-0.12565333123403846,-0.1256533312340387
EX_pi(e),-41.30208563108169,-41.30208563107703
EX_pnto_R(e),-0.2513066624680743,-0.2513066624680708
EX_pro_L(e),-7.4807659011771355,0.0
EX_ptrc(e),-0.12565333123403874,-0.1256533312340387
EX_raffin(e),-8.168563720369402e-13,0.0
EX_rib_D(e),-5.6082107460390696e-14,-2.1519575260071088e-12
EX_ribflv(e),-0.25130666246807787,-0.2513066624680774
EX_salcn(e),1.8955543756583252e-11,0.0
EX_sbt_D(e),0.0,0.0
EX_sheme(e),-0.12565333123403893,-0.1256533312340387
