,minimum,maximum
2HMCOXT,0.0,0.0
2MBCOATA,3.9946973344139964,3.9946973344129066
3HAD10M12,3.9946973344139978,3.994697334413086
3HAD11M12,3.9946973344139978,3.9946973344130665
3HAD12M14,3.994697334413997,3.9946973344130647
3HAD13M14,3.994697334413997,3.9946973344130665
3HAD14M16,3.994697334413996,3.9946973344139636
3HAD15M16,3.994697334413996,3.994697334413959
3HAD4M6,3.9946973344140004,3.9946973344129284
3HAD5M6,3.9946973344140004,3.99469733441307
3HAD6M8,3.9946973344139995,3.9946973344130674
3HAD7M8,3.9946973344139995,3.994697334413069
3HAD8M10,3.9946973344139987,3.9946973344130665
3HAD9M10,3.9946973344139987,3.9946973344130683
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.9946973344139978,3.9946973344130656
3OAR11M12,3.9946973344139978,3.9946973344130674
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.994697334413997,3.9946973344130647
3OAR13M14,3.994697334413997,3.9946973344130665
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.994697334413996,3.994697334413963
3OAR15M16,3.994697334413996,3.9946973344139587
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.994697334413993,3.9946973344129417
3OAR5M6,3.994697334414,3.994697334413093
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.994697334413999,3.9946973344130585
3OAR7M8,3.994697334413999,3.9946973344131025
3OAR80,0.0,0.0
3OAR8M10,3.994697334413998,3.9946973344130576
3OAR8M9,0.0,0.0
3OAR9M10,3.994697334413998,3.9946973344131016
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.994697334413997,3.9946973344130905
3OAS11M12,3.994697334413997,3.9946973344130416
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.994697334413996,3.9946973344139636
3OAS13M14,3.994697334413996,3.9946973344139587
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.994697334414001,3.994697334412968
3OAS4M3O6,3.9946973344139938,3.994697334413075
3OAS4M5,0.0,0.0
3OAS4M6,3.994697334414,3.9946973344130985
3OAS5M6,3.994697334414,3.9946973344130408
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.9946973344139987,3.994697334413071
3OAS7M8,3.9946973344139987,3.9946973344130767
3OAS80,0.0,0.0
3OAS8M10,3.9946973344139978,3.9946973344131154
3OAS8M9,0.0,0.0
3OAS9M10,3.9946973344139978,3.994697334413126
4ABZt2,0.43563041050007667,0.43563041049818324
4HBZt2,0.04840337894445337,0.04840337894388888
5AIZCDC,0.0,-2.0110940689366954e-11
5DOAN,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,948.8086266363667
AB6PGH2,0.0,948.8086266363669
ABTOXy,0.0,0.0
ACACT1r,13.579426105716713,13.579426105711965
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.14521013683336004,0.14521013683335868
ACCOACL,79.89394668827993,79.89394668827467
ACGAMT,0.2540767063985611,0.254076706398559
ACGApts,0.0,-4.7777848937299155e-11
ACKr,-999.8547898631666,-964.6453920000807
ACLDC,1.5027009929927628,1.5027009929341875
ACLS_a,1.5027009929993829,1.5027009929354023
ACLS_b,-1.502700992934268,-1.5027009929968762
ACNML,0.0,0.0
ACOAAGPAT140,0.0,-6.049839810337631e-13
ACOAAGPAT160,0.0,-1.1696934078717047e-12
ACOAAGPAT180,0.0,1.9973486672069827
ACOAAGPATAI15,0.0,-4.944611796066779e-13
ACOAAGPATAI17,1.9973486672069978,1.9973486672069825
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,-5.546564536457507e-13
ACOAAGPATI16,6.191977207315848e-13,0.0
ACOAAGPATI17,1.9973486672069978,1.9973486672069816
ACOATA,3.9946973344139964,3.994697334413959
ACODAr,0.0,0.0
ACPS1,0.14521013683336004,0.14521013683335868
ACTD,0.0,-2.3596547423316953e-11
ACTNDH,1.5027009929961237,1.502700992951132
ACYP,0.0,-2.0374723901305672e-11
ACYP_2,0.0,-2.038825280797801e-11
ACtr,-1000.0,-964.7906021369113
ADA,0.0,-4.005547600742895e-11
ADD,0.0,-4.216020970308165e-11
ADK1,42.75522906322293,43.0456493368602
ADK2,0.14521013683336007,0.14521013682365497
ADNUC,0.0,-2.0453441071361612e-11
ADOCBIK,0.14521013683336,0.14521013683335884
ADOCBLS,0.14521013683336004,0.1452101368333588
ADPRDP,0.0,0.0
ADPT,0.0,0.0
ADSL1r,6.910576907532094,6.910576907533814
ADSL2r,9.116615809069081,9.116615809062036
ADSS,6.910576907532094,6.910576907530144
AGDC,0.0,-4.28246378163696e-11
AGMD,0.0,-1.3772039054389635e-11
AGPAT120,0.0,-6.340809422336972e-13
AGPAT140,0.0,-5.910064908479576e-13
AGPAT141,0.0,0.0
AGPAT160,0.0,-1.1451543853289416e-12
AGPAT161,0.0,-5.163839741276023e-13
AGPAT180,0.0,1.9973486672069827
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,0.0
AICART,9.116615809068593,9.116615809063163
AIHPDCOATA,3.9946973344139955,3.9946973344139622
AIPDCOATA,0.0,-1.0413000651954044e-12
AIRC4,9.116615809069183,9.116615809049001
AKP1,0.43563041050007517,0.43563041049811624
ALAALA,1.1728889818631236,1.1728889818626451
ALAASP1c,0.0,0.0
ALAD_R,-27.39756301390609,-27.39756301390745
ALAGLN1c,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLY1c,0.0,0.0
ALAHIS1c,0.0,0.0
ALALEU1c,0.0,0.0
ALAPGPL,0.08469223546618704,0.08469223546618639
ALAR,6.156928559704664,6.156928559703659
ALATHR1c,0.0,0.0
ALCD19,-597.0054011459325,432.34994724041934
ALCD2x,0.0,0.0
ALLTNt2r,0.0,0.0
AMANAPEr,0.0,-6.855453082639382e-12
AMANK,0.0,-6.540907521940049e-12
AMMQLT8,0.14521013683336,0.1452101368333589
AMMQT7rev,0.29042027366672013,0.2904202736667166
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.0
APRAUR,0.0,0.0
ARBTpts,0.0,948.8086266363609
ARGDA,539.6562326218392,539.6562326217972
ARGabc,11.568978122651354,11.568978122651256
ASNS1,0.0,-2.3802931220022317e-11
ASNS2,9.417907889652195,9.417907889620615
ASPCT,0.0,-2.7922513671906516e-12
ASPTA,-7.989394668826915,-7.989394668827994
ASPabc,26.87361382703528,26.873613827030585
ATPS4,0.0,-6.7054042573620635e-12
BGLA,0.0,0.0
BGLA1,0.0,496.41011555471255
BPNT,0.14521013683336004,0.14521013683335887
BTDD_RR,0.0,0.0
BTNCLi,79.89394668827994,79.89394668827464
BTNabc,0.0,0.0
C180SN,3.994697334413996,3.9946973344139636
CBIAT,0.14521013683335998,0.14521013683335857
CBMKr,-539.6562326217979,-539.6562326218418
CBPS,0.0,-9.964276210480182e-12
CD2t6r,0.0,0.0
CDPGLYCGPT,0.25407670639856117,0.25407670639855906
CDPMEK,0.0,0.0
CELBpts,0.0,496.4101155547062
CHLabc,0.0,35.20939786308616
CHLt2r,-35.20939786308763,0.0
CHOLabc,0.0,0.0
CITCAt,0.14521013683336004,0.1452101368333589
CITL,0.14521013683336004,0.14521013683319212
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.4993371668017494,0.4993371668017446
CLPNSAI15,0.0,0.0
CLPNSAI17,0.4993371668017494,0.4993371668017446
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.4993371668017494,0.4993371668017446
CMLDC,0.0,0.0
CO2t,-1000.0,-558.1235637082041
COBALTt5,-0.14521013683335893,-0.14521013683336
