,minimum,maximum
23DHMPO,-1.6535267704800911,-1.6535267704800747
26DAPLLAT,0.0,0.0
26DAP_Mtex,7.834907161681006,7.8349071616809995
2AHBUTI,1.6535267704800747,1.6535267704801062
2HMCOXT,0.0,0.0
2MBCOATA,1.6535267704800751,1.6535267704801
3HAD100,8.283202279388975,8.283202279389059
3HAD10M12,1.6535267704800747,1.6535267704800929
3HAD11M12,1.6535267704800858,1.6535267704801133
3HAD120,8.283202279388975,8.283202279389153
3HAD12M14,1.6535267704800858,1.653526770480122
3HAD13M14,1.6535267704800858,1.653526770480122
3HAD140,2.2562136031426108,2.2562136031426596
3HAD14M16,1.6535267704800858,1.653526770480122
3HAD15M16,1.6535267704800858,1.653526770480122
3HAD160,1.6535267704800862,1.6535267704801222
3HAD180,1.6535267704800858,1.6535267704801222
3HAD40,8.283202279388979,8.28320227938916
3HAD4M6,1.6535267704800751,1.6535267704800887
3HAD5M6,1.6535267704800858,1.653526770480122
3HAD60,8.283202279388979,8.283202279389156
3HAD6M8,1.6535267704800751,1.6535267704800884
3HAD7M8,1.6535267704800858,1.653526770480122
3HAD80,8.283202279388977,8.283202279389156
3HAD8M10,1.653526770480075,1.6535267704800884
3HAD9M10,1.6535267704800858,1.653526770480122
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,8.283202279388975,8.283202279389153
3OAR10M11,0.0,0.0
3OAR10M12,1.6535267704800745,1.6535267704800858
3OAR11M12,1.6535267704800856,1.6535267704801206
3OAR120,8.283202279388973,8.283202279389144
3OAR12M13,0.0,0.0
3OAR12M14,1.6535267704800742,1.6535267704800856
3OAR13M14,1.6535267704800856,1.6535267704801226
3OAR140,7.077804544139702,7.0778045441398545
3OAR14M15,0.0,0.0
3OAR14M16,1.6535267704800856,1.6535267704801226
3OAR15M16,1.6535267704800856,1.6535267704801226
3OAR160,1.653526770480086,1.6535267704801226
3OAR180,1.6535267704800856,1.6535267704801226
3OAR40,8.283202279388977,8.28320227938916
3OAR4M5,0.0,0.0
3OAR4M6,1.653526770480075,1.6535267704800862
3OAR5M6,1.6535267704800856,1.6535267704801226
3OAR60,8.283202279388977,8.283202279389158
3OAR6M7,0.0,0.0
