,minimum,maximum
23DHMPO,8.26645419075932e-12,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,32.15556444268726,32.15556444268719
2AHBUTI,2.0630678028696996e-14,-2.5069623787898196e-11
2MBCOATA,8.823098013811755,8.823098013807861
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,8.823098013811746,8.82309801380764
3HAD11M12,8.823098013811746,8.823098013807673
3HAD12M14,8.823098013811746,8.82309801380723
3HAD13M14,8.823098013811746,8.823098013807671
3HAD14M16,8.823098013811746,8.823098013811698
3HAD15M16,8.823098013811746,8.823098013811736
3HAD4M6,8.823098013811755,8.823098013811729
3HAD5M6,8.823098013811746,8.823098013811737
3HAD6M8,8.823098013811746,8.823098013811757
3HAD7M8,8.823098013811746,8.823098013811759
3HAD8M10,8.823098013811746,8.823098013811757
3HAD9M10,8.823098013811746,8.823098013811757
3HBCOAE,-1000.0,1000.0000000000001
3HBCOAOX,-1000.0,1000.0
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,8.823098013811746,8.8230980138117
3OAR11M12,8.823098013811746,8.823098013811745
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,8.823098013811746,8.823098013811745
3OAR13M14,8.823098013811746,8.823098013811745
3OAR140,20.73651759435066,20.736517594350754
3OAR14M15,0.0,0.0
3OAR14M16,8.823098013811746,8.823098013811745
3OAR15M16,8.823098013811746,8.823098013811745
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,8.823098013811755,8.823098013811435
3OAR5M6,8.823098013811746,8.823098013811745
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,8.823098013811746,8.823098013811748
3OAR7M8,8.823098013811746,8.823098013811745
3OAR80,0.0,0.0
3OAR8M10,8.823098013811746,8.823098013811746
3OAR8M9,0.0,0.0
3OAR9M10,8.823098013811746,8.823098013811745
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,8.823098013811745,8.823098013811745
3OAS11M12,8.823098013811745,8.823098013811743
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,8.823098013811745,8.823098013811743
3OAS13M14,8.823098013811745,8.823098013811743
3OAS140,20.73651759435066,20.736517594350754
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,8.823098013811745,8.823098013811746
3OAS4M3O6,8.823098013811755,8.823098013811755
3OAS4M5,0.0,0.0
3OAS4M6,8.823098013811745,8.82309801381175
3OAS5M6,8.823098013811745,8.823098013811748
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,8.823098013811745,8.823098013811748
3OAS7M8,8.823098013811745,8.823098013811748
3OAS80,0.0,0.0
3OAS8M10,8.823098013811745,8.823098013811748
3OAS8M9,0.0,0.0
3OAS9M10,8.823098013811745,8.823098013811746
4ABUTtex,2.6753305201823768e-11,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,3.819005152456054e-12
5DOAN,0.0,-5.1574624440417634e-12
5GLUP5T1,2.3386497908888984e-14,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,6.8742637532728035e-12,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,12.958821630846511,12.958821630846451
AACOAT,0.0,0.0
AB6PGH,0.0,-6.0669005902941194e-12
AB6PGH2,0.0,-2.6116407629357386e-11
ACACT1r,1.7963855542950951e-13,-1.7963855542950951e-13
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,-1.2738522594759537e-11
ACALD,-891.8807456134764,1000.0
ACALDtex,-1000.0,1000.0
ACALDtpp,-1000.0,1000.0
ACBIPGT,0.3207259931415298,0.32072599314152844
ACCOACL,100.69304676719324,100.6930467671529
ACCOAL,0.0,1000.0
ACCOAT,0.0,0.0
ACGALK3,0.0,-5.704336809997672e-12
ACGALt2rpp,0.0,-5.74313602534235e-12
ACGALtex,0.0,-5.743136025342349e-12
ACGAMtex,0.0,-9.369939389213613e-12
ACGAptspp,0.0,-8.841252331869801e-12
ACGK,0.0,-1.7682504663739603e-11
ACGS,0.0,-1.922724102721055e-11
ACHBPL,1.0157539041877077e-13,-1.8990722912403325e-11
ACKr,-989.6317412028038,-989.6317412028415
ACLDC,0.0,0.0
ACLS_a,0.0,-1.6057980742172826e-11
ACLS_b,2.7977238816451242e-11,1.942787055348206e-14
ACNML,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,4.411549006905856
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,4.411549006905872,4.411549006905854
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.411549006905872,4.4115490069058545
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,8.597075802137857e-14
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,0.0,0.0
ACONTa,0.0,945.9403728067567
ACONTb,0.0,945.9403728067476
ACOTA,0.0,0.0
ACPS1,0.32072599314152983,0.32072599314152866
ACS,0.0,-2.5899139372510675e-11
ACYP,0.0,-1.0599996948129582e-11
ACYP_2,0.0,-3.21213235190246e-11
ACtex,-1000.0,-1000.0000000000313
ACtrpp,-1000.0,-1000.0000000000334
ADA,0.0,204.07018634427195
ADCL,0.9621779794245897,0.9621779794217413
ADCPS1,0.0,-1.0096190895135649e-11
ADCPS2,0.0,0.0
ADCS,0.9621779794245897,0.9621779794245863
ADCYRS,0.0,0.0
ADK1,56.16568299820216,73.39342819025546
ADK2,0.32072599314152983,0.32072599314152833
ADNCNT3tcpp,-988.2167248439064,1000.0000000000001
ADNCYC,0.0,0.0
ADNUC,0.0,-1.950878569772983e-11
ADNtex,-988.2167248439084,1000.0000000000001
ADOCBIK,0.0,0.3207259931415285
ADOCBIK2,0.0,0.320725993141529
ADOCBLS,0.32072599314152983,0.3207259931415289
ADOCBLabcpp,0.0,0.0
ADOCBLtex,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,16.58629320577883
ADSK,0.0,-7.512883214542301e-12
ADSL1r,-6.571562750727743e-14,16.586293205776784
ADSL2r,0.0,-6.505627899118495e-12
ADSS,0.0,16.586293205775455
AGDC,0.0,-9.851734791781746e-12
AGDC2,0.0,-2.2180411636094384e-11
AGMHE,10.362251334684712,10.362251334684675
AGMT,0.0,-5.643909513281587e-12
AGPAT120,0.0,0.0
AGPAT140,0.0,-4.598413315548595e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-6.335286517983843e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,4.411549006905853
AGPAT181,0.0,0.0
AGPR,0.0,0.0
AGTi,0.0,1000.0
AHCYSNS_r,1.2829039725661198,1.2829039725601252
AHEXASE3,0.0,0.0
AHMMPS,0.0,-7.0249758876356704e-12
AICART,0.0,-7.143462045456109e-12
AIHPDCOATA,8.823098013811746,8.823098013811709
AIPDCOATA,0.0,0.0
AIRC4,0.0,-1.70163267552473e-11
AKGS,0.0,85.39478459241833
AKGt2rpp,-284.71860947286916,1000.0000000000006
AKGtex,-284.71860947286166,999.9999999999999
AKP1,0.9621779794245896,0.9621779794245834
ALAALA,2.590562833671178,2.590562833671166
ALAASP1c,0.0,-2.197136508596558e-11
ALAASPabcpp,0.0,-3.1505569044086004e-11
ALAASPtex,0.0,-3.1505569044086004e-11
ALACI,-1000.0,1000.0
ALAD_R,-1000.0,-795.9298136557187
ALAGLN1c,0.0,-1.969284999593406e-11
ALAGLNabcpp,0.0,-1.9498465053303073e-11
ALAGLNtex,0.0,-1.9498465053303073e-11
ALAGLU1c,0.0,-1.954377364798558e-11
ALAGLUabcpp,0.0,-2.007318672083358e-11
ALAGLUtex,0.0,-2.0073186720833583e-11
ALAGLY1c,0.0,-2.0073186720833583e-11
ALAGLYabcpp,0.0,-2.007318672083358e-11
ALAGLYtex,0.0,-2.0073186720833583e-11
ALAHIS1c,8.209922532016554,8.209922532010372
ALAHISabcpp,8.20992253201681,8.209922532010376
ALAHIStex,8.20992253201681,8.209922532010376
ALALEU1c,0.0,-1.7064668592620102e-11
ALALEUabcpp,0.0,-2.1194024558037486e-11
ALALEUtex,0.0,-2.1194024558037486e-11
ALAR,5.181125667342355,5.181125667342334
ALATHR1c,21.861984618912512,21.861984618869645
ALATHRabcpp,21.86198461891651,21.861984618864767
ALATHRtex,21.86198461891651,21.861984618864767
ALCD19,2.979877544427732e-11,-2.0330762630810956e-11
ALCD2x,-883.5296292991598,1000.0
ALKP,0.0,0.0
ALLTNt2rpp,0.0,0.0
ALLTNtex,0.0,0.0
ALTRH,0.0,-3.47646709136927e-11
AMALT1,0.0,-1.160884112380397e-11
AMALT2,0.0,-1.1457960811549387e-11
AMALT3,0.0,-1.1457960811549387e-11
AMALT4,0.0,0.0
AMANAPEr,0.0,0.0
AMANK,0.0,0.0
AMAOTr,0.0,0.0
AMMQLT8,0.32072599314152983,0.3207259931415276
AMPMS2,0.0,-4.4957908756761215e-12
AMPTASECG,0.0,8.528525197874819
AMPTASEGC,0.0,8.528525197875169
AMY2epp,0.0,124.9999999999971
ANPRT,0.0,-3.6296778890796e-12
ANS,0.0,-3.595814035446851e-12
ANS2,0.0,-3.5508663600037653e-12
AOXSr,0.0,0.0
AP4AH,0.0,0.0
APRAUR,0.6414519862830594,0.6414519862830566
ARBTptspp,0.0,-1.42125001876213e-11
ARBTtex,0.0,-2.0484359869873022e-11
ARGDA,889.0527844345481,974.4475690269436
ARGDC,0.0,-1.4299506464788648e-11
ARGSL,0.0,-1.610391422877744e-11
ARGSS,0.0,-1.6669368491256523e-11
ARG_Ltex,914.6052154075853,1000.0
ARGabcpp,0.0,-3.6520402674375796e-11
ASAD,2.250316697240908e-11,0.0
ASNS1,0.0,-2.7299904969459153e-11
ASPCT,0.0,-9.961453941762912e-12
ASPKi,0.0,-3.3426165050531014e-11
ASPO1,0.0,204.07018634427388
ASPO5,0.0,-2.11311162229146e-11
ASPO6,0.0,-2.11311162229146e-11
ASPT,0.0,204.07018634425572
ASPTA,-241.457836308515,979.1986432415068
ASP_Ltex,0.0,1000.0
ASPabcpp,0.0,-8.850852474419304e-12
ASPt2_3pp,0.0,1000.0
AST,0.0,0.0
ATPPRT,0.0,-5.4626276231333655e-12
ATPS4pp,1000.0000000000158,1000.0
BDH,0.0,0.0
BGLA1,0.0,-4.133227095379663e-12
BPNT,0.3207259931415298,0.3207259931331184
BSORx,0.0,0.0
BSORy,0.0,0.0
BTNCLi,100.69304676715329,100.69304676712488
BTS4,0.0,0.0
CA2tex,0.32072599314152983,0.3207259931415282
CAt4ipp,0.32072599314152983,0.3207259931415289
CBIAT,0.32072599314152983,0.3207259931415289
CBL1abcpp,0.0,0.0
CBL1tex,0.0,0.0
CBL2abcpp,0.0,0.0
CBL2tex,0.0,0.0
CBMKr,-974.447569026954,-889.0527844345349
CBPS,0.0,-2.5897531707467718e-11
CD2abc1pp,0.0,-2.6898185045115585e-11
CD2tex,0.0,0.0
CDOSKT,5.18412939858762,5.184129398587665
CDPGLYCGPT,0.0,0.0
CDPMEK,36.19361500577968,36.193615005779655
CELBptspp,0.0,-3.8190051524560636e-12
CELLBtex,0.0,-1.2741179742682563e-11
CGLYabcpp,0.3207259931470777,8.849251191020565
CGLYtex,0.32072599314710776,8.849251191020974
CHLt2rpp,0.0,0.0
CHOLD,0.0,0.0
CHOLSH,0.0,0.0
CHOLtex,0.0,0.0
CHORS,1.9243559588491792,1.9243559588447638
CHRPL,0.3207259931415299,0.3207259931415282
CITtex,0.0,0.6414519862830582
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,1.1028872517264685,1.1028872517264658
CLPNSAI15,0.0,0.0
CLPNSAI17,1.1028872517264685,1.1028872517264658
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,1.1028872517264685,1.1028872517264658
CLtex,0.3207259931415298,0.3207259931415291
CO2tex,-1000.0,-1000.000000000014
CO2tpp,-1000.0,-1000.0000000000257
COBALT2tex,0.3207259931415298,0.3207259931415281
COBALTt5pp,-0.32072599314152883,-0.3207259931415298
CPPPGO,0.0,-1.222614226065247e-12
CPPPGO2,0.0,-3.0620036624465917e-12
CSND,0.0,204.07018634427004
CSNt2pp,0.0,204.07018634426802
CSNtex,0.0,204.07018634426802
CTPS1,0.0,-2.359568025687769e-11
CTPS2,0.0,-2.3693595139554877e-11
CU2tex,0.3207259931415298,0.3207259931415284
CYO1b,0.0,1000.0
CYOO3pp,0.0,1000.0
CYRDAAT,0.0,-2.106175426140841e-12
CYSS,0.0,-3.903119640162082e-12
CYSS3r,0.0,0.0
CYTBD2pp,0.0,1000.0
CYTBDpp,0.0,1000.0
CYTD,0.0,204.07018634429005
CYTDK1,0.0,27.248192626408184
CYTDK2,0.0,27.2481926264082
CYTDK3,0.0,27.24819262640683
CYTDK4,0.0,27.2481926264149
CYTDt2rpp,27.248192626426125,231.31837897071932
CYTDtex,27.24819262642612,231.31837897070878
CYTK1,89.63527628376993,90.27672827003357
CYTK2,2.4809513558463646e-11,-1.8253785103974808e-16
Cuabcpp,0.32072599314152983,0.32072599313186156
Cut1pp,0.0,-5.470225302383733e-12
DADA,0.0,204.07018634429892
DADNt2rpp,-1000.0000000000001,987.5752728576306
DAD_2tex,-1000.0000000000001,987.5752728576416
DAGK120,1.5569835670717774e-15,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DAPDC,29.56500160901608,29.56500160901601
DAPE,0.0,0.0
DAPabcpp,32.15556444268726,32.155564442687215
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,4.411549006905873,4.4115490069058625
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,4.411549006905873,4.411549006905856
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,4.411549006905873,4.411549006905861
DB4PS,1.2829039725661193,1.2829039725661158
DBTS,0.0,0.0
DCTPD,0.0,-6.284438858471986e-12
DCTPD2,17.182792800329707,17.182792800321838
DCYTD,0.0,204.0701863443042
DCYTt2rpp,1.3128615058307882e-11,204.07018634427897
DCYTtex,1.3536330557960076e-11,204.070186344279
DDGLK,0.0,-1.8166679054951685e-11
DDPA,1.9243559588491803,1.9243559588463688
DDPGA,0.0,0.0
DGK1,1.3536330557960081e-11,0.0
DGSNt2pp,16.98314824946203,33.569441455229494
DGSNtex,16.983148249462282,33.56944145522318
DHAD1,1.2180486980382743e-11,-2.2905837370727376e-11
DHAD2,0.0,-1.1097636577501828e-11
DHFOR2,0.0,0.0
DHFR,0.9621779794245899,5.520599086521077
DHFS,0.9621779794245899,0.9621779794229233
DHNAOT4,0.6414519862830595,0.6414519862828064
DHNAS,0.0,0.0
DHNPA,0.9621779794245898,0.9621779794245873
DHORD2,0.0,-1.73023492930366e-12
DHORD5,0.0,-6.0808967547955665e-12
DHORTS,4.512964144419239e-12,0.0
DHPPDA,0.6414519862830593,0.6414519862830573
DHPR,0.0,0.0
DHPS,0.9621779794296397,0.9621779794245858
DHQS,1.92435595884918,1.924355958845897
DHQTi,1.9243559588491799,1.924355958846767
