,minimum,maximum
12DGR180tex,1.578974576486042,1.578974576486052
12DGR180tipp,1.578974576486042,1.5789745764860523
14BDGGH,0.0,0.0
14BGGH,0.0,0.0
17DMXOR,0.0,0.0
1MXOR,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,0.08302529324776235,0.08302529324776291
26DAPt2rpp,0.08302529324776235,0.08302529324776299
2DDPENTHL,0.0,0.0
2DHPL,0.0,0.0
2H3OGL,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.1579491529720833,3.157949152972106
2OSAHL,0.0,0.0
37DMXOR,0.0,0.0
3HAD100,12.661529605450516,12.661529605450601
3HAD10M12,3.1579491529720833,3.157949152972107
3HAD11M12,3.1579491529720807,3.1579491529721193
3HAD120,12.661529605450516,12.66152960545062
3HAD12M14,3.1579491529720833,3.157949152972109
3HAD13M14,3.1579491529720807,3.157949152972104
3HAD140,1.1510272507783188,1.151027250778328
3HAD14M16,3.1579491529720833,3.157949152972109
3HAD15M16,3.1579491529720833,3.1579491529721087
3HAD40,12.661529605450516,12.661529605450612
3HAD4M6,3.1579491529720833,3.157949152972109
3HAD5M6,3.15794915297208,3.157949152972103
3HAD60,12.661529605450516,12.661529605450616
3HAD6M8,3.1579491529720833,3.157949152972109
3HAD7M8,3.15794915297208,3.1579491529721033
3HAD80,12.661529605450516,12.661529605450617
3HAD8M10,3.1579491529720833,3.157949152972109
3HAD9M10,3.1579491529720802,3.157949152972104
3OAR100,12.661529605450516,12.66152960545062
3OAR10M11,0.0,0.0
3OAR10M12,3.1579491529720833,3.1579491529721087
3OAR11M12,3.1579491529720802,3.1579491529721038
3OAR120,12.661529605450514,12.66152960545062
3OAR12M13,0.0,0.0
3OAR12M14,3.1579491529720833,3.1579491529721087
3OAR13M14,3.1579491529720802,3.1579491529721038
3OAR140,10.359429134516075,10.359429134516159
3OAR14M15,0.0,0.0
3OAR14M16,3.1579491529720833,3.1579491529721087
3OAR15M16,3.157949152972081,3.1579491529721038
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,12.661529605450516,12.661529605450612
3OAR4M5,0.0,0.0
3OAR4M6,3.1579491529720833,3.1579491529721087
3OAR5M6,3.15794915297208,3.157949152972103
3OAR60,12.661529605450516,12.661529605450616
3OAR6M7,0.0,0.0
3OAR6M8,3.1579491529720833,3.1579491529721087
3OAR7M8,3.15794915297208,3.1579491529721033
3OAR80,12.661529605450516,12.661529605450617
3OAR8M10,3.1579491529720833,3.1579491529721087
3OAR8M9,0.0,0.0
3OAR9M10,3.1579491529720802,3.1579491529721038
3OAS100,12.661529605450516,12.661529605450617
3OAS10M11,0.0,0.0
3OAS10M12,3.1579491529720833,3.1579491529721064
3OAS11M12,3.1579491529720807,3.157949152972101
3OAS120,12.661529605450516,12.661529605450607
3OAS12M13,0.0,0.0
3OAS12M14,3.1579491529720833,3.1579491529721064
3OAS13M14,3.157949152972081,3.157949152972101
3OAS140,10.359429134516075,10.35942913451615
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.15794915297208,3.157949152972101
3OAS4M3O6,3.1579491529720833,3.157949152972103
3OAS4M5,0.0,0.0
3OAS4M6,3.1579491529720833,3.1579491529721087
3OAS5M6,3.15794915297208,3.1579491529721206
3OAS60,12.661529605450516,12.661529605450607
3OAS6M7,0.0,0.0
3OAS6M8,3.1579491529720833,3.157949152972104
3OAS7M8,3.15794915297208,3.1579491529721366
3OAS80,12.661529605450516,12.661529605450596
3OAS8M10,3.1579491529720833,3.157949152972104
3OAS8M9,0.0,0.0
3OAS9M10,3.1579491529720802,3.1579491529721397
4HBZCL,0.0,0.0
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4IDZLOR,0.0,0.0
4NTPPH2,0.0,0.0
