,minimum,maximum
12DGR180tex,2.661921033512232,2.661921033513201
12DGR180tipp,2.661921033512238,2.6619210335132935
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2DOHMC5DPT,0.0,0.0
2IMZS,0.0,0.0
3HAD120,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.6634136317843782,0.6634136317846269
3HAD141,0.0,0.0
3HAD180,0.0,0.0
3HAD181,0.0,0.0
3HAD40,1.3740134456105626e-15,0.0
3HAD60,1.3740134456105626e-15,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,1.3740134456105626e-15,0.0
3HAD9M10,0.0,0.0
3OAR100,0.0,0.0
3OAR120,0.0,0.0
3OAR140,5.9708286669103625,5.970828666912668
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR60,0.0,0.0
3OAR80,0.0,0.0
3OAS100,0.0,0.0
3OAS120,0.0,0.0
3OAS140,5.9708286669103625,5.97082866691262
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS60,0.0,0.0
3OAS80,0.0,0.0
4NTPPH2,0.0,0.0
A5PISO,3.3171211493473693,3.317121149348625
AACOAT,0.0,0.0
AACPS2,0.0,0.0
AACPS4,0.0,0.0
AACPS7,0.0,9.24000346789455e-10
AACPS8,0.0,0.0
ACBIPGT,0.19064100422453517,0.19064100422460636
ACCOAC,5.970828666910365,5.970828666912644
ACGAM2E,0.0,0.0
ACKr,-570.1071569126345,-570.1071569069926
ACNML,0.0,0.0
ACOAD1f,0.0,0.0
ACOAD2f,0.0,0.0
ACOAD3f,0.0,0.0
ACOAD4f,0.0,0.0
ACOAD5f,0.0,0.0
ACOAD6f,0.0,0.0
ACOAD7f,0.0,0.0
ACOATA,0.0,1000.0000000000507
ACPS1,0.19064100422453517,0.19064100422460492
ACS,0.0,9.543941943205431e-10
ACtex,-572.7608644301977,-572.7608644246147
ACtrpp,-572.7608644301977,-572.7608644245852
ADCL,0.5719230126736055,0.5719230127516747
ADCS,0.5719230126736053,0.571923012750873
ADEt2rpp,4.894526885532647,4.894526887553853
ADEtex,4.894526885530343,4.894526887555069
ADK1,13.167535186394533,13.548817196716504
ADK2,0.1906410042245364,0.1906410051550441
ADNCNT3tcpp,-1000.0000000018302,998.304600483422
ADNtex,-1000.000000001871,998.3046004834056
ADOCBIK,0.19064100422453517,0.19064100422460656
ADOCBLS,0.19064100422453514,0.19064100422461022
ADOCBLabcpp,2.2636961190941467e-17,0.0
ADOCBLtex,2.2636961190941467e-17,0.0
ADPT,3.1991273670615996,3.199127369905938
ADSL1r,2.8008232147878407e-25,1.8447351326692302e-09
ADSL2r,0.0,0.0
ADSS,0.0,1.873413773585702e-09
AGDC,0.0,0.0
AGDC2,0.0,0.0
AGM3PA,0.0,0.0
AGM4PA,0.0,0.0
AGMD,0.38128200844907,0.3812820084492084
AGMHE,2.653654527137513,2.6536545271385656
AGPAT140,0.0,0.0
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,0.0
AHCYStex,-1.14384602534763,-1.1438460253472114
AHCYStspp,1.1438460253472105,1.1438460253476352
AHEXASE3,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICAMPRT,0.0,0.0
AICART,0.0,0.0
AIRC3,0.0,0.0
AKP1,0.5719230126736056,0.5719230126738132
ALAALA,0.08201858055640084,0.08201858057243062
ALAASP1c,0.0,0.0
ALAGLN1c,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLY1c,0.0,0.0
ALAHIS1c,0.0,0.0
ALALEU1c,0.0,0.0
ALAR,0.16403716111280167,0.16403716114384806
ALAS,1.525128033796282,1.5251280337968454
ALATA_L,-7.335114862281339,-7.33511486225022
ALATHR1c,0.0,0.0
ALKP,0.0,0.0
AM3PA,0.0,0.0
AM4PA,0.0,0.0
AMALT1,0.0,346.40182606075024
AMALT2,0.0,346.4018260607499
AMALT3,0.0,346.4018260607641
AMALT4,0.0,3.1322278665958376e-10
AMMQLT8,0.19064100422453514,0.19064100422460645
AMPN,0.0,9.545311035436589e-10
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.0
ANS,0.0,0.0
ANS2,0.0,0.0
APRAUR,0.0,0.0
ARGDC,0.3812820084490704,0.38128200844921134
ARG_Ltex,5.5054561522686605,5.5054561522707575
ARGt2pp,5.505456152268661,5.5054561522707575
ASAD,-0.2726595852428101,-0.27265958478093566
ASNS2,3.9300349056502584,3.930034906583355
ASP1DC,0.0,3.682830557428181e-10
ASPCT,0.0,9.23037798823729e-11
ASPKi,0.27265958478093505,0.2726595852434172
ASPTA,-8.132729397941327,-8.132729396081425
ATPS4rpp,232.5683557415333,575.1812712681734
BACCLi,0.0,0.0
BPNT,0.19064100422453517,0.1906410042246071
BTNPL,0.0,0.0
BTNt2pp,0.19064100422453517,0.19064100422460661
BTNtex,0.1906410042245352,0.19064100422460661
CA2tex,0.19064100422453517,0.19064100422460661
CAt4ipp,0.19064100422453517,0.19064100422460661
CBIAT,0.19064100422453517,0.1906410042246066
CBL1abcpp,0.0,0.0
CBL1tex,0.0,0.0
CBPS,0.0,9.509714637427114e-11
CD2abc1pp,0.0,0.0
CD2tex,0.0,0.0
CDOSKT,1.3268537587814957,1.326853758781993
CDPMEK,5.477588487509255,5.477588487684104
CHORM,12.947034078348398,12.947034078518582
CHORS,14.090880103695609,14.090880103864178
CHRPL,0.19064100422453517,0.19064100422460584
CLPNH180,0.6654802583780595,0.6654802583783114
CLtex,0.19064100422453514,0.19064100422460734
CO2tex,326.2197211856413,464.451338624573
CO2tpp,326.2197211856426,464.4513386245715
COBALT2tex,0.1906410042245352,0.19064100422460645
COBALTtpp,0.19064100422453517,0.1906410042246068
COCHL,0.0,0.0
CPC4MT,0.0,0.0
CSPMDDC,0.19064100422453517,0.19064100422460686
CSPMDDH,0.19064100422453484,0.19064100422460423
CTPS1,0.0,0.6921609396028664
CTPS2,0.0,0.6921609394607706
CU2tex,0.1906410042245352,0.19064100422460617
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYSTA,0.0,0.0
CYSTL,0.0,0.0
CYS_Ltex,1.8902903548148253,1.890290354815159
CYSt2rpp,1.8902903548148255,1.8902903548154784
CYTBD2pp,0.0,0.19064100607770257
CYTBDpp,0.0,138.23161743892774
CYTD,999.3078390605375,1000.0
CYTDK1,0.0,257.6518475825636
CYTDK2,0.0,257.65184758257345
CYTDK3,0.0,257.6518475825956
CYTDK4,0.0,257.65184758258056
CYTDt2rpp,999.9999999981518,1000.0
CYTDtex,999.9999999981518,1000.0
CYTK1,10.791150410142787,11.864593358967165
CYTK2,0.3396421311694097,0.3396421321077953
Cuabcpp,0.19064100422453517,128.6704843267523
Cut1pp,0.0,128.47984332249996
DADNK,0.37239021493819907,257.3320768600558
DADNt2rpp,-999.6276097850608,998.67699069843
DAD_2tex,-999.6276097850616,998.6769906984255
DAGK180,2.6619210335122383,2.661921033513217
DAPDC,0.0,4.685033614925964e-10
DAPDH,0.08201858055640084,1000.0
DAPMDH,0.0,999.9179814194435
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,1.9964407751341784,1.9964407751349167
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DB4PS,0.0,0.0
DCMPDA,-257.29932877710314,-0.33964213117504416
DCYTD,0.33964213022646117,257.2993287770901
DCYTt2rpp,0.3396421302784713,0.33964213396787274
DCYTtex,0.3396421302784713,0.3396421339635471
DDCAtex,7.297682425691858,7.297682425694566
DDCAtpp,7.297682425691858,7.297682425694612
DDPA,14.090880103696751,14.09088010386541
DGK1,0.3396421319933446,0.3396421329951028
DGSNt2rpp,-997.9649583503459,1000.0
DGSNtex,-997.9649583503406,1000.0
DHDPRy,0.0,1000.0
DHDPS,0.08201858055640084,0.0820185810310882
DHFOR2,0.0,0.0
DHFR,0.5719230126736055,0.5719230145135513
DHFS,0.5719230126736056,0.5719230127518421
DHNAOT4,0.3812820084490703,0.3812820084492142
DHNAS,0.0,0.0
DHNPA,0.5719230126736056,0.5719230126738228
DHORD6,0.0,9.652100229465148e-11
DHORTS,-9.150216953893597e-11,-1.3432687701176233e-13
DHPPDA,0.0,0.0
DHPS,0.5719230126736055,0.5719230126738228
DHQS,14.090880103695863,14.090880103866981
DHQTi,14.09088010369575,14.090880103865475
DINSt2pp,0.0,1000.0000000000001
DINtex,0.0,1000.0
DMATT,0.6539415932300061,0.6539415932302514
DMPPS,0.6539415932300063,0.6539415932303144
DMQMT,0.19064100422453514,0.19064100422460664
DM_atp_c_,0.0,256.9596866450161
DM_dhptd(c),0.0,0.0
DPCOAK,0.38128200844900617,0.381282008499882
DRBK,0.0,0.0
DRPAr,0.0,0.0
DTMPK,1.0358303420508108,1.0358303429572866
DURIK1,0.3396421311940852,257.299328777082
DURIPP,-1.8469457317223498e-09,1.3244987560162653e-10
DURIt2pp,0.0,1.873927936518697e-09
DURItex,0.0,1.884595874607659e-09
DUTPDP,0.0,4.71136070002461e-10
DXPRIr,5.477588487509253,5.477588487653118
DXPS,5.477588487509254,5.477588487649665
D_LACt2pp,-1000.0000000000006,-723.5367651221417
EAR100x,0.0,0.0
