,minimum,maximum
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,0.07889450168296713,0.07889450173792403
2AHBUTI,0.0,0.0
2HYOXPLACt2r,-992.303625352115,0.0
2MBCOATA,3.631986423305079,3.6319864233040318
2MEBCOADH,3.6319864233050763,3.6319864233050696
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,3.631986423305076,3.631986423305054
3HAD11M12,3.631986423305076,3.631986423305053
3HAD12M14,3.631986423305076,3.631986423305054
3HAD13M14,3.631986423305076,3.631986423305053
3HAD14M16,3.631986423305076,3.631986423305054
3HAD15M16,3.631986423305076,3.631986423305053
3HAD4M6,3.631986423305069,3.631986423305047
3HAD5M6,3.631986423305076,3.6319864233050785
3HAD6M8,3.631986423305069,3.631986423305049
3HAD7M8,3.631986423305076,3.6319864233050785
3HAD8M10,3.631986423305076,3.6319864233050554
3HAD9M10,3.631986423305076,3.6319864233050554
3MEBCOADH,-3.631986423305068,-3.631986423305074
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.631986423305071,3.6319864233050665
3OAR11M12,3.6319864233050754,3.631986423305055
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.6319864233050754,3.631986423305055
3OAR13M14,3.6319864233050754,3.631986423305055
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.6319864233050754,3.631986423305055
3OAR15M16,3.6319864233050754,3.631986423305055
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.631986423305065,3.6319864233050487
3OAR5M6,3.6319864233050754,3.6319864233050785
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.631986423305065,3.6319864233050487
3OAR7M8,3.6319864233050754,3.6319864233050785
3OAR80,0.0,0.0
3OAR8M10,3.631986423305065,3.6319864233050487
3OAR8M9,0.0,0.0
3OAR9M10,3.6319864233050754,3.6319864233050785
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.631986423305076,3.631986423305078
3OAS11M12,3.631986423305076,3.631986423305078
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.631986423305076,3.631986423305041
3OAS13M14,3.631986423305076,3.631986423305041
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.631986423305076,3.631986423305041
3OAS4M3O6,3.6319864233050656,3.631986423305036
3OAS4M5,0.0,0.0
3OAS4M6,3.6319864233050656,3.631986423305048
3OAS5M6,3.631986423305076,3.631986423305049
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.6319864233050656,3.6319864233050656
3OAS7M8,3.631986423305076,3.631986423305069
3OAS80,0.0,0.0
3OAS8M10,3.631986423305076,3.631986423305066
3OAS8M9,0.0,0.0
3OAS9M10,3.631986423305076,3.631986423305078
4HTHRS,0.0,0.0
5AIZCDC,0.0,5.586930381662475e-12
5DOAN,0.0,-1.7913661997956647e-13
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,695.3386814011094
AB6PGH2,0.0,695.3386814011089
ACBIPGT,0.3468239161797535,0.3468239161797525
ACCOACL,43.58383707966089,43.58383707966098
ACGAMK,0.0,-2.9644936719024014e-12
ACGAMT,0.2366835050489009,0.23668350504889996
ACGAMt2,0.0,-8.51341772443759e-12
ACGApts,0.0,-3.0661532647504007e-11
ACGK,8.79496999086322,8.794969990858505
ACGS,0.0,-3.5178322310658837e-12
ACKr,-1000.0,-1000.0000000000351
ACLS_a,0.0,0.0
ACOAAGPAT140,0.0,-1.3126729612606904e-12
ACOAAGPAT160,0.0,-4.500755942687235e-12
ACOAAGPAT180,0.0,1.8159932116525275
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.8159932116525381,1.8159932116525483
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.8159932116525423,1.8159932116525486
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACONTa,-878.4601731670944,-324.8981186591228
ACONTb,-878.460173167105,-324.898118659098
ACOTA,-8.794969990863207,-8.794969990863219
ACPS1,0.34682391617975344,0.346823916179753
ACS,0.0,-1.6418734182844913e-11
ACtr,-1000.0,-1000.0000000000181
ADA,0.0,-6.889656338639541e-12
ADCL,0.0,-6.023416363759849e-12
ADCPS1,0.0,0.0
ADCPS2,0.0,-1.869526697219778e-12
ADCS,0.0,-7.50537888781052e-12
ADCYRS,0.0,-1.869526697219778e-12
ADK1,39.340897680944714,437.8378199963042
ADK2,0.3468239161797535,0.34682391617675196
ADNCYC,0.0,-4.037179140310466e-12
ADNUC,0.0,0.6936478323479306
ADOCBIK,0.3468239161797535,0.3468239161797511
ADOCBLS,0.3468239161797535,0.34682391617975333
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,2.0809434970866345,3.254729087422081
ADSL1r,4.0472560482982445,4.047256048272302
ADSL2r,0.0,-1.5034322544499286e-11
ADSS,4.047256048297977,4.04725604827544
AGDC,0.0,-5.572333260905999e-11
AGPAT120,0.0,-2.7210996063033424e-12
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,1.8159932116525281
AGPAT181,0.0,0.0
AGPR,-8.794969990863198,-8.794969990863217
AHCYSNS_r,2.080943497078498,2.0809434970793235
AHEXASE3,0.0,0.0
AICART,0.0,-5.278128957506146e-12
AIHDUDPMG,0.31557800673186776,0.315578006731866
AIHDUPDG,0.3155780067318678,0.3155780067318649
AIHPDCOATA,3.631986423305076,3.631986423305041
AIPDCOATA,0.0,0.0
AIRC4,0.0,-3.8122723509907406e-11
AKGS,0.0,6.305609023280745e-11
ALAALA,0.07889450168296695,0.07889450168296669
ALAASP1c,0.0,-3.812272350990727e-11
ALAASPabc,0.0,2.9705760398619166e-11
ALACI,-1000.0,1000.0
ALAD_R,-1000.0,872.5003288139301
ALAGLN1c,0.0,-3.4249982678377064e-11
ALAGLNabc,0.0,-1.2460569323115377e-11
ALAGLU1c,0.0,-1.2432370901212393e-11
ALAGLUabc,0.0,-2.749599751193408e-11
ALAGLY1c,0.0,-1.3735065549235109e-11
ALAGLYabc,0.0,-1.8471182197104996e-11
ALAHIS1c,3.5796725673723744,3.579672567354483
ALAHISabc,3.5796725673694416,3.5796725673535863
ALALEU1c,0.0,-2.036813929751913e-11
ALALEUabc,0.0,-1.7312923247451546e-11
ALAPGPL,0.07889450168296695,0.0788945016829666
ALAR,-990.6115542997264,1000.0
ALATHR1c,8.161590551159376,561.7236450591249
ALATHRabc,8.161590551163735,561.7236450591205
ALAt2r,-1000.0,1000.0
ALCD19,-555.281284449838,553.5620545079588
ALCD2x,0.0,0.0
ALLTNt2r,0.0,0.0
ALPHNH,0.0,0.0
AMALT1,0.0,-3.2816851230497455e-12
AMALT2,0.0,-6.26037359872835e-12
AMALT3,0.0,-6.26037359872835e-12
AMALT4,0.0,0.0
AMANAPEr,0.0,0.0
AMAOTr,0.0,0.0
AMMQLT8,0.3468239161797534,0.3468239161797513
AMPTASECG,0.0,3.18152638219177
AMPTASEGC,0.0,3.181526382191778
AOXSr,0.0,0.0
APAT,0.0,0.0
APRAUR,0.0,0.0
ARBTpts,0.0,695.3386814011047
ARGSL,0.0,5.780265048271295e-12
ARGSS,0.0,-2.9457781872605694e-11
ASAD,6.746781392629412e-12,0.0
ASNt2r,6.479387317796702,6.479387317775539
ASPCT,0.0,-2.1625601273238214e-11
ASPKi,0.0,-2.8654758956287327e-11
ASPT,0.0,169.7548030493622
ASPt2r,10.526643366083697,180.28144641543847
ATPPRT,0.0,-5.624124839007956e-12
ATPS4,1000.0000000000135,1000.0
BGLA1,0.0,347.6693407005504
BPNT,0.3468239161797535,0.3468239161797524
BTNCLi,43.583837079660995,43.583837079661144
BTNabc,0.0,-1.1705949371102342e-11
BTS4,0.0,0.0
BUTSO3abc,0.0,-9.567398453862368e-12
CAt4i,0.3468239161797535,0.34682391617975267
CBIAT,0.34682391617975344,0.34682391617975533
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBMK,0.0,2.432405064125161e-11
CBPS,0.0,8.800312399765188e-13
CD2abc1,0.0,-1.1585135761300567e-11
CD2t6r,1.0822201148655415e-11,-9.647985324204775e-15
CDPGLYCGPT,0.23668350504890087,0.23668350504890184
CDPMEK,9.19161350682672,9.191613506826766
CELBpts,0.0,347.66934070054987
CGLYabc,0.3468239161797534,3.52835029837023
CHORS,1.0404717485392603,1.0404717485384314
CHRPL,0.34682391617975333,0.3468239161797529
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.37510380123016757,0.3751038012301669
CLPNSAI15,0.0,0.0
CLPNSAI17,0.37510380123016757,0.3751038012301669
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.37510380123016757,0.3751038012301669
CO2t,-828.4209532550382,967.6739684302878
COBALTt5,-0.3468239161797654,-0.34682391617975344
CPC2MT,0.0,-5.153499534669493e-13
CPC3MT,0.0,-1.3116628899380714e-13
CPC4MT,0.0,-3.04703529937275e-13
CPC8MM,0.0,0.0
CPPPGO,0.0,-5.782356297588637e-13
CPPPGO2,0.0,-5.29652555456818e-13
CSNt6,0.0,0.0
CTPS1,0.0,2.3149405440935547
CTPS2,0.0,2.3149405440899304
CYO1b,0.0,925.4688074163614
CYOO3,0.0,915.670800541475
CYRDAAT,0.0,-1.957155434573173e-12
CYRDAR,0.0,0.0
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYTBD,0.0,925.4688074163779
CYTBD2,0.0,925.4688074164138
CYTD,0.0,7.045759564463366e-12
CYTDK3,0.0,-2.93601923975774e-12
CYTK1,47.06523333348374,47.75888116584194
CYTK2,-0.46364334248136635,0.7101422478600242
Cuabc,0.3468239161797535,0.3468239161718862
