,minimum,maximum
23DHMPO,-7.630149645540304,-7.6301496455406435
25K5O2AI,0.0,0.0
2AHBUTI,7.630149645540642,7.630149645540413
2MBCOATA,1.5769459720447339,1.5769459720446628
2MEBCOADH,-1.5769459720446886,-1.5769459720447343
34DCCBR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,1.576945972044734,1.5769459720446872
3HAD11M12,1.57694597204473,1.5769459720446632
3HAD12M14,1.5769459720447336,1.5769459720446626
3HAD13M14,1.57694597204473,1.5769459720446632
3HAD14M16,1.5769459720447336,1.5769459720446626
3HAD15M16,1.57694597204473,1.5769459720446632
3HAD4M6,1.5769459720447336,1.5769459720446626
3HAD5M6,1.57694597204473,1.5769459720446632
3HAD6M8,1.5769459720447336,1.5769459720446626
3HAD7M8,1.57694597204473,1.5769459720446632
3HAD8M10,1.5769459720447336,1.5769459720446626
3HAD9M10,1.57694597204473,1.5769459720446632
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MEBCOADH,-1.5769459720446835,-1.5769459720447345
3MOBDC2,0.0,0.0
3MOBS,0.0,0.0
3MOPDC2,3.153891944089468,3.1538919440893722
3OADPCOAT,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,1.5769459720447336,1.576945972044667
3OAR11M12,1.5769459720447316,1.576945972044667
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,1.5769459720447336,1.576945972044667
3OAR13M14,1.5769459720447316,1.576945972044667
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,1.5769459720447336,1.5769459720446684
3OAR15M16,1.5769459720447316,1.5769459720446704
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,1.5769459720447336,1.5769459720446684
3OAR5M6,1.5769459720447316,1.5769459720446704
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,1.5769459720447336,1.5769459720446684
3OAR7M8,1.5769459720447303,1.5769459720446688
3OAR80,0.0,0.0
3OAR8M10,1.5769459720447336,1.5769459720446684
3OAR8M9,0.0,0.0
