,minimum,maximum
15DAPtex,1.7151708426955044e-10,0.0
15DAPtpp,0.0,-1.425195916052719e-10
1P4H2CBXLAH,0.0,0.0
1PPDCRx,-1000.0,999.9999999999999
1PPDCRy,-999.9999999999999,1000.0000000000011
23DHMPO,-1000.0000000000001,1000.0000000000001
25DOPOX,8.273725696178131e-11,-6.602413708831692e-11
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0
2DH3DGLCA,4.5543234811656337e-11,0.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,5.886130001468068,5.886130001463245
2MEBCOADH,-5.886130001307558,970.9426868240489
2MECOAOX,-1000.0,-1.287074435590849e-10
2OMMBOX,0.6802952448079346,0.6802952447953441
2OMPHH,0.6802952448037016,0.6802952447953442
2S6HCC,0.0,-1.1600966112292952e-12
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,21.45452949362462,21.454529493617894
3HAD10M12,5.886130001468099,5.886130001462037
3HAD11M12,5.8861300014682065,5.886130001464466
3HAD120,21.45452949362462,21.454529493617922
3HAD12M14,5.8861300014681,5.886130001462039
3HAD13M14,5.8861300014682065,5.886130001464466
3HAD140,0.0,-6.699608836340312e-12
3HAD14M16,5.8861300014681,5.886130001462039
3HAD15M16,5.8861300014682065,5.886130001468166
3HAD160,0.0,-8.872770029322017e-12
3HAD180,0.0,-3.425775173791634e-11
3HAD40,21.45452949362462,21.45452949361784
3HAD4M6,5.88613000146806,5.886130001463288
3HAD5M6,5.8861300014682065,5.886130001462103
3HAD60,21.45452949362462,21.4545294936186
3HAD6M8,5.88613000146806,5.886130001464608
3HAD7M8,5.8861300014682065,5.886130001462597
3HAD80,21.45452949362462,21.454529493618892
3HAD8M10,5.88613000146806,5.8861300014644184
3HAD9M10,5.8861300014682065,5.886130001462441
3HBCOAE,-999.9999999999997,999.9999999999999
3HBCOAHL,0.0,-4.590663574352012e-11
3HBCOAOX,-1000.0,1000.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPPPNH,0.0,0.0
3MEBCOADH,-970.9426868238594,5.886130001322767
3MOBDC2,0.0,-3.388487392812111e-11
3MOBS,4.838779891379425e-11,0.0
3MOPDC2,0.0,976.8288168254161
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,21.45452949362462,21.454529493618665
3OAR10M11,0.0,0.0
3OAR10M12,5.886130001468064,5.886130001464498
3OAR11M12,5.886130001468207,5.886130001463097
3OAR120,21.454529493624623,21.454529493618157
3OAR12M13,0.0,0.0
3OAR12M14,5.886130001468064,5.886130001464498
3OAR13M14,5.886130001468207,5.886130001463097
3OAR140,17.1636235948997,17.16362359489323
3OAR14M15,0.0,0.0
3OAR14M16,5.886130001468064,5.886130001468193
3OAR15M16,5.886130001468207,5.886130001468183
3OAR160,0.0,-9.335495976092149e-12
3OAR180,-1.5261502462237858e-27,-2.6654147660448743e-11
3OAR40,21.45452949362462,21.454529493618466
3OAR4M5,0.0,0.0
3OAR4M6,5.886130001468076,5.886130001463244
3OAR5M6,5.886130001468207,5.886130001463038
3OAR60,21.45452949362462,21.45452949361862
3OAR6M7,0.0,0.0
3OAR6M8,5.886130001468077,5.886130001463245
3OAR7M8,5.886130001468207,5.886130001463038
3OAR80,21.45452949362462,21.45452949361862
3OAR8M10,5.886130001468077,5.886130001463245
3OAR8M9,0.0,0.0
3OAR9M10,5.886130001468207,5.886130001463038
3OAS100,21.45452949362462,21.454529493618615
3OAS10M11,0.0,0.0
3OAS10M12,5.886130001468076,5.886130001463281
3OAS11M12,5.8861300014682065,5.8861300014629725
3OAS120,21.45452949362462,21.454529493618715
3OAS12M13,0.0,0.0
3OAS12M14,5.886130001468076,5.886130001468211
3OAS13M14,5.8861300014682065,5.88613000146817
3OAS140,17.1636235948997,17.163623594893693
3OAS160,0.0,-1.5672106872137633e-11
3OAS180,0.0,-3.3311535683391593e-11
3OAS2M3,0.0,0.0
3OAS3M4,5.8861300014682065,5.886130001463508
3OAS4M3O6,5.886130001468075,5.8861300014636715
3OAS4M5,0.0,0.0
3OAS4M6,5.886130001468076,5.886130001463336
3OAS5M6,5.8861300014682065,5.886130001463229
3OAS60,21.45452949362462,21.454529493617585
3OAS6M7,0.0,0.0
3OAS6M8,5.886130001468076,5.886130001463492
3OAS7M8,5.8861300014682065,5.886130001463618
3OAS80,21.45452949362462,21.454529493618267
3OAS8M10,5.886130001468076,5.886130001463494
3OAS8M9,0.0,0.0
3OAS9M10,5.8861300014682065,5.886130001463206
4ABUTtex,4.8784598742744836e-11,0.0
4AHMMPtex,0.6802952448035738,0.680295244795586
4C2HM6SADH,0.0,0.0
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,0.1547515953530838,0.1547515953309557
4HTHDS,0.1547515953530838,0.1547515953299094
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
56DFURADH,-1000.0,1000.0
5AIZCDC,0.0,-3.366672524305036e-11
5ASAt2rpp,-1000.0000000000001,1000.0000000000009
5ASAtex,-1000.0,1000.0
