,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
25DOPOX,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,0.0,1.7238125057947926
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-8.995605385904271e-12,0.0
2HYOXPLACtex,-1.3888293722844425e-11,0.0
2MBCOATA,6.700643158382872,6.700643158384957
2MECOAOX,-1000.0,1.2644524249768191e-11
2OMMBOX,-2.0745541655148753e-12,3.3997385675712874e-12
2OMPHH,-2.5743120608616918e-12,1.717503419470664e-12
2S6HCC,0.0,7.831305958783105e-12
34HPPOR,0.0,0.0
3CARLPDH,-6.423920786411614e-13,0.0
3HACPR1,0.0,7.112091875253918e-12
3HACPR2,0.0,1.1604271791683285e-11
3HAD100,0.0,1.7982990451586075e-11
3HAD10M12,6.700643158382871,6.700643158385083
3HAD11M12,6.700643158382871,6.700643158384826
3HAD120,0.0,4.51253601199611e-12
3HAD12M14,6.700643158382871,6.7006431583847155
3HAD13M14,6.700643158382871,6.700643158384184
3HAD140,0.0,980.3147368801565
3HAD14M16,6.700643158382871,6.7006431583829
3HAD15M16,6.700643158382871,6.700643158382918
3HAD160,0.0,1.2998449076073908e-11
3HAD180,0.0,1.5749657484810385e-11
3HAD40,0.0,6.326628195160415e-12
3HAD4M6,6.700643158382871,6.700643158385026
3HAD5M6,6.700643158382871,6.7006431583844765
3HAD60,0.0,2.9201759696098212e-12
3HAD6M8,6.700643158382871,6.700643158385469
3HAD7M8,6.700643158382871,6.700643158384665
3HAD80,0.0,2.714490210313882e-12
3HAD8M10,6.700643158382871,6.700643158384739
3HAD9M10,6.700643158382871,6.7006431583848585
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,-2.2177317468442327e-30
3HPCOAHL,0.0,0.0
3MOBS,-9.366893683431756e-12,0.0
3OAACPR1,0.0,2.0891618055347828e-12
3OAACPR2,0.0,2.5518432380452288e-12
3OAR100,0.0,4.626669097243e-12
3OAR10M11,0.0,0.0
3OAR10M12,6.700643158382872,6.700643158385325
3OAR11M12,6.700643158382872,6.700643158384378
3OAR120,0.0,2.4264053001011984e-12
3OAR12M13,0.0,0.0
3OAR12M14,6.700643158382872,6.700643158385785
3OAR13M14,6.700643158382872,6.700643158383837
3OAR140,15.748210495878144,996.0629473760333
3OAR14M15,0.0,0.0
3OAR14M16,6.700643158382872,6.7006431583829
3OAR15M16,6.700643158382872,6.700643158382852
3OAR160,0.0,-6.4703934578500796e-12
3OAR180,0.0,1.742194512405465e-11
3OAR40,0.0,7.801544296313346e-12
3OAR4M5,0.0,-1.2670470005613917e-27
3OAR4M6,6.700643158382872,6.700643158382862
3OAR5M6,6.700643158382872,6.700643158382844
3OAR60,0.0,2.88134708669887e-12
3OAR6M7,0.0,0.0
3OAR6M8,6.700643158382872,6.700643158384937
3OAR7M8,6.700643158382872,6.700643158384643
3OAR80,0.0,2.7804631733990907e-12
3OAR8M10,6.700643158382872,6.700643158384937
3OAR8M9,0.0,0.0
3OAR9M10,6.700643158382872,6.7006431583845085
3OAS100,0.0,4.0283217424371395e-12
3OAS10M11,0.0,0.0
3OAS10M12,6.700643158382871,6.700643158385702
3OAS11M12,6.700643158382871,6.7006431583844925
3OAS120,0.0,1.523940940460626e-12
3OAS12M13,0.0,0.0
3OAS12M14,6.700643158382871,6.700643158382896
3OAS13M14,6.700643158382871,6.70064315838286
3OAS140,15.748210495878146,996.0629473760289
3OAS160,0.0,9.071005260238891e-12
3OAS180,0.0,1.4354118214004345e-11
3OAS2M3,0.0,0.0
3OAS3M4,6.700643158382872,6.7006431583844765
3OAS4M3O6,6.700643158382872,6.700643158384755
3OAS4M5,0.0,0.0
3OAS4M6,6.700643158382871,6.700643158385154
3OAS5M6,6.700643158382871,6.700643158385153
3OAS60,0.0,2.824470504201098e-12
3OAS6M7,0.0,0.0
3OAS6M8,6.700643158382871,6.700643158385894
3OAS7M8,6.700643158382871,6.700643158385153
3OAS80,0.0,2.824470504201098e-12
3OAS8M10,6.700643158382871,6.700643158385894
3OAS8M9,0.0,0.0
3OAS9M10,6.700643158382871,6.700643158385153
4ABZt2pp,-6.930584074583457e-12,1.3291625902122716e-12
4ABZtex,-4.9550920534515416e-12,1.481060806000414e-12
4HBZt2pp,-4.9879734208167976e-12,3.1579161216565433e-13
4HBZtex,-3.947436187031171e-12,4.5416600907661917e-13
4HTHDR,0.24357322430176995,1.9673857301226545
4HTHDS,0.24357322430140116,1.9673857301231807
4HTHRS,0.0,0.0
5DOAN,-2.455421155588212e-12,2.377057394050903e-12
5FURAtex,-1000.0,0.0
5FURAtpp,-1000.0000000000001,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-3.7464170692836525e-12,0.0
7A_CZPtex,-999.9999999999997,999.9999999999999
A5PISO,9.841490978056399,9.841490978056505
AACGLYDH,0.0,0.0
AACOAT,0.0,-7.178092742302432e-12
ABUTD,0.0,1000.0
ABUTR,-1000.0,-2.4131941818757454e-14
ACACT1r,-1.240605709816497e-11,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACACt2pp,-1000.0000000000001,1000.0000000000116
ACACtex,-1000.0,1000.0000000000092
ACBIPGT,0.24357322431363362,0.24357322431363473
ACCOAC,0.0,76.47066527663222
ACCOACL,0.0,76.47066527667037
ACCOAL,0.0,1000.0
ACGAMtex,0.0,0.0
ACGAptspp,0.0,0.0
ACGK,19.649197134590853,19.64919713459669
ACGS,0.0,1.555728244711568e-11
ACHBPL,0.0,-8.997890902322699e-12
ACKr,-992.125894752052,-992.1258947520444
ACLS_a,0.0,1.2701833185488435e-11
ACLS_b,-1.3459776691438585e-11,0.0
ACOAAGPAT140,0.0,2.5463966426519335e-12
ACOAAGPAT160,0.0,2.8811952202222714e-12
ACOAAGPAT180,0.0,3.350321579191448
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.3503215791914362,3.3503215791914345
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,-2.5006066110589913e-30
ACOAAGPATI17,3.3503215791914362,3.3503215791914305
ACOAD1,-1000.0000000000151,1000.0000000000001
ACOAD1f,-1000.0,1000.0
ACOAD20,0.0,500.0000000000053
ACOADH2,0.0,500.00000000000006
ACOATA,0.0,6.346280823672077e-12
ACODAr,3.702979172766656e-15,1.8940738468701448e-11
ACONT,-1000.0,1000.0
ACONTa,-1000.0,999.9999999999998
ACONTb,-1000.0,1000.0
ACOTA,-19.64919713459281,-19.649197134590853
ACPS1,0.24357322431363362,0.2435732243175873
ACPpds,0.0,5.106508191334281e-12
ACS,0.0,1.529058617659375e-11
ACTNDH,0.0,0.0
ACtex,-1000.0,-999.9999999999835
ACtrpp,-1000.0,-999.9999999999951
ADA,0.0,0.0
ADCL,0.0,2.397402307462021e-12
ADCPS2,0.0,0.0
ADCS,0.0,6.5535613636722165e-12
ADCYRS,0.0,0.0
ADEtex,0.0,0.0
ADK1,-1000.0,1000.0
ADK10,-1000.0,995.1492233089782
ADK11,-1000.0,1000.0
ADK2,0.24357322431363362,0.24357322431363485
ADK3,-1000.0,978.0613797445765
ADK5,-1000.0,959.5854873779396
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADMDC,0.0,2.066734261065094e-12
ADNCYC,0.0,0.0
ADNK1,0.24357322431363354,0.24357322432852252
ADOCBIK,0.0,0.24357322431363565
ADOCBIK2,0.0,0.24357322431363446
ADOCBLS,0.24357322431363362,0.24357322431363454
ADOCBLabcpp,0.0,0.0
ADOCBLtex,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,7.64567976952976e-12
ADSK,0.0,1.9585285790671276e-11
ADSL1r,11.043585605525376,11.043585605530238
ADSL2r,11.0435856055258,11.043585605531623
ADSS,11.0435856055258,11.04358560552999
AGMD,0.2435732243136336,0.2435732243193566
AGMHE,7.86954292046929,7.869542920469338
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,5.60996156755171e-46
AGPAT161,0.0,0.0
AGPAT180,0.0,3.350321579191455
AGPAT181,0.0,0.0
AGPR,-19.649197134597593,-19.649197134590853
AHC,0.24357322431363357,0.24357322432164427
AHMMPS,0.24357322429150768,0.24357322431363504
AHSERL2,0.0,5.35829458228208e-12
AHSERL3,-0.2435732243306319,-0.24357322429345576
AICART,11.043585605524488,11.043585605529096
AIHPDCOATA,6.700643158382871,6.70064315838292
AIPDCOATA,0.0,0.0
AIRC4,11.043585605524486,11.043585605528865
AKGS,0.0,11.265605765652024
AKGt2rpp,-999.9999999999997,999.9999999999997
AKGtex,-1000.0,1000.0
ALAALA,1.967385730117323,1.9673857301173285
ALAASP1c,0.0,-8.087991822312569e-12
ALAASPabcpp,0.0,1.7345087066937624e-11
ALAASPtex,0.0,1.7345087066937628e-11
ALACI,-1000.0,1000.0
ALAGLN1c,0.0,1.2788856370824134e-11
ALAGLNabcpp,0.0,1.554499252158296e-11
ALAGLNtex,0.0,1.554499252158296e-11
ALAGLU1c,0.0,1.5685762182192293e-11
ALAGLUabcpp,0.0,1.4583081540871836e-11
ALAGLUtex,0.0,1.458308154087184e-11
ALAGLY1c,0.0,1.2465701603444686e-11
ALAGLYabcpp,0.0,1.2986814403478987e-11
ALAGLYtex,0.0,1.2986814403478989e-11
ALAHIS1c,0.0,6.234971113190996
ALAHISabcpp,0.0,6.234971113190954
ALAHIStex,0.0,6.234971113190954
ALALEU1c,0.0,-1.2940786915700073e-11
ALALEUabcpp,0.0,1.2112183650276775e-11
ALALEUtex,0.0,1.2112183650276775e-11
ALAR,3.9347714602346464,1000.0
ALATA_L,-1000.0,1000.0
ALATHR1c,0.0,1.0043975434307827e-11
ALATHRabcpp,0.0,2.278058029768908e-11
ALATHRtex,0.0,2.278058029768908e-11
ALA_Ltex,-999.9999999999999,86.4901656868911
ALAt2rpp,-999.9999999999999,86.49016568685595
ALCD19,-147.37529104017665,979.9676853492391
ALCD2x,0.0,0.0
ALDD2x,0.0,4.616263724145142e-11
ALDD8x,0.0,4.333262556625651e-11
ALLTAH,0.0,0.0
ALPHNH,0.0,0.0
AMALT1,0.0,2.1501541811839703e-11
AMALT2,0.0,1.5311059428271312e-11
AMALT3,0.0,1.5311059428271312e-11
AMALT4,0.0,0.0
AMAOTr,0.0,2.29853526956279e-12
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.7564267756896
AMMQT8r,-1000.0,-0.24357322431410466
AMPMS2,0.0,4.391945579269963e-11
AMPMS3,0.0,1.1662721048878453e-11
AMPN,0.0,1.6034521973317307e-11
AMPSO3OX,-1.0716589164564117e-11,3.645566092939596e-11
AMPTASECG,0.0,6.476931790774931
AMPTASEGC,0.0,6.476931790771449
AMY1epp,0.0,250.0000000000065
ANPRT,0.0,1.7255042773028792e-11
ANS,0.0,-1.2854129860461004e-12
ANZPtex,-1000.0000000000001,1000.0000000000001
AOXSr,0.0,6.639156094391138e-14
APRAUR,0.0,1.5980441389912684e-13
APSRmq,0.0,4.165306430629739e-12
ARBTptspp,0.0,9.239672865538333e-12
ARBTtex,0.0,1.2356351511567044e-12
ARGDA,0.0,1.925018255170905e-12
ARGDC,0.2435732243136336,0.24357322431539932
ARGSL,19.649197134590853,19.64919713459869
ARGSS,19.649197134590857,19.64919713459443
ARG_Ltex,0.0,0.0
ASAD,-1.7238125058205107,0.0
ASNS1,0.0,6.218137790772641e-12
ASP1DC,0.0,1.1597542693263226e-13
ASPCT,0.0,-1.0699260749229718e-11
ASPKi,0.0,1.7238125058110463
ASPO1,0.0,1000.0
ASPO5,0.0,0.4871464486272979
ASPO6,0.0,0.4871464486272256
ASPT,0.0,1000.0
ASPTA,-1000.0,941.9790330375322
ASP_Ltex,0.0,1.883653068155518e-11
ASPabcpp,0.0,2.5500905310071798e-11
ATPPRT,0.0,5.139034650602571e-12
ATPS4pp,999.9999999999975,1000.0
BAMPPALDOX,0.0,0.0
BDH,-1000.0,1000.0
BETALDHx,0.0,0.0
BETALDHy,0.0,0.0
BGLAr,0.0,0.0
BHBtex,-999.9999999999999,999.9999999999999
BHBtppp,-1000.0,1000.0
BPNT,0.2435732243136336,0.2435732243238011
BTDD_RR,0.0,0.0
BTNCLi,0.0,76.47066527665392
BTNT5rpp,-5.157455069522679e-13,1000.0000000000001
BTNtex,-1.9238505661825286e-12,1000.0
BTS4,0.0,3.725845675588627e-12
BUTCT,0.0,1.391466234526352e-11
BUTt2pp,0.0,2.0497724554776044e-11
BUTtex,0.0,2.0497724554776044e-11
BZ12DOX,0.0,2.0484500991929025e-11
BZ12DOXy,0.0,1.5731231219506114e-11
BZAMAH,0.0,1000.0000000000175
BZAMt2rpp,0.0,1000.00000000002
BZAMtex,0.0,1000.00000000002
BZDIOLDH,0.0,2.0074878794349203e-11
BZtepp,0.0,999.9999999999999
BZtex,-1000.0,3.694951869966967e-13
CA2tex,0.24357322431363362,0.2435732243136348
CAP_NR,-1000.0,1000.0
CATDOX,0.0,0.0
CAt4ipp,0.24357322431363362,0.24357322431363515
CBIAT,0.24357322431363362,0.2435732243136338
CBL1abcpp,0.0,0.0
CBL1tex,0.0,0.0
CBL2abcpp,0.0,0.0
CBL2tex,0.0,0.0
CBMKr,19.649197134586377,19.649197134582966
CBMTHL,87.51425088215233,87.51425088218393
CBMTHL2,-1.5353741720382374e-14,0.0
CBPS,0.0,1.2709827991981296e-11
CCOuqpp,0.0,1000.0
CD2abc1pp,0.0,2.1824127386933477e-11
CD2t6rpp,-1.69961587518361e-11,-1.0282692595471308e-12
CD2tex,0.0,0.0
CDOSKT,3.9370526239695374,3.9370526239695236
CDPMEK,21.64124303129055,21.641243031287882
CGLYabcpp,0.24357322430250625,6.72050501506443
CGLYtex,0.2435732243019432,6.720505015039671
CHCOAL,0.0,-3.7819347794966765e-14
CHLPHNCLtex,-999.9999999999999,999.9999999999999
CHLt2rpp,0.0,0.0
CHOLD,0.0,0.0
CHOLtex,0.0,0.0
CHORM,0.0,2.551843238045212e-12
CHORS,0.0,5.4377019517660646e-12
CHRPL,0.0,6.4848314885423615e-12
CINNDO,0.0,0.0
CITL,0.0,2.488382245890617e-11
CITt2pp,7.156344944820655,1000.0
CITtex,7.156344944832572,1000.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.8375803947978592,0.8375803947978652
CLPNSAI15,0.0,0.0
CLPNSAI17,0.8375803947978592,0.837580394797855
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.8375803947978592,0.837580394797855
CLtex,0.24357322431363362,0.24357322431363237
CMLDC,0.0,0.0
CO2tex,-1000.0,-1000.0000000000197
CO2tpp,-999.9999999999999,-999.9999999999849
COBALT2tex,0.24357322431363362,0.24357322431363454
COBALTt5pp,-0.24357322431363382,-0.24357322431363354
CPPPGO2,0.0,7.828341317952669e-13
CS,0.0,992.8436550551745
CSND,18.250332469791626,18.25033246978715
CSNt2pp,18.25033246976554,18.25033246978614
CSNtex,18.25033246976554,18.25033246978614
CTPS1,0.0,8.222022047943288
CTPS2,0.0,8.222022047947178
CU2tex,0.2435732243136336,0.24357322431363546
CYNTCNL,-87.51425088218299,-87.51425088216394
CYO1b,0.0,0.0
CYOO3pp,0.0,0.0
CYOmqpp,0.0,1000.0
CYRDAAT,0.0,0.0
CYRDAR,0.0,0.0
CYRDAS,0.0,0.0
CYSS,0.0,1.4325113281453689e-11
CYSS3r,0.24357322433539647,0.2435732243366212
CYSTS,0.0,0.0
CYS_Ltex,0.0,0.0
CYTBD2pp,0.0,1000.0
CYTBDpp,0.0,1000.0
CYTDK3,0.0,0.0
CYTK1,42.020845195548375,42.020845195551104
CYTK2,0.0,0.0
CZP_NR,-1000.0,1000.0
CZPtex,-1000.0000000000001,1000.0000000000001
Cuabcpp,0.24357322431363362,0.24357322432645628
Cut1pp,0.0,1.2927070075870076e-11
