,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000001
25DOPOX,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,1.9678285484576643,1.9678285484943592
26DAPt2rpp,1.9678285484721558,1.967828548490336
2AHBUTI,-1000.0,1000.0
2DHPL,-6.476741463816971e-12,0.0
2DMMQ8abcpp,0.0,6.831306536182767e-12
2DMMQ8tex,0.0,4.0210544554665134e-12
2HYOXPLACt2rpp,-4.622708892553884e-12,0.0
2HYOXPLACtex,-1.0326774621433536e-11,0.0
2MBCOATA,6.702151336369453,6.702151336371304
2MECOAOX,-1000.0,993.2978486636305
2OMMBOX,0.0,1.6082646806074503e-13
2OMPHH,0.0,9.800406400269065e-14
2S6HCC,0.0,2.4654954506344986e-13
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHEt2pp,0.0,0.0
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,1.332928849267355e-15,0.0
3HACPR1,0.0,8.109624946965022e-13
3HACPR2,0.0,9.941683707778707e-13
3HAD100,19.689693870716773,19.689693870717957
3HAD10M12,6.7021513363694565,6.70215133637233
3HAD11M12,6.7021513363694565,6.702151336369894
3HAD120,19.689693870716777,19.68969387071834
3HAD12M14,6.7021513363694565,6.702151336370148
3HAD13M14,6.7021513363694565,6.702151336371044
3HAD140,0.0,1.563859479655853e-12
3HAD14M16,6.7021513363694565,6.702151336369464
3HAD15M16,6.7021513363694565,6.702151336369445
3HAD160,0.0,-2.2425472086374805e-12
3HAD180,0.0,9.752707412615211e-12
3HAD40,19.689693870716766,19.689693870718454
3HAD4M6,6.7021513363694565,6.702151336372083
3HAD5M6,6.7021513363694565,6.702151336370168
3HAD60,19.68969387071677,19.689693870720195
3HAD6M8,6.7021513363694565,6.702151336372083
3HAD7M8,6.7021513363694565,6.702151336370168
3HAD80,19.68969387071677,19.6896938707202
3HAD8M10,6.7021513363694565,6.702151336372083
3HAD9M10,6.7021513363694565,6.702151336370168
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHYD,0.0,0.0
3MOBS,-1.4622753981738075e-11,0.0
3MOPt2rpp,-974.2733817081803,1000.0000000000002
3MOPtex,-974.2733817081776,1000.0
3OAACPR1,0.0,6.867144640378929e-13
3OAACPR2,0.0,8.478635633559721e-13
3OAR100,19.68969387071677,19.689693870719406
3OAR10M11,0.0,0.0
3OAR10M12,6.702151336369455,6.702151336371432
3OAR11M12,6.702151336369455,6.702151336370628
3OAR120,19.689693870716773,19.689693870719342
3OAR12M13,0.0,0.0
3OAR12M14,6.702151336369455,6.7021513363714
3OAR13M14,6.702151336369455,6.702151336368954
3OAR140,15.751755096573422,15.751755096577346
3OAR14M15,0.0,1.4257149835529478e-12
3OAR14M16,6.702151336369455,6.702151336369465
3OAR15M16,6.702151336369455,6.702151336369461
3OAR160,0.0,1.64687060634317e-12
3OAR180,0.0,1.0346914553986354e-11
3OAR40,19.689693870716763,19.689693870718834
3OAR4M5,0.0,0.0
3OAR4M6,6.702151336369455,6.70215133637089
3OAR5M6,6.702151336369455,6.702151336369219
3OAR60,19.689693870716766,19.689693870719232
3OAR6M7,0.0,0.0
3OAR6M8,6.702151336369455,6.7021513363714185
3OAR7M8,6.702151336369455,6.7021513363676
3OAR80,19.68969387071677,19.689693870718934
3OAR8M10,6.702151336369455,6.7021513363714185
3OAR8M9,0.0,0.0
3OAR9M10,6.702151336369455,6.702151336370507
3OAS100,19.68969387071677,19.689693870719378
3OAS10M11,0.0,0.0
3OAS10M12,6.702151336369455,6.702151336370944
3OAS11M12,6.702151336369455,6.702151336370506
3OAS120,19.68969387071677,19.689693870719378
3OAS121,0.0,0.0
3OAS12M13,0.0,1.4141287637715275e-12
3OAS12M14,6.702151336369455,6.702151336369471
3OAS13M14,6.702151336369455,6.702151336369487
3OAS140,15.751755096573422,15.751755096577844
3OAS141,0.0,0.0
3OAS160,0.0,7.774976454550469e-12
3OAS161,0.0,0.0
3OAS180,0.0,1.1082295991878903e-11
3OAS181,0.0,0.0
