,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-999.9999999999999,999.9999999999999
25DOPOX,0.0,0.0
26DAP_Mtex,5.233779420063479,5.233779420063364
2AHBUTI,-999.9999999999999,1000.0
2DDPENTHL,0.0,0.0
2DHPL,0.0,0.0
2HYOXPLACt2rpp,5.287399972937153e-12,0.0
2HYOXPLACtex,5.347311196398815e-12,0.0
2INSD,0.0,0.0
2MBCOATA,1.4360857788143309,1.4360857788142989
2MEBCOADH,-1.4360857788123207,-1.4360857788143313
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD100,4.640608424012788,4.640608424002022
3HAD10M11,1.4360857788251473,1.4360857788142591
3HAD10M12,1.4360857788143302,1.4360857788142987
3HAD11M12,1.4360857788143302,1.4360857788142978
3HAD120,4.640608424012785,4.640608424001868
3HAD12M13,1.436085778825208,1.4360857788143073
3HAD12M14,1.43608577881433,1.4360857788142944
3HAD13M14,1.43608577881433,1.436085778814294
3HAD140,0.4216512656593394,0.42165126564741573
3HAD14M15,1.4360857788252073,1.4360857788142964
3HAD14M16,1.4360857788143293,1.4360857788142949
3HAD15M16,1.4360857788143293,1.4360857788142949
3HAD160,1.8036342567074024e-16,-1.192400991638107e-11
3HAD180,1.4360857788143293,1.436085778814299
3HAD40,4.64060842401279,4.640608424000864
3HAD4M5,1.4360857788252175,1.4360857788142722
3HAD4M6,1.4360857788143306,1.4360857788142958
3HAD5M6,1.4360857788143306,1.4360857788142969
3HAD60,4.640608424012788,4.640608424000864
3HAD6M7,1.4360857788252175,1.4360857788142722
3HAD6M8,1.4360857788143304,1.4360857788142958
3HAD7M8,1.4360857788143304,1.4360857788142967
3HAD80,4.640608424012788,4.640608424000864
3HAD8M10,1.4360857788143302,1.4360857788142996
3HAD8M9,1.4360857788252175,1.4360857788142722
3HAD9M10,1.4360857788143302,1.4360857788142964
3HBCOAE,0.0,0.0
3MEBCOADH,-1.4360857788122865,-1.4360857788143326
3MOBDC2,1.4360857788252193,1.4360857788143035
3MOBS,-6.328562177276246,-6.328562177276376
3MOPDC2,2.872171557628664,2.8721715576285987
3MOPt2rpp,6.948588975443466,6.948588975421805
3MOPtex,6.948588975439111,6.9485889754218055
