,minimum,maximum
13PPDHr,0.0,0.0
23DHMPO,-3.669433122269463e-11,0.0
26DAPLLAT,0.0,0.0
2AHBUTI,0.0,4.178280293521728e-11
2MBCOATA,4.06868514790098,4.068685147902138
3HAD10M12,4.068685147900981,4.068685147902548
3HAD11M12,4.068685147900981,4.068685147901514
3HAD12M14,4.06868514790098,4.068685147901167
3HAD13M14,4.06868514790098,4.068685147901012
3HAD14M16,4.068685147900981,4.0686851479009825
3HAD15M16,4.068685147900981,4.068685147900991
3HAD4M6,4.0686851479009825,4.068685147900994
3HAD5M6,4.0686851479009825,4.068685147900998
3HAD6M8,4.068685147900982,4.068685147900994
3HAD7M8,4.068685147900982,4.068685147900986
3HAD8M10,4.068685147900982,4.068685147901005
3HAD9M10,4.068685147900982,4.068685147901004
3MOBS,5.710825035102779e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.068685147900982,4.068685147901003
3OAR11M12,4.068685147900982,4.068685147901003
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.06868514790098,4.068685147901002
3OAR13M14,4.06868514790098,4.068685147901003
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.068685147900982,4.068685147901003
3OAR15M16,4.068685147900982,4.068685147901003
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.068685147900979,4.068685147901006
3OAR5M6,4.0686851479009825,4.068685147900985
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.0686851479009825,4.0686851479010055
3OAR7M8,4.0686851479009825,4.068685147901005
3OAR80,0.0,0.0
3OAR8M10,4.068685147900982,4.068685147901004
3OAR8M9,0.0,0.0
3OAR9M10,4.068685147900982,4.068685147901004
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.06868514790098,4.068685147900981
3OAS11M12,4.06868514790098,4.068685147900982
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.06868514790098,4.068685147900978
3OAS13M14,4.06868514790098,4.068685147900979
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.068685147900982,4.068685147900987
3OAS4M3O6,4.068685147901028,4.068685147900988
3OAS4M5,0.0,0.0
3OAS4M6,4.068685147900982,4.068685147900992
3OAS5M6,4.068685147900982,4.068685147900993
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.068685147900981,4.068685147900992
3OAS7M8,4.068685147900981,4.068685147900992
3OAS80,0.0,0.0
3OAS8M10,4.06868514790098,4.068685147900978
3OAS8M9,0.0,0.0
3OAS9M10,4.06868514790098,4.068685147900989
4ABZt2,0.0,0.0
4HTHRS,0.0,0.0
5AIZCDC,0.0,3.22508770511958e-12
5DOAN,0.0,3.254131074795239e-13
AACGLYDH,0.0,0.0
AACOAT,0.0,2.8119646049510815e-13
ABTAr,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,-1.5572420738574943e-12
ACALD,-930.5854331527054,8.03766611321431e-11
ACALDt,69.41456684729462,1000.0
ACBIPGT,0.14789964735719607,0.14789964735719677
ACCOACL,48.824221774811775,48.82422177481208
ACGAM2E,0.0,0.0
ACGAMT,0.2587825898211814,0.25878258982118346
ACGApts,0.0,0.0
ACGK,0.0,4.694294326340721e-12
ACGS,0.0,0.0
ACHBPL,0.0,5.023969958419583e-11
ACKr,-1000.0,-999.9999999999881
ACLS_a,16.823734147774296,16.823734147826535
ACLS_b,-16.823734147785462,-16.823734147768874
ACOAAGPAT140,0.0,3.0852148118190045e-12
ACOAAGPAT160,0.0,3.1374633712640143e-12
ACOAAGPAT180,0.0,2.034342573950497
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.0343425739504903,2.0343425739504983
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.0343425739504903,2.03434257395049
ACOATA,0.0,0.0
ACONTa,-765.7939656881254,10.810674930165064
ACONTb,-765.7939656881368,10.810674930104032
ACOTA,-7.793626781436844e-12,0.0
ACPS1,0.14789964735719605,0.14789964735719557
ACS,0.0,0.0
ACtr,-1000.0,-999.9999999999882
ADCPS1,0.0,-2.0526059903655707e-12
ADCPS2,0.0,0.0
ADD,0.0,4.970403957006818e-12
ADK1,61.51424078281381,61.81004007753726
ADK2,0.14789964735719605,0.14789964735997502
ADMDC,0.0,0.0
ADNK3,0.14789964734741196,0.14789964735754463
ADOCBIK,0.14789964735719607,0.14789964735719652
ADOCBLS,0.14789964735719605,0.14789964735719605
ADOCBLabc,-2.6456771522955353e-17,0.0
ADPRDP,0.0,0.0
ADSL1r,7.027728891827708,7.027728891829694
ADSL2r,0.0,-8.308426795127075e-13
ADSS,7.027728891827792,7.027728891836942
AGMT,0.0,2.4420720053693403e-12
AGPAT120,0.0,9.586416381755307e-13
AGPAT140,0.0,1.4911933511104227e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,1.2908420727486246e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,2.034342573950499
AGPAT181,0.0,0.0
AGPR,-1.0316728739305907e-11,0.0
AHC,0.14789964735559427,0.14789964735719793
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
AHSERL2,0.0,3.98285427384737e-12
AHSERL3,-3.932845781818459,-3.9328457817651112
AICART,0.0,3.431316813028444e-12
AIHPDCOATA,4.068685147900982,4.068685147900979
AIPDCOATA,0.0,0.0
AIRC4,0.0,1.0929463889571852e-11
