,minimum,maximum
23DHMPO,-13.872219526097892,-13.87221952611744
26DAPLLAT,0.0,0.0
2AHBUTI,13.87221952603302,13.87221952610824
2MBCOATA,3.613911225354638,3.6139112253560786
2MBUTt2r,-7.016400792879173e-12,0.0
3HAD10M12,3.6139112253546295,3.6139112253567345
3HAD11M12,3.6139112253546295,3.613911225355894
3HAD12M14,3.6139112253546304,3.6139112253558556
3HAD13M14,3.6139112253546304,3.6139112253558423
3HAD14M16,3.613911225354631,3.6139112253546446
3HAD15M16,3.613911225354631,3.6139112253546197
3HAD4M6,3.613911225354628,3.6139112253546193
3HAD5M6,3.613911225354628,3.6139112253546246
3HAD6M8,3.613911225354628,3.613911225354618
3HAD7M8,3.613911225354628,3.613911225354617
3HAD8M10,3.6139112253546286,3.6139112253546206
3HAD9M10,3.6139112253546286,3.6139112253546197
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.6139112253546295,3.6139112253546215
3OAR11M12,3.6139112253546295,3.613911225354621
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.613911225354631,3.6139112253546215
3OAR13M14,3.613911225354631,3.6139112253546215
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.6139112253546313,3.613911225354622
3OAR15M16,3.6139112253546313,3.613911225354622
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.613911225354638,3.613911225354631
3OAR5M6,3.613911225354628,3.613911225354617
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.613911225354628,3.61391122535462
3OAR7M8,3.613911225354628,3.613911225354619
3OAR80,0.0,0.0
3OAR8M10,3.6139112253546286,3.613911225354621
3OAR8M9,0.0,0.0
3OAR9M10,3.6139112253546286,3.61391122535462
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.61391122535463,3.6139112253546215
3OAS11M12,3.61391122535463,3.6139112253546215
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.613911225354631,3.6139112253546224
3OAS13M14,3.613911225354631,3.6139112253546224
3OAS140,-5.2093893460450616e-12,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.613911225354628,3.613911225354618
3OAS4M3O6,3.6139112253546433,3.613911225354631
3OAS4M5,0.0,0.0
3OAS4M6,3.613911225354628,3.613911225354618
3OAS5M6,3.613911225354628,3.613911225354619
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.613911225354629,3.6139112253546197
3OAS7M8,3.613911225354629,3.6139112253546193
3OAS80,0.0,0.0
3OAS8M10,3.6139112253546295,3.613911225354621
3OAS8M9,0.0,0.0
3OAS9M10,3.6139112253546295,3.613911225354621
4HBZt2,0.13136828640719644,0.13136828640719608
4HTHRS,0.0,0.0
5AIZCDC,0.0,-5.510118100009528e-12
5DOAN,0.0,2.5479334392279306e-12
AACOAT,0.0,6.704975176711194e-13
ACALD,-593.3533394387932,-6.954267562616972
ACALDt,413.6009281241566,1000.0
ACBIPGT,0.1313682864071964,0.13136828640719628
ACCOACL,43.366934704255556,43.36693470425553
ACGAMT,0.22985737954277097,0.2298573795427704
ACGApts,0.0,0.0
ACGK,10.597557938089569,10.597557938160879
ACGS,0.0,0.0
ACHBPL,13.872219526041258,13.872219526091763
ACKr,-1000.0,-999.999999999997
ACLS_a,28.815494682266333,28.8154946823216
ACLS_b,-14.94327515621086,-14.943275156203963
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,1.806955612677323
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.8069556126773156,1.80695561267731
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.8069556126773156,1.8069556126773105
ACOATA,0.0,0.0
ACONTa,-180.48683017378875,30.379695786714013
ACONTb,-180.48683017380225,30.379695786739706
ACOTA,-10.597557938160946,-10.597557938133203
ACPS1,0.13136828640719642,0.13136828640719686
ACS,0.0,-2.7287070504521062e-12
ACtr,-999.9999999999999,-999.9999999999982
ADCS,0.0,1.6215104134437118e-12
ADD,0.2627365728094163,0.26273657281611873
