,minimum,maximum
23DHMPO,-1000.0000000000001,1000.0
26DAPLLAT,-5.811003827444046,-5.811003827554848
2AHBUTI,-999.9999999999999,1000.0
2IMZS,0.0,0.0
2MBCOATA,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3MOBS,8.528794777194908e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4HTHDR,-994.1889961724457,5.811003827554541
4HTHDS,-994.1889961724451,5.811003827554394
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
6P3HXI,0.0,0.0
AACGLYDH,0.0,0.0
AB6P3HXLL,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000003
ABUTR,-1000.0,1.1368683772161603e-13
ACACCTr,0.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-2.206041038308409e-12,1000.0
ACALDt,1000.0000000000581,1000.0
ACBIPGT,0.0,-5.360617141986439e-11
ACCOACL,0.0,-2.5923153692568084e-12
ACGAM2E,0.0,0.0
ACGAMT,0.3404561046941064,0.3404561046941047
ACGApts,0.0,-4.392034607204687e-12
ACGK,0.0,-2.2337613510080097e-11
ACGS,0.0,-8.092613543842213e-12
ACHBPL,0.0,-1.422175710436107e-11
ACKr,-1000.0,-1000.0000000000487
ACLS_a,0.0,-2.0137347623831304e-11
ACLS_b,4.605506654397223e-11,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,0.0,-6.9823016807839486e-12
ACONT,0.0,-2.5354584799430905e-11
ACOTA,1.3557176165934014e-11,0.0
ACPS1,0.49072681875196633,0.49072681875196295
ACtr,-1000.0,-1000.0000000000424
ADCA_T,0.0,0.0
ADCL,0.0,-1.2151922847331328e-11
ADCPS2,0.0,-1.7635331319192057e-11
ADCS,0.0,-1.0626124767376642e-11
ADCYRS,0.0,-2.215549685183123e-12
ADD,9.881006376582397,25.37999091363193
ADEt2,23.761536238235063,39.2605207752406
ADK1,-786.8443790753323,1000.0
ADK10,-1.2288844159888466,-0.7381575972391411
ADK11,0.7381575972481668,0.7381575972375017
ADK2,0.0,-1.6765088269596083e-12
ADK3,-32.44305379941282,-13.877576477183336
ADK5,-80.22302045184188,-79.24156681433813
ADK7,-800.7219555525279,986.1224235228166
ADK8,0.0,-7.663353080034061e-12
ADK9,0.0,0.0
ADOCBIK,0.0,-1.6657500172211112e-12
ADOCBIK2,0.0,-8.287773316333969e-12
ADOCBLS,0.0,-3.952107064615391e-12
ADOCBLabc,0.0,-5.92205520307828e-14
ADPRDP,0.0,0.0
ADPT,13.880529861635035,13.880529861624915
ADSL1r,2.3978988121842842e-27,-9.056831590588218e-12
ADSL2r,0.0,0.0
ADSS,0.0,4.325877016029007e-12
AGDC,0.0,-1.0072095039850303e-11
AGMT,0.0,0.0
AGPAT120,0.0,-1.2029037418516863e-12
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,2.6939570111372452e-12,0.0
AGTi,0.0,-2.6715678017284977e-12
AHCYSNS_r,0.0,0.0
AHEXASE3,0.0,0.0
AHMMPS,0.0,-2.589110029446552e-13
AHSERL3,0.0,1.6470129777017572e-12
AICART,0.0,6.656270860285939e-13
AIHPDCOATA,0.0,0.0
AIPDCOATA,2.749132427964913e-12,0.0
AIRC4,6.162671628617787e-12,0.0
AKP1,0.0,-8.151148431529437e-13
ALAALA,5.811003827554848,5.811003827554845
ALAASP1c,0.0,-1.6387203938715144e-11
ALAASPabc,0.0,8.565215178020709e-12
ALACI,-1000.0,1000.0000000000065
ALAGLN1c,0.0,1.1176287938456103e-11
ALAGLNabc,0.0,-2.382219221683064e-12
ALAGLU1c,0.0,-2.3500270700386973e-12
ALAGLUabc,0.0,-2.248290405764984e-11
ALAGLY1c,0.0,-2.2482904057649848e-11
ALAGLYabc,0.0,-3.3694695263179793e-12
ALAHIS1c,0.0,-3.369469526317979e-12
ALAHISabc,0.0,-1.281347566346274e-11
ALALEU1c,0.0,-8.542317108975155e-12
ALALEUabc,0.0,-1.562927648827302e-11
ALAPGPL,0.11348536823136877,0.11348536823136839
ALAR,16.72884922552129,16.728849225521234
ALATA_L,-927.8100469938064,971.4113265497771
ALATHR1c,6.036028433318573e-14,15.498984537264636
ALATHRabc,0.0,15.498984537264636
ALAt2r,-899.2213735436131,1000.0
ALCA_T,0.0,0.0
ALCD19,1.4507039569821083e-27,0.0
ALCD2x,-1000.0,-3.3830275087350646e-11
ALCD4,0.0,0.0
ALDD2x,0.0,-7.815688250006946e-12
ALDD8x,0.0,-8.242351132141313e-12
ALLTNt2r,0.0,0.0
AMALT1,0.0,-2.6457454379186894e-12
AMALT2,0.0,-8.061811771595244e-12
AMALT3,0.0,-1.138975614530013e-11
AMALT4,0.0,-9.242312538738324e-12
AMMQT8r,0.0,0.0
AMPMS2,0.0,-2.875355105308621e-12
AMPMS3,0.0,0.0
AMPSO3OX,1.9687989496184145e-12,0.0
AMPTASECG,0.0,-3.510213570963409e-11
AMPTASEGC,0.0,-3.377216599898629e-11
ANS,0.0,0.0
ANS2,0.0,0.0
AOBUTDs,0.0,0.0
APPLDH,0.0,0.0
APRAUR,0.0,-9.012409397403287e-12
ARAI,0.0,-1.5305842614736307e-11
ARBabc,0.0,-1.6859478536763548e-11
ARGDC,0.0,0.0
ARGN,0.0,0.0
ARGSL,0.0,-1.0053041708803147e-11
ARGSS,0.0,-9.686262561222736e-12
ARGt2r,18.114300719851897,18.114300719854104
ASAD,-5.811003827545776,-5.8110038275548455
ASNS1,0.0,-1.6328613178166494e-11
ASNS2,0.0,-1.1031975146329632e-11
ASPCT,-1.4848610751891619e-27,-3.3575766938160765e-12
ASPKi,5.8110038275547256,5.811003827548019
ASPO1,0.0,-1.403787444908217e-10
ASPO2,0.0,-1.1752546211009365e-11
ASPO6,0.0,-1.9850717853237472e-11
ASPO7,0.0,-8.071599450156069e-12
ASPT,0.0,-1.425143237680654e-10
ASPTA,-919.7791914445065,979.4421820990365
ASPt2r,-899.2213735435785,1000.0
ATPPRT,0.0,-9.672464478627175e-13
ATPS4,216.53195999057147,232.0309445277482
BACCLi,0.0,0.0
BGLA,0.0,-1.5674287480710454e-11
BPNT,0.49072681875196633,0.4907268187519639
BTNCLi,0.0,0.0
BTS4,0.0,0.0
BUTCTr,0.0,0.0
BUTSO3abc,0.0,0.0
BUTt2,0.0,0.0
CA2abc,0.4907268187519663,0.49072681875196417
CAP_NR,-1000.0000000000001,1000.0
CBIAT,0.0,0.0
CBL1abc,0.0,-7.374886891152466e-12
CBL2D,1.725533260081977e-12,0.0
CBL2abc,0.0,-6.7681223646792374e-12
CBLAT,0.0,-7.543302359955076e-12
CBMK,0.0,-1.51142151970297e-11
CBPS,0.0,-1.2768429101477205e-11
CD2abc1,0.0,-3.8179992008518945e-11
CD2t6r,2.0670223149970218e-11,1.0253958213808345e-13
CDPGHL,0.0,0.0
CDPGLYCGPT,0.3404561046941064,0.34045610469410853
CDPMEK,63.92104210310332,63.92104210310372
CELLBabc,0.0,-8.379820195933862e-12
CGLYabc,0.0,-5.04352639309074e-11
CHORM,0.0,-1.9510230434079e-11
CHORS,0.0,-2.005490226512147e-11
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.0,0.0
CLPNSAI15,0.0,0.0
CLPNSAI17,0.0,0.0
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.0,0.0
CMLDC,0.0,0.0
CO2t,-1000.0,-1000.0000000000601
COBALTt5,-0.4907268187519653,-0.49072681875196633
CODH_ACS,196.55906447092534,212.05804900805387
CPC3MT,0.0,0.0
CPC5MT,0.0,0.0
CPC5MT1,0.0,0.0
CPC5MT2,0.0,0.0
CPC6MT,0.0,0.0
CPC6R,0.0,0.0
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CSNt2,0.0,0.0
CTPS1,8.899552739067305,8.899552738905093
CTPS2,0.0,-2.114505987851638e-10
CYFO,0.0,998.3568060167994
CYRDAAT,0.0,-3.1280917919168525e-12
CYRDAR,0.0,0.0
CYRDAS,0.0,0.0
CYSS,0.0,-1.7385136986851885e-11
CYSS3r,5.746162420068916e-12,0.0
CYSTS,0.0,-1.09232997619642e-11
CYSt2r,6.572775932768581,6.572775932751322
CYTD,0.0,0.0
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,79.24156681435042,80.22302045184124
CYTK2,1.2292163668268732e-11,0.0
CZP_NR,-1000.0,1000.0
Cuabc,0.4907268187519663,0.49072681874204993
Cut1,0.0,-1.0257187884467518e-11
DAPDA,0.0,0.0
DAPE,5.811003827554848,5.811003827390731
DAPMDH,0.0,-2.0651279812984442e-10
DASYN120,0.0,-1.2143253718462085e-11
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,0.0,0.0
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DB4PS,0.0,-1.8044808434436694e-12
DCAT,0.0,0.0
DCMPDAi,0.0,-1.8808525828493234e-11
DCTPD,0.0,-1.8539219019208442e-11
DCTPD2,0.0,-2.7218892620108235e-11
DCYTD,0.0,0.0
DDGLK,0.0,0.0
DDPA,0.0,-9.409301259611782e-12
DDPGA,0.0,0.0
DEXTRINASE,0.0,-2.0081657484070806e-11
DEXTRINabc,0.0,-2.024647798120269e-11
DFDCYTDD,0.0,-2.6995303974937136e-11
DFDCYTDabc,0.0,-3.066533651064505e-11
DFDURIte,0.0,-3.066533651064504e-11
DGK1,0.0,0.0
DHAD1,0.0,-4.599800476596736e-11
DHAD2,0.0,-1.8370012023597354e-11
DHAK,0.0,-1.049461063348176e-26
DHDPRy,0.0,1000.0
DHDPS,0.0,999.9999999999999
DHFOR2,0.0,0.0
DHFR,0.7381575972391413,0.7381575972204846
DHFS,0.0,-1.4409833821431545e-11
DHNPA,0.0,-8.498157664132655e-12
DHNPA2,0.0,-8.518924307122202e-12
DHORDi,0.0,-7.306795061822366e-12
DHORDnad,0.0,-1.1624919498398923e-11
DHORTS,1.20616489124106e-11,0.0
DHPM1,0.0,0.0
DHPM2,0.0,0.0
DHPPDA,0.0,-1.1251777352286807e-12
DHPPDA2,0.0,0.0
DHPS,0.0,1.5592215447783156e-14
DHPS2,0.0,2.2207182056259454e-16
DHQS,0.0,-6.555434721173828e-12
DHQTi,0.0,-5.5548653635488625e-12
DMATT,5.811003827554847,5.811003827554297
DMPPS,0.0,1000.0
DMPPS2r,-1000.0,63.92104210310258
DM_4HBA,0.0,0.0
DM_NA1,1000.0000000000695,1000.0
DM_atp_c_,0.0,2.3476224972333247e-12
DM_btn,0.0,0.0
DM_dad_5,0.0,0.0
DM_dhptd(c),0.0,0.0
DM_teich_45_BS(c),0.0,0.0
DM_this[c],0.0,0.0
DNMPPA,9.774595071822628e-12,1.2207807591511354e-16
DNTPPA,0.0,0.0
DPCOAK,0.9814536375038028,0.9814536375037965
DPR,0.0,0.0
DRBK,0.0,0.0
DRIBabc,0.0,0.0
DTMPK,0.7381575972391412,0.7381575972391391
DURIPP,0.0,0.0
DUTPDP,0.0,-1.9552913790512304e-12
DXPRIr,63.921042103103325,63.921042103102934
DXPS,63.92104210310332,63.92104210310324
DXYTST,0.0,0.0
D_LACD,0.0,0.0
D_LACt2,-1000.0,1000.0
EDA_R,0.0,0.0
EHGLAT,0.0,0.0
ENO,1000.0000000000156,1000.0
ESHCYS2_FPe,-1000.0,496.7136120335969
ESHCYS_FPe,0.0,748.356806016801
ESHGLU2_FPe,-1000.0,500.00000000000006
ESHGLU_FPe,0.0,750.0
ETHSO3abc,0.0,-2.194900923833887e-11
ETOHt2r,-1000.0000000000001,-8.704757804636776e-11
EX_7a_czp(e),-999.9999999999998,999.9999999999998
EX_C02528(e),0.0,-1.795077036453082e-10
EX_HC02191(e),0.0,0.0
EX_Lcyst(e),1.3453874532966333e-11,0.0
EX_Lcystin(e),-503.28638796637586,496.7136120335977
EX_ac(e),1000.0000000000521,999.9999999999999
EX_acald(e),-1000.0000000000001,-1000.0000000000953
EX_acgam(e),4.576234485497202e-11,0.0
EX_adchac(e),0.0,0.0
EX_ade(e),-39.26052077523722,-23.76153623825974
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-1000.0,899.2213735435467
EX_alaasp(e),2.0010313389469568e-11,0.0
EX_alagln(e),4.458613002744649e-11,0.0
EX_alaglu(e),2.856481135680477e-11,0.0
EX_alagly(e),3.9220158412922864e-11,0.0
EX_alahis(e),4.778120107815e-11,0.0
EX_alaleu(e),2.8603742319497172e-11,0.0
EX_alathr(e),-15.498984537135476,0.0
EX_alchac(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_anzp(e),-1000.0000000000002,999.9999999999998
EX_arab_L(e),1.8840976378144474e-11,0.0
EX_arg_L(e),-18.114300719854064,-18.114300719859205
EX_asp_L(e),-1000.0,899.2213735436056
EX_biomass(e),62.8379669055198,62.837966905519515
EX_btn(e),0.0,0.0
EX_but(e),7.861652761987636e-11,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),-0.49072681875196394,-0.4907268187519662
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),2.015812302688538e-11,0.0
EX_cgly(e),3.5770952893833414e-11,0.0
EX_chlphncl(e),-999.9999999999999,999.9999999999997
EX_cholate(e),0.0,-8.030991771905844e-11
EX_cl(e),-0.49072681875196345,-0.49072681875196633
EX_co2(e),1000.0000000000318,1000.0
EX_cobalt2(e),-0.4907268187519646,-0.49072681875196633
EX_csn(e),0.0,0.0
EX_cu2(e),-0.4907268187519669,-0.4907268187519663
EX_cys_L(e),-1000.0,1000.0
EX_czp(e),-999.9999999999998,1000.0
EX_dchac(e),0.0,0.0
EX_dextrin(e),1.691665700079292e-11,0.0
EX_dfdcytd(e),2.5913401738751428e-11,0.0
EX_dfduri(e),0.0,-2.3566035449545858e-11
EX_dgchol(e),2.0864016192478477e-10,0.0
EX_drib(e),1.2503649845379622e-11,0.0
EX_ethso3(e),1.0863027796384203e-11,0.0
EX_etoh(e),6.258154279664647e-11,1000.0000000000001
EX_fe2(e),-0.4907268187519639,-0.4907268187519663
EX_fe3(e),-0.49072681875196583,-0.4907268187519663
EX_for(e),-212.7962066053598,1000.0
EX_fum(e),-1000.0,0.0
EX_gal(e),-557.1696115466209,557.1696115465882
EX_galt(e),1.1647025739187237e-11,0.0
EX_gchola(e),1.8603268370656988e-10,0.0
EX_glc_D(e),-557.1696115466191,0.0
