,minimum,maximum
12PPDSDH,398.8304298149069,886.5076489248797
12PPD_Stex,398.83042981464865,886.5076489246869
12PPDtpp,398.83042981464865,886.5076489246869
15DAPtex,-6.310120866558771e-11,2.3862479977014508e-11
15DAPtpp,0.0,957.2631126015606
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2DDGLCNtex,-662.0115672558563,8.982213577932165e-11
2DDPENTHL,0.0,0.0
2DH3DGLCA,-3.5082820381854924e-10,0.0
2DHPL,-2.7027802911711615e-11,0.0
2DMMQ8abcpp,0.0,1.4242599462265013e-11
2DMMQ8tex,0.0,1.440753508046162e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2IMZS,0.0,0.0
2INSD,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,9.069778826797188,9.069778826806818
2OMMBOX,1.0482485785403097,1.0482485785527211
2OMPHH,1.048248578541342,1.0482485785527293
2OXOADOX,0.0,0.0
33HPHACt2rpp,0.0,662.0115672553061
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-428.9322014237145,233.07936583281545
34DHPHAtex,-428.93220142384075,233.07936583267406
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,3.4825955095299396e-11
3CARLPDH,-1.0828086773517061e-10,0.0
3DGUR,0.0,999.9999999999999
3FCHDCOR,0.0,-7.558169788772977e-27
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,33.05870534487603,33.058705344887
3HAD10M12,9.06977882679718,9.069778826806205
3HAD11M12,9.069778826796963,9.069778826805623
3HAD120,33.05870534487603,33.058705344887535
3HAD12M14,9.069778826797178,9.0697788268061
3HAD13M14,9.069778826796963,9.069778826806616
3HAD140,0.0,1.1270847083608537e-11
3HAD14M16,9.06977882679718,9.069778826797222
3HAD15M16,9.06977882679718,9.06977882679721
3HAD160,0.0,2.068552666930908e-11
3HAD180,0.0,5.1682958844155294e-11
3HAD40,33.05870534487606,33.05870534488679
3HAD4M6,9.069778826797187,9.069778826805036
3HAD5M6,9.069778826796973,9.069778826806528
3HAD60,33.05870534487605,33.058705344887066
3HAD6M8,9.069778826797185,9.069778826805035
3HAD7M8,9.06977882679697,9.069778826806527
3HAD80,33.058705344876046,33.05870534488706
3HAD8M10,9.069778826797183,9.069778826805033
3HAD9M10,9.069778826796966,9.069778826806525
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,662.0115672558303
3HPHACtex,0.0,662.0115672559401
3HPPD,0.0,0.0
3MOBS,-9.330398568954183e-11,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,33.05870534487604,33.05870534488843
3OAR10M11,0.0,0.0
3OAR10M12,9.06977882679718,9.069778826805555
3OAR11M12,9.069778826796991,9.069778826805274
3OAR120,33.05870534487603,33.05870534488731
3OAR12M13,0.0,0.0
