,minimum,maximum
12PPDSDH,398.8304298147073,886.5076489245539
12PPD_Stex,398.83042981469015,886.5076489246709
12PPDtpp,398.8304298146901,886.5076489246708
15DAPtex,-5.734155530609124e-11,8.502454526114667e-10
15DAPtpp,0.0,957.2631126015594
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2DDGLCNtex,-662.0115672558121,8.384285000938701e-11
2DDPENTHL,0.0,0.0
2DH3DGLCA,-2.9588220245223917e-10,0.0
2DHPL,-4.054875107207359e-11,0.0
2DMMQ8abcpp,0.0,1.384969134941999e-11
2DMMQ8tex,0.0,1.422674502420326e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2IMZS,0.0,0.0
2INSD,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,9.069778826797176,9.069778826805665
2OMMBOX,1.0482485785415288,1.0482485785529474
2OMPHH,1.0482485785419218,1.048248578552946
2OXOADOX,0.0,0.0
33HPHACt2rpp,0.0,662.0115672548666
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-428.9322014233728,233.07936583268526
34DHPHAtex,-428.9322014233821,233.07936583269992
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,4.0276381348326797e-11
3CARLPDH,-1.2881469113211397e-11,0.0
3DGUR,0.0,1000.0000000000001
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,33.05870534487602,33.05870534488866
3HAD10M12,9.069778826797176,9.069778826806889
3HAD11M12,9.069778826797075,9.069778826806479
3HAD120,33.058705344876024,33.05870534488855
3HAD12M14,9.06977882679718,9.069778826806559
3HAD13M14,9.069778826797076,9.069778826806935
3HAD140,0.0,1.2448301153986873e-11
3HAD14M16,9.069778826797181,9.069778826797226
3HAD15M16,9.069778826797181,9.06977882679722
3HAD160,0.0,2.6700467048328137e-11
3HAD180,0.0,5.6428233586009184e-11
3HAD40,33.05870534487602,33.058705344889354
3HAD4M6,9.069778826797174,9.069778826806452
3HAD5M6,9.06977882679707,9.069778826806594
3HAD60,33.05870534487602,33.05870534488871
3HAD6M8,9.069778826797174,9.069778826806452
3HAD7M8,9.069778826797071,9.069778826806594
3HAD80,33.05870534487602,33.05870534488871
3HAD8M10,9.069778826797174,9.069778826806452
