,minimum,maximum
12DGR180ti,2.570540424725828,2.5705404247258272
23DHMPO,3.126411876147983e-11,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-950.8629899795652,0.0
2AHBUTI,0.0,-1.1127426586599251e-11
2MBCOATA,5.1410808494516544,5.141080849449479
3HAD10M12,5.141080849451655,5.141080849449203
3HAD11M12,5.141080849451655,5.141080849449291
3HAD12M14,5.141080849451655,5.141080849448975
3HAD13M14,5.141080849451655,5.1410808494494
3HAD14M16,5.141080849451655,5.141080849451623
3HAD15M16,5.141080849451655,5.141080849451652
3HAD4M6,5.141080849451655,5.141080849451654
3HAD5M6,5.141080849451655,5.141080849451645
3HAD6M8,5.141080849451655,5.1410808494516615
3HAD7M8,5.141080849451655,5.141080849451673
3HAD8M10,5.141080849451655,5.141080849451662
3HAD9M10,5.141080849451655,5.141080849451674
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.1410808494516544,5.141080849451662
3OAR11M12,5.1410808494516544,5.141080849451673
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.1410808494516544,5.141080849451661
3OAR13M14,5.1410808494516544,5.141080849451672
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.1410808494516544,5.141080849451661
3OAR15M16,5.1410808494516544,5.141080849451651
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.1410808494516544,5.141080849451654
3OAR5M6,5.1410808494516544,5.141080849451663
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.1410808494516544,5.141080849451646
3OAR7M8,5.1410808494516544,5.1410808494516615
3OAR80,0.0,0.0
3OAR8M10,5.1410808494516544,5.141080849451663
3OAR8M9,0.0,0.0
3OAR9M10,5.1410808494516544,5.141080849451663
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.1410808494516544,5.141080849451672
3OAS11M12,5.1410808494516544,5.141080849451672
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.1410808494516544,5.141080849451671
3OAS13M14,5.1410808494516544,5.141080849451661
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.141080849451654,5.141080849451654
3OAS4M3O6,5.1410808494516544,5.141080849451669
3OAS4M5,0.0,0.0
3OAS4M6,5.1410808494516544,5.1410808494516695
3OAS5M6,5.1410808494516544,5.1410808494516695
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.1410808494516544,5.14108084945166
3OAS7M8,5.1410808494516544,5.14108084945166
3OAS80,0.0,0.0
3OAS8M10,5.1410808494516544,5.141080849451662
3OAS8M9,0.0,0.0
3OAS9M10,5.1410808494516544,5.141080849451655
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.3909283233248925e-12
5DOAN,0.0,-3.4707697351413773e-12
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,532.6478821904262
AB6PGH2,0.0,532.6478821904238
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,5.684341886080801e-13
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,59.345161254483486,604.3209731686921
ACALDt,1000.0000000000083,1000.0
ACBIPGT,0.18688200660132243,0.18688200660132173
ACCOACL,61.69297019341985,61.69297019341979
ACGAMT,0.3269907029762524,0.32699070297625255
ACGApts,7.177493784816827e-12,9.931923393747011e-12
ACGK,14.889000816582028,14.889000816582023
ACGS,0.0,8.403935179324394e-12
ACHBPL,0.0,-2.7966325163195568e-11
ACKr,-1000.0000000000001,-1000.0000000000247
ACLS_a,0.0,-4.2205851450538323e-11
ACLS_b,6.252823752295986e-11,4.2585356143638385e-13
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.5705404247258272,2.5705404247258117
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.5705404247258272,2.570540424725825
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,8.021938125718741e-12
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACOTA,-14.889000816566037,-14.889000816582028
ACPS1,0.1868820066013224,0.18688200660132204
ACS,0.0,-3.533277694882769e-12
ACYP,0.0,-1.9516614061198765e-11
ACYP_2,0.0,-9.542112550263754e-12
ACtr,-1000.0,-1000.0000000000231
ADCL,0.5606460198039676,0.5606460198032545
ADCPS1,0.0,0.0
ADCPS2,0.0,-2.075464197096953e-12
ADCS,0.5606460198039677,0.5606460198029425
ADCYRS,0.0,-2.3877125186327845e-12
ADD,0.0,-1.0800084484241774e-11
ADK1,43.2786257558869,43.65238976902659
ADK2,0.18688200660132245,0.18688200659610324
ADMDC,0.0,-3.0466283536852748e-12
ADNCYC,0.0,-2.219257996015537e-12
ADNUC,0.0,-1.5271999280936295e-11
ADOCBIK,0.0,0.18688200660132157
ADOCBIK2,0.0,0.18688200660132254
ADOCBLS,0.18688200660132243,0.18688200660132256
ADOCBLabc,4.058968405987846e-17,0.0
ADPRDP,0.0,0.0
ADPT,0.0,3.7730929230422296e-12
ADSL1r,9.132443557211543,9.132443557206317
ADSL2r,0.0,-3.938759901086347e-12
ADSS,9.1324435572098,9.132443557204107
AGDC,0.0,3.2469749556480614e-12
AGPAT120,0.0,-7.057458626817708e-12
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,-14.889000816581959,-14.889000816582024
AGTi,0.0,0.0
AHC,0.37376401320710545,0.3737640132026433
AHCYSNS_r,-2.1364838702546019e-13,-6.858715525360694e-12
AHEXASE3,0.0,0.0
AHMMPS,0.0,-1.0796680016662964e-11
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,0.0,-2.3601099746941832e-12
AIHPDCOATA,5.141080849451655,5.141080849451637
AIPDCOATA,0.0,0.0
AIRC4,0.0,-9.832424354538047e-13
AKP1,0.5606460198039672,0.5606460198039644
ALAALA,1.5094803381578152,1.5094803381578177
ALAASP1c,0.0,9.388766182443041e-12
