,minimum,maximum
1HIBUPGLU_St2pp,0.0,999.9999999999999
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0
1HIBUP_Stepp,0.0,1000.0
1HIBUP_Stex,-1000.0,-1.1368683772161603e-13
1HMDGLUC_GLCAASE,0.0,1000.0
1HMDGLUCt2pp,0.0,1000.0000000000001
1HMDGLUCtex,0.0,1000.0000000000001
1OHMDZtepp,0.0,1000.0000000000001
1OHMDZtex,-1000.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDGLCNtex,-999.9999999999999,-2.195417706112267e-09
2DH3DGLCA,0.0,0.0
2DMMQ8abcpp,0.0,-2.1955785148434045e-09
2DMMQ8tex,0.0,-2.1948730424691306e-09
2HATVACIDGLUC_GLCAASE,0.0,1000.0
2HATVACIDGLUCt2pp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0
2HATVACIDtex,-1000.0,8.812484696593743e-13
2HATVLACGLUC_GLCAASE,0.0,1000.0
2HATVLACGLUCt2pp,0.0,1000.0000000000001
2HATVLACGLUCtex,0.0,1000.0000000000001
2HATVLACtepp,0.0,1000.0000000000001
2HATVLACtex,-1000.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000001
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0
2HIBUP_Stepp,0.0,1000.0
2HIBUP_Stex,-1000.0,-1.3301863692971684e-13
2IMZS,0.0,0.0
2MBCOATA,8.663146107207085,8.663146106744218
2OH_CBZ_GLC_GLCAASE,0.0,1000.0
2OH_CBZ_GLCt2pp,0.0,1000.0000000000001
2OH_CBZ_GLCtex,0.0,1000.0000000000001
2OH_CBZtepp,0.0,1000.0000000000001
2OH_CBZtex,-1000.0,1.3301863692971684e-13
2OH_MTZ_GLC_GLCAASE,0.0,1000.0
2OH_MTZ_GLCt2pp,0.0,1000.0000000000001
2OH_MTZ_GLCtex,0.0,1000.0000000000001
2OH_MTZtepp,0.0,1000.0000000000001
2OH_MTZtex,-1000.0,1.995279553945753e-13
2OMMBOX,0.31491162621780433,0.31491162566859565
2OMPHH,0.3149116262174358,0.3149116256685953
33HPHACt2rpp,0.0,999.0552651218942
34DHPHAt2rpp,-999.0552651218952,0.0
34DHPHAtex,-999.0552651218966,0.0
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3HACPR1,0.0,-5.992665521168646e-14
3HACPR2,0.0,-2.1931936211337515e-09
3HAD10M12,8.663146107207085,8.663146106768313
3HAD11M12,8.663146107207085,8.66314610676825
3HAD12M14,8.663146107207085,8.663146106768027
3HAD13M14,8.663146107207085,8.663146106768007
3HAD14M16,8.663146107207087,8.663146107202861
3HAD15M16,8.663146107207087,8.663146107202847
3HAD4M6,8.663146107207085,8.663146107202842
3HAD5M6,8.663146107207085,8.66314610720285
3HAD6M8,8.663146107207085,8.663146107202854
3HAD7M8,8.663146107207085,8.663146107202847
3HAD8M10,8.663146107207085,8.663146107202843
3HAD9M10,8.663146107207085,8.663146107202847
3HBCOAE,-999.9999999999999,1000.0
3HIBUPGLU_St2pp,0.0,999.9999999999999
3HIBUPGLU_Stex,0.0,1000.0000000000001
3HIBUP_S_GLCAASE,0.0,1000.0
3HIBUP_Stepp,0.0,1000.0
3HIBUP_Stex,-1000.0,-1.1368683772161603e-13
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,999.0552651218962
3HPHACtex,0.0,999.0552651218972
3MEACMPtepp,0.0,1000.0000000000001
3MEACMPtex,-1000.0000000000001,0.0
3MOBS,-787.8581790587092,6.260578340137343e-16
3OAACPR1,0.0,-5.992665521217243e-14
3OAACPR2,0.0,1.1104318572288503e-14
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,8.663146107207083,8.663146107202856
3OAR11M12,8.663146107207083,8.663146107202852
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,8.663146107207083,8.663146107202854
3OAR13M14,8.663146107207083,8.66314610720285
3OAR140,20.36059005502544,20.360590055015493
3OAR14M15,0.0,0.0
3OAR14M16,8.663146107207085,8.663146107202852
3OAR15M16,8.663146107207085,8.66314610720285
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,8.663146107207083,8.663146107202857
3OAR5M6,8.663146107207083,8.663146107202857
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,8.663146107207083,8.663146107202856
3OAR7M8,8.663146107207083,8.663146107202856
3OAR80,0.0,0.0
3OAR8M10,8.663146107207083,8.663146107202856
3OAR8M9,0.0,0.0
3OAR9M10,8.663146107207083,8.663146107202854
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,8.663146107207083,8.663146107202847
3OAS11M12,8.663146107207083,8.663146107202847
3OAS120,0.0,0.0
3OAS12M13,0.0,-3.0341875953926216e-14
3OAS12M14,8.663146107207085,8.66314610720285
3OAS13M14,8.663146107207085,8.66314610720285
3OAS140,20.36059005502544,20.360590055015432
3OAS160,0.0,0.0
3OAS180,0.0,-3.61060705744687e-13
3OAS2M3,0.0,0.0
3OAS3M4,8.663146107207083,8.663146107202845
3OAS4M3O6,8.663146107207083,8.663146107202847
3OAS4M5,0.0,0.0
3OAS4M6,8.663146107207083,8.66314610720286
3OAS5M6,8.663146107207083,8.663146107202857
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,8.663146107207083,8.66314610720286
3OAS7M8,8.663146107207083,8.663146107202856
3OAS80,0.0,0.0
3OAS8M10,8.663146107207083,8.663146107202847
3OAS8M9,0.0,0.0
3OAS9M10,8.663146107207083,8.663146107202856
