,minimum,maximum
12PPDSDH,0.0,0.0
15DAPtex,-1000.0,0.0
23DHMPO,-970.433567525826,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,2.1624517097687983,1000.0
26DAPt2rpp,2.1624517097729408,1000.0
2AHBUTI,-5.947703016167172e-13,970.4335675258255
2DDGLCNtex,-1000.0000000000001,1.6084060833401772e-11
2DH3DGLCA,0.0,0.0
2MBCOATA,7.365010853056839,7.365010853059976
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
33HPHACt2rpp,0.0,999.7322765295628
34DHPHAt2rpp,-999.7322765295625,999.732276529558
34DHPHAtex,-999.7322765295625,999.732276529559
3CARLPDH,-4.2915153690566916e-12,0.0
3HAD100,0.0,2.701334410206123e-12
3HAD10M12,7.365010853056853,7.365010853060033
3HAD11M12,7.3650108530568446,7.365010853060279
3HAD120,0.0,4.422712001856678e-12
3HAD12M14,7.365010853056854,7.365010853060033
3HAD13M14,7.3650108530568446,7.365010853060279
3HAD140,0.0,978.3629461984459
3HAD14M16,7.3650108530568446,7.365010853056871
3HAD15M16,7.3650108530568446,7.365010853056843
3HAD160,0.0,-4.047123824088651e-12
3HAD180,0.0,1.4721443850534795e-11
3HAD40,0.0,4.158585940301515e-12
3HAD4M6,7.365010853056853,7.365010853060125
3HAD5M6,7.3650108530568446,7.365010853059981
3HAD60,0.0,3.7797489303094115e-12
3HAD6M8,7.365010853056853,7.365010853060125
3HAD7M8,7.3650108530568446,7.365010853059981
3HAD80,0.0,3.7797489303094115e-12
3HAD8M10,7.365010853056853,7.365010853060125
3HAD9M10,7.3650108530568446,7.365010853059981
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,999.7322765295597
3HPHACtex,0.0,999.7322765295633
3HPPPNH,0.0,0.0
3MOBS,-1000.0,0.0
3OAR100,0.0,4.784706071334802e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.365010853056843,7.365010853060157
3OAR11M12,7.365010853056844,7.36501085305942
