,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,32.41996930007449,32.41996930006967
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,8.895647509132026,8.895647509132026
2MEBCOADH,-8.895647509132026,-8.895647509132024
2OBUTt2r,-0.6467264395089529,999.3532735604788
2S6HCC,-1000.0,9.400241791190673e-13
3CARLPDH,0.0,0.0
3HAD100,0.0,7.659857204983941e-13
3HAD10M12,8.895647509132026,8.895647509132031
3HAD11M12,8.895647509132026,8.895647509132017
3HAD120,0.0,-8.499088276343394e-13
3HAD12M14,8.895647509132026,8.895647509132031
3HAD13M14,8.895647509132026,8.895647509132019
3HAD140,0.0,-8.499088276343391e-13
3HAD14M16,8.895647509132026,8.895647509132031
3HAD15M16,8.895647509132026,8.895647509132019
3HAD160,0.0,-8.499088276343395e-13
3HAD180,0.0,6.922426027653138e-13
3HAD40,0.0,1.1335087377440687e-12
3HAD4M6,8.895647509132026,8.89564750913202
3HAD5M6,8.895647509132017,8.895647509132036
3HAD60,0.0,-6.74787224704931e-13
3HAD6M8,8.895647509132026,8.895647509132019
3HAD7M8,8.895647509132017,8.895647509132019
3HAD80,0.0,-1.0705547047005332e-12
3HAD8M10,8.895647509132026,8.895647509132019
3HAD9M10,8.895647509132026,8.895647509132017
3MEBCOADH,-8.895647509132017,-8.89564750913203
3MOBDC2,0.0,0.0
3MOBS,6.0070013985974415e-12,0.0
3MOPDC2,17.79129501826404,17.791295018264044
3OAR100,0.0,-9.49034263254759e-13
3OAR10M11,0.0,0.0
3OAR10M12,8.895647509132026,8.89564750913203
3OAR11M12,8.895647509132026,8.895647509132017
3OAR120,0.0,-9.494013944977975e-13
3OAR12M13,0.0,0.0
3OAR12M14,8.895647509132026,8.895647509132031
3OAR13M14,8.895647509132026,8.895647509132017
3OAR140,0.0,-9.494013944977975e-13
3OAR14M15,0.0,0.0
3OAR14M16,8.895647509132026,8.895647509132019
3OAR15M16,8.895647509132026,8.895647509132019
3OAR160,0.0,-8.499088276343392e-13
3OAR180,0.0,0.0
3OAR40,0.0,1.1335550511724203e-12
3OAR4M5,0.0,0.0
3OAR4M6,8.895647509132026,8.895647509132031
3OAR5M6,8.895647509132017,8.895647509132036
3OAR60,0.0,-8.499088276343392e-13
3OAR6M7,0.0,0.0
3OAR6M8,8.895647509132026,8.895647509132033
3OAR7M8,8.895647509132017,8.895647509132036
3OAR80,0.0,-1.0705547047005332e-12
3OAR8M10,8.895647509132026,8.895647509132033
3OAR8M9,0.0,0.0
3OAR9M10,8.895647509132017,8.895647509132036
3OAS100,0.0,-1.0705547047005332e-12
3OAS10M11,0.0,0.0
3OAS10M12,8.895647509132026,8.895647509132031
3OAS11M12,8.895647509132026,8.895647509132012
3OAS120,0.0,-1.5628777016152852e-12
3OAS12M13,0.0,0.0
3OAS12M14,8.895647509132026,8.895647509132031
3OAS13M14,8.895647509132026,8.895647509132015
3OAS140,0.0,-9.490342632547588e-13
3OAS160,0.0,6.153267580136124e-13
3OAS180,0.0,6.153267580136113e-13
3OAS2M3,0.0,0.0
3OAS3M4,8.895647509132015,8.89564750913203
3OAS4M3O6,8.895647509132026,8.895647509132017
3OAS4M5,0.0,0.0
3OAS4M6,8.895647509132026,8.895647509132015
3OAS5M6,8.895647509132015,8.895647509132012
3OAS60,0.0,-9.494013944977975e-13
3OAS6M7,0.0,0.0
3OAS6M8,8.895647509132026,8.895647509132031
3OAS7M8,8.895647509132015,8.89564750913202
3OAS80,0.0,-9.490342632547588e-13
3OAS8M10,8.895647509132026,8.895647509132031
3OAS8M9,0.0,0.0
3OAS9M10,8.895647509132026,8.895647509132017
4HPL,-0.32336321975994137,-0.3233632197598999
4HTHDR,32.41996930007449,32.4199693000774
4HTHDS,32.4199693000745,32.41996930007282
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,2.2025502180830485e-12
5DOAN,0.0,-9.573253338232607e-14
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-2.003270789481895e-13,0.0
6P3HXI,-1000.0000000000003,740.3107733054145
6PGALSZ,-1000.0000000000002,1000.000000000002
6PGALSZ2i,-1000.0,1000.0000000000017
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0,740.3107733054148
AB6PGH,0.0,2.3227088609754702e-12
AB6PGH2,0.0,3.503687530280532e-12
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000005
ABUTR,-1000.0,0.0
AC5ASAe,0.0,1000.0
ACACT1r,31.31741193717316,31.31741193717267
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.32336321975989996,0.32336321975989996
ACCOAC,0.0,106.74777010957608
ACCOACL,0.0,106.74777010957601
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.5657942595379097,0.5657942595379083
ACGApts,0.0,-5.306514986879817e-12
ACGK,0.0,25.762540389064572
ACGS,0.0,-1.1350392782014343e-11
ACHBPL,0.0,1000.0
ACKr,-1000.0,-992.0480739237755
ACLDC,0.0,-1.0179343426203876e-11
ACLS_a,0.0,-1.133558105267804e-11
ACLS_b,-1000.0,0.0
ACNAMabc,-2.9330734722602515e-14,20.74766923153461
ACNML,0.0,20.747669231535042
ACOAAGPAT140,0.0,-7.715165338513244e-13
ACOAAGPAT160,0.0,-5.577856803352188e-13
ACOAAGPAT180,0.0,4.447823754563941
ACOAAGPATAI15,0.0,-1.183565676337153e-12
ACOAAGPATAI17,4.447823754566011,4.447823754566
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.447823754566011,4.447823754566006
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,0.0,-1.3253830193454548e-12
ACODAr,0.0,2.661724467821996e-12
ACONTa,0.0,-1.0597347082595588e-12
ACONTb,0.0,3.20001234800462e-12
ACOTA,-25.762540389071454,0.0
ACPS1,0.3233632197598999,0.32336321975990007
ACS,0.0,-8.597479449477734e-12
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-999.9999999999936,1000.0
ACYP,0.0,392.9904795560566
ACYP_2,0.0,-5.303576470124924e-12
ACtr,-1000.0,-1000.0000000000051
ADCL,0.9700896592796997,0.9700896592796984
ADCS,0.9700896592796997,0.9700896592796974
ADK1,-1000.0,1000.0
ADK10,-1000.0,997.7476835382589
ADK11,-1000.0,1000.0
ADK2,-205.49891869385627,-16.023892850399985
ADK3,-1000.0,984.5658677772861
ADK5,-1000.0,952.4129224568323
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,998.9056924980172
ADMDC,0.0,-2.736587102345059e-12
ADNCNT3tc,-1000.0,999.353273560475
ADNCYC,0.0,0.0
ADNUC,0.0,-1.4902612482721952e-11
ADOCBIK,0.32336321975989996,0.3233632197598993
ADOCBLS,0.3233632197598999,0.32336321975989996
ADOCBLabc,16.34725607015649,205.82228191362114
ADPRDP,0.0,0.0
ADPT,0.0,-4.935205664968355e-12
ADSL1r,0.0,-3.7790921286099234e-12
ADSL2r,0.0,-4.812054562794752e-12
ADSS,0.0,-4.145572758573422e-12
AGDC,0.0,-7.600216724051277e-12
AGMT,0.0,-1.3331274818118903e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,-1.98214088218186e-12
AGPAT141,0.0,-3.2423553636048197e-12
AGPAT160,0.0,-1.102398886269713e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,4.447823754565999
AGPAT181,0.0,0.0
AGPR,-25.7625403890689,0.0
AHCYSNS_r,0.64672643952465,0.6467264395195181
AHMMPS,0.0,-6.564107976348709e-12
AICART,9.355111719336592e-12,-3.754890397536973e-12
AIHDUDPMG,0.0,0.0
AIHDUPDG,0.0,0.0
AIHPDCOATA,8.895647509132026,8.895647509132004
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,4.554331099951902e-12,-2.537611151882744e-12
AKGS,0.0,568.632838268562
AKGt2r,-1000.0,1000.0
AKP1,0.0,0.9700896592796983
ALAALA,2.6118641980994197,2.6118641980994184
ALAASP1c,0.0,-2.8460013960351616e-12
ALAASPabc,0.0,-8.756388200951506e-12
ALACI,-1000.0000000000006,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,-8.697406810421823e-12
ALAGLNabc,0.0,-6.3058197896142564e-12
ALAGLU1c,0.0,-6.414540820469673e-12
ALAGLUabc,0.0,-8.001240637704973e-12
ALAGLY1c,0.0,-7.995926822875117e-12
ALAGLYabc,0.0,-8.773079908328402e-12
ALAHIS1c,0.0,-8.777356552565583e-12
ALAHISabc,0.0,-7.656070280655988e-12
ALALEU1c,0.0,-7.657232789324271e-12
ALALEUabc,0.0,-8.921694923168937e-12
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.18859808651263663,0.18859808651263635
ALAR,-1000.0,974.7417454136805
ALATA_D,-997.3881358019008,1000.0
ALATHR1c,22.041748682301794,22.04174868228233
ALATHRabc,22.041748682297307,22.04174868228278
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-8.37059234127992e-12,-1.116050821125056e-11
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,-8.375422696661855e-12
ALDD8x,0.0,-8.935998003609988e-12
ALKP,0.0,-8.551659111192012e-12
ALKP_R788e,0.0,-7.954839741080419e-12
ALPHNH,0.0,-4.033058936503927e-12
AMANAPEr,0.0,-2.7918075655539526e-12
AMANK,0.0,-2.649336770648901e-12
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.6766367802395
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.3233632197593579
AMPMS2,0.0,1.3888794296620736e-12
AMPTASECG,0.0,7.951926076229562
AMPTASEGC,0.0,7.951926076232645
ANPRT,4.929239689684094,4.929239689684094
ANS,0.0,4.92923968968409
ANS2,0.0,4.92923968968409
AOXSr,0.0,0.0
APRAUR,0.0,-1.5485595831367806e-12
ARBTpts,0.0,-1.8631646247807667e-13
ARBabc,0.0,4.6289148674024e-13
ARGDA,0.0,503.01177359582823
ARGDC,0.0,-8.43764419846605e-13
ARGN,0.0,974.2374596109247
ARGSL,0.0,3.068180951546544e-13
ARGSS,0.0,3.0681809515465447e-13
ARGabc,0.0,25.762540389074548
ARSENBabc,0.0,-5.768688356377606e-14
ARSENBt2,4.690585263177119e-13,2.9531478537524186e-14
ASAD,-32.41996930007166,-32.4199693000745
ASNS1,0.0,-3.076633790068056e-13
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,2.7057489405759632e-14
ASPCT,0.0,7.817642105295199e-14
ASPKi,32.41996930007442,32.419969300074094
ASPTA,-1000.0,946.6076310795853
ASPt2r,-946.6076310795887,1000.0
ATPPRT,0.0,-3.2830490802183994e-13
ATPS4,1000.0000000000108,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.32336321975989996,0.3233632197599
BTDD_RR,0.0,0.0
BTNCLi,0.0,106.74777010957374
BTNabc,0.0,7.197174928078856e-15
BTS4,0.0,0.0
BZAMAH,0.0,999.9999999999999
BZAMt2r,0.0,1000.0
BZte,0.0,1000.0
CAt4i,0.3233632197598999,0.32336321975989996
CBIAT,0.3233632197598999,0.32336321975989923
CBL1abc,0.0,-1.0494079451015116e-11
CBLAT,-205.82228191362046,-16.347256070142375
CBLTDe,0.0,-1.6362412948764349e-12
CBMKr,-503.0117735958295,1.5269015139305792e-13
CBPS,0.0,3.205233263171032e-12
CBl1te,16.347256070148607,205.8222819136216
CCOuq,0.0,1000.0
CD2abc1,0.0,9.204542854639634e-13
CDPGLYCGPT,0.5657942595379097,0.56579425953791
CDPMEK,0.0,0.0
CGLYabc,0.32336321976007953,8.275289295983754
CHCOAL,0.0,0.0
CHLabc,0.0,2.06533251625318e-12
CHLt2r,-2.884344178188803e-13,1000.0000000000001
CHOLD,0.0,1000.0
CHOLabc,0.0,1.3063808350220133e-12
CHORM,0.0,-2.315824674999762e-13
CHORS,6.2226925687236925,6.222692568724075
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,1.111955938641503,1.1119559386415032
CLPNSAI15,0.0,0.0
CLPNSAI17,1.111955938641503,1.1119559386415014
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,1.111955938641503,1.1119559386415014
CO2t,-1000.0,-1000.0000000000068
COBALTt5,-0.32336321975989984,-0.3233632197598999
CPPPGO,0.0,2.0847045614120533e-13
CPPPGO2,0.0,1.5130291382646415e-13
CRNabc,0.0,8.658300746262065e-13
CTBTabc,0.0,-6.1358863350456e-13
CTPS1,0.0,-6.135886335045599e-13
CTPS2,0.0,5.369316665206454e-13
CYOmq,0.0,1000.0
CYSDS,0.0,-1.1803366882049319e-12
CYSS,0.0,7.951926076232782
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,999.3532735604828
CYSTS,0.6467264395181599,1000.0
CYSabc,0.0,7.951926076235221
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,991.2171353997518
CYTDK1,0.0,12.129488563975226
CYTDK2,0.0,12.129488563977192
CYTDK3,0.0,12.129488563978406
CYTDK4,0.0,12.129488563975661
CYTDt2,0.0,1000.0
CYTDt4,0.0,1000.0
CYTK1,47.587077543157,51.580427946391815
CYTK2,-2.25231646174144,1.0943075019743507
Cuabc,0.3233632197598999,0.3233632197566575
Cut1,0.0,-1.1949793684218436e-12
DACTt3,0.0,1000.0000000000001
DADNK,0.0,-1.2775369627309267e-12
DADNt2r,-1000.0,988.2358549607692
DAGK120,0.0,0.0
DAGK140,-1.9975136403297809e-13,0.0
DAGK141,0.0,0.0
DAGK160,-4.299026809718531e-14,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,0.0
DAPDC,29.808105101975084,29.808105101974327
DAPE,32.4199693000745,32.419969300074044
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,4.447823754566012,4.447823754566011
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,4.447823754566011,4.447823754566005
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,4.447823754566012,4.447823754566006
DB4PS,0.0,-3.1015247411900255e-12
DCMPDA,-1.0943075019763435,2.252316461744723
DCYTD,0.0,1000.0
DCYTt2r,1.9687836463087446e-12,999.9999999999999
DDPA,6.222692568723734,6.222692568723838
DFDCYTDD,0.0,-1.6880811450650712e-12
DFDCYTDabc,0.0,-3.117530754369701e-12
DFDURIte,0.0,-3.1175307543697015e-12
DGK1,1.094307501977468,1.0943075019744837
DGSNt2,16.20507650492954,16.20507650492458
DHAD1,0.0,1000.0000000000001
DHAD2,0.0,1000.0000000000001
DHAPT,0.0,-3.1270568421180807e-12
DHFOR2,0.0,0.0
DHFR,0.9700896592796998,3.222406121019384
DHFS,0.9700896592796998,0.9700896592797006
DHLCOALT,0.0,0.0
DHNAOT,0.0,-1.9852621967311822e-13
DHNAOT4,0.0,1.908432522758298e-14
