,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,32.41994763243795,32.41994763241801
2AHBUTI,-1000.0000000000001,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,8.895641563790814,8.895641563790791
2MEBCOADH,-8.89564156379079,-8.895641563790818
2OBUTt2r,-0.6467260072710824,999.3532739927018
2S6HCC,-1000.0,-3.2973195978775496e-12
3CARLPDH,0.0,0.0
3HAD100,0.0,-3.0923867369971114e-12
3HAD10M12,8.895641563790814,8.895641563790793
3HAD11M12,8.895641563790814,8.89564156379078
3HAD120,0.0,-2.7656776600575657e-12
3HAD12M14,8.895641563790814,8.895641563790795
3HAD13M14,8.895641563790814,8.895641563790777
3HAD140,0.0,-3.0508185997757114e-12
3HAD14M16,8.895641563790814,8.895641563790793
3HAD15M16,8.895641563790814,8.89564156379078
3HAD160,0.0,-3.011384989788307e-12
3HAD180,0.0,-1.1808406874260146e-11
3HAD40,0.0,-2.8395815941473228e-12
3HAD4M6,8.895641563790814,8.895641563790793
3HAD5M6,8.895641563790814,8.89564156379078
3HAD60,0.0,-2.914409495447724e-12
3HAD6M8,8.895641563790814,8.895641563790793
3HAD7M8,8.895641563790814,8.89564156379079
3HAD80,0.0,-2.643387039847875e-12
3HAD8M10,8.895641563790814,8.895641563790793
3HAD9M10,8.895641563790814,8.89564156379079
3MEBCOADH,-8.89564156379079,-8.895641563790813
3MOBDC2,0.0,0.0
3MOBS,1.416808446753697e-11,0.0
3MOPDC2,17.79128312758163,17.79128312758159
3OAR100,0.0,-2.4123936461184623e-12
3OAR10M11,0.0,0.0
3OAR10M12,8.895641563790816,8.895641563790793
3OAR11M12,8.895641563790816,8.895641563790788
3OAR120,0.0,-2.64522323534652e-12
3OAR12M13,0.0,0.0
3OAR12M14,8.895641563790816,8.895641563790793
3OAR13M14,8.895641563790816,8.895641563790784
3OAR140,0.0,-2.477027727670735e-12
3OAR14M15,0.0,0.0
3OAR14M16,8.895641563790816,8.895641563790793
3OAR15M16,8.895641563790816,8.89564156379078
3OAR160,0.0,-3.098763523511588e-12
3OAR180,0.0,-1.253975427767167e-11
3OAR40,-1.2395938337885536e-14,-2.5819079316184472e-12
3OAR4M5,0.0,0.0
3OAR4M6,8.895641563790816,8.895641563790795
3OAR5M6,8.895641563790816,8.89564156379079
3OAR60,-1.2395938337885534e-14,-2.754660487065703e-12
3OAR6M7,0.0,0.0
3OAR6M8,8.895641563790816,8.895641563790795
3OAR7M8,8.895641563790816,8.895641563790786
3OAR80,-1.2395938337885534e-14,-2.937912797830371e-12
3OAR8M10,8.895641563790816,8.895641563790795
3OAR8M9,0.0,0.0
3OAR9M10,8.895641563790816,8.895641563790782
3OAS100,0.0,-2.9907952281913163e-12
3OAS10M11,0.0,0.0
3OAS10M12,8.895641563790814,8.895641563790793
3OAS11M12,8.895641563790814,8.895641563790788
3OAS120,0.0,-2.5137516376436108e-12
3OAS12M13,0.0,0.0
3OAS12M14,8.895641563790814,8.895641563790793
3OAS13M14,8.895641563790814,8.89564156379079
3OAS140,0.0,-2.44030381769785e-12
3OAS160,0.0,-1.9384148575868505e-12
3OAS180,0.0,-1.2086852986292408e-11
3OAS2M3,0.0,0.0
3OAS3M4,8.895641563790814,8.895641563790793
3OAS4M3O6,8.895641563790814,8.895641563790779
3OAS4M5,0.0,0.0
3OAS4M6,8.895641563790814,8.895641563790784
3OAS5M6,8.895641563790814,8.895641563790784
3OAS60,-1.2395938337885534e-14,-2.7822072020564527e-12
3OAS6M7,0.0,0.0
3OAS6M8,8.895641563790814,8.895641563790793
3OAS7M8,8.895641563790814,8.895641563790784
3OAS80,-1.2395938337885533e-14,-2.7161003815941783e-12
3OAS8M10,8.895641563790814,8.895641563790793
3OAS8M9,0.0,0.0
3OAS9M10,8.895641563790814,8.895641563790784
4HPL,-0.3233630036425265,-0.3233630036424476
4HTHDR,32.41994763242419,32.41994763241772
4HTHDS,32.41994763242418,32.41994763241747
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-1.338645640078594e-11
5DOAN,0.0,-6.070181276047756e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,5.776644751113884e-12,0.0
6P3HXI,-999.9999999999998,740.3139544090254
6PGALSZ,-1000.0,999.9999999999955
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0,740.3139544090259
AB6PGH,0.0,-1.2850626386944066e-11
AB6PGH2,0.0,-1.1688498128837247e-11
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000002
ABUTR,-1000.0,-1.1368683772161603e-13
AC5ASAe,0.0,1000.0
ACACT1r,31.317391006409334,31.317391006406865
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.32336300364244763,0.3233630036424465
ACCOAC,0.0,106.7476987654777
ACCOACL,0.0,106.74769876547794
ACCOAL,0.0,1000.0
ACEDIPIT,1.0871046922628101e-11,0.0
ACGAMT,0.5657938813934381,0.5657938813934368
ACGApts,0.0,-6.229703892827246e-12
ACGK,0.0,25.762523170854795
ACGS,0.0,-1.3515577972415524e-11
ACHBPL,0.0,1000.0
ACKr,-1000.0,-992.0480792383895
ACLDC,0.0,-1.1055166996842907e-11
ACLS_a,0.0,-1.3900088028647012e-11
ACLS_b,-1000.0,0.0
ACNAMabc,0.0,20.74765536497925
ACNML,0.0,20.74765536497879
ACOAAGPAT140,0.0,-4.211484021063005e-12
ACOAAGPAT160,0.0,-6.08169649008068e-12
ACOAAGPAT180,0.0,4.4478207818953965
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,4.447820781895407,4.447820781895396
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.447820781895407,4.447820781895392
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,0.0,-3.247128119802019e-12
ACODAr,0.0,-1.2594273351291701e-11
ACONTa,0.0,-1.1213292018781035e-11
ACONTb,0.0,-1.0469755982923696e-11
ACOTA,-25.762523170854532,0.0
ACPS1,0.32336300364244763,0.3233630036424469
ACS,0.0,-1.9729553393829895e-11
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-999.9999999999898,1000.0
ACYP,0.0,392.99690033090377
ACYP_2,0.0,-1.5942248388610325e-11
ACtr,-1000.0,-1000.0000000000168
ADCL,0.9700890109273422,0.9700890109257384
ADCS,0.9700890109273425,0.9700890109258216
ADK1,-1000.0,1000.0
ADK10,-1000.0,997.7510267571636
ADK11,-1000.0,1000.0
ADK2,-205.4987813501479,-16.020540427360448
ADK3,-1000.0,984.5658780925754
ADK5,-1000.0,952.412954261312
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,998.902351515798
ADMDC,0.0,-4.04493377651037e-12
ADNCNT3tc,-1000.0,999.3532739927062
ADNCYC,0.0,0.0
ADNUC,0.0,-1.8614490903551098e-11
ADOCBIK,0.32336300364244763,0.3233630036424466
ADOCBLS,0.3233630036424476,0.32336300364244697
ADOCBLabc,16.343903431008744,205.82214435378845
ADPRDP,0.0,0.0
ADPT,0.0,-8.190322666328982e-12
ADSL1r,0.0,-5.692558420754583e-12
ADSL2r,0.0,-2.9022449738998627e-12
ADSS,0.0,-1.645701807254148e-11
AGDC,0.0,-8.583660235999938e-12
AGMT,0.0,-1.8376792023587532e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,-5.583309377736217e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-8.187403155081511e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,4.447820781895391
AGPAT181,0.0,0.0
AGPR,-25.762523170853083,0.0
AHCYSNS_r,0.6467260072849118,0.6467260072758272
AICART,0.0,-4.6415663588838656e-12
AIHDUDPMG,0.0,0.0
AIHDUPDG,0.0,0.0
AIHPDCOATA,8.895641563790814,8.895641563790779
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,-1.2268723843739626e-11
AKGS,0.0,1000.0
AKGt2r,-1000.0,1000.0
AKP1,0.0,0.9700890109256486
ALAALA,2.611862452479011,2.6118624524790026
ALAASP1c,0.0,-9.606974848905309e-12
ALAASPabc,0.0,-1.2053202906280116e-11
ALACI,-1000.0,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,-1.8080836652419995e-11
ALAGLNabc,0.0,-1.783547535306833e-11
ALAGLU1c,0.0,-1.7835475353068323e-11
ALAGLUabc,0.0,-1.9847403975213228e-11
ALAGLY1c,0.0,-1.9847403975213228e-11
ALAGLYabc,0.0,-1.9620844821553605e-11
ALAHIS1c,0.0,-1.9535763878874287e-11
ALAHISabc,0.0,-1.8837167034337533e-11
ALALEU1c,0.0,-1.8837167034337536e-11
ALALEUabc,0.0,-1.610167756207491e-11
ALAPAT4te,-1000.0,1000.0000000000001
ALAPGPL,0.1885979604644794,0.18859796046447896
ALAR,-1000.0,974.7417622948273
ALATA_D,-997.3881375475207,1000.0
ALATHR1c,22.041733950866348,22.041733950834367
ALATHRabc,22.041733950864394,22.041733950832587
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,1.5459297142183438e-11,-1.8487068191643485e-11
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,-1.7861965796207995e-11
ALDD8x,0.0,-2.0756729291222687e-11
ALKP,0.0,-1.9731734078484556e-11
ALKP_R788e,0.0,-1.8328792869817592e-11
ALPHNH,0.0,-9.156411796245248e-12
AMANAPEr,8.833700803252266e-12,-5.370434390368315e-12
AMANK,0.0,-6.095260654226611e-12
AMAOTr,0.0,-3.6249084592232743e-12
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.6766369963569
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.3233630036431805
AMPTASECG,0.0,7.951920761608399
AMPTASEGC,0.0,7.951920761608088
ANPRT,4.929236395262657,4.9292363952626435
ANS,0.0,4.929236395262643
ANS2,0.0,4.9292363952626435
AOXSr,0.0,-1.9418554339088097e-12
APAT,0.0,-1.1793004309264527e-11
APRAUR,0.0,-2.9639312200720495e-12
ARBTpts,0.0,-1.2745580697961796e-11
ARBabc,0.0,-1.1920515543177643e-11
ARGDA,0.0,974.2374768291259
ARGDC,0.0,-1.366705536805108e-11
ARGN,0.0,974.2374768291244
ARGSL,0.0,9.317299025795719e-13
ARGSS,0.0,9.317299025795719e-13
ARGabc,0.0,25.76252317086957
ARSENBabc,0.0,3.5405736298023746e-12
ARSENBt2,1.6548218358170322e-11,-3.099350968241104e-14
ASAD,-32.41994763241056,-32.41994763242418
ASNS1,0.0,2.4634719959820467e-12
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,1.9135899517964634e-13
ASPCT,0.0,8.649156675047099e-13
ASPKi,32.41994763242418,32.419947632427046
ASPTA,-1000.0,946.6076667639895
ASPt2r,-946.607666763972,1000.0
ATPPRT,0.0,-1.092801338338096e-12
ATPS4,1000.000000000012,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.32336300364244763,0.323363003642447
BTDD_RR,0.0,0.0
BTNCLi,0.0,106.74769876547575
BTNabc,0.0,-9.463994361790556e-12
BTS4,0.0,-1.3817887776750817e-12
BZAMAH,0.0,999.9999999999999
BZAMt2r,0.0,999.9999999999998
BZte,0.0,1000.0
CAP_NR,-1000.0,1000.0
CAt4i,0.32336300364244763,0.3233630036424468
CBIAT,0.32336300364244763,0.3233630036424465
CBL1abc,0.0,-1.733662341999703e-11
CBLAT,-205.82214435378668,-16.343903431006346
CBLTDe,0.0,-1.2593104743102662e-11
CBMKr,-974.2374768291194,-6.200082630614948e-12
CBPS,0.0,-1.2394758115725752e-11
CBl1te,16.343903431014258,205.82214435378688
CCOuq,0.0,1000.0
CD2abc1,0.0,-1.3011844323107021e-11
CDPGLYCGPT,0.5657938813934381,0.5657938813934368
CDPMEK,0.0,0.0
CGLYabc,0.3233630036498555,8.27528376524628
CHCOAL,0.0,-1.858314149988608e-12
CHLabc,0.0,-1.2913861817218585e-11
CHLt2r,1.3130712084450525e-11,1000.0000000000001
CHOLD,0.0,1000.0
CHOLabc,0.0,0.0
CHORM,0.0,-6.0168454099566005e-12
CHORS,6.222688409832527,6.222688409827733
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,1.111955195473852,1.1119551954738487
CLPNSAI15,0.0,0.0
CLPNSAI17,1.111955195473852,1.111955195473848
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,1.111955195473852,1.111955195473848
CO2t,-1000.0,-1000.0000000000181
COBALTt5,-0.32336300364244674,-0.3233630036424476
CPPPGO,0.0,-2.2465499084752933e-12
CPPPGO2,0.0,-3.5701784508852807e-12
CRNabc,0.0,-1.3449772906518961e-11
CTBTabc,0.0,-1.266639712868825e-11
CTPS1,0.0,-1.3165376409515364e-11
CTPS2,0.0,-1.3242142452719534e-11
CYOmq,0.0,1000.0
CYSDS,0.0,-1.4432016122384185e-11
CYSS,0.0,7.951920761608709
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,999.3532739927051
CYSTS,0.6467260073030515,1000.0
CYSabc,0.0,7.951920761610541
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,991.2171412696971
CYTDK1,0.0,12.129480457301483
CYTDK2,0.0,12.129480457304293
CYTDK3,0.0,12.129480457301934
CYTDK4,0.0,12.129480457302977
CYTDt2,0.0,1000.0
CYTDt4,0.0,1000.0
CYTK1,47.58704573869445,51.580393472974976
CYTK2,-2.2489732428235505,1.0976484841872305
CZP_NR,-1000.0,1000.0
Cuabc,0.32336300364244763,0.32336300363455395
Cut1,0.0,-5.744562702932643e-12
DACTt3,0.0,1000.0
DADNK,0.0,-1.3204782801784594e-11
DADNt2r,-1000.0,988.2358628232272
DAGK120,0.0,-6.4292082903172585e-28
DAGK140,2.4099679960560276e-12,0.0
DAGK141,0.0,0.0
DAGK160,1.7990245884097977e-11,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,-1.2365837759049217e-11
DAPDC,29.80808517994518,29.808085179939173
DAPE,32.41994763242419,32.419947632418264
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,4.447820781895407,4.4478207818953965
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,4.447820781895407,4.4478207818953885
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,4.447820781895407,4.44782078189539
DB4PS,0.0,-9.37781765067455e-12
DBTS,0.0,-1.7680988770085568e-12
DCMPDA,-1.0976484841748564,2.2489732428241203
DCYTD,0.0,1000.0
DCYTt2r,1.3649654242657695e-11,1000.0
DDPA,6.2226884098325295,6.222688409829155
DFDCYTDD,0.0,-1.1341470964364921e-11
DFDCYTDabc,0.0,-8.28657699806758e-12
DFDURIte,0.0,-8.28657699806758e-12
DGK1,1.0976484842009118,1.0976484841872312
DGSNt2,16.208407387975676,16.20840738797503
DHAD1,0.0,1000.0000000000002
