,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.635798652035895,24.635798651989422
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.29284139498425,6.292841394979013
2MEBCOADH,-6.292841394979131,-6.292841394984252
2OBUTt2r,-1.2018260213921965,998.7981739785298
2S6HCC,-999.9999999999999,-6.6475240293787014e-12
3CARLPDH,1.0894618522240952e-11,0.0
3HAD100,6.292841394984241,6.292841394976187
3HAD10M12,6.292841394984248,6.292841394979149
3HAD11M12,6.292841394984248,6.292841394979008
3HAD120,6.292841394984243,6.292841394976456
3HAD12M14,6.292841394984248,6.2928413949795745
3HAD13M14,6.292841394984248,6.292841394979928
3HAD140,6.29284139498425,6.292841394979465
3HAD14M16,6.292841394984248,6.29284139498423
3HAD15M16,6.292841394984248,6.292841394984228
3HAD160,6.29284139498425,6.292841394984228
3HAD180,6.29284139498425,6.292841394984215
3HAD40,6.292841394984238,6.292841394984196
3HAD4M6,6.292841394984248,6.292841394984208
3HAD5M6,6.292841394984248,6.292841394984238
3HAD60,6.292841394984238,6.292841394984217
3HAD6M8,6.292841394984248,6.292841394984233
3HAD7M8,6.292841394984248,6.292841394984217
3HAD80,6.29284139498424,6.292841394984244
3HAD8M10,6.292841394984248,6.292841394984235
3HAD9M10,6.292841394984248,6.292841394984217
3MEBCOADH,-6.2928413949790265,-6.292841394984268
3MOBDC2,0.0,0.0
3MOBS,-392.27128487363933,0.0
3MOPDC2,12.585682789968498,12.585682789968459
3OAR100,6.292841394984236,6.2928413949842374
3OAR10M11,0.0,0.0
3OAR10M12,6.292841394984248,6.292841394984217
3OAR11M12,6.292841394984248,6.292841394984222
3OAR120,6.292841394984237,6.292841394984207
3OAR12M13,0.0,0.0
3OAR12M14,6.292841394984248,6.292841394984218
3OAR13M14,6.292841394984248,6.292841394984222
3OAR140,6.292841394984237,6.292841394984207
3OAR14M15,0.0,0.0
3OAR14M16,6.292841394984248,6.292841394984229
3OAR15M16,6.292841394984248,6.292841394984247
3OAR160,6.292841394984249,6.292841394984247
3OAR180,6.292841394984249,6.29284139498423
3OAR40,6.292841394984236,6.2928413949842605
3OAR4M5,0.0,0.0
3OAR4M6,6.292841394984248,6.292841394984213
3OAR5M6,6.292841394984248,6.292841394984222
3OAR60,6.292841394984236,6.292841394984203
3OAR6M7,0.0,0.0
3OAR6M8,6.292841394984248,6.2928413949842135
3OAR7M8,6.292841394984248,6.292841394984222
3OAR80,6.292841394984236,6.292841394984204
3OAR8M10,6.292841394984248,6.2928413949842215
3OAR8M9,0.0,0.0
3OAR9M10,6.292841394984248,6.292841394984222
3OAS100,6.292841394984237,6.2928413949842055
3OAS10M11,0.0,0.0
3OAS10M12,6.292841394984249,6.29284139498422
3OAS11M12,6.292841394984249,6.292841394984205
3OAS120,6.292841394984237,6.292841394984193
3OAS12M13,0.0,0.0
3OAS12M14,6.292841394984249,6.29284139498422
3OAS13M14,6.292841394984249,6.292841394984227
3OAS140,6.292841394984237,6.292841394984214
3OAS160,6.292841394984251,6.292841394984219
3OAS180,6.292841394984251,6.292841394984224
3OAS2M3,0.0,0.0
3OAS3M4,6.292841394984249,6.292841394984219
3OAS4M3O6,6.292841394984249,6.2928413949841975
3OAS4M5,0.0,0.0
3OAS4M6,6.292841394984249,6.292841394984234
3OAS5M6,6.292841394984249,6.292841394984231
3OAS60,6.292841394984237,6.292841394984209
3OAS6M7,0.0,0.0
3OAS6M8,6.292841394984249,6.2928413949842215
3OAS7M8,6.292841394984249,6.292841394984217
3OAS80,6.292841394984237,6.292841394984235
3OAS8M10,6.292841394984249,6.292841394984234
3OAS8M9,0.0,0.0
3OAS9M10,6.292841394984249,6.292841394984219
4HPL,-0.6009130107156152,-0.6009130107156185
4HTHDR,24.635798652001817,24.635798651990033
4HTHDS,24.63579865200182,24.635798651991077
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-3.0892916576595215e-11
5DOAN,0.0,-1.4437648260494347e-11
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,-2.999491487444206e-11
5MTHCYST,2.0955645966834192e-11,0.0
6P3HXI,-1000.0,999.9999999999987
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0000000000001,1000.0000000000001
AB6PGH,0.0,791.458648902267
AB6PGH2,0.0,791.4586489022886
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999994,-8.753656425865167e-14
AC5ASAe,0.0,1000.0
ACACT1r,6.310937582606214,6.310937582594995
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.6009130107156173,0.6009130107156154
ACCOAC,0.0,125.8568278996846
ACCOACL,0.0,125.85682789968469
ACCOAL,0.0,1000.0
ACEDIPIT,4.312634732476224e-11,0.0
ACGAMT,0.41008186278580155,0.4100818627858001
ACGApts,0.0,-1.7040816159821443e-11
ACGK,0.0,-3.1987806667836996e-11
ACGS,0.0,-2.8121131106051698e-11
ACHBPL,0.0,1000.0
ACKr,-999.9999999999999,-995.689459348331
ACLDC,0.0,-2.604671668983639e-11
ACLS_a,0.0,-2.6116584492115946e-11
ACLS_b,-1000.0,-1.3174376622034741e-28
ACNAMabc,9.461366313241928e-15,-4.2783878376868175e-11
ACNML,0.0,-2.717239199913118e-11
ACOAAGPAT140,0.0,-2.087322968182934e-12
ACOAAGPAT160,0.0,-2.000233890230476e-12
ACOAAGPAT180,0.0,3.1464206974921156
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.1464206974921223,3.146420697492113
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.1464206974921254,3.1464206974921134
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,6.292841394984238,6.292841394984219
ACODAr,0.0,-3.4601169397686264e-11
ACONTa,0.0,392.2712848736469
ACONTb,0.0,392.2712848736475
ACOTA,4.8488315493692456e-11,0.0
ACPS1,0.6009130107156174,0.6009130107156158
ACS,0.0,4.310540651665147
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-999.9999999999999,1000.0
ACYP,0.0,998.1972609678012
ACYP_2,0.0,-3.202477827981541e-11
ACtr,-1000.0,-1000.0000000000191
ADCL,1.802739032146852,1.8027390321426084
ADCS,1.802739032146852,1.8027390321423302
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6350282569548
ADK11,-1000.0,1000.0
ADK2,-999.3990869892845,-8.174913023840105
ADK3,-1000.0,994.3870939055511
ADK5,-1000.0,934.3795227058324
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.330728659424
ADK9,-1000.0,1000.0
ADMDC,0.0,-1.8863679839713182e-11
ADNCNT3tc,-1000.0,998.7981739785349
ADNCYC,0.0,0.0
ADNUC,0.0,-3.430432756954621e-11
ADOCBIK,0.6009130107156174,0.6009130107156152
ADOCBLS,0.6009130107156174,0.6009130107156154
ADOCBLabc,8.775826034559742,1000.0
ADPRDP,0.0,0.0
ADPT,0.0,-3.7105125025599584e-11
ADSL1r,0.0,-3.4727253735419506e-11
ADSL2r,0.0,-2.994019477403356e-11
ADSS,0.0,-3.505690054239382e-11
AGDC,0.0,-1.758389648092115e-11
AGMT,0.0,-3.441308970609884e-11
AGPAT120,0.0,-5.5518835571844106e-12
AGPAT140,0.0,-2.758569695138525e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-2.4733822795944243e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,3.1464206974921143
AGPAT181,0.0,0.0
AGPR,2.6928140546350707e-11,0.0
AHCYSNS_r,1.2018260214312788,1.2018260214141419
AICART,0.0,-3.515796184711956e-11
AIHDUDPMG,0.5467758170477357,0.546775817047734
AIHDUPDG,0.5467758170477357,0.5467758170477338
AIHPDCOATA,6.29284139498425,6.292841394984227
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,-3.2315206254295596e-11
AKGS,0.0,-3.4416370786592625e-11
AKGt2r,-1000.0,1000.0
AKP1,0.0,-3.475545745891883e-11
ALAALA,0.13669395426193387,0.1366939542619334
ALAASP1c,0.0,-3.5224613891337784e-11
ALAASPabc,0.0,-3.395774882184201e-11
ALACI,-1000.0000000000002,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,22.157332382987818
ALAGLNabc,0.0,22.15733238298701
ALAGLU1c,0.0,-3.638132566719013e-11
ALAGLUabc,0.0,-3.5125441793285825e-11
ALAGLY1c,0.0,-3.5125441793285805e-11
ALAGLYabc,0.0,-3.551919772158527e-11
ALAHIS1c,0.0,-3.551919772158527e-11
ALAHISabc,0.0,-3.5098021464017054e-11
ALALEU1c,0.0,-3.509802146401707e-11
ALALEUabc,0.0,-3.485781937962268e-11
ALAPAT4te,-1000.0,1000.0000000000005
ALAPGPL,0.1366939542619339,0.13669395426193337
ALAR,-1000.0,1000.0
ALATA_D,-999.8633060457366,1000.0
ALATHR1c,14.140910478009374,14.140910477952392
ALATHRabc,14.140910478009236,14.140910477952325
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-1000.0,965.6197638153708
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,-4.2318128725639314e-11
ALDD8x,0.0,998.1972609678534
ALKP,0.0,-4.104121344359863e-11
ALKP_R788e,0.0,392.2712848736382
ALPHNH,0.0,0.0
AMANAPEr,0.0,-1.72234486494158e-11
AMANK,0.0,-1.8386675715273316e-11
AMAOTr,0.0,-9.199320259594056e-12
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.3990869892833
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.6009130107174769
AMPTASECG,0.0,4.310540651664169
AMPTASEGC,0.0,4.31054065166235
ANPRT,4.124507907346409,4.124507907346395
ANS,0.0,-3.408163231964291e-11
ANS2,4.124507907374061,4.124507907346398
AOXSr,0.0,-7.772274687528324e-12
APAT,0.0,-3.0626804147072776e-11
APRAUR,0.0,-1.4044522885275005e-11
ARBTpts,0.0,791.4586489022546
ARBabc,0.0,-2.883491351993421e-11
ARGDA,0.0,-3.2348429205705764e-11
ARGDC,0.0,-3.163397378610915e-11
ARGN,0.0,1000.0
ARGSL,27.44932820929591,419.72061308290745
ARGSS,27.44932820929996,419.72061308290455
ARGabc,14.637401447493987,1000.0
ARSENBabc,0.0,-3.75783610592947e-11
ARSENBt2,3.087756734569072e-11,0.0
ASAD,-24.635798651984842,-24.63579865200171
ASNS1,0.0,-3.724006434972996e-11
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,-1.8432474670616242e-11
ASPCT,0.0,-1.993667208803467e-11
ASPKi,24.635798652001863,24.63579865198231
ASPTA,-1000.0,936.688576568398
ASPt2r,-936.6885765683913,1000.0
ATPPRT,0.0,-1.5326328145343864e-11
ATPS4,1000.0000000000354,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,3.243908044401572e-11,1000.0
BGLA1,0.0,0.0
BPNT,0.6009130107156175,0.600913010715615
BTDD_RR,0.0,0.0
BTNCLi,0.0,125.85682789968469
BTNabc,0.0,-3.38738174884256e-11
BTS4,0.0,-6.76946594725221e-12
BZAMAH,0.0,1000.0
BZAMt2r,0.0,1000.0000000000001
BZte,0.0,1000.0
CAP_NR,-999.9999999999997,1000.0000000000001
CAt4i,0.6009130107156174,0.6009130107156156
CBIAT,0.6009130107156173,0.6009130107156153
CBL1abc,0.0,-4.156296624346686e-11
CBLAT,-1000.0,-8.77582603455264
CBLTDe,0.0,-3.0236842159924905e-11
CBMKr,27.449328209276988,419.72061308290836
CBPS,0.0,-1.5784050027631514e-11
CBl1te,8.775826034573033,999.9999999999627
CCOuq,0.0,1000.0
CD2abc1,0.0,-3.5377237446669006e-11
CDPGLYCGPT,0.41008186278580167,0.41008186278580044
CDPMEK,0.0,0.0
CGLYabc,0.6009130107385332,4.9114536623764
CHCOAL,0.0,-6.3361084892636885e-12
CHLabc,0.0,-3.1388869885769196e-11
CHLt2r,1000.0000000000472,1000.0000000000001
CHOLD,1000.0000000000455,1000.0
CHOLabc,0.0,0.0
CHORM,0.0,-9.455574820388726e-12
CHORS,6.528159950208881,6.528159950201379
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6499112201110974,0.6499112201110954
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6499112201110974,0.6499112201110951
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6499112201110974,0.6499112201110951
CO2t,-1000.0,-607.7287151263488
COBALTt5,-0.6009130107156148,-0.6009130107156173
CPPPGO,0.0,-1.0516810944922165e-11
CPPPGO2,0.0,-6.3358956995123795e-12
CRNabc,0.0,-3.233215722693133e-11
CTBTabc,0.0,-3.915802307837011e-11
CTPS1,0.0,1.9771844643541479
CTPS2,0.0,-3.6217677396858965e-11
CYOmq,0.0,1000.0
CYSDS,0.0,-3.378677678609898e-11
CYSS,0.0,4.310540651667135
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,998.7981739785336
CYSTS,1.2018260214772645,1000.0
CYSabc,0.0,4.310540651663755
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,-3.8515551570059536e-11
CYTDK1,0.0,1.977184464359916
CYTDK2,0.0,1.977184464352484
CYTDK3,0.0,1.977184464352507
CYTDK4,0.0,1.9771844643594094
CYTDt2,0.0,1.977184464352507
CYTDt4,0.0,1.9771844643506586
CYTK1,65.62047729417465,68.79948777990886
CYTK2,0.6692713405774978,0.6692713405365761
CZP_NR,-1000.0,1000.0
Cuabc,0.6009130107156173,0.600913010710811
Cut1,0.0,-1.690740278593473e-11
DACTt3,0.0,1000.0000000000001
DADNK,0.0,-3.6986502572684134e-11
DADNt2r,-1000.0,998.7981739785272
DAGK120,0.0,0.0
DAGK140,3.203418214921362e-12,0.0
DAGK141,0.0,0.0
DAGK160,2.708787074137159e-12,0.0
DAGK161,0.0,0.0
DAGK180,0.0,-3.434023759282301e-11
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,-3.433352274194632e-11
DAPDC,24.499104697739885,24.499104697727486
DAPE,24.635798652001824,24.6357986519899
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.5996448804443895,2.5996448804443806
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.5996448804443895,2.5996448804443815
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.5996448804443895,2.599644880444379
DB4PS,0.0,-3.574415096938153e-11
DBTS,0.0,-6.816326463928582e-12
DCMPDA,-1000.0,-0.6692713405670618
DCYTD,0.0,-3.035523274658796e-11
DCYTt2r,-999.3307286594289,-2.8287193408112825e-11
DDPA,6.528159950208884,6.528159950201853
DFDCYTDD,0.0,-1.481661592273479e-11
DFDCYTDabc,0.0,-1.461504992752496e-11
DFDURIte,0.0,-1.461504992752496e-11
DGK1,4.0328565289305395e-11,0.6692713405364332
DGSNt2,5.681264424306863,5.681264424249788
DHAD1,0.0,1000.0000000000006
DHAD2,0.0,1000.0
