,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,517.3617498681463
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,27.09937845567176,27.09937845567469
2AHBUTI,-517.3617498681263,999.9999999999993
2HMCOXT,0.0,0.0
2MBCOATA,6.922125518765702,6.922125518767674
2MEBCOADH,-6.922125518766466,-6.922125518765699
2OBUTt2r,481.31624151130234,998.6779913794364
2S6HCC,-1000.0,3.4354684551654005e-13
3CARLPDH,0.0,0.0
3HAD100,6.92212551876568,6.922125518769109
3HAD10M12,6.922125518765704,6.922125518767253
3HAD11M12,6.922125518765704,6.922125518767182
3HAD120,6.922125518765678,6.9221255187683735
3HAD12M14,6.922125518765702,6.922125518767252
3HAD13M14,6.922125518765702,6.9221255187671815
3HAD140,6.922125518765678,6.922125518767347
3HAD14M16,6.922125518765701,6.922125518765709
3HAD15M16,6.922125518765701,6.922125518765699
3HAD160,6.922125518765704,6.922125518765701
3HAD180,6.922125518765702,6.922125518765701
3HAD40,6.9221255187656805,6.922125518765668
3HAD4M6,6.922125518765704,6.922125518765696
3HAD5M6,6.922125518765704,6.922125518765701
3HAD60,6.9221255187656805,6.9221255187656645
3HAD6M8,6.922125518765704,6.922125518765694
3HAD7M8,6.922125518765704,6.922125518765701
3HAD80,6.9221255187656805,6.9221255187656645
3HAD8M10,6.922125518765704,6.922125518765694
3HAD9M10,6.922125518765704,6.922125518765701
3MEBCOADH,-6.922125518767721,-6.9221255187657045
3MOBDC2,0.0,0.0
3MOBS,-151.18565210642757,0.0
3MOPDC2,13.844251037531404,13.844251037531647
3OAR100,6.922125518765692,6.922125518765662
3OAR10M11,0.0,0.0
3OAR10M12,6.922125518765703,6.922125518765699
3OAR11M12,6.922125518765703,6.922125518765699
3OAR120,6.922125518765692,6.922125518765663
3OAR12M13,0.0,0.0
3OAR12M14,6.922125518765701,6.922125518765694
3OAR13M14,6.922125518765701,6.922125518765699
3OAR140,6.922125518765692,6.922125518765663
3OAR14M15,0.0,0.0
3OAR14M16,6.922125518765699,6.922125518765694
3OAR15M16,6.922125518765699,6.92212551876571
3OAR160,6.922125518765703,6.922125518765712
3OAR180,6.922125518765701,6.922125518765701
3OAR40,6.922125518765692,6.922125518765673
3OAR4M5,0.0,0.0
3OAR4M6,6.922125518765703,6.922125518765694
3OAR5M6,6.922125518765703,6.922125518765699
3OAR60,6.922125518765692,6.922125518765663
3OAR6M7,0.0,0.0
3OAR6M8,6.922125518765703,6.922125518765694
3OAR7M8,6.922125518765703,6.922125518765699
3OAR80,6.922125518765692,6.922125518765663
3OAR8M10,6.922125518765703,6.922125518765694
3OAR8M9,0.0,0.0
3OAR9M10,6.922125518765703,6.922125518765699
3OAS100,6.922125518765692,6.922125518765663
3OAS10M11,0.0,0.0
3OAS10M12,6.922125518765703,6.9221255187657
3OAS11M12,6.922125518765703,6.9221255187657
3OAS120,6.922125518765692,6.922125518765663
3OAS12M13,0.0,0.0
3OAS12M14,6.922125518765702,6.9221255187657
3OAS13M14,6.922125518765702,6.92212551876571
3OAS140,6.922125518765692,6.922125518765673
3OAS160,6.922125518765703,6.92212551876569
3OAS180,6.922125518765703,6.922125518765702
3OAS2M3,0.0,0.0
3OAS3M4,6.922125518765703,6.92212551876571
3OAS4M3O6,6.922125518765703,6.9221255187657
3OAS4M5,0.0,0.0
3OAS4M6,6.922125518765703,6.9221255187657
3OAS5M6,6.922125518765703,6.9221255187657
3OAS60,6.922125518765692,6.922125518765663
3OAS6M7,0.0,0.0
3OAS6M8,6.922125518765703,6.9221255187657
3OAS7M8,6.922125518765703,6.922125518765703
3OAS80,6.922125518765692,6.922125518765668
3OAS8M10,6.922125518765703,6.9221255187657
3OAS8M9,0.0,0.0
3OAS9M10,6.922125518765703,6.922125518765709
4HPL,-0.6610043102863422,-0.6610043102863423
4HTHDR,27.099378455671726,27.099378455675666
4HTHDS,27.09937845567174,27.099378455675033
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.1489747569108861e-11
5DOAN,0.0,6.2214042189319486e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,5.289470839744334e-12
5MTHCYST,-8.25574597300202e-12,0.0
6P3HXI,-999.9999999999999,495.6224444300952
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-999.9999999999999,495.62244443006665
AB6PGH,0.0,404.44215623494114
AB6PGH2,0.0,404.4421562349603
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
AC5ASAe,0.0,496.28344874037697
ACACT1r,6.942031325104663,6.942031325107507
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,325.0500120423267
ACALDt,-1000.0,1000.0
ACBIPGT,0.6610043102863412,0.6610043102863419
ACCOAC,0.0,138.4425103753139
ACCOACL,0.0,138.4425103753139
ACCOAL,0.0,511.83556702603954
ACEDIPIT,0.0,0.0
ACGAMT,0.45109004804016356,0.4510900480401634
ACGApts,0.0,2.3573994969741997e-12
ACGK,0.0,8.619622573859275e-12
ACGS,0.0,2.334947473687838e-12
ACHBPL,482.6382501318585,1000.0
ACKr,-999.9999999999999,-995.2584052938844
ACLDC,0.0,1.0859201131041868e-11
ACLS_a,0.0,9.86533368188007e-12
ACLS_b,-496.2834487403491,0.0
ACNAMabc,0.0,-1.6755070804941077e-12
ACNML,0.0,1.4622337374736378e-11
ACOAAGPAT140,0.0,1.129541578319349e-12
ACOAAGPAT160,0.0,7.428595393150679e-13
ACOAAGPAT180,0.0,3.461062759382854
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.46106275938285,3.4610627593828522
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.46106275938285,3.461062759382852
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,6.922125518765688,6.922125518765711
ACODAr,0.0,1.6755070804940685e-12
ACONTa,0.0,189.18938986248236
ACONTb,0.0,189.18938986248304
ACOTA,1.1115328640974641e-12,0.0
ACPS1,0.6610043102863414,0.6610043102863418
ACS,0.0,4.741594706115725
ACTD,0.0,496.2834487403572
ACTNDH,-686.8901521714853,1000.0
ACTNdiff,-686.8901521715042,1000.0
ACYP,356.7203718726867,998.0169870691583
ACYP_2,0.0,1.3751588662612837e-11
ACtr,-1000.0,-999.9999999999869
ADCL,1.983012930859024,1.9830129308614974
ADCS,1.9830129308590243,1.983012930862459
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.4962832534745
ADK11,-1000.0,1000.0
ADK2,-999.3389956897136,-999.3389956896868
ADK3,-1000.0,993.8258033101257
ADK5,-1000.0,927.8174751403662
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.2660410343816
ADK9,-1000.0,1000.0000000000155
ADMDC,0.0,7.0994414219171664e-12
ADNCNT3tc,-1000.0,8.333647828095089
ADNCYC,0.0,0.0
ADNUC,0.0,1.972344542571755e-11
ADOCBIK,0.6610043102863414,0.661004310286343
ADOCBLS,0.6610043102863414,0.6610043102863419
ADOCBLabc,0.0,6.96179686158774e-12
ADPT,0.0,2.3664400089802068e-11
ADSL1r,0.0,2.721864818812255e-11
ADSL2r,0.0,7.79089977310474e-12
ADSS,0.0,3.23104916427844e-11
AGDC,0.0,7.742457364206227e-12
AGMT,0.0,1.5922870289157437e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,1.572873100616052e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,1.861616837888765e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,3.4610627593828585
AGPAT181,0.0,0.0
AGPR,-4.898302641242672e-12,0.0
AHCYSNS_r,1.3220086205726829,1.3220086205758625
AHMMPS,0.0,4.090819616246671e-12
AICART,3.7265109159024928e-28,1.2728694523550532e-11
AIHDUDPMG,0.6014533973868845,0.6014533973868855
AIHDUPDG,0.6014533973868844,0.6014533973868846
AIHPDCOATA,6.922125518765701,6.922125518765704
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,2.8029025424078968e-11
AKGS,0.0,2.538385367302864e-11
AKP1,0.0,2.5940871757427094e-11
ALAALA,0.15036334934672105,0.1503633493467213
ALAASP1c,0.0,1.818379777280378e-11
ALAASPabc,0.0,1.6550013354031297e-11
ALACI,-1000.0000000000001,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,9.118392110276199e-16,24.37306556599105
ALAGLNabc,0.0,24.373065565997102
ALAGLU1c,0.0,1.1232894616984981e-11
ALAGLUabc,0.0,1.0000179079228715e-11
ALAGLY1c,0.0,1.0094520391296912e-11
ALAGLYabc,0.0,1.0811140457370585e-11
ALAHIS1c,0.0,1.0854733765666414e-11
ALAHISabc,0.0,1.1681025109274124e-11
ALALEU1c,0.0,1.1658733076622834e-11
ALALEUabc,0.0,1.0653919704866101e-11
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.15036334934672105,0.15036334934672124
ALAR,-478.3902101681284,1000.0
ALATA_D,503.71655125960547,1000.0
ALATHR1c,15.55500149046708,15.55500149048881
ALATHRabc,15.555001490468804,15.55500149048547
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,16.35670941658366,962.1817402828359
ALCD2x,-1000.0,-503.7165512596137
ALDD2x,0.0,-1.3260202705655437e-13
ALDD8x,0.0,248.14172437016495
ALKP,0.0,5.68673938898474e-12
ALKP_R788e,0.0,214.91962736594232
ALPHNH,0.0,2.9070859522549125e-12
AMANAPEr,0.0,3.1040562795089145e-12
AMANK,0.0,3.714124585685252e-12
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.3389956897136
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.6610043102854206
AMPMS2,0.0,2.8734208156363306e-12
AMPTASECG,0.0,4.741594706115802
AMPTASEGC,0.0,4.741594706107679
ANPRT,4.536958687779698,4.5369586877797
ANS,0.0,4.1562966337837087e-13
ANS2,4.536958687762982,4.536958687779702
AOXSr,0.0,0.0
APRAUR,0.0,6.234444950675565e-13
ARBTpts,0.0,404.44215623499315
ARBabc,0.0,7.0384553225132455e-12
ARGDA,0.0,6.904620615653518e-12
ARGDC,0.0,9.486247750073887e-12
ARGN,503.7165512595592,1000.0
ARGSL,30.194260961586387,313.9783457553007
ARGSS,30.194260961579328,313.97834575532835
ARGabc,16.101141555631205,282.95512336610534
ARSENBabc,0.0,7.053958560618615e-12
ARSENBt2,-1.5261571659887198e-11,0.0
ASAD,-27.099378455676124,-27.099378455671747
ASNS1,0.0,1.2091198510057829e-11
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,3.506750302040239e-12
ASPCT,0.0,3.712235991480026e-12
ASPKi,27.09937845567172,27.09937845567653
ASPTA,-628.0414877783309,-5.821195395595157
ASPt2r,-456.8351440854426,253.01076008348076
ATPPRT,0.0,7.819315650348278e-12
ATPS4,999.9999999999982,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.6610043102863414,0.6610043102863424
BTDD_RR,0.0,0.0
BTNCLi,0.0,138.44251037531393
BTNabc,0.0,2.3768821374450643e-12
BTS4,0.0,0.0
BZAMAH,0.0,999.9999999999997
BZAMt2r,0.0,1000.0000000000001
BZte,0.0,1000.0
CAt4i,0.6610043102863414,0.6610043102863421
CBIAT,0.6610043102863413,0.661004310286342
CBL1abc,0.0,6.1227450280245846e-12
