,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,11.658892765951679
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,25.50250630487687,25.502506304903463
2ACAMSUCCAH,0.0,0.0
2AHBUTI,-11.6588927660146,1000.0
2DHPL,-6.224573356898761e-11,632.7783360718245
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.51422872942403,6.514228729435199
2MEBCOADH,-6.5142287294349455,-6.514228729424084
2OBUTt2r,987.0969999849343,998.7558927509571
2OGAT,0.0,0.0
2S6HCC,-1000.0,1.6980466618319577e-12
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,-1.5062912168085212e-11,0.0
3HACOAOR,0.0,0.0
3HAD100,6.5142287294240155,6.514228729433638
3HAD10M12,6.51422872942403,6.514228729433719
3HAD11M12,6.51422872942403,6.514228729435181
3HAD120,6.514228729424015,6.5142287294355805
3HAD12M14,6.51422872942403,6.514228729434623
3HAD13M14,6.51422872942403,6.514228729434388
3HAD140,6.514228729424013,6.514228729434374
3HAD14M16,6.51422872942403,6.514228729424068
3HAD15M16,6.51422872942403,6.5142287294240635
3HAD160,6.514228729424013,6.514228729424045
3HAD180,6.514228729424028,6.51422872942406
3HAD40,6.514228729424019,6.514228729424055
3HAD4M6,6.51422872942403,6.514228729424068
3HAD5M6,6.51422872942403,6.514228729424064
3HAD60,6.514228729424017,6.514228729424043
3HAD6M8,6.51422872942403,6.514228729424064
3HAD7M8,6.51422872942403,6.5142287294240555
3HAD80,6.514228729424016,6.514228729424042
3HAD8M10,6.51422872942403,6.5142287294240635
3HAD9M10,6.51422872942403,6.5142287294240555
3HLYTCL,0.0,4.885953788619719e-11
3MEBCOADH,-6.514228729436382,-6.514228729424028
3MOBDC2,0.0,6.308629771422242e-12
3MOBS,-8.805315810642239e-11,0.0
3MOPDC2,13.028457458848058,13.028457458858425
3OAR100,6.51422872942403,6.514228729435006
3OAR10M11,0.0,0.0
3OAR10M12,6.51422872942403,6.5142287294356995
3OAR11M12,6.51422872942403,6.5142287294348185
3OAR120,6.514228729424029,6.51422872943547
3OAR12M13,0.0,0.0
3OAR12M14,6.51422872942403,6.514228729434744
3OAR13M14,6.51422872942403,6.5142287294355175
3OAR140,6.514228729424027,6.514228729435461
3OAR14M15,0.0,0.0
3OAR14M16,6.51422872942403,6.514228729424072
3OAR15M16,6.51422872942403,6.514228729424061
3OAR160,6.514228729424025,6.514228729424043
3OAR180,6.514228729424028,6.514228729424061
3OAR40,6.5142287294240315,6.514228729424044
3OAR4M5,0.0,0.0
3OAR4M6,6.51422872942403,6.514228729424061
3OAR5M6,6.51422872942403,6.514228729424064
3OAR60,6.514228729424032,6.514228729424049
3OAR6M7,0.0,0.0
3OAR6M8,6.51422872942403,6.51422872942406
3OAR7M8,6.51422872942403,6.51422872942407
3OAR80,6.514228729424031,6.5142287294240475
3OAR8M10,6.51422872942403,6.51422872942406
3OAR8M9,0.0,0.0
3OAR9M10,6.51422872942403,6.514228729424069
3OAS100,6.514228729424031,6.514228729424047
3OAS10M11,0.0,0.0
3OAS10M12,6.51422872942403,6.51422872942406
3OAS11M12,6.51422872942403,6.514228729424066
3OAS120,6.51422872942403,6.514228729424046
3OAS12M13,0.0,0.0
3OAS12M14,6.51422872942403,6.51422872942406
3OAS13M14,6.51422872942403,6.514228729424059
3OAS140,6.514228729424027,6.514228729424073
3OAS160,6.514228729424026,6.514228729424043
3OAS180,6.514228729424028,6.51422872942406
3OAS2M3,0.0,0.0
3OAS3M4,6.51422872942403,6.514228729424067
3OAS4M3O6,6.51422872942403,6.514228729424065
3OAS4M5,0.0,0.0
3OAS4M6,6.51422872942403,6.514228729424066
3OAS5M6,6.51422872942403,6.514228729424065
3OAS60,6.5142287294240315,6.5142287294240475
3OAS6M7,0.0,0.0
3OAS6M8,6.51422872942403,6.514228729424061
3OAS7M8,6.51422872942403,6.514228729424067
3OAS80,6.514228729424031,6.514228729424031
3OAS8M10,6.51422872942403,6.514228729424061
3OAS8M9,0.0,0.0
3OAS9M10,6.51422872942403,6.514228729424063
4HTHDR,25.502506304876878,25.502506304895633
4HTHDS,25.502506304876878,25.502506304899587
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,9.062255831074698e-11
5DOAN,0.0,2.6588233666023027e-11
5GLUP5T1,-7.757118804210246e-11,0.0
5GLUP5T2,-1.5863228638466706e-13,6.873148160771626e-11
5HISAH,0.0,0.0
5MTHCYST,-2.642666055800966e-11,0.0
5MTHFGLUNFT,0.0,0.0
6P3HXI,-6.374362896209664e-11,632.7783360717873
6PGALSZ2i,0.0,9.918078137296561e-11
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AAPAT,0.0,0.0
