,minimum,maximum
12DGR180ti,2.077141115683194,2.077141115683191
1H2NPTH,0.0,0.0
23DHMPO,-483.28959160006974,-1.5867949540344495
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,0.09023988206316184,1000.0
2AHBUTI,1.5867949540575494,483.2895916002043
2HMCOXT,0.0,0.0
2INSD,0.0,-2.667650515530454e-11
2MBCOATA,4.154282231379656,4.154282231364554
2MEBCOADH,-4.154282231366371,-4.154282231366419
3CARLPDH,0.0,0.0
3HAD10M12,4.154282231366388,4.154282231366368
3HAD11M12,4.154282231366387,4.15428223136636
3HAD12M14,4.154282231366387,4.154282231366359
3HAD13M14,4.154282231366387,4.154282231366359
3HAD14M16,4.154282231366387,4.15428223136636
3HAD15M16,4.154282231366387,4.154282231366357
3HAD4M6,4.154282231366387,4.154282231366357
3HAD5M6,4.154282231366387,4.154282231366359
3HAD6M8,4.154282231366387,4.154282231366359
3HAD7M8,4.154282231366387,4.154282231366359
3HAD8M10,4.154282231366387,4.154282231366359
3HAD9M10,4.154282231366387,4.154282231366359
3MEBCOADH,-4.154282231366368,-4.154282231366388
3MOBDC2,0.0,0.0
3MOBS,0.0,0.0
3MOPDC2,8.308564462732777,8.308564462732749
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.154282231366386,4.154282231366356
3OAR11M12,4.154282231366386,4.154282231366354
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.154282231366386,4.154282231366354
3OAR13M14,4.154282231366386,4.154282231366353
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.154282231366386,4.154282231366354
3OAR15M16,4.154282231366386,4.154282231366357
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.154282231366384,4.154282231366361
3OAR5M6,4.154282231366386,4.154282231366352
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.154282231366386,4.154282231366354
3OAR7M8,4.154282231366386,4.154282231366352
3OAR80,0.0,0.0
