,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-3.8748554969191544e-10,0.0
26DAPLLATi,-2.2205331111574945e-10,-2.590040333640196e-30
26DAPt2r,0.0788340211355635,14.20793686238833
2AHBUTI,-2.329153957414489e-10,1.4992557848287473e-10
2DHPL,0.0,0.0
2DMMQ8abc,0.34655804086707875,0.3465580408670964
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,3.6292021414811364,3.62920214148131
34DHOXPEGOX,0.0,0.0
34DHPHEt2,0.0,2.99761823551008e-10
3HAD100,3.6292021414811364,3.6292021415125597
3HAD10M11,0.0,0.0
3HAD10M12,3.629202141481137,3.629202141513962
3HAD11M12,3.629202141481137,3.629202141510463
3HAD120,3.629202141481137,3.6292021415130145
3HAD12M13,0.0,0.0
3HAD12M14,3.6292021414811377,3.629202141513744
3HAD13M14,3.6292021414811377,3.629202141510526
3HAD140,3.6292021414811377,3.6292021415082933
3HAD14M15,0.0,0.0
3HAD14M16,3.6292021414811386,3.6292021414813265
3HAD15M16,3.6292021414811386,3.629202141481319
3HAD160,3.6292021414811377,3.6292021414813176
3HAD180,3.6292021414811386,3.629202141481318
3HAD40,3.629202141481134,3.6292021414813056
3HAD4M5,0.0,0.0
3HAD4M6,3.6292021414811355,3.629202141481309
3HAD5M6,3.6292021414811355,3.6292021414813087
3HAD60,3.629202141481135,3.629202141481325
3HAD6M7,0.0,0.0
3HAD6M8,3.6292021414811355,3.6292021414813105
3HAD7M8,3.6292021414811355,3.629202141481308
3HAD80,3.6292021414811355,3.629202141481324
3HAD8M10,3.6292021414811355,3.629202141481312
3HAD8M9,0.0,0.0
3HAD9M10,3.6292021414811355,3.629202141481309
3HLYTCL,0.0,2.895000240358601e-10
3MOBS,-848.2270440459143,-848.227044044173
3OAR100,3.629202141481133,3.629202141504415
3OAR10M11,0.0,0.0
3OAR10M12,3.6292021414811364,3.6292021414813216
3OAR11M12,3.6292021414811364,3.6292021414813154
3OAR120,3.629202141481134,3.629202141481324
3OAR12M13,0.0,0.0
3OAR12M14,3.6292021414811373,3.629202141481313
3OAR13M14,3.6292021414811373,3.629202141481311
3OAR140,3.629202141481134,3.62920214148132
3OAR14M15,-2.3507621840594466e-11,0.0
3OAR14M16,3.629202141481138,3.6292021414813105
3OAR15M16,3.629202141481138,3.629202141481311
3OAR160,3.629202141481143,3.6292021414813207
3OAR180,3.629202141481136,3.629202141481326
3OAR40,3.6292021414811337,3.62920214148132
3OAR4M5,0.0,0.0
3OAR4M6,3.629202141481135,3.629202141481314
3OAR5M6,3.629202141481135,3.629202141481317
3OAR60,3.6292021414811337,3.629202141481323
3OAR6M7,0.0,0.0
3OAR6M8,3.629202141481135,3.6292021414813096
3OAR7M8,3.629202141481135,3.6292021414813105
3OAR80,3.6292021414811337,3.6292021414813274
3OAR8M10,3.629202141481135,3.6292021414813096
3OAR8M9,0.0,0.0
3OAR9M10,3.629202141481135,3.629202141481317
3OAS100,3.629202141481133,3.629202141481325
3OAS10M11,0.0,0.0
3OAS10M12,3.629202141481137,3.629202141481318
3OAS11M12,3.629202141481137,3.629202141481318
3OAS120,3.629202141481133,3.629202141481326
3OAS12M13,0.0,0.0
3OAS12M14,3.6292021414811373,3.629202141481318
3OAS13M14,3.6292021414811373,3.6292021414813185
3OAS140,3.6292021414811395,3.6292021414813265
3OAS160,3.6292021414811346,3.6292021414813274
3OAS180,3.629202141481135,3.6292021414813282
3OAS2M3,0.0,0.0
3OAS3M4,3.629202141481135,3.629202141481316
3OAS4M3O6,3.629202141481135,3.629202141481315
