,minimum,maximum
23DHMPO,-999.9999999999999,999.5600768777412
26DAPLLATi,0.0,0.1000724399047827
2AHBUTI,-999.5600768777412,1000.0
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HEDCCL,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,4.6069337574592035,4.606933757459857
2S6HCC,0.0,3.026662798900165e-13
34DHOXPEGOX,0.0,0.0
3CALACL,0.0,0.0
3HAD100,4.6069337574592195,4.606933757458973
3HAD10M12,4.6069337574592195,4.606933757459571
3HAD11M12,4.6069337574592195,4.6069337574592195
3HAD120,4.6069337574592195,4.606933757459223
3HAD12M14,4.6069337574592195,4.60693375745922
3HAD13M14,4.6069337574592195,4.606933757459222
3HAD140,4.6069337574592195,4.606933757459222
3HAD14M16,4.6069337574592195,4.606933757459222
3HAD15M16,4.6069337574592195,4.606933757459222
3HAD160,4.6069337574592195,4.606933757459222
3HAD180,4.6069337574592195,4.606933757459222
3HAD40,4.6069337574592195,4.606933757459222
3HAD4M6,4.6069337574592195,4.606933757459223
3HAD5M6,4.6069337574592195,4.606933757459223
3HAD60,4.6069337574592195,4.606933757459223
3HAD6M8,4.6069337574592195,4.606933757459223
3HAD7M8,4.6069337574592195,4.606933757459223
3HAD80,4.6069337574592195,4.606933757459223
3HAD8M10,4.6069337574592195,4.606933757459223
3HAD9M10,4.6069337574592195,4.606933757459223
3HPCOAHL,0.0,0.0
3HXKYNDCL,0.0,0.0
3MOBS,1.384311245209737e-12,0.0
3OAR100,4.6069337574592195,4.60693375745922
3OAR10M11,0.0,0.0
3OAR10M12,4.6069337574592195,4.60693375745922
3OAR11M12,4.6069337574592195,4.60693375745922
3OAR120,4.6069337574592195,4.60693375745922
3OAR12M13,0.0,0.0
3OAR12M14,4.6069337574592195,4.60693375745922
3OAR13M14,4.6069337574592195,4.60693375745922
3OAR140,4.6069337574592195,4.60693375745922
3OAR14M15,0.0,0.0
3OAR14M16,4.60693375745922,4.60693375745922
3OAR15M16,4.60693375745922,4.60693375745922
3OAR160,4.6069337574592195,4.60693375745922
3OAR180,4.60693375745922,4.60693375745922
3OAR40,4.6069337574592195,4.60693375745922
3OAR4M5,0.0,0.0
3OAR4M6,4.606933757459149,4.606933757459224
3OAR5M6,4.6069337574592195,4.606933757459222
3OAR60,4.6069337574592195,4.60693375745922
3OAR6M7,0.0,0.0
3OAR6M8,4.6069337574592195,4.60693375745922
3OAR7M8,4.6069337574592195,4.60693375745922
3OAR80,4.6069337574592195,4.60693375745922
3OAR8M10,4.6069337574592195,4.60693375745922
3OAR8M9,0.0,0.0
3OAR9M10,4.6069337574592195,4.60693375745922
3OAS100,4.606933757459219,4.6069337574592195
3OAS10M11,0.0,0.0
3OAS10M12,4.606933757459219,4.60693375745922
3OAS11M12,4.606933757459219,4.6069337574592195
3OAS120,4.606933757459219,4.6069337574592195
3OAS12M13,0.0,0.0
3OAS12M14,4.606933757459219,4.6069337574592195
3OAS13M14,4.606933757459219,4.6069337574592195
3OAS140,4.606933757459219,4.6069337574592195
3OAS160,4.606933757459219,4.6069337574592195
3OAS180,4.606933757459219,4.6069337574592195
3OAS2M3,0.0,0.0
3OAS3M4,4.606933757459219,4.6069337574592195
3OAS4M3O6,4.606933757459203,4.606933757459224
3OAS4M5,0.0,0.0
3OAS4M6,4.606933757459219,4.606933757459219
3OAS5M6,4.606933757459219,4.6069337574592195
3OAS60,4.606933757459219,4.6069337574592195
3OAS6M7,0.0,0.0
3OAS6M8,4.606933757459219,4.606933757459221
3OAS7M8,4.606933757459219,4.606933757459221
3OAS80,4.606933757459219,4.606933757459221
3OAS8M10,4.606933757459219,4.606933757459221
3OAS8M9,0.0,0.0
3OAS9M10,4.606933757459219,4.606933757459219
4ABZt2,0.0,0.0
4HTHDR,0.10007243990478269,0.10007243990478258
4HTHDS,0.10007243990478268,0.10007243990478258
4HTHRS,0.0,0.0
5AIZCDC,0.0,-1.2002133763294569e-12
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,5.079068938549284e-13,0.0
5MTHFGLUNFT,0.0,0.0
6PGALSZ,-1000.0,1000.0000000000082
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,512.2571802495961
6PHBG2,0.0,512.25718024961
AB6PGH,0.0,512.2571802496145
AB6PGH2,0.0,512.2571802496035
ABGAFT,0.0,0.0
ABNTHL,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACACT1r,1.9806430834706334,1.9806430834709234
ACALD,-1000.0,-443.15224672668546
ACALDt,-2.315004732297178e-11,1000.0
ACBIPGT,0.4399231222590128,0.43992312225901314
ACCOAC,0.0,-7.509027277548477e-12
ACCOACL,0.0,1.7487679613651046e-11
ACCOACORAT,0.0,0.0
ACCOALYS2,0.0,1.5836647971078059e-12
ACEDIPIT,-0.10007243990478279,0.0
ACGAMK,0.0,2.6625100574205777e-12
ACGAMPM,-115.5898405443783,9.678157383380631e-12
ACGAMT,0.300217319714348,0.3002173197143481
ACGAMt2,0.0,-7.103063124070903e-12
ACGApts,0.0,2.094342051458727e-12
ACGK,0.0,2.0854299576227172e-12
ACGS,0.0,5.570580709338089e-12
ACHBPL,6.5988107793478e-12,0.4399231222690764
ACHBS,0.0,0.43992312226602037
ACKr,-1000.0,-999.9999999999959
ACLDC,0.0,2.355866804002231e-12
ACLS,0.0,0.43992312226677044
ACLS_a,0.0,0.4399231222607853
ACLS_b,0.0,0.43992312225767033
ACNAM9PL,0.0,-1.4316391858166795e-12
ACNAMS,0.0,0.0
ACOAAGPAT140,0.0,-2.0618270985380604e-13
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.3034668787296106
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.3034668787296098,2.303466878729611
