,minimum,maximum
23DHMPO,-0.2986927650369382,-0.29869276650573845
2AHBUTI,0.2986927664931168,0.29869276544136797
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,4.049006991611019,4.049006991607998
2OMMBOX,0.0,-4.005941857863692e-12
2OMPHH,0.0,-4.1634362424793326e-12
2S6HCC,0.0,-2.4700228169513953e-12
34DHOXPEGOX,0.0,0.0
3HAD100,4.04900699161102,4.049006991605386
3HAD10M12,4.04900699161102,4.04900699160684
3HAD11M12,4.04900699161102,4.0490069916055695
3HAD120,4.04900699161102,4.049006991605817
3HAD12M14,4.04900699161102,4.049006991607771
3HAD13M14,4.04900699161102,4.049006991607209
3HAD140,4.04900699161102,4.04900699160686
3HAD14M16,4.04900699161102,4.049006991611009
3HAD15M16,4.04900699161102,4.04900699161101
3HAD160,4.04900699161102,4.049006991611009
3HAD180,4.04900699161102,4.049006991611005
3HAD40,4.04900699161102,4.049006991611005
3HAD4M6,4.04900699161102,4.049006991610999
3HAD5M6,4.049006991611031,4.049006991611008
3HAD60,4.04900699161102,4.049006991611012
3HAD6M8,4.04900699161102,4.049006991611002
3HAD7M8,4.049006991611031,4.049006991611014
3HAD80,4.04900699161102,4.049006991611012
3HAD8M10,4.04900699161102,4.049006991611002
3HAD9M10,4.049006991611031,4.049006991611014
3HPCOAHL,0.0,0.0
3MOBS,5.328539872788775e-11,0.0
3OAR100,4.04900699161102,4.049006991611011
3OAR10M11,0.0,0.0
3OAR10M12,4.04900699161102,4.049006991611002
3OAR11M12,4.04900699161102,4.0490069916110025
3OAR120,4.04900699161102,4.049006991611002
3OAR12M13,0.0,0.0
3OAR12M14,4.04900699161102,4.049006991611002
3OAR13M14,4.04900699161102,4.0490069916110025
3OAR140,4.04900699161102,4.049006991611002
3OAR14M15,0.0,0.0
3OAR14M16,4.04900699161102,4.0490069916110025
3OAR15M16,4.04900699161102,4.0490069916110025
3OAR160,4.04900699161102,4.049006991611002
3OAR180,4.04900699161102,4.049006991611002
3OAR40,4.04900699161102,4.049006991611002
3OAR4M5,0.0,0.0
3OAR4M6,4.04900699161102,4.049006991611002
3OAR5M6,4.049006991611038,4.049006991611014
3OAR60,4.04900699161102,4.049006991611012
3OAR6M7,0.0,0.0
3OAR6M8,4.04900699161102,4.049006991611002
3OAR7M8,4.049006991611038,4.049006991611014
3OAR80,4.04900699161102,4.049006991611012
3OAR8M10,4.04900699161102,4.049006991611002
3OAR8M9,0.0,0.0
3OAR9M10,4.049006991611038,4.049006991611014
3OAS100,4.049006991611019,4.049006991611011
3OAS10M11,0.0,0.0
3OAS10M12,4.049006991611019,4.049006991611002
3OAS11M12,4.049006991611019,4.0490069916110025
3OAS120,4.049006991611019,4.049006991611002
3OAS12M13,9.614266366866922e-12,0.0
3OAS12M14,4.049006991611019,4.049006991611002
3OAS13M14,4.049006991611019,4.0490069916110025
3OAS140,4.049006991611019,4.049006991611002
3OAS160,4.049006991611019,4.049006991611002
3OAS180,4.049006991611019,4.049006991611001
3OAS2M3,0.0,0.0
3OAS3M4,4.049006991611032,4.049006991611013
3OAS4M3O6,4.049006991611019,4.049006991611011
3OAS4M5,0.0,0.0
3OAS4M6,4.049006991611019,4.04900699161101
3OAS5M6,4.049006991611039,4.049006991611016
3OAS60,4.049006991611019,4.049006991610999
3OAS6M7,0.0,0.0
3OAS6M8,4.049006991611019,4.049006991611011
3OAS7M8,4.049006991611039,4.049006991611003
3OAS80,4.049006991611019,4.0490069916110025
3OAS8M10,4.049006991611019,4.049006991611011
3OAS8M9,0.0,0.0
3OAS9M10,4.049006991611019,4.0490069916110025
4ABZt2,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-3.2508518588659274e-11
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,7.11882627125392e-12,0.0
5MTHFGLUNFT,0.0,0.0
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,901.3936761496426
6PHBG2,0.0,901.3936761494335
AB6PGH,0.0,901.3936761496269
AB6PGH2,0.0,901.3936761495966
ABGAFT,0.0,0.0
ABNTHL,0.0,0.0
ABTOXy,0.0,0.0
ACACT1r,1.740775560289699,1.74077556028316
ACALD,-1000.0,-414.84531514357036
ACALDt,-170.30936971276446,1000.0
ACBIPGT,0.38664584549626213,0.38664584549626047
ACCOACL,0.0,393.733675335786
ACCOACORAT,0.0,0.0
ACEDIPIT,-99.02534950987304,-0.08795307905176154
ACGAMK,0.0,-2.010820196776322e-11
ACGAMPM,-98.93739643085397,-2.7112517031631082e-11
ACGAMT,0.26385923708104814,0.2638592370810471
ACGAMt2,0.0,-3.13504473138389e-11
ACGApts,0.0,-3.1792592758701746e-11
ACGK,0.0,-2.1281827851284214e-11
ACGS,0.0,0.0
ACHBPL,-14.985284025302684,0.2986927654722641
ACHBS,0.0,15.283976790708033
ACKr,-1000.0,-1000.000000000033
ACLDC,0.0,-1.3699478401099912e-11
ACLS,0.0,15.28397679086411
ACLS_a,0.0,15.28397679080916
ACLS_b,-14.985284025302223,0.29869276541287715
ACNAM9PL,0.0,0.0
ACNAMS,0.0,0.0
ACOAAGPAT140,0.0,-2.302603876220584e-12
ACOAAGPAT160,0.0,-1.7685488365207174e-12
ACOAAGPAT180,0.0,2.024503495805502
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.0245034958055097,2.024503495805502
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.0245034958055097,2.024503495805506
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOASL,0.0,0.0
