,minimum,maximum
23DHMPO,-1.455379249098552,-1.455379249332215
2AHBUTI,1.4553792493305242,1.4553792492749935
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,4.03998240268136,4.039982402681359
2S6HCC,0.0,-3.1019449693234363e-13
34DHOXPEGOX,0.0,0.0
3HAD100,4.03998240268136,4.0399824026813596
3HAD10M12,4.03998240268136,4.039982402681358
3HAD11M12,4.03998240268136,4.039982402681358
3HAD120,4.03998240268136,4.039982402681357
3HAD12M14,4.03998240268136,4.039982402681358
3HAD13M14,4.03998240268136,4.039982402681358
3HAD140,4.03998240268136,4.039982402681357
3HAD14M16,4.03998240268136,4.039982402681358
3HAD15M16,4.03998240268136,4.039982402681358
3HAD160,4.03998240268136,4.039982402681357
3HAD180,4.03998240268136,4.039982402681357
3HAD40,4.03998240268136,4.039982402681357
3HAD4M6,4.03998240268136,4.039982402681358
3HAD5M6,4.039982402681386,4.039982402681342
3HAD60,4.03998240268136,4.039982402681357
3HAD6M8,4.03998240268136,4.039982402681358
3HAD7M8,4.039982402681387,4.039982402681342
3HAD80,4.03998240268136,4.039982402681357
3HAD8M10,4.03998240268136,4.039982402681358
3HAD9M10,4.03998240268136,4.039982402681358
3HPCOAHL,0.0,0.0
3MOBS,6.39243743512313e-12,0.0
3OAR100,4.03998240268136,4.039982402681358
3OAR10M11,0.0,0.0
3OAR10M12,4.03998240268136,4.039982402681358
3OAR11M12,4.03998240268136,4.039982402681358
3OAR120,4.03998240268136,4.039982402681358
3OAR12M13,0.0,0.0
3OAR12M14,4.03998240268136,4.039982402681358
3OAR13M14,4.03998240268136,4.039982402681358
3OAR140,4.03998240268136,4.039982402681358
3OAR14M15,0.0,0.0
3OAR14M16,4.03998240268136,4.039982402681358
3OAR15M16,4.03998240268136,4.039982402681358
3OAR160,4.03998240268136,4.039982402681358
3OAR180,4.03998240268136,4.039982402681358
3OAR40,4.03998240268136,4.039982402681358
3OAR4M5,0.0,0.0
3OAR4M6,4.03998240268136,4.039982402681358
3OAR5M6,4.039982402681379,4.039982402681342
3OAR60,4.03998240268136,4.039982402681358
3OAR6M7,0.0,0.0
3OAR6M8,4.03998240268136,4.039982402681358
3OAR7M8,4.039982402681379,4.039982402681342
3OAR80,4.03998240268136,4.039982402681358
3OAR8M10,4.03998240268136,4.039982402681358
3OAR8M9,0.0,0.0
3OAR9M10,4.039982402681379,4.039982402681342
3OAS100,4.03998240268136,4.039982402681357
3OAS10M11,0.0,0.0
3OAS10M12,4.03998240268136,4.039982402681357
3OAS11M12,4.03998240268136,4.039982402681357
3OAS120,4.03998240268136,4.039982402681357
3OAS12M13,0.0,0.0
3OAS12M14,4.03998240268136,4.039982402681357
3OAS13M14,4.03998240268136,4.039982402681357
3OAS140,4.03998240268136,4.039982402681357
3OAS160,4.03998240268136,4.039982402681357
3OAS180,4.03998240268136,4.039982402681357
3OAS2M3,0.0,0.0
3OAS3M4,4.039982402681378,4.039982402681341
3OAS4M3O6,4.03998240268136,4.039982402681357
3OAS4M5,0.0,0.0
3OAS4M6,4.03998240268136,4.039982402681357
3OAS5M6,4.039982402681378,4.039982402681369
3OAS60,4.03998240268136,4.039982402681359
3OAS6M7,0.0,0.0
3OAS6M8,4.03998240268136,4.039982402681354
3OAS7M8,4.039982402681378,4.039982402681349
3OAS80,4.03998240268136,4.039982402681356
3OAS8M10,4.03998240268136,4.039982402681354
3OAS8M9,0.0,0.0
3OAS9M10,4.03998240268136,4.039982402681357
4ABZt2,1.2389797992461343e-12,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-5.761937363994552e-12
5DOAN,0.0,-1.3873091995762299e-12
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,1.1536876306441566e-12,0.0
5MTHFGLUNFT,0.0,0.0
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,901.4620807998886
6PHBG2,0.0,901.462080799874
AACOAT,0.0,0.0
AB6PGH,0.0,901.4620807997594
AB6PGH2,0.0,901.4620807997591
ABGAFT,0.0,0.0
ABNTHL,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACACT1r,4.823168240027163,4.823168240026311
ACALD,-1000.0,-410.4057024294415
ACALDt,-179.1885951391791,1000.0
ACBIPGT,0.38578407375217927,0.38578407375217877
ACCOAC,0.0,390.1052943479282
ACCOACL,0.0,390.10529434792824
ACCOACORAT,0.0,0.0
ACCOALYS2,0.0,-3.187907623179485e-12
ACEDIPIT,-103.04826265659926,-0.08775704568230676
ACGAMK,0.0,-4.3937782939675185e-12
ACGAMPM,-102.96050561093898,-4.618725816224913e-12
ACGAMT,0.2632711370469203,0.26327113704692
ACGAMt2,0.0,-1.3964657126516898e-11
ACGApts,0.0,-7.315046620584319e-12
ACGK,0.0,-5.505564527985866e-12
ACGS,0.0,-6.518881160653779e-12
ACHBPL,-14.951884224190861,1.4553792490225157
ACHBS,0.0,16.40726347348202
ACKr,-1000.0,-1000.0000000000047
