,minimum,maximum
23DHMPO,-17.174786844538644,-1.4549398711847863
2ACAMSUCCAH,0.0,0.0
2AHBUTI,1.4549398711786905,17.174786844539653
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,4.038762734366455,4.038762734367797
2S6HCC,0.0,2.928921660293793e-13
34DHOXPEGOX,0.0,0.0
3HAD100,4.038762734366462,4.038762734367833
3HAD10M12,4.038762734366456,4.038762734367066
3HAD11M12,4.038762734366456,4.038762734367483
3HAD120,4.038762734366462,4.0387627343681585
3HAD12M14,4.038762734366456,4.038762734367519
3HAD13M14,4.038762734366456,4.0387627343676895
3HAD140,4.038762734366462,4.038762734367622
3HAD14M16,4.038762734366456,4.038762734366464
3HAD15M16,4.038762734366456,4.038762734366454
3HAD160,4.038762734366462,4.0387627343664825
3HAD180,4.038762734366456,4.038762734366458
3HAD40,4.038762734366462,4.038762734366458
3HAD4M6,4.038762734366456,4.038762734366462
3HAD5M6,4.038762734366456,4.038762734366462
3HAD60,4.038762734366462,4.0387627343664825
3HAD6M8,4.038762734366456,4.038762734366461
3HAD7M8,4.038762734366456,4.038762734366461
3HAD80,4.038762734366462,4.0387627343664825
3HAD8M10,4.038762734366456,4.038762734366461
3HAD9M10,4.038762734366456,4.038762734366461
3HPCOAHL,0.0,0.0
3MOBS,-1.8191881395628125e-11,0.0
3OAR100,4.038762734366455,4.038762734366482
3OAR10M11,0.0,0.0
3OAR10M12,4.038762734366455,4.038762734366461
3OAR11M12,4.038762734366455,4.038762734366461
3OAR120,4.038762734366455,4.038762734366482
3OAR12M13,0.0,0.0
3OAR12M14,4.038762734366455,4.038762734366461
3OAR13M14,4.038762734366455,4.038762734366461
3OAR140,4.038762734366455,4.038762734366482
3OAR14M15,0.0,0.0
3OAR14M16,4.038762734366455,4.038762734366461
3OAR15M16,4.038762734366455,4.038762734366461
3OAR160,4.038762734366455,4.038762734366482
3OAR180,4.038762734366455,4.038762734366482
3OAR40,4.038762734366455,4.038762734366482
3OAR4M5,0.0,0.0
3OAR4M6,4.038762734366455,4.038762734366461
3OAR5M6,4.038762734366455,4.038762734366461
3OAR60,4.038762734366455,4.038762734366482
3OAR6M7,0.0,0.0
3OAR6M8,4.038762734366455,4.038762734366461
3OAR7M8,4.038762734366455,4.038762734366461
3OAR80,4.038762734366455,4.038762734366482
3OAR8M10,4.038762734366455,4.038762734366461
3OAR8M9,0.0,0.0
3OAR9M10,4.038762734366455,4.038762734366461
3OAS100,4.038762734366454,4.038762734366482
3OAS10M11,0.0,0.0
3OAS10M12,4.038762734366455,4.038762734366461
3OAS11M12,4.038762734366455,4.038762734366461
3OAS120,4.038762734366454,4.038762734366482
3OAS12M13,0.0,0.0
3OAS12M14,4.038762734366455,4.038762734366461
3OAS13M14,4.038762734366455,4.038762734366461
3OAS140,4.038762734366454,4.038762734366482
3OAS160,4.038762734366454,4.038762734366482
3OAS180,4.038762734366454,4.038762734366482
3OAS2M3,0.0,0.0
3OAS3M4,4.038762734366455,4.038762734366462
3OAS4M3O6,4.038762734366455,4.038762734366461
3OAS4M5,0.0,0.0
3OAS4M6,4.038762734366455,4.038762734366461
3OAS5M6,4.038762734366455,4.038762734366461
3OAS60,4.038762734366454,4.0387627343664825
3OAS6M7,0.0,0.0
3OAS6M8,4.038762734366455,4.038762734366461
3OAS7M8,4.038762734366455,4.038762734366461
3OAS80,4.038762734366454,4.038762734366482
3OAS8M10,4.038762734366455,4.038762734366461
3OAS8M9,0.0,0.0
3OAS9M10,4.038762734366455,4.038762734366461
4ABZt2,-3.4919121828106964e-12,0.0
4HTHRS,0.0,0.0
5AIZCDC,0.0,3.8578875469522155e-12
5DOAN,0.0,1.6316349808996036e-12
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,-2.5074220364713026e-12,0.0
5MTHFGLUNFT,0.0,0.0
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0000000000002,1000.0
6PHBG,0.0,859.3614107666942
6PHBG2,0.0,859.3614107670154
AACOAT,0.0,3.5624569800262326e-12
AB6PGH,0.0,859.3614107671644
AB6PGH2,0.0,859.3614107664881
ABGAFT,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACACT1r,4.82171212836379,4.821712128369786
ACALD,-1000.0,-348.44176945230333
ACALDt,-303.1164610969702,1000.0
ACBIPGT,0.3856676057668638,0.3856676057668644
ACCOAC,0.0,549.3704963896618
ACCOACL,0.0,549.3704963931369
ACCOALYS2,0.0,9.02713628371383e-12
ACEDIPIT,0.0,0.0
ACGAMK,0.0,1.557324407962932e-11
ACGAMPM,-102.24581723543783,1.4672371107042724e-11
ACGAMT,0.26319165564525093,0.2631916556452516
ACGAMt2,0.0,-4.162929818106494e-11
ACGApts,0.0,1.4324798326699386e-11
ACGK,0.0,1.4709239559009544e-11
ACGS,0.0,1.0709715273019233e-11
ACHBPL,-14.947370259198015,17.17478684453854
ACHBS,0.0,32.122157103782705
ACKr,-1000.0,-999.9999999999873
ACLDC,0.0,8.786663044970728e-12
ACLS,0.0,32.12215710372969
ACLS_a,0.0,32.12215710372444
ACLS_b,-14.947370259197044,17.17478684453853
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.019381367183231
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.019381367183229,2.0193813671832315
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.019381367183228,2.019381367183231
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOASL,0.0,0.0
ACOATA,4.038762734366461,4.03876273436646
ACOCT,0.0,0.0
ACONTa,-971.0853293854245,-847.103366498304
ACONTb,-971.0853293854209,-847.1033665006635
ACOTA,-5.554992125437235e-12,0.0
ACPS1,0.3856676057668639,0.38566760576686426
ACS,0.0,5.9983102058924775e-12
ACTD,0.0,5.470453982563961e-11
ACTNDH,-451.7230639765407,261.82614801640506
ACTNR,0.0,0.0
ACTNdiff,-451.7230639765424,261.826148017408
ACtr,-1000.0,-999.9999999999808
ADA,0.0,1.7688142457207878
ADCL,0.0,5.637946007811639e-12
ADCS,0.0,4.896401885768219e-12
ADEt2,4.810059085964165,6.57887333180669
ADK1,23.78536480550182,23.785364805810037
ADK2,0.3856676057668639,0.3856676057725018
ADMDC,0.0,2.6219929322806744e-12
ADNCYC,0.0,0.0
ADNK1,6.352729509181145,6.352729509312036
ADOCBIK,0.3856676057668638,0.38566760576686476
