,minimum,maximum
23DHMPO,-1000.0,999.6129158071622
26DAPLLATi,4.299110151442761e-12,0.0
2AHBUTI,-999.6129158071839,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,4.053597423581413,4.053597423584071
2OMMBOX,0.0,8.759072261436e-13
2OMPHH,-2.4581033047705898e-12,2.1873329477634254e-12
2S6HCC,0.0,2.323443823803551e-12
3HAD100,4.0535974235814125,4.053597423582492
3HAD10M12,4.0535974235814125,4.053597423581709
3HAD11M12,4.0535974235814125,4.053597423582289
3HAD120,4.0535974235814125,4.053597423582472
3HAD12M14,4.0535974235814125,4.053597423584013
3HAD13M14,4.0535974235814125,4.053597423582817
3HAD140,4.0535974235814125,4.053597423582321
3HAD14M16,4.0535974235814125,4.053597423581423
3HAD15M16,4.0535974235814125,4.053597423581383
3HAD160,4.0535974235814125,4.053597423581382
3HAD180,4.0535974235814125,4.0535974235814125
3HAD40,4.053597423581403,4.053597423581403
3HAD4M6,4.0535974235814125,4.053597423581405
3HAD5M6,4.0535974235814125,4.05359742358141
3HAD60,4.053597423581403,4.05359742358142
3HAD6M8,4.0535974235814125,4.053597423581405
3HAD7M8,4.0535974235814125,4.053597423581405
3HAD80,4.053597423581403,4.053597423581405
3HAD8M10,4.0535974235814125,4.053597423581407
3HAD9M10,4.0535974235814125,4.053597423581403
3MOBS,-8.962542522426346e-12,0.0
3OAR100,4.053597423581417,4.053597423581405
3OAR10M11,0.0,0.0
3OAR10M12,4.0535974235814125,4.053597423581406
3OAR11M12,4.0535974235814125,4.053597423581402
3OAR120,4.0535974235814125,4.053597423581402
3OAR12M13,0.0,0.0
3OAR12M14,4.0535974235814125,4.053597423581402
3OAR13M14,4.0535974235814125,4.053597423581402
3OAR140,4.0535974235814125,4.053597423581402
3OAR14M15,0.0,0.0
3OAR14M16,4.0535974235814125,4.053597423581402
3OAR15M16,4.0535974235814125,4.053597423581402
3OAR160,4.0535974235814125,4.053597423581402
3OAR180,4.0535974235814125,4.053597423581402
3OAR40,4.053597423581417,4.053597423581405
3OAR4M5,0.0,0.0
3OAR4M6,4.0535974235814125,4.053597423581406
3OAR5M6,4.0535974235814125,4.053597423581402
3OAR60,4.053597423581417,4.053597423581405
3OAR6M7,0.0,0.0
3OAR6M8,4.0535974235814125,4.053597423581406
3OAR7M8,4.0535974235814125,4.053597423581402
3OAR80,4.053597423581417,4.053597423581405
3OAR8M10,4.0535974235814125,4.053597423581406
3OAR8M9,0.0,0.0
3OAR9M10,4.0535974235814125,4.053597423581402
3OAS100,4.053597423581417,4.053597423581406
3OAS10M11,0.0,0.0
3OAS10M12,4.0535974235814125,4.053597423581407
3OAS11M12,4.0535974235814125,4.053597423581403
3OAS120,4.0535974235814125,4.053597423581403
3OAS12M13,0.0,0.0
3OAS12M14,4.0535974235814125,4.053597423581403
3OAS13M14,4.0535974235814125,4.053597423581403
3OAS140,4.0535974235814125,4.053597423581403
3OAS160,4.0535974235814125,4.053597423581403
3OAS180,4.0535974235814125,4.053597423581403
3OAS2M3,0.0,0.0
3OAS3M4,4.0535974235814125,4.053597423581403
3OAS4M3O6,4.0535974235814125,4.053597423581403
3OAS4M5,0.0,0.0
3OAS4M6,4.0535974235814125,4.053597423581403
3OAS5M6,4.0535974235814125,4.053597423581403
3OAS60,4.053597423581415,4.053597423581406
3OAS6M7,0.0,0.0
3OAS6M8,4.0535974235814125,4.053597423581407
3OAS7M8,4.0535974235814125,4.053597423581403
3OAS80,4.053597423581402,4.053597423581406
3OAS8M10,4.0535974235814125,4.053597423581407
3OAS8M9,0.0,0.0
3OAS9M10,4.0535974235814125,4.053597423581403
4ABZt2,1.1612525785089696,1.1612525785106362
4HTHDR,0.0,1.9507519152057948e-11
4HTHDS,0.0,3.317919458096435e-11
4HTHRS,0.0,0.0
5AIZCDC,0.0,3.317919458096438e-11
5DOAN,0.0,2.8683102490413813e-12
5MTHCYST,-5.485213542267352e-12,0.0
6PGALSZ,-1000.0000000000002,1000.0
6PGALSZ2i,-1000.0,1000.0000000000296
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,997.6649158462001
AB6PGH2,0.0,997.6649158461888
ABTOXy,0.0,0.0
ACALD,85.12554589517983,86.28679847372526
ACALDt,999.9999999999906,1000.0
ACBIPGT,0.3870841928377369,0.38708419283773743
ACCOACL,81.07194847162822,81.07194847162812
ACEDIPIT,-1.1587240948729996e-11,0.0
ACGAMT,0.26415837903859224,0.2641583790385932
ACGAMt2,0.0,0.0
ACGApts,0.0,-8.785138135556947e-12
ACHBPL,0.3870841928377372,0.387084192840214
ACKr,-1000.0,-999.9999999999942
ACLDC,0.0,2.4766612828964063e-12
ACLS_a,0.38708419283773715,0.38708419284870665
ACLS_b,-9.296474132103997e-12,1.9016561402360818e-13
ACNAMabc,9.68580723140871,9.685807231406965
ACNML,9.685807231406198,9.685807231414401
ACOAAGPAT140,0.0,5.006727660841661e-15
ACOAAGPAT160,0.0,9.549637993675883e-13
ACOAAGPAT180,0.0,2.0267987117907103
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.0267987117907063,2.0267987117907023
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,-5.564938903722695e-13,0.0
ACOAAGPATI17,2.0267987117907063,2.026798711790704
ACOATA,4.053597423581515,4.053597423581416
ACPS1,0.38708419283773693,0.3870841928377364
ACS,0.0,-7.072523373061229e-12
ACTNDH,0.0,1.0841234294942645e-11
ACtr,-1000.0,-1000.0000000000181
ADCL,0.0,3.9243617719306925e-12
ADCS,0.0,4.509092672319534e-12
ADCYRS,0.0,0.0
ADEt2,4.788383135976852,4.788383135984939
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.211225215572
ADK11,-1000.0,1000.0
ADK2,0.38708419283773554,0.3870841928377379
ADK3,-1000.0,996.3843897763903
ADK5,-1000.0,957.2974424512511
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADMDC,0.0,3.554264763787271e-12
ADNCYC,0.0,0.0
ADOCBIK,0.3870841928377357,0.387084192837737
ADOCBLS,0.38708419283773693,0.3870841928377369
ADPRDP,0.0,0.0
ADPT,5.175467328801916,5.175467328823076
ADSL1r,0.0,2.0492432819828444e-12
ADSL2r,0.0,3.141493586743764e-12
ADSS,0.0,9.656565935973166e-12
AGDC,0.0,6.729041976171279e-12
AGMD,0.0,2.2780610856830036e-12
AGPAT120,0.0,-3.954238904882586e-13
AGPAT140,0.0,-1.396373838779655e-13
AGPAT141,0.0,0.0
AGPAT160,0.0,-2.605053271957109e-13
AGPAT161,0.0,0.0
AGPAT180,0.0,2.0267987117907067
AGPAT181,0.0,0.0
AHCYSNS_r,0.3870841928377369,0.3870841928377683
AHEXASE3,0.0,0.0
AHSERL2,0.0,-4.691637600052754e-11
AHSERL3,-1.0280480796928341e-11,0.0
AICART,0.0,-5.397452047862507e-13
AIHDUDPMG,0.35221117205145613,0.3522111720514565
AIHDUPDG,0.35221117205145613,0.352211172051456
AIHPDCOATA,4.0535974235814125,4.053597423581412
AIPDCOATA,0.0,0.0
AIRC4,0.0,-2.4195474697314487e-12
ALAALA,0.08805279301286406,0.0880527930128641
ALAASP1c,0.0,417.23908819002764
ALAASPabc,0.0,417.2390881900413
ALACI,-999.9999999999998,1000.0
ALAD_L,0.0,571.6418899728928
ALAGLN1c,3.13315798921684e-15,232.35037147387754
ALAGLNabc,0.0,232.35037147388172
ALAGLU1c,0.0,232.35037147388067
ALAGLUabc,0.0,232.35037147388692
ALAGLY1c,0.0,1.4570090201626736e-11
ALAGLYabc,0.0,2.0479085047326594e-11
ALAHIS1c,0.0,417.23908819004384
ALAHISabc,0.0,417.23908819004265
ALALEU1c,7.906163011553756e-14,417.23908819004254
ALALEUabc,0.0,417.23908819002287
ALAPGPL,0.08805279301286406,0.08805279301286392
ALAR,10.478282368530822,10.478282368530829
ALATA_L,-1000.0,-428.3581100271591
ALATHR1c,0.0,417.239088190034
ALATHRabc,0.0,417.23908819004185
ALAt2r,-1000.0,-629.3555176192658
ALCD19,47.09454954421564,468.59094444632717
ALCD2x,-914.8744541047938,-912.4029159025508
AMALT1,0.0,5.987506786671708e-12
AMALT2,0.0,5.904866669560172e-12
AMALT3,0.0,5.9419363901636544e-12
AMALT4,0.0,7.175261236254762e-12
AMANAPEr,0.0,-1.5535200827546582e-11
AMANK,0.0,-3.9805626238501346e-12
AMMQT7rev,0.7741683856754038,0.7741683856753396
AMMQT8,0.3870841928377369,0.3870841928377372
AMPTASECG,0.0,5.551050689013395
AMPTASEGC,0.0,5.551050688997645
AMY2e,0.0,124.99999999999966
ANPRT,2.6568434793361617,2.656843479336171
ANS,0.0,2.656843479336172
ANS2,0.0,2.656843479336171
APAT,0.0,0.0
APRAUR,0.0,0.0
ARAI,0.0,1.591317758938684e-11
ARBTpts,574.858235320068,997.6649158461753
ARBabc,0.0,1.3840231106655722e-11
ARGDA,0.0,1.232908991618971e-12
ARGDC,0.0,1.3616202810194264e-11
ARGSL,-1.8352984289378094e-27,0.7741683856884226
ARGSS,0.0,0.7741683856771959
ARGabc,0.0,1.4851979248093395e-12
ARGt2,604.6693474253078,1000.0
ASAD,-4.2794751997525475e-11,0.0
ASCBPL,0.0,0.0
ASNS2,0.0,3.0845766883934886e-12
ASNt2r,7.231532466366681,574.2680407556749
ASPCT,0.0,9.79948032404157e-12
ASPKi,0.0,4.9020267082900314e-11
ASPTA,469.0388270441075,894.1680127270438
ASPt2r,-112.67458439366733,811.7061517411698
ATPS4,999.999999999979,1000.0
BGLA,0.0,0.0
BGLA1,0.0,2.8705986751739307e-11
BPNT,0.38708419283773693,0.3870841928377369
BTDD_RR,0.0,0.0
BTNCLi,81.07194847162829,81.07194847162839
BTNabc,0.0,0.0
CAt4i,0.38708419283773693,0.38708419283773504
CBIAT,0.38708419283773693,0.38708419283773765
CBMKr,-1.518398728787061e-11,0.774168385693388
CBPS,0.0,1.3343777552145475e-12
CD2abc1,0.0,-4.674779926555265e-12
CD2t6r,1.628541566165406e-11,-1.684412692446663e-14
CDPGLYCGPT,0.2641583790385922,0.26415837903859163
CDPMEK,1.7427491088169786,1.7427491088145226
CELBpts,0.0,-3.691860326299505e-12
CGLYabc,0.3870841928321901,5.938134881833198
CHORM,0.0,1.7941204077942424e-13
CHORS,2.656843479336161,2.6568434793364095
CHRPL,0.0,-1.0453765580840938e-13
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.41864688493481256,0.4186468849348121
CLPNSAI15,0.0,0.0
CLPNSAI17,0.41864688493481256,0.4186468849348121
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.41864688493481256,0.4186468849348121
CMPSAS,0.0,0.0
CO2t,-922.8396811853137,-497.17437826470433
COBALTt5,-0.38708419283773726,-0.38708419283773693
CPPPGO,0.0,1.7526286738177039e-12
CPPPGO2,0.0,1.4593683956822046e-12
CTPS1,0.0,2.583908991574001
CTPS2,0.0,2.5839089915739923
CYSDS,0.0,1000.0
CYSS,0.0,5.04678148212846e-12
CYSS3r,0.0,1.6778115441510343e-11
CYSTL,0.0,982.6013950642315
CYSTS,0.38708419284072787,982.9884792570925
CYSabc,0.0,247.09632158710332
CYTD,0.0,1.806339919476491e-11
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,44.01284317247301,44.78701155815068
CYTK2,-0.7887747844278435,0.5215108392993784
Cuabc,0.38708419283773704,0.38708419283894663
Cut1,0.0,2.3271183659752383e-12
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,4.552488769614677e-12
DAGK181,0.0,0.0
DAPDAi,0.0,-2.0560961593856693e-12
DAPDC,0.0,3.334858847482099e-12
DAPMDH,-4.6576561905605315e-12,0.0
DAPabc,0.08805279300573324,0.08805279301528222
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,1.6745875397392502,1.674587539739251
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,1.6745875397392502,1.6745875397392498
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,1.6745875397392502,1.6745875397392502
DB4PS,0.0,0.0
DCMPDA,-0.5215108392993787,0.7887747844278422
DCYTD,0.0,0.0
DDGLK,0.0,0.0
DDPA,2.656843479336162,2.656843479344869
DDPGA,0.0,0.0
DFDCYTDD,0.0,5.419276904395265e-12
DFDCYTDabc,0.0,1.0734526599338455e-11
DFDURIte,0.0,1.0734526599338455e-11
DGK1,0.0,0.0
DHAD1,0.0,1.0859268165862947e-11
DHAD2,0.38708419283773715,0.38708419284613343
DHAPT,0.0,2.581006845496497e-11
DHFOR2,0.0,1.4404155165500676e-12
DHFR,1.9500273629410538,1.9500273629410538
DHFS,1.1612525785132106,1.161252578511861
DHNAOT4,0.7741683856754737,0.7741683856754754
DHNAOT7,0.7741683856750847,0.7741683856754725
DHNPA,1.1612525785132104,1.1612525785129932
DHORDfum,0.0,4.935648895934165e-12
DHORDnad,0.0,2.2189313350286857e-12
DHORTS,-3.581958077133532e-12,0.0
DHPPDA,0.0,0.0
DHPPDA2,0.0,0.0
DHPR,0.0,0.0
DHPS,1.161252578507084,1.1612525785118533
DHQS,2.656843479336161,2.65684347933655
DHQTi,2.6568434793361613,2.6568434793388276
DMATT,0.0880527930128641,0.08805279301308312
DMPPS,1.7427491088169786,1.742749108818191
DMQMT,0.0,1.6988821191354134e-13
DMQMT2,0.0,3.2102437501283087e-13
DM_5DRIB,0.0,4.652126159918802e-13
DM_5MTR,0.0,3.342960133960908e-12
DM_HQN,574.8582353201137,997.6649158461779
DM_NA1,752.9036784128905,1000.0
DM_atp_c_,0.0,4.453577769421305e-12
DM_dhptd(c),0.3870841928377372,0.3870841928389101
DM_q8h2[c],0.0,142.39577726181346
DM_teich_45_BS(c),0.0,0.0
DNMPPA,1.1612525785132104,1.1612525785144532
DNTPPA,1.1612525785132104,1.161252578514637
DPCOAK,0.7741683856751289,0.7741683856749491
DPMVDc,0.0,0.0
DPRr,0.0,0.0
DRPAr,-1.3102856237272231,-2.937335614889254e-16
DTMPK,0.7887747844278432,0.788774784427844
DURIK1,0.0,1.310285623727219
DURIPP,-1.310285623727269,2.1598876108285345e-16
DUTPDP,0.0,1.4161482466511472e-11
DXPRIi,1.7427491088169782,1.7427491088185945
DXPS,1.7427491088169782,1.742749108820147
D_GLY3PRi,575.0634861724735,997.8701666983198
E4PD,0.0,0.0
EAR100x,4.0535974235814125,4.053597423581365
EAR10M12,4.0535974235814125,4.053597423581621
EAR11M12x,4.0535974235814125,4.053597423581978
EAR120x,4.0535974235814125,4.053597423581418
EAR12M14x,4.0535974235814125,4.053597423581342
EAR13M14x,4.0535974235814125,4.053597423580809
EAR140x,4.0535974235814125,4.053597423581415
EAR14M16,4.0535974235814125,4.0535974235814125
EAR15M16,4.0535974235814125,4.053597423581411
EAR160x,4.0535974235814125,4.05359742358141
EAR180x,4.0535974235814125,4.053597423581415
EAR40x,4.053597423581416,4.053597423581416
EAR4M6,4.0535974235814125,4.053597423581412
EAR5M6,4.0535974235814125,4.053597423581411
EAR60x,4.053597423581416,4.0535974235814205
EAR6M8x,4.0535974235814125,4.053597423581413
EAR7M8,4.0535974235814125,4.053597423581411
EAR80x,4.053597423581416,4.0535974235814205
EAR8M10x,4.0535974235814125,4.053597423581413
EAR9M10x,4.0535974235814125,4.053597423581411
EDA_R,0.0,0.0
EHGLAT,0.0,0.0
ENO,999.9999999999691,1000.0
ETOHt2r,-914.8744541048046,-912.4029159025679
EX_26dap_M(e),-0.08805279302228126,-0.08805279299336656
EX_4abz(e),-1.1612525785137895,-1.1612525785110885
EX_4ahmmp(e),0.0,0.0
EX_Tyr_ggn(e),0.0,1000.0
EX_ac(e),999.999999999995,1000.0
EX_acald(e),-1000.0,-999.9999999999803
EX_acgam(e),2.2430139920570923e-12,1000.0
EX_acnam(e),-9.685807231444409,-9.685807231404647
EX_ade(e),-4.7883831360025715,-4.788383135968627
EX_adocbl(e),0.0,0.0
EX_ala_L(e),629.3555176191167,1000.0
EX_alaasp(e),-417.2390881900554,0.0
EX_alagln(e),-232.35037147389195,0.0
EX_alaglu(e),-232.35037147388047,0.0
EX_alagly(e),-3.3458562743681963e-12,0.0
EX_alahis(e),-417.23908819004816,0.0
EX_alaleu(e),-417.23908819003265,0.0
EX_alathr(e),-417.239088190037,0.0
EX_arab_L(e),9.173628639622111e-12,0.0
EX_arbt(e),-997.664915846191,-574.8582353198723
EX_arg_L(e),-9.42883016926341,-8.654661783559424
EX_asn_L(e),-574.2680407552747,-7.231532466399259
EX_asp_L(e),-811.7061517411765,112.67458439370978
EX_biomass(e),48.75299984101881,48.75299984101898
EX_btn(e),0.0,0.0
EX_ca2(e),-0.3870841928377376,-0.38708419283773965
EX_cd2(e),0.0,0.0
EX_cellb(e),1.498258240872166e-11,0.0
EX_cgly(e),-5.938134881837295,-0.3870841928284919
EX_cl(e),-0.38708419283773726,-0.387084192837737
EX_co2(e),497.1743782643051,922.8396811854323
EX_cobalt2(e),-0.387084192837738,-0.387084192837737
EX_cu2(e),-0.3870841928377367,-0.38708419283773693
EX_cys_L(e),-247.09632158706881,0.0
EX_dfdcytd(e),-2.254369112102518e-11,0.0
EX_dfduri(e),0.0,1.9803898947694346e-11
EX_etoh(e),912.4029159025395,914.8744541048231
EX_fald(e),-3.6095570976612488e-12,4.540124270625963e-11
EX_fe2(e),-0.7741683856845402,-0.7741683856754737
EX_fe3(e),-0.38708419283771645,-0.3870841927967713
EX_fol(e),0.0,3.8282506656084534e-12
EX_for(e),1000.0000000000185,1000.0
EX_fru(e),531.4090555536317,1000.0
EX_gal(e),-7.909689406185928e-12,468.5909444463802
EX_galt(e),0.0,0.0
EX_gam(e),-1.707807269872222e-11,0.0
EX_gcald(e),1.1612525785132104,1.1612525785142835
EX_glc_D(e),-1.858245457692927e-11,1000.0
EX_glcur(e),0.0,1000.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),750.4299106580384,1000.0
EX_gly(e),0.0,0.0
EX_glyasn(e),-3.962464827761791e-12,0.0
EX_glyasp(e),-1.027423923103728e-11,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),48.35049019900395,469.84688510117036
EX_glycys(e),-5.551050688999555,0.0
EX_glygln(e),-1.386979420203727e-11,0.0
EX_glyglu(e),-2.44636975798051e-11,0.0
EX_glygn2(e),-125.00000000000266,0.0
EX_glygn4(e),-1000.0,125.00000000000152
EX_glygn5(e),-999.9999999999999,1000.0000000000016
EX_glyleu(e),-5.551050688989778,0.0
EX_glymet(e),-7.107647803650273e-13,0.0
EX_glyphe(e),-8.589791041989114,-8.589791041986798
EX_glypro(e),-5.55105068898618,0.0
EX_glytyr(e),-5.413533102347086,-5.413533102345415
EX_h(e),-1000.0,-999.9999999999743
EX_h2o(e),-1000.0,1000.0
EX_h2s(e),-3.1637625457938587,243.9325590413574
EX_ha(e),-1000.0,0.0
EX_ha_deg1(e),-1000.0,1000.0
EX_ha_pre1(e),-1000.0,1000.0
EX_hg2(e),0.0,1.7434845242151913e-11
EX_his_L(e),-3.9952108309718075,413.2438773590729
EX_ile_L(e),-16.850786977750374,-16.85078697773755
EX_inulin(e),-34.48275862068482,-34.48275862068897
EX_k(e),-0.387084192837737,-0.38708419283773693
EX_kesto(e),-234.29547222311936,0.0
EX_kestopt(e),-117.14773611158635,0.0
EX_kestottr(e),-156.19698148211515,0.0
EX_lac_L(e),430.4168909527924,999.9999999999999
EX_lactl(e),-468.5909444462679,0.0
EX_lcts(e),-1.8440946455839296e-11,0.0
EX_leu_L(e),-20.993314748342932,400.635571552194
EX_lys_L(e),-15.78134604853783,-15.7813460485339
EX_malt(e),1.7867427468785884e-11,1000.0000000000001
EX_malthx(e),-6.773887572686823e-12,0.0
EX_malttr(e),-1.2031326678592672e-11,0.0
EX_man(e),-2.646891869290393e-11,0.0
EX_mantr(e),-3.48828692494087e-11,0.0
EX_met_D(e),-2.5350289694627065e-11,0.0
EX_met_L(e),-2.1255343798847056e-11,0.0
EX_metala(e),-6.30763386763216,-6.307633867611978
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-3.622954974519954e-11,0.0
EX_mg2(e),-0.3870841928377379,-0.3870841928377374
EX_mn2(e),-0.3870841928377365,-0.38708419283773693
EX_mnl(e),0.0,0.0
EX_mqn7(e),-0.7741683856754741,-0.7741683856752376
EX_na1(e),-1000.0,-752.9036784128139
EX_nac(e),-1.8630756619940612e-11,0.0
EX_ncam(e),-0.7741683856751013,-0.7741683856795557
EX_nh4(e),999.9999999999841,1000.0
EX_nmn(e),0.0,0.0
EX_no3(e),0.0,0.0
EX_o2(e),-952.905450455772,-759.6832324655155
EX_orn(e),-991.345338216417,-595.2405172563082
EX_pb(e),0.0,1.9568480149408133e-11
EX_phe_L(e),0.0,0.0
EX_pheme(e),-0.3870841928377373,-0.3870841928331751
EX_pi(e),-60.55836811703273,-60.55836811701958
EX_pnto_R(e),-0.7741683856754717,-0.7741683856751419
EX_pro_L(e),-386.44443598044603,0.0
EX_ptrc(e),-0.3870841928382116,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),-142.78286145462562,-0.38708419283719264
EX_raffin(e),-4.176099256253397e-11,0.0
EX_ribflv(e),-0.7741683856754747,-0.7741683856754739
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_so4(e),-0.38708419283773604,-0.387084192837737
EX_spmd(e),-0.38708419283773843,-0.3870841928302657
EX_stys(e),-5.6173482424049965e-11,0.0
EX_succ(e),0.0,0.7741683856991243
EX_sucr(e),-1.912862234053392e-11,0.0
EX_thm(e),-0.38708419285252976,-0.38708419283773693
