,minimum,maximum
23DHMPO,-1000.0,999.5941663175777
26DAPLLATi,0.0,0.0
2AHBUTI,-999.5941663175776,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,4.249944585465655,4.249944585446696
2OMMBOX,0.0,-1.188273787454278e-11
2OMPHH,0.0,-1.7243113675566037e-12
2S6HCC,0.0,-2.7899823854083526e-12
3HAD100,4.249944585465656,4.249944585447225
3HAD10M12,4.249944585465655,4.249944585443671
3HAD11M12,4.249944585465657,4.249944585447651
3HAD120,4.249944585465656,4.249944585447732
3HAD12M14,4.249944585465655,4.249944585443671
3HAD13M14,4.2499445854656575,4.2499445854476505
3HAD140,4.249944585465656,4.249944585449249
3HAD14M16,4.249944585465654,4.2499445854655615
3HAD15M16,4.249944585465654,4.249944585465547
3HAD160,4.249944585465655,4.249944585465547
3HAD180,4.249944585465654,4.2499445854655455
3HAD40,4.249944585465656,4.249944585465554
3HAD4M6,4.249944585465655,4.249944585465544
3HAD5M6,4.2499445854656575,4.249944585465577
3HAD60,4.249944585465656,4.249944585465556
3HAD6M8,4.249944585465656,4.249944585465535
3HAD7M8,4.2499445854656575,4.2499445854655695
3HAD80,4.249944585465656,4.249944585465563
3HAD8M10,4.249944585465656,4.249944585465555
3HAD9M10,4.2499445854656575,4.249944585465566
3MOBS,3.7609275572062434e-09,0.0
3OAR100,4.249944585465656,4.249944585465562
3OAR10M11,0.0,0.0
3OAR10M12,4.249944585465655,4.249944585465555
3OAR11M12,4.24994458546566,4.249944585465565
3OAR120,4.249944585465656,4.249944585465562
3OAR12M13,0.0,0.0
3OAR12M14,4.249944585465655,4.249944585465555
3OAR13M14,4.249944585465659,4.249944585465564
3OAR140,4.249944585465656,4.249944585465562
3OAR14M15,0.0,0.0
3OAR14M16,4.249944585465654,4.249944585465555
3OAR15M16,4.249944585465659,4.249944585465564
3OAR160,4.249944585465655,4.249944585465562
3OAR180,4.249944585465654,4.2499445854655535
3OAR40,4.249944585465656,4.249944585465554
3OAR4M5,0.0,0.0
3OAR4M6,4.249944585465655,4.249944585465555
3OAR5M6,4.24994458546566,4.249944585465565
3OAR60,4.249944585465656,4.249944585465562
3OAR6M7,0.0,0.0
3OAR6M8,4.249944585465656,4.249944585465555
3OAR7M8,4.24994458546566,4.249944585465565
3OAR80,4.249944585465656,4.249944585465562
3OAR8M10,4.249944585465656,4.249944585465555
3OAR8M9,0.0,0.0
3OAR9M10,4.24994458546566,4.249944585465566
3OAS100,4.249944585465655,4.249944585465562
3OAS10M11,0.0,0.0
3OAS10M12,4.249944585465655,4.249944585465555
3OAS11M12,4.24994458546566,4.249944585465564
3OAS120,4.249944585465655,4.249944585465564
3OAS12M13,1.9540920902791686e-11,0.0
3OAS12M14,4.249944585465654,4.249944585465554
3OAS13M14,4.24994458546564,4.249944585465564
3OAS140,4.249944585465655,4.249944585465564
3OAS160,4.249944585465655,4.249944585465554
3OAS180,4.249944585465654,4.249944585465553
3OAS2M3,0.0,0.0
3OAS3M4,4.249944585465657,4.24994458546557
3OAS4M3O6,4.249944585465655,4.249944585465563
3OAS4M5,0.0,0.0
3OAS4M6,4.249944585465655,4.249944585465554
3OAS5M6,4.249944585465657,4.249944585465577
3OAS60,4.249944585465655,4.2499445854655615
3OAS6M7,0.0,0.0
3OAS6M8,4.249944585465655,4.249944585465559
3OAS7M8,4.249944585465657,4.249944585465586
3OAS80,4.249944585465655,4.249944585465557
3OAS8M10,4.249944585465655,4.249944585465559
3OAS8M9,0.0,0.0
3OAS9M10,4.249944585465657,4.249944585465586
4ABZt2,1.2175010472672632,1.2175010472469092
4HTHDR,0.0,-8.42242904608061e-11
4HTHDS,0.0,-7.550067147599156e-11
4HTHRS,0.0,0.0
5AIZCDC,0.0,-1.1515282052993543e-10
5DOAN,0.0,-2.8554303200391318e-11
5MTHCYST,2.566915888889687e-11,0.0
6PGALSZ,-1000.0000000000002,1000.0
6PGALSZ2i,-1000.0000000000005,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,999.9999999999997
AB6PGH2,0.0,999.9999999999985
ABTOXy,0.0,0.0
ACALD,100.62130333843379,100.62130333356129
ACALDt,1000.0000000004743,1000.0
ACBIPGT,0.40583368242242096,0.40583368242241485
ACCOACL,84.99889170931313,84.99889170931101
ACEDIPIT,1.384735237888587e-10,0.0
