,minimum,maximum
23DHMPO,-0.2660389921339426,-0.2660389921413689
2AHBUTI,0.2660389921413383,0.26603899217137156
2HMCOXT,0.0,0.0
2MBCOATA,3.659335621923199,3.659335621930409
3HAD10M12,3.6593356219231983,3.659335621928168
3HAD11M12,3.6593356219231983,3.6593356219280695
3HAD12M14,3.6593356219231983,3.6593356219281703
3HAD13M14,3.6593356219231983,3.659335621926929
3HAD14M16,3.6593356219231987,3.6593356219232396
3HAD15M16,3.6593356219231987,3.659335621923201
3HAD4M6,3.6593356219231983,3.6593356219231996
3HAD5M6,3.6593356219232023,3.6593356219232134
3HAD6M8,3.6593356219231983,3.659335621923243
3HAD7M8,3.6593356219231983,3.6593356219232516
3HAD8M10,3.6593356219231983,3.659335621923221
3HAD9M10,3.6593356219231983,3.65933562192322
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.659335621923199,3.659335621923221
3OAR11M12,3.659335621923199,3.6593356219232205
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.659335621923199,3.659335621923221
3OAR13M14,3.659335621923199,3.6593356219232205
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.6593356219231996,3.659335621923222
3OAR15M16,3.6593356219231996,3.6593356219232214
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.659335621923199,3.659335621923221
3OAR5M6,3.6593356219232027,3.6593356219232067
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.659335621923199,3.659335621923221
3OAR7M8,3.659335621923199,3.659335621923219
3OAR80,0.0,0.0
3OAR8M10,3.659335621923199,3.659335621923219
3OAR8M9,0.0,0.0
3OAR9M10,3.659335621923199,3.659335621923219
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.6593356219231987,3.6593356219231987
3OAS11M12,3.6593356219231987,3.6593356219231987
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.6593356219231987,3.6593356219231654
3OAS13M14,3.6593356219231987,3.6593356219231654
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.6593356219232036,3.659335621923163
3OAS4M3O6,3.6593356219231987,3.659335621923231
3OAS4M5,0.0,0.0
3OAS4M6,3.6593356219231987,3.6593356219232214
3OAS5M6,3.6593356219231987,3.6593356219232205
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.6593356219231987,3.6593356219232107
3OAS7M8,3.6593356219231987,3.6593356219232116
3OAS80,0.0,0.0
3OAS8M10,3.6593356219231987,3.6593356219232076
3OAS8M9,0.0,0.0
3OAS9M10,3.6593356219231987,3.6593356219232174
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.1747198147814285e-11
5DOAN,0.0,5.232162503619828e-12
5MTHCYST,-4.558214781914885e-12,0.0
6PGALSZ2i,0.0,51.83347484579926
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,108.24762711991293
AB6PGH2,0.0,108.24762711991013
ABTOXy,0.0,0.0
ACACT1r,13.14884723858923,13.148847238597218
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1.3765466596667153,270.95039790406736
ACALDt,999.9999999998631,1000.0
ACBIPGT,0.13301949607068453,0.13301949607068417
ACCOACL,73.18671243846401,73.18671243846349
ACEDIPIT,-4.558196578043404e-11,0.0
ACGAMT,0.23274652985983163,0.23274652985983377
ACGApts,0.0,-5.7250712812332016e-11
ACHBPL,0.26603899214136917,0.2660389921560117
ACKr,-999.7339610078855,-993.6077183678739
ACLDC,0.0,135.30953390009725
ACLS_a,0.26603899214136917,173.71454241198214
ACLS_b,-173.44850341968703,-1.7996685136260066e-12
ACNML,-2.86577952043277e-13,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,1.8296678109616058
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.8296678109615998,1.8296678109616094
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.8296678109615998,1.829667810961609
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,3.659335621923201,3.6593356219232187
ACPS1,0.1330194960706845,0.13301949607068517
ACS,0.0,1.296242554241588e-11
ACTNDH,0.0,135.30953389986263
ACtr,-1000.0,-993.8737573599864
ADCL,0.0,6.064999717207395e-12
ADCS,0.0,4.637798956720795e-12
ADK1,38.10968826260536,38.37572725476145
ADK2,0.13301949607068447,0.1330194960706858
ADNCYC,0.0,0.0
ADOCBIK,0.13301949607068456,0.1330194960706843
ADOCBLS,0.1330194960706845,0.13301949607068428
ADOCBLabc,-2.7704608233649567e-17,0.0
ADPRDP,0.0,0.0
ADPT,0.2660389921413694,0.2660389921407908
ADSL1r,6.341505257373243,6.341505257370348
ADSL2r,-6.790429225972028e-14,-2.2021977918042556e-13
ADSS,6.34150525736973,6.341505257369808
AGDC,0.0,-4.624615362790241e-12
AGMD,0.0,1.2408286547405288e-10
AGPAT120,0.0,9.646316983154412e-12
AGPAT140,0.0,1.1094516221164951e-11
AGPAT141,0.0,0.0
AGPAT160,0.0,1.7921154900761632e-11
AGPAT161,0.0,0.0
AGPAT180,0.0,1.8296678109616222
AGPAT181,0.0,0.0
AHCYSNS_r,0.2660389921413672,0.26603899214249327
AHEXASE3,0.0,0.0
AHSERL2,0.0,2.1958870998409683e-11
AHSERL3,-0.2660389921436434,-0.2660389921413689
AICART,0.0,7.737425533963492e-12
AIHPDCOATA,3.6593356219231996,3.659335621923235
AIPDCOATA,0.0,0.0
AIRC4,0.0,6.464334612949599e-12
ALAALA,1.0744229343529434,1.0744229343534493
ALAASP1c,503.3070906314259,564.3038324425987
ALAASPabc,503.30709063142945,564.3038324425893
ALACI,-999.9999999999999,1000.0
ALAD_R,510.2520808348796,574.1933691027865
ALAGLN1c,0.0,5.60270183486464e-11
ALAGLNabc,0.0,-1.6826043171618275e-11
ALAGLU1c,1.7042518835852498,20.03078581430881
ALAGLUabc,1.7042518835839102,20.030785814335395
ALAGLY1c,0.0,2.415027115316197e-12
ALAGLYabc,0.0,-8.154796498900729e-12
ALAHIS1c,0.0,-1.0718468699976943e-11
ALAHISabc,0.0,-1.203895312515439e-11
ALALEU1c,0.0,-1.2058277287474064e-11
ALALEUabc,0.0,-5.082254690073203e-12
ALAPGPL,0.07758217661994388,0.07758217661994375
ALAR,5.640043816603361,5.640043816603634
ALATHR1c,9.067148404834136,9.067148404872647
ALATHRabc,9.067148404829872,9.067148404858045
ALCD19,-1.3722508582212205,-1.3722508582211999
ALCD2x,-1000.0,-795.9230485043206
AMALT1,0.0,1.340169538329027e-12
AMALT2,0.0,25.916737422884317
AMALT3,0.0,25.916737422898965
AMALT4,0.0,25.9167374229009
AMANAPEr,0.0,-2.4754632112252548e-12
AMANK,0.0,9.640835676345411e-12
AMMQT7rev,0.26603899214136895,0.2660389921413725
AMMQT8,0.1330194960706845,0.13301949607068494
AMPTASECG,0.0,3.2711240327125606
AMPTASEGC,0.0,3.271124032712569
ANPRT,2.027704264016939,2.027704264016938
ANS,0.0,2.0277042640169385
ANS2,0.0,2.0277042640169385
APAT,0.0,0.0
ARBTpts,0.0,108.24762711971646
ARBabc,0.0,3.456665189133032e-11
ARGDC,0.0,0.0
ARGSL,0.0,0.0
ARGSS,0.0,0.0
ARGt2,10.597742509490674,10.59774250949084
ASAD,-2.34962011460803e-11,0.0
ASNS2,0.0,8.255830553800558e-12
ASP1DC,0.0,5.4251139383368595e-12
ASPCT,0.0,9.21688918526164e-12
ASPKi,-2.985967078936516e-15,2.7566560237814626e-11
ASPTA,497.5015940167826,549.33506886261
ATPS4,164.9706324922742,164.97063249229086
BCOAACT,0.0,0.0
BGLA,0.0,0.0
BGLA1,0.0,0.0
BPNT,0.13301949607068453,0.13301949607068453
BTNCLi,73.18671243846401,73.18671243846445
BTNabc,0.0,0.0
C180SN,3.6593356219232,3.659335621923197
CAP_NR,458.7618644007125,1000.0
CAt4i,0.1330194960706845,0.13301949607068442
CBIAT,0.13301949607068447,0.13301949607068436
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBPS,0.0,-2.131470271483573e-12
CD2abc1,0.0,-2.470011127038404e-12
CD2t6r,-5.324431112711898e-11,1.2428709186598868e-14
CDPGLYCGPT,0.23274652985983166,0.23274652985983046
CGLYabc,0.1330194960706845,3.4041435287832154
CHORS,2.160723760087624,2.160723760087628
CHRPL,0.13301949607068456,0.13301949607068517
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.45741695274040006,0.45741695274040234
CLPNSAI15,0.0,0.0
CLPNSAI17,0.45741695274040006,0.45741695274040234
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.45741695274040006,0.45741695274040234
CMPSAS,0.0,0.0
CO2t,-1000.0,-999.9999999999952
COBALTt5,-0.133019496070688,-0.13301949607068447
CPPPGO,0.0,0.0
CPPPGO2,0.0,2.997624380006162e-14
CTPS1,0.0,3.6129409648116586
CTPS2,0.0,3.6129409648060804
CYSDS,0.0,1.421741032969368e-11
CYSS,0.0,3.611324844681404e-12
CYSS3r,0.266038992141369,0.2660389921455346
CYSTL,0.0,3.6536481625534214e-12
CYSabc,0.0,3.271124032712572
CYTD,0.0,6.751263303341628e-13
CYTDK1,0.0,2.7171692262626607e-12
CYTDK2,0.0,-2.1203748487818224e-12
CYTDK3,0.0,-9.435345831661368e-13
CYTDK4,0.0,4.330978414533081e-12
CYTK1,15.962597276563885,16.228636268718606
CYTK2,0.5671317251971606,0.56713172521401
CZP_NR,-1000.0,898.9579127573542
Cuabc,0.13301949607068447,0.13301949606556068
Cut1,0.0,3.1774692229255027e-12
DAGK120,0.0,3.6312984104009213e-12
DAGK140,0.0,0.0
DAGK141,0.0,1.1335593007433271e-11
DAGK160,0.0,0.0
DAGK161,0.0,-6.285402434209885e-12
DAGK180,0.0,0.0
DAGK181,0.0,-1.1923039842783589e-12
DAPDAi,0.0,0.0
DAPDC,12.26193604340907,12.261936043409053
DAPabc,13.336358977762016,13.336358977762327
DASYN120,0.0,0.0
