,minimum,maximum
23DHMPO,-0.2631716651868693,-0.2631716652111342
2AHBUTI,0.2631716652111439,0.2631716651753678
2HMCOXT,0.0,0.0
2MBCOATA,3.6198958710390796,3.6198958710345868
3HAD10M12,3.6198958710390796,3.619895871034086
3HAD11M12,3.6198958710390796,3.619895871034101
3HAD12M14,3.6198958710390796,3.6198958710351783
3HAD13M14,3.6198958710390796,3.619895871034101
3HAD14M16,3.61989587103908,3.6198958710390388
3HAD15M16,3.61989587103908,3.6198958710390463
3HAD4M6,3.6198958710390796,3.6198958710390454
3HAD5M6,3.6198958710390836,3.6198958710390574
3HAD6M8,3.6198958710390796,3.6198958710390463
3HAD7M8,3.6198958710390796,3.6198958710390476
3HAD8M10,3.6198958710390796,3.6198958710391045
3HAD9M10,3.6198958710390796,3.619895871039105
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.6198958710390805,3.6198958710391045
3OAR11M12,3.6198958710390805,3.619895871039105
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.6198958710390805,3.6198958710391045
3OAR13M14,3.6198958710390805,3.619895871039105
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.619895871039081,3.619895871039105
3OAR15M16,3.619895871039081,3.619895871039106
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.6198958710390805,3.619895871039105
3OAR5M6,3.6198958710390836,3.619895871039102
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.6198958710390805,3.6198958710390414
3OAR7M8,3.6198958710390805,3.6198958710391294
3OAR80,0.0,0.0
3OAR8M10,3.6198958710390805,3.6198958710391294
3OAR8M9,0.0,0.0
3OAR9M10,3.6198958710390805,3.6198958710391294
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.6198958710390796,3.6198958710389513
3OAS11M12,3.6198958710390796,3.6198958710389513
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
