,minimum,maximum
15DAPtex,3.622101290197812e-11,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,4.3431413516378025e-11,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,0.0
26DAP_Mtex,2.6676285291304223,2.6676285290942006
26DAPt2rpp,2.6676285291304227,2.667628529086518
2AHBUTI,6.160153841258166e-17,-4.409958910893776e-11
2HYOXPLACt2rpp,1.9921557096087957e-11,0.0
2HYOXPLACtex,1.974685081292554e-11,0.0
2INSD,0.0,-5.0527305146795757e-11
2MBCOATA,9.085573092856977,9.085573092853528
2MEBCOADH,-965.1244713538013,-9.085573092856752
2MECOAOX,-871.6470598326017,956.0388982609516
2OMMBOX,0.3302671520750464,0.33026715207132545
2OMPHH,0.33026715207676455,0.3302671520713236
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,9.085573092856981,9.085573092856933
3HAD11M12,9.08557309285698,9.085573092856883
3HAD12M14,9.085573092856983,9.085573092856917
3HAD13M14,9.085573092856981,9.08557309285691
3HAD14M16,9.085573092856983,9.085573092856952
3HAD15M16,9.085573092856983,9.085573092856945
3HAD4M6,9.08557309285698,9.085573092856947
3HAD5M6,9.085573092857006,9.085573092855638
3HAD6M8,9.08557309285698,9.085573092856944
3HAD7M8,9.085573092857006,9.085573092855638
3HAD8M10,9.085573092856981,9.085573092856945
3HAD9M10,9.085573092856976,9.08557309285694
3HBCOAE,-1000.0000000000001,999.9999999999999
3HBCOAOX,-1000.0,1000.0
3HPCOAHL,0.0,0.0
3MEBCOADH,-9.08557309284562,-9.085573092856967
3MOBDC2,0.0,0.0
3MOBS,0.0,0.0
3MOPDC2,18.171146185714,974.210044446657
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,9.085573092856981,9.085573092856949
3OAR11M12,9.08557309285698,9.085573092856913
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,9.085573092856983,9.085573092856905
3OAR13M14,9.085573092856981,9.085573092856903
3OAR140,21.35340058558344,21.35340058558326
3OAR14M15,0.0,0.0
3OAR14M16,9.085573092856983,9.085573092856906
3OAR15M16,9.085573092856983,9.085573092856905
