,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,0.0
26DAPt2r,13.766920888381645,13.766920888381668
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,3.5165512947899433,3.5165512947899433
34DHOXPEGOX,0.0,0.0
3HAD10M12,3.516551294789944,3.5165512947899487
3HAD11M12,3.516551294789944,3.516551294789947
3HAD12M14,3.516551294789944,3.5165512947899433
3HAD13M14,3.516551294789944,3.516551294789944
3HAD14M16,3.516551294789944,3.516551294789944
3HAD15M16,3.516551294789944,3.516551294789944
3HAD4M6,3.5165512947899433,3.516551294789944
3HAD5M6,3.5165512947899433,3.5165512947899433
3HAD6M8,3.5165512947899433,3.516551294789944
3HAD7M8,3.5165512947899433,3.5165512947899433
3HAD8M10,3.516551294789944,3.516551294789944
3HAD9M10,3.516551294789944,3.516551294789944
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.5165512947899433,3.5165512947899433
3OAR11M12,3.5165512947899433,3.5165512947899433
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.5165512947899433,3.5165512947899433
3OAR13M14,3.5165512947899433,3.5165512947899433
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.5165512947899433,3.5165512947899433
3OAR15M16,3.5165512947899433,3.5165512947899433
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.5165512947899433,3.5165512947899433
3OAR5M6,3.5165512947899398,3.5165512947899287
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.5165512947899433,3.5165512947899464
3OAR7M8,3.5165512947899433,3.5165512947899433
3OAR80,0.0,0.0
3OAR8M10,3.5165512947899433,3.5165512947899433
3OAR8M9,0.0,0.0
3OAR9M10,3.5165512947899433,3.5165512947899433
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.5165512947899433,3.5165512947899433
3OAS11M12,3.5165512947899433,3.5165512947899433
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.5165512947899433,3.5165512947899433
3OAS13M14,3.5165512947899433,3.516551294789944
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.5165512947899398,3.516551294789943
3OAS4M3O6,3.516551294789943,3.5165512947899433
3OAS4M5,0.0,0.0
3OAS4M6,3.516551294789943,3.5165512947899495
3OAS5M6,3.516551294789943,3.5165512947899487
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.5165512947899433,3.5165512947899455
3OAS7M8,3.5165512947899433,3.516551294789945
3OAS80,0.0,0.0
3OAS8M10,3.5165512947899433,3.5165512947899464
3OAS8M9,0.0,0.0
3OAS9M10,3.5165512947899433,3.516551294789944
4ABZt2,0.0,0.0
4HBZt2,0.33580083991508525,0.3358008399150851
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
5AIZCDC,0.0,0.0
5FURAt,-1.8261820902649068e-13,0.0
