,minimum,maximum
12PPDSDH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000001
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2DHPL,-3.3336641248668046e-12,1000.000000000001
2DMMQ8abcpp,0.0,-9.528360020559608e-13
2DMMQ8tex,0.0,-1.4223174013425032e-13
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HMCOXT,0.0,0.0
2IMZS,0.0,0.0
2INSD,0.0,-5.099822716811307e-13
2IPDPIPT,0.0,0.0
2MBALDOR,0.0,0.0
2MBCOATA,6.648205882322269,6.648205882317137
2OMMBOX,0.24166709140947523,0.24166709140931295
2OMPHH,0.24166709140904746,0.24166709140931297
2OXOADOX,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,8.308093988414047e-14
3HACPR2,0.0,-8.664523065022869e-14
3HAD100,28.131407427251244,28.13140742724494
3HAD10M12,6.64820588232227,6.648205882313739
3HAD11M12,6.64820588232227,6.648205882343368
3HAD120,28.13140742725134,28.131407427251805
3HAD12M14,6.64820588232227,6.648205882331079
3HAD13M14,6.64820588232227,6.648205882346861
3HAD140,8.600195426399537,984.3750303993185
3HAD14M16,6.64820588232227,6.648205882322292
3HAD15M16,6.64820588232227,6.648205882322274
3HAD180,6.648205882321289,6.64820588232227
3HAD40,28.13140742725248,28.1314074272562
3HAD4M6,6.64820588232227,6.648205882342613
3HAD5M6,6.64820588232227,6.648205882337995
3HAD60,28.131407427252505,28.1314074272553
3HAD6M8,6.64820588232227,6.648205882327532
3HAD7M8,6.64820588232227,6.648205882337995
3HAD80,28.131407427252505,28.131407427255304
3HAD8M10,6.64820588232227,6.648205882327532
3HAD9M10,6.64820588232227,6.648205882337995
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPPD,0.0,0.0
3MBALDOR,0.0,0.0
3MOBS,-684.0588518431198,0.0
3OAACPR1,0.0,5.613854542354375e-13
3OAACPR2,0.0,5.212864932186198e-13
3OAR100,28.13140742724985,28.13140742725205
3OAR10M11,0.0,0.0
3OAR10M12,6.648205882322269,6.64820588233901
3OAR11M12,6.648205882322269,6.6482058823250165
3OAR120,28.131407427250185,28.131407427254832
3OAR12M13,0.0,0.0
3OAR12M14,6.648205882322269,6.648205882319207
3OAR13M14,6.648205882322269,6.648205882323855
3OAR140,24.225165027079814,999.9999999999999
3OAR14M15,0.0,0.0
3OAR14M16,6.648205882322269,6.648205882322272
3OAR15M16,6.648205882322269,6.648205882322281
3OAR160,0.0,0.0
3OAR180,6.648205882320063,6.648205882322281
3OAR40,28.131407427250107,28.13140742726001
3OAR4M5,0.0,0.0
3OAR4M6,6.648205882322269,6.648205882314022
3OAR5M6,6.648205882322269,6.648205882323232
3OAR60,28.13140742725098,28.131407427254324
3OAR6M7,0.0,0.0
3OAR6M8,6.648205882322269,6.648205882361159
3OAR7M8,6.648205882322269,6.648205882325196
3OAR80,28.131407427250736,28.131407427252835
3OAR8M10,6.648205882322269,6.648205882361159
3OAR8M9,0.0,0.0
3OAR9M10,6.648205882322269,6.64820588233231
3OAS100,28.131407427250934,28.13140742725579
3OAS10M11,0.0,0.0
3OAS10M12,6.648205882322269,6.64820588232449
3OAS11M12,6.648205882322269,6.6482058823308945
3OAS120,28.131407427250927,28.131407427254864
3OAS12M13,0.0,1.0149816843643511e-12
3OAS12M14,6.648205882322269,6.64820588232227
3OAS13M14,6.648205882322269,6.648205882322287
3OAS140,24.225165027080564,1000.0
3OAS160,0.0,0.0
3OAS180,6.648205882320878,6.648205882322287
3OAS2M3,0.0,0.0
3OAS3M4,6.648205882322269,6.6482058823222685
3OAS4M3O6,6.648205882322269,6.648205882322269
3OAS4M5,0.0,0.0
3OAS4M6,6.648205882322269,6.648205882322279
3OAS5M6,6.648205882322269,6.648205882322279
3OAS60,28.131407427250934,28.131407427256658
3OAS6M7,0.0,0.0
3OAS6M8,6.648205882322269,6.648205882322257
3OAS7M8,6.648205882322269,6.648205882322273
3OAS80,28.131407427250934,28.131407427252327
3OAS8M10,6.648205882322269,6.648205882322257
3OAS8M9,0.0,0.0
3OAS9M10,6.648205882322269,6.64820588232227
4ABUTtex,-684.0588518431103,0.0
4GBTAH,-1000.0,980.7462388339474
4HBALDDH,0.0,0.0
4HBZCL,0.0,0.0
4HTHDR,24.22922337965851,24.229223379656133
4HTHDS,24.22922337965851,24.229223379656077
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-3.2598921815861698e-12
5DGCLURI,0.0,-1.5238026168678064e-12
5DGLCNR,-999.9999999999993,1000.0
5DOAN,-3.5973071168802793e-12,-5.725171819393717e-12
5FURAtex,-1000.0000000000001,0.0
5FURAtpp,-1000.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HOXINDACTO2OX,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,-4.2221071782398447e-13,0.0
5MTHFGLUNFT,-993.8138219494717,999.7583329085849
6P3HXI,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,9.76447434441897,9.764474344418883
A6PT,0.0,0.0
AACGLYDH,0.0,-2.8286128329924297e-11
AACOAT,0.0,0.0
AAGCPT,0.0,0.0
AAPAT,0.0,0.0
AAT,0.0,0.0
AB6PGH,0.0,598.4017757864319
AB6PGH2,0.0,598.4017757864344
ABAH,-1000.0000000000002,0.0
ABGAFT,0.0,0.0
ABUTD,0.0,1000.0000000000011
ABUTR,-1000.0,-1.1368683772161603e-13
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,6.648205882317851,6.648205882320571
ACAH,0.0,0.0
ACALD,-1000.0,1000.0
ACALDtex,-999.9999999999999,1000.0
ACALDtpp,-1000.0,1000.0000000000001
ACBIPGT,0.2416670914093127,0.24166709140931256
ACCOACL,0.0,-1.6184870969645566e-12
ACCOACORAT,0.0,0.0
ACCOAL,0.0,1000.0
ACCOALYS2,0.0,0.0
ACGAMPM,-9.792104055822304e-13,11.716463888489022
ACGAMT,0.0,0.0
ACGAMtex,0.0,11.716463888490798
ACGAptspp,0.0,11.716463888488375
ACGK,0.0,-8.926410894449866e-12
ACGS,0.0,-8.994052279094696e-12
ACHBPL,-684.0588518431608,983.5269908012751
ACHBS,0.0,684.0588518430873
ACKr,-1000.0,-992.187515199668
ACLDC,0.0,0.0
ACLS,0.0,684.0588518430571
ACLS_a,0.0,684.0588518430793
ACLS_b,-1000.0,684.0588518430307
ACNAMabcpp,0.0,11.71646388849419
