,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
25DOPOX,0.0,1.2000784349415307e-11
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2HYOXPLACt2rpp,-1.2191272989882297e-11,0.0
2HYOXPLACtex,2.152356821334115e-12,0.0
2MBCOATA,7.134671825192242,7.134671825191937
2MECOAOX,-1000.0,-4.550284909450216e-12
2OMPHH,0.0,0.0
2S6HCC,0.0,-1.3294380795352036e-12
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,5.269261700202391e-13,0.0
3HACPR1,0.0,3.812555433137964e-15
3HACPR2,0.0,-3.295369594856742e-13
3HAD100,0.0,-6.998201012643783e-13
3HAD10M12,7.134671825192241,7.134671825192313
3HAD11M12,7.134671825192241,7.134671825191791
3HAD120,0.0,-1.4825121801756886e-12
3HAD12M14,7.134671825192241,7.134671825191917
3HAD13M14,7.134671825192241,7.1346718251916
3HAD140,0.0,979.0396401012696
3HAD14M16,7.134671825192241,7.134671825192242
3HAD15M16,7.134671825192241,7.1346718251922505
3HAD180,0.0,3.4287955284044427e-12
3HAD40,2.0637133678913187e-12,2.151158849581602e-12
3HAD4M6,7.134671825192241,7.134671825192766
3HAD5M6,7.134671825192241,7.134671825192706
3HAD60,0.0,5.24606160901663e-13
3HAD6M8,7.134671825192241,7.134671825193573
3HAD7M8,7.134671825192241,7.134671825193047
3HAD80,0.0,4.1925004105216096e-13
3HAD8M10,7.134671825192241,7.134671825191624
3HAD9M10,7.134671825192241,7.134671825192831
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,7.508652027807955e-12,0.0
3OAACPR1,0.0,5.58583204543115e-13
3OAACPR2,0.0,2.788275180703221e-12
3OAR100,0.0,3.917557579725893e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.13467182519224,7.1346718251916865
3OAR11M12,7.13467182519224,7.134671825192831
3OAR120,0.0,5.37594144543907e-13
3OAR12M13,0.0,0.0
3OAR12M14,7.13467182519224,7.1346718251916865
3OAR13M14,7.13467182519224,7.134671825192831
3OAR140,16.768287918984647,995.8079280202545
3OAR14M15,0.0,0.0
3OAR14M16,7.13467182519224,7.134671825192233
3OAR15M16,7.13467182519224,7.134671825192227
3OAR160,0.0,0.0
3OAR180,0.0,-8.952966101945028e-12
3OAR40,0.0,2.773851052471974e-12
3OAR4M5,0.0,0.0
3OAR4M6,7.13467182519224,7.134671825192976
3OAR5M6,7.13467182519224,7.134671825192831
3OAR60,0.0,4.275066064120486e-13
3OAR6M7,0.0,0.0
3OAR6M8,7.13467182519224,7.1346718251916235
3OAR7M8,7.13467182519224,7.134671825192831
3OAR80,0.0,4.275066064120486e-13
3OAR8M10,7.13467182519224,7.1346718251916235
3OAR8M9,0.0,0.0
3OAR9M10,7.13467182519224,7.134671825192831
3OAS100,0.0,5.375941445439071e-13
3OAS10M11,0.0,0.0
3OAS10M12,7.13467182519224,7.134671825191575
3OAS11M12,7.13467182519224,7.134671825192832
3OAS120,0.0,1.0137227469641949e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.13467182519224,7.134671825192232
3OAS13M14,7.13467182519224,7.1346718251922345
3OAS140,16.76828791898465,995.8079280202531
3OAS160,0.0,0.0
3OAS180,0.0,-4.267339506487155e-12
3OAS2M3,0.0,1.7858713871706364e-12
3OAS3M4,7.13467182519224,7.13467182519203
3OAS4M3O6,7.13467182519224,7.134671825192582
3OAS4M5,0.0,0.0
3OAS4M6,7.13467182519224,7.134671825192578
3OAS5M6,7.13467182519224,7.134671825192582
3OAS60,0.0,-8.120466604580917e-14
3OAS6M7,0.0,0.0
3OAS6M8,7.13467182519224,7.134671825194489
3OAS7M8,7.13467182519224,7.13467182519276
3OAS80,0.0,9.12615225493304e-13
3OAS8M10,7.13467182519224,7.134671825195638
3OAS8M9,0.0,0.0
3OAS9M10,7.13467182519224,7.1346718251928385
3OXCOAT,0.0,763.9219642966026
4ABUTtex,0.0,0.0
4HPHACtex,-989.6329744180634,-225.711010121471
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,26.00213658436744,26.00213658437083
4HTHDS,26.00213658436744,26.002136584370643
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-6.244984418576404e-13
5CM2HMUDI,0.0,0.0
5DOAN,0.0,1.1816352061036466e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,8.132625704789186e-13,0.0
7A_CZPtex,-999.9999999999995,999.9999999999999
A5PISO,10.478965487242645,10.47896548724266
AACGLYDH,0.0,2.285863685602947e-12
AACOAT,0.0,5.564689116619131e-12
AACTOOR,0.0,0.0
ABTA,0.0,0.0
ABUTD,0.0,1000.0000000000002
ABUTR,-999.9999999999997,3.410605131648481e-13
ABUTt2rpp,0.0,0.0
ACACCTr,-985.4974377440434,1000.0
ACACT1r,14.502562255952173,1000.0
