,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
25DOPOX,0.0,-3.628338034268051e-11
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0,1000.0
2MBCOATA,7.1355971354641605,7.135597135460378
2MECOAOX,-1000.0,-8.555374391961634e-12
2OMMBOX,0.2593841159178262,0.25938411591315536
2OMPHH,0.2593841159189752,0.2593841159132038
2S6HCC,0.0,-6.026620153287307e-13
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,1.790755753806032e-12,0.0
3HACPR1,0.0,3.145358232338817e-14
3HACPR2,0.0,2.0969054882258772e-14
3HAD100,0.0,-1.4198281100479458e-12
3HAD10M12,7.13559713546415,7.135597135461663
3HAD11M12,7.13559713546415,7.1355971354616345
3HAD120,0.0,-3.714668072392133e-12
3HAD12M14,7.135597135464152,7.135597135461664
3HAD13M14,7.135597135464152,7.135597135461635
3HAD140,0.0,979.0369217090545
3HAD14M16,7.135597135464153,7.135597135464099
3HAD15M16,7.135597135464153,7.135597135464132
3HAD180,0.0,-1.066598057317655e-11
3HAD40,0.0,-4.899278854169176e-12
3HAD4M6,7.135597135464146,7.13559713546147
3HAD5M6,7.135597135464146,7.13559713546191
3HAD60,0.0,-2.6090746537250316e-12
3HAD6M8,7.135597135464147,7.135597135461471
3HAD7M8,7.135597135464147,7.135597135461912
3HAD80,0.0,-2.6090746537250316e-12
3HAD8M10,7.135597135464149,7.135597135461473
3HAD9M10,7.135597135464149,7.135597135461913
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,2.3895686843796242e-11,0.0
3OAACPR1,0.0,-1.0484527441129388e-13
3OAACPR2,0.0,-1.0484527441129388e-13
3OAR100,0.0,-4.317004173885042e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.135597135464151,7.135597135461095
3OAR11M12,7.135597135464151,7.135597135461636
3OAR120,0.0,-2.5538998280661e-12
3OAR12M13,0.0,0.0
3OAR12M14,7.135597135464152,7.1355971354677825
3OAR13M14,7.135597135464152,7.135597135461859
3OAR140,16.770462632753407,995.8073843418091
3OAR14M15,0.0,0.0
3OAR14M16,7.135597135464153,7.1355971354641925
3OAR15M16,7.135597135464153,7.135597135464179
3OAR160,0.0,0.0
3OAR180,0.0,1.0094588756756975e-11
3OAR40,0.0,-5.347728432770931e-12
3OAR4M5,0.0,0.0
3OAR4M6,7.135597135464146,7.135597135467762
3OAR5M6,7.135597135464146,7.135597135460529
3OAR60,0.0,-1.7650701947141464e-12
3OAR6M7,0.0,0.0
3OAR6M8,7.135597135464147,7.13559713546778
3OAR7M8,7.135597135464147,7.135597135461855
3OAR80,0.0,-2.5538998280661006e-12
3OAR8M10,7.135597135464149,7.135597135467781
3OAR8M9,0.0,0.0
3OAR9M10,7.135597135464149,7.135597135461857
3OAS100,0.0,-2.5538998280661e-12
3OAS10M11,0.0,0.0
3OAS10M12,7.135597135464151,7.1355971354587515
3OAS11M12,7.135597135464151,7.135597135460905
3OAS120,0.0,-3.639179474816035e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.1355971354641525,7.135597135464094
3OAS13M14,7.1355971354641525,7.135597135464125
3OAS140,16.770462632753407,995.8073843418078
3OAS160,0.0,0.0
3OAS180,0.0,-3.239855096626028e-11
3OAS2M3,0.0,-8.377534709750859e-14
3OAS3M4,7.1355971354641445,7.1355971354617145
3OAS4M3O6,7.1355971354641445,7.135597135461347
3OAS4M5,0.0,0.0
3OAS4M6,7.135597135464146,7.135597135462526
3OAS5M6,7.135597135464146,7.135597135462551
3OAS60,0.0,-2.6977692467126854e-12
3OAS6M7,0.0,0.0
3OAS6M8,7.135597135464149,7.1355971354613414
3OAS7M8,7.135597135464149,7.135597135461744
3OAS80,0.0,-2.1432995221528872e-12
3OAS8M10,7.13559713546415,7.135597135461342
3OAS8M9,0.0,0.0
3OAS9M10,7.13559713546415,7.135597135461745
3OXCOAT,1.681317022808626e-14,763.8913468503611
4ABUTtex,0.0,0.0
4HPHACtex,-989.6316298971614,-225.7402830469211
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,26.005508854972547,26.00550885496135
4HTHDS,26.005508854972547,26.005508854965832
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-2.0261505002492485e-11
5CM2HMUDI,0.0,0.0
5DOAN,0.0,-9.599113811414598e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,1.4518138434465364e-11,0.0
7A_CZPtex,-999.9999999999991,999.9999999999999
A5PISO,10.480324525842029,10.480324525841933
AACGLYDH,0.0,-9.008944305557961e-11
AACOAT,0.0,-3.6920951491427834e-11
AACTOOR,0.0,0.0
ABTA,0.0,0.0
ABUTD,0.0,1000.0000000000007
ABUTR,-1000.0,0.0
ABUTt2rpp,0.0,0.0
ACACCTr,-985.495556876852,1000.0
ACACT1r,14.504443123157937,1000.0
ACACT2r,0.0,0.0
