,minimum,maximum
23DHMPO,-1000.0,1000.0
26DAPt2r,19.47966417651532,19.47966417652066
2AHBUTI,-1000.0,1000.0
2DHPL,0.0,0.0
2DMMQ8abc,0.47514528810761686,0.4751452880967165
2HBO,0.0,0.0
2INSD,68.95031592481713,68.95031592484169
2MBCOATA,4.975784987609559,4.975784987612126
2MEBCOADH,4.975784987609538,4.97578498760709
34DHOXPEGOX,0.0,0.0
3CARLPDH,6.012717932429667e-13,0.0
3HAD10M12,4.975784987609556,4.975784987609551
3HAD11M12,4.975784987609556,4.9757849876095435
3HAD12M14,4.975784987609555,4.975784987609542
3HAD13M14,4.975784987609555,4.975784987609542
3HAD14M16,4.975784987609554,4.975784987609542
3HAD15M16,4.975784987609554,4.975784987609542
3HAD4M6,4.975784987609559,4.975784987609543
3HAD5M6,4.975784987609556,4.975784987609533
3HAD6M8,4.975784987609558,4.975784987609544
3HAD7M8,4.975784987609558,4.9757849876095355
3HAD8M10,4.975784987609557,4.9757849876095355
3HAD9M10,4.975784987609557,4.9757849876095355
3MEBCOADH,-4.9757849876090665,-4.975784987609549
3MOBS,1.1052689963952626e-11,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.975784987609555,4.97578498760955
3OAR11M12,4.975784987609555,4.9757849876095355
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.975784987609554,4.975784987609535
3OAR13M14,4.975784987609554,4.975784987609535
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.975784987609554,4.975784987609535
3OAR15M16,4.975784987609554,4.975784987609535
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.975784987609559,4.9757849876095355
3OAR5M6,4.97578498760954,4.975784987609537
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.975784987609558,4.975784987609543
3OAR7M8,4.975784987609558,4.9757849876095355
3OAR80,0.0,0.0
3OAR8M10,4.975784987609557,4.975784987609535
3OAR8M9,0.0,0.0
3OAR9M10,4.975784987609557,4.9757849876095355
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.975784987609554,4.975784987609523
3OAS11M12,4.975784987609554,4.975784987609524
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.975784987609553,4.9757849876095515
3OAS13M14,4.975784987609553,4.975784987609551
3OAS140,0.0,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.975784987609552,4.9757849876095595
3OAS4M3O6,4.975784987609558,4.975784987609562
3OAS4M5,0.0,0.0
3OAS4M6,4.975784987609558,4.975784987609578
3OAS5M6,4.975784987609558,4.975784987609579
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.975784987609557,4.975784987609557
3OAS7M8,4.975784987609557,4.975784987609558
3OAS80,0.0,0.0
3OAS8M10,4.975784987609555,4.975784987609558
3OAS8M9,0.0,0.0
3OAS9M10,4.975784987609555,4.9757849876095674
4ABZt2,1.4254358642955332,1.4254358642955376
4HTHDR,0.0,5.323655873466211e-12
4HTHDS,0.0,-6.14397792214655e-12
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-1.228795584429311e-11
5DGCLURI,0.0,68.95031592478651
5MTHCYST,1.876999451182907e-12,-6.051787659384004e-16
6P3HXI,0.0,0.0
AACOAT,0.0,-1.2517379352497223e-12
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACBIPGT,0.47514528809851125,0.4751452880985105
ACCOACL,0.0,4.525941921266573e-12
ACCOALYS2,0.0,0.0
ACGAM2E,0.0,0.0
ACGAMT,0.3242540290570379,0.3242540290570374
ACGApts,2.648418325266376,2.6484183252601414
ACGK,12.049020713902014,12.049020713894155
ACGS,12.049020713902015,12.049020713896182
ACHBPL,1.200287473284789e-11,-1.0162838755872969e-11
ACKr,-1000.0,-1000.0000000000176
ACLDC,0.0,0.0
ACLS_a,0.0,-1.6404782840233688e-11
ACLS_b,2.0735967825381633e-12,7.306323022528594e-27
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.487892493804793
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.48789249380477,2.4878924938047726
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.487892493804777,2.4878924938047815
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,12.049020713902015,12.049020713893926
ACONTa,0.0,-7.082920485232195e-12
ACONTb,0.0,-1.0282808237902231e-11
ACOTA,-12.04902071389989,-12.049020713902014
ACPS1,0.4751452880985113,0.4751452880985106
ACtr,-999.9999999999998,-1000.0000000000485
ADA,0.0,-9.584250350589822e-12
ADAD,0.0,0.0
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.4608692537563
ADK11,-1000.0,1000.0
ADK2,0.47514528808953554,0.47514528808993184
