,minimum,maximum
12PPD_Stex,-2.8349010195292183e-10,0.0
12PPDtpp,-2.9159117304583144e-10,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,984.0305966649814
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,15.161956654637217,15.161956654638246
2AHBUTI,-984.0305966649815,1000.0
2DHPL,-1.0962058908791716e-11,4.072081111730524e-15
2DMMQ8abcpp,0.0,5.318824502788509e-11
2DMMQ8tex,0.0,5.483202669023974e-11
2IMZS,0.0,0.0
2MBCOATA,4.16025754682258,4.160257546829714
34DHOXPEGOX,0.0,0.0
3HACPR1,3.1751593617705228e-15,1.476612807282895e-11
3HACPR2,0.0,4.2079832624390595e-11
3HAD10M12,4.16025754682258,4.16025754682983
3HAD11M12,4.16025754682258,4.160257546829958
3HAD12M14,4.16025754682258,4.160257546829751
3HAD13M14,4.16025754682258,4.160257546830051
3HAD14M16,4.160257546822579,4.160257546822861
3HAD15M16,4.160257546822579,4.160257546822854
3HAD4M6,4.16025754682258,4.160257546828961
3HAD5M6,4.16025754682258,4.160257546830046
3HAD6M8,4.16025754682258,4.160257546829151
3HAD7M8,4.16025754682258,4.160257546830046
3HAD8M10,4.16025754682258,4.160257546829151
3HAD9M10,4.16025754682258,4.160257546830046
3MOBS,-22.49373660981897,-22.493736609812437
3OAACPR1,0.0,1.1270325265118738e-11
3OAACPR2,0.0,1.1085198764715418e-11
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.16025754682258,4.160257546829149
3OAR11M12,4.160257546822584,4.160257546830037
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.16025754682258,4.1602575468290866
3OAR13M14,4.16025754682258,4.1602575468300405
3OAR140,9.777660146319349,9.777660146345394
3OAR14M15,0.0,0.0
3OAR14M16,4.160257546822579,4.160257546822863
3OAR15M16,4.160257546822579,4.160257546822853
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.16025754682258,4.160257546828949
3OAR5M6,4.16025754682258,4.160257546830041
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.16025754682258,4.16025754682914
3OAR7M8,4.16025754682258,4.160257546830041
3OAR80,0.0,0.0
3OAR8M10,4.16025754682258,4.16025754682914
3OAR8M9,0.0,0.0
3OAR9M10,4.16025754682258,4.160257546830041
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.16025754682258,4.160257546829137
3OAS11M12,4.16025754682258,4.160257546830075
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.160257546822579,4.160257546822862
3OAS13M14,4.160257546822579,4.160257546822857
3OAS140,9.777660146319349,9.77766014634492
3OAS141,0.0,0.0
3OAS160,0.0,0.0
