,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,650.1991980263975
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,-2.1204385475244643e-10
26DAPt2r,0.20348621594925215,0.20348621473305029
2AHBUTI,-650.199198026275,1000.0
2DHPL,3.3174351403085553e-09,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2INSD,0.0,-7.035327658855272e-10
2MBCOATA,9.36768922918451,9.367689229102487
2MEBCOADH,-990.6323107708154,-990.6323107711027
2OBUTt2r,346.22266231657517,346.2226622968522
2S6HCC,-1000.0,-1000.000000004953
33HPHACt2r,0.0,-5.003521146636943e-09
34DHOXPEGOX,0.0,0.0
34DHPHAt2r,4.950175482773502e-09,0.0
3ABUTCOAL,0.0,0.0
3CARLPDH,9.825342327972923e-11,0.0
3HAD10M12,9.367689229184514,9.367689229184249
3HAD11M12,9.367689229184514,9.367689229184249
3HAD12M14,9.367689229184514,9.367689229184247
3HAD13M14,9.367689229184514,9.367689229184249
3HAD14M16,9.367689229184514,9.367689229184247
3HAD15M16,9.367689229184514,9.367689229184249
3HAD4M6,9.367689229184514,9.367689229184249
3HAD5M6,9.367689229184514,9.367689229184249
3HAD6M8,9.367689229184514,9.367689229184249
3HAD7M8,9.367689229184514,9.367689229184249
3HAD8M10,9.367689229184514,9.367689229184249
3HAD9M10,9.367689229184514,9.367689229184249
3HPHACOX,0.0,-5.010470695978704e-09
3MEBCOADH,-9.367689229021941,-9.367689229184359
3MOBDC2,0.0,-4.522696686471643e-11
3MOBS,9.921050120961984e-10,0.0
3MOPDC2,1000.000000000292,999.9999999999999
3MOPt2r,1000.000000001659,1000.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,9.367689229184512,9.367689229184254
3OAR11M12,9.367689229184512,9.36768922918424
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,9.367689229184512,9.36768922918424
3OAR13M14,9.367689229184512,9.36768922918424
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,9.367689229184512,9.36768922918424
3OAR15M16,9.367689229184512,9.36768922918424
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,9.367689229184512,9.36768922918424
3OAR5M6,9.367689229184505,9.367689229184252
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,9.367689229184512,9.367689229184256
3OAR7M8,9.367689229184512,9.367689229184252
3OAR80,0.0,0.0
3OAR8M10,9.367689229184512,9.367689229184249
3OAR8M9,0.0,0.0
3OAR9M10,9.367689229184512,9.36768922918425
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,9.367689229184512,9.367689229184249
3OAS11M12,9.367689229184512,9.367689229184249
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,9.367689229184512,9.36768922918425
3OAS13M14,9.367689229184512,9.367689229184249
3OAS140,0.0,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,9.367689229184505,9.367689229184236
3OAS4M3O6,9.367689229184512,9.367689229184249
3OAS4M5,0.0,0.0
3OAS4M6,9.367689229184512,9.367689229184258
3OAS5M6,9.367689229184512,9.36768922918426
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,9.367689229184512,9.367689229184256
3OAS7M8,9.367689229184512,9.367689229184254
3OAS80,0.0,0.0
3OAS8M10,9.367689229184512,9.367689229184247
3OAS8M9,0.0,0.0
3OAS9M10,9.367689229184512,9.367689229184249
4ABZt2,2.6836047430569248,2.6836047429350582
4HBZCL,0.0,0.0
4HBZt2,0.8945349143304784,0.8945349143304528
4HP34DHPD,0.0,0.0
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-2.871982974113224e-10
5ASAt2r,-1000.0,-1000.0000000012401
5DGCLURI,0.0,-6.800541028360276e-10
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,-4.95479809307054e-10
5MTHCYST,2.0276579081800346e-10,0.0
6P3HXI,0.0,0.0
6PHBG,0.0,88.66861441634089
6PHBG2,0.0,88.6686144163246
A5PISO,0.0,0.0
AACGLYDH,0.0,-8.796583705875161e-10
AACOAT,0.0,-1.9952826343476731e-10
AB6PGH,0.0,88.66861441631228
AB6PGH2,0.0,88.66861441632543
ABTA,1000.0000000050084,1000.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,-1.1368683772161603e-13
ABUTt2r,1000.000000005048,1000.0
ABZ_ALA_Bt2r,-1000.0,-1000.0000000012916
AC5ASAc,0.0,-2.4196379668628993e-09
