,minimum,maximum
12DGR180ti,3.337434091564359,3.337434091564357
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,26.13139252472562
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2HYOXPLACt2r,1.8125336198093815e-12,0.0
2MBCOATA,6.674868183128921,6.674868183127725
2MEBCOADH,-6.674868183126947,-6.674868183128712
33HPHACt2r,0.0,303.2485276629965
34DHPHAt2r,-303.24852766299523,0.0
34HPPOR,0.0,0.0
3CARLPDH,4.922266443634486e-12,0.0
3HACPR1,0.0,-6.212176414497272e-12
3HACPR2,0.0,-5.45973656477113e-12
3HAD10M12,6.674868183128717,6.674868183125355
3HAD11M12,6.674868183128717,6.674868183124449
3HAD12M14,6.674868183128717,6.6748681831255
3HAD13M14,6.674868183128717,6.674868183125153
3HAD14M16,6.674868183128717,6.6748681831287024
3HAD15M16,6.674868183128717,6.674868183128697
3HAD4M6,6.674868183136611,6.674868183128691
3HAD5M6,6.674868183128717,6.674868183128691
3HAD6M8,6.674868183128717,6.674868183128689
3HAD7M8,6.674868183128717,6.674868183128685
3HAD8M10,6.674868183128717,6.674868183128689
3HAD9M10,6.674868183128717,6.674868183128685
3HBCOAHL,0.0,-2.952527038589439e-11
3HBCOAOX,-1000.0,-5.36182350022565e-11
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,303.2485276629682
3MEBCOADH,-6.674868183134174,-6.674868183128716
3MOBDC2,0.0,-1.3877417855106774e-11
3MOBS,3.033075408155154e-11,0.0
3MOPDC2,13.349736366264253,13.349736366236954
3OAACPR1,1.5067013367619908e-15,-3.3482430579397057e-12
3OAACPR2,0.0,-3.491326347454467e-12
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.674868183128716,6.674868183126019
3OAR11M12,6.674868183128716,6.674868183125622
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.674868183128716,6.6748681831246985
3OAR13M14,6.674868183128716,6.674868183125709
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.674868183128716,6.674868183128701
3OAR15M16,6.674868183128716,6.674868183128698
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.674868183128716,6.674868183128695
