,minimum,maximum
12DGR180tex,4.184769275194471,4.184769275194472
12DGR180tipp,4.18476927519447,4.184769275194472
12PPD_Stex,-17.78526941956132,0.0
12PPDtpp,-17.785269419558873,0.0
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-999.9999999999994,0.0
26DAP_Mtex,2.4573925700105854,1000.0
26DAPt2rpp,2.457392570010585,1000.0
2AHBUTI,0.0,0.0
2MBCOATA,8.369538550388937,8.369538550388906
3HAD10M12,8.369538550388931,8.369538550388924
3HAD11M12,8.369538550388942,8.369538550388942
3HAD12M14,8.369538550388928,8.369538550388922
3HAD13M14,8.369538550388942,8.369538550388938
3HAD14M16,8.369538550388926,8.36953855038892
3HAD15M16,8.369538550388942,8.369538550388937
3HAD4M6,8.369538550388937,8.36953855038893
3HAD5M6,8.369538550388947,8.369538550388947
3HAD6M8,8.369538550388933,8.369538550388928
3HAD7M8,8.369538550388947,8.369538550388947
3HAD8M10,8.369538550388931,8.369538550388926
3HAD9M10,8.369538550388945,8.369538550388945
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,8.369538550388931,8.369538550388938
3OAR11M12,8.369538550388942,8.369538550388942
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,8.369538550388928,8.369538550388915
3OAR13M14,8.369538550388942,8.369538550388933
3OAR140,19.670537846802993,19.670537846802972
3OAR14M15,0.0,0.0
3OAR14M16,8.369538550388928,8.369538550388926
3OAR15M16,8.369538550388942,8.369538550388935
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,8.369538550388931,8.369538550388938
3OAR5M6,8.369538550388949,8.369538550388949
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,8.36953855038893,8.369538550388949
3OAR7M8,8.369538550388947,8.369538550388944
3OAR80,0.0,0.0
3OAR8M10,8.369538550388928,8.369538550388933
3OAR8M9,0.0,0.0
3OAR9M10,8.369538550388945,8.369538550388944
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,8.369538550388924,8.369538550388954
3OAS11M12,8.369538550388942,8.36953855038894
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,8.36953855038892,8.36953855038895
3OAS13M14,8.369538550388942,8.369538550388938
3OAS140,19.670537846802997,19.67053784680299
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,8.369538550388949,8.369538550388947
3OAS4M3O6,8.369538550388931,8.369538550388958
3OAS4M5,0.0,0.0
3OAS4M6,8.36953855038893,8.369538550388958
3OAS5M6,8.369538550388947,8.369538550388947
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,8.36953855038893,8.369538550388956
3OAS7M8,8.369538550388947,8.369538550388945
3OAS80,0.0,0.0
3OAS8M10,8.369538550388928,8.369538550388956
3OAS8M9,0.0,0.0
3OAS9M10,8.369538550388944,8.369538550388944
4ABZt2pp,2.8083387368138507e-12,0.0
4ABZtex,2.8279981554205087e-12,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-3.359086812149598e-12
5DOAN,0.0,-3.6240546332916495e-12
A5PISO,12.292661493412039,12.29266149341201
AACOAT,0.0,0.0
ACBIPGT,0.3042387786588954,0.3042387786588949
ACCOAC,0.0,95.51682814296629
ACCOACL,0.0,95.5168281429663
ACGAM2E,0.0,0.0
ACGAMT,0.0,-1.1451432314146356e-13
ACGK,0.0,0.0
ACHBPL,0.0,0.0
ACKr,-1000.0,-990.164731076611
ACLS_a,0.0,1000.0
ACLS_b,-1000.0,-9.397766499270163e-12
ACNAMS,0.0,-4.655517445758274e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,4.184769275194469,4.18476927519446
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.184769275194469,4.184769275194467
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,0.0,0.0
ACONTa,-999.695761221341,879.1344762912281
ACONTb,-999.695761221341,879.1344762912242
ACOTA,5.5705999281933175e-12,0.0
ACPS1,0.3042387786588955,0.3042387786588956
ACS,0.0,9.835268923403165
ACTNDH,0.0,0.0
ACtex,-1000.0,-1000.0000000000078
ACtrpp,-1000.0,-1000.0000000000078
ADCL,0.0,-1.9963383330877162e-12
ADCPS1,0.0,0.0
ADCPS2,0.0,0.0
ADCS,0.0,-2.9271727427366473e-12
ADCYRS,0.0,0.0
ADEt2pp,0.0,1000.0
ADEtex,0.0,1000.0
ADK1,298.70957168702387,298.7095716870057
ADK2,0.3042387786664439,0.30423877865344934
ADNCNT3tcpp,-989.8073868369679,999.9999999999998
ADNUC,0.0,130.10518614862346
ADNtex,-989.8073868369675,1000.0
ADOCBIK,0.0,0.30423877865889454
ADOCBIK2,0.0,0.30423877865889554
ADOCBLS,0.3042387786588953,0.3042387786588954
ADOCBLabcpp,6.295711967534467e-17,0.0
ADOCBLtex,6.295711967534467e-17,0.0
ADPRDP,0.0,0.0
ADPT,14.979277079939981,14.979277079927366
ADSK,0.0,-3.821991347914438e-12
ADSL1r,-3.786964221583123e-14,-1.1346060654132689e-11
ADSL2r,0.0,-7.308530442400868e-12
ADSS,0.0,-9.374789125412855e-12
AEPPT,0.0,0.0
AGDC,0.0,0.0
AGMD,0.0,0.0
AGMHE,9.829570280042155,9.829570280042134
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,0.0,0.0
AHCYSNS_r,0.6084775573178418,0.6084775573177906
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,8.5717530557801e-12,-1.3044633109222138e-15
AICART,0.0,1.526857641886182e-13
AIHPDCOATA,8.36953855038894,8.369538550388922
AIPDCOATA,0.0,0.0
AIRC4,0.0,5.649373274978862e-12
AKP1,0.0,-7.226255670804636e-12
ALAALA,2.4573925700105392,2.4573925700103443
ALAASP1c,0.0,0.0
ALACI,-1000.0000000000003,1000.0000000000002
ALAD_R,-1000.0,950.5826420698788
ALAGLN1c,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLY1c,0.0,0.0
ALAHIS1c,0.0,0.0
ALALEU1c,0.0,0.0
ALAR,4.914785140021079,4.914785140021068
ALATHR1c,0.0,0.0
ALA_Ltex,-950.5826420698772,1000.0
ALAt2rpp,-950.5826420698771,1000.0000000000001
ALCD4,0.0,0.0
ALKP,0.0,0.0
AMALT1,0.0,0.0
AMALT2,0.0,0.0
AMALT3,0.0,0.0
AMALT4,0.0,0.0
AMAOTr,0.0,0.0
AMMQLT8,0.0,9.161145851317086e-13
AMMQT7rev,0.3042387786588953,0.30423877865643006
AMPMS2,0.0,-1.9722294213859008e-11
AMPN,0.0,-1.1107431516929387e-11
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.0
ANPRT,0.0,-2.0364334056173363e-12
ANS,0.0,-2.721297326623796e-12
ANS2,0.0,-2.721297326623796e-12
AOXSr,0.0,0.0
APRAUR,0.0,-5.442594653247594e-12
ARGDC,0.0,0.0
ARGSL,0.0,0.0
ARGSS,0.0,0.0
ARG_Ltex,24.23888477156451,24.238884771564457
ARGt2pp,24.23888477156451,24.238884771564518
ARSENBabcpp,0.0,0.0
ARSENBtex,0.0,0.0
ASAD,3.9462549373198056e-12,0.0
ASNS1,0.0,-5.954744803356116e-12
ASNS2,0.0,-1.1524004351315517e-11
ASN_Ltex,19.732043894104233,1000.0
ASNt2rpp,19.732043894104734,1000.0000000000001
ASP1DC,0.0,0.608477557317256
ASPCT,0.0,-4.106399116530916e-12
ASPKi,0.0,-2.5734715246231267e-12
ASPO1,0.0,870.9041287424362
ASPO5,0.0,-6.202538124224286e-12
ASPO6,0.0,-4.659762052194845e-12
ASPT,0.0,1000.0
ASPTA,-1000.0,946.6785309801387
ASP_Ltex,-1000.0,966.4105748742217
ASPt2rpp,-1000.0000000000001,966.4105748742218
ATPPRT,0.0,-2.314684704361371e-12
ATPS4pp,1000.0000000000127,1000.0
BGLA,0.0,-8.013245642568063e-12
BPNT,0.30423877865889537,0.304238778658895
BTNCLi,0.0,95.51682814296629
BTNabcpp,0.0,0.0
BTNtex,0.0,0.0
BUTKr,0.0,0.0
CA2tex,0.3042387786588954,0.3042387786588955
CBIAT,0.30423877865889554,0.30423877865889565
CBL1abcpp,0.0,0.0
CBL1tex,0.0,0.0
CBL2abcpp,0.0,0.0
CBL2tex,0.0,0.0
CBPS,0.0,-2.544762736476969e-13
CD2abc1pp,0.0,-8.685466395603055e-12
CD2tex,0.0,0.0
CDOSKT,4.917634461700749,4.917634461700747
CDPMEK,29.769467278046204,29.769467278045106
CELLBabcpp,0.0,-8.612238792895817e-12
CELLBtex,0.0,-9.177739338283107e-12
CHOLSH,0.0,0.0
CHORM,0.0,-2.1801685470486175e-12
CHORS,0.30423877865891247,0.30423877865633014
CHRPL,0.30423877865891247,0.3042387786589118
CHSTEROLtex,0.0,0.0
CHSTEROLuppp,0.0,0.0
