,minimum,maximum
12aHSDHe,-146.80661831656494,1000.0
23DHMPO,3.041896936473552e-11,0.0
26DAPLLAT,-9.563390697851712,-1.492911691932037
2AHBUTI,0.0,-2.5594944482051202e-11
2MBCOATA,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,-9.216654629245185e-12
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3MOBS,5.684030685845085e-11,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4ABZt2,0.0,0.0
4HTHDR,-998.5070883080679,1.4929116919316971
4HTHDS,-998.5070883080679,1.4929116919316885
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5MTHCYST,4.29165804749431e-12,0.0
ACALD,6.444340548166998,6.444340548040122
ACALDt,1000.0000000000946,1000.0
ACBIPGT,1.1940634826399483e-11,0.0
ACCOACL,9.008419864992884e-16,0.0
ACGAMT,0.27807327925219255,0.2780732792521899
ACGK,0.0,-1.835646687301651e-11
ACGS,0.0,-2.6275030538739927e-11
ACHBPL,0.0,-2.4001797223719105e-11
ACKr,-999.9999999999999,-1000.0000000000426
ACLS_a,0.0,-3.2831424063277345e-11
ACLS_b,0.0,0.0
ACNAMS,0.0,-2.4431005638715005e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,0.0,-2.2990651721397438e-11
ACOTA,3.5153829595647204e-11,0.0
ACPS1,0.4008094254322761,0.4008094254322723
ACtr,-1000.0,-1000.000000000033
ADCPS1,0.0,-2.4778559680649318e-11
ADCPS2,0.0,-2.538288512381182e-11
ADCYRS,0.0,-3.1878591032427572e-12
ADEt2,0.0,-1.0194583889013997e-10
ADK1,-881.1327369330937,1000.0
ADK10,-0.6029026968208686,-0.6029026968208759
ADK11,0.6029026968406938,0.6029026968208692
ADK2,0.0,0.0
ADK3,-26.49841267219298,-11.334745201736611
